method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.pdfbox.multipdf.PDFMergerUtility.appendDocument(PDDocument, PDDocument)",11,515,22,131,259,40,19,82,5,193,0,14,0.2666666666666667,0.2884399551066218,0.7096774193548387,0.27578947368421053,1.0,0.9285714285714286,0.04269662921348315,1.0,0.45454545454545453,0.00020068941493316418,1e-13,8.35932176810021e-08,0.34259423896549496
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.toString(),14,89,11,42,234,43,33,44,0,11,1,35,0.06666666666666665,0.04938271604938271,0.3548387096774194,0.08842105263157894,0.9031007751937985,1.0,0.07415730337078652,0.5365853658536586,1e-13,1.1438256809662208e-05,2.9447881666632313e-06,2.186284154733901e-07,0.2513846847272285
"org.apache.pdfbox.filter.Predictor.decodePredictor(int, int, int, int, InputStream, OutputStream)",1,23,5,11,160,32,8,9,11,99,30,149,0.9333333333333333,0.012345679012345678,0.16129032258064516,0.023157894736842106,0.6162790697674418,0.7380952380952381,0.017977528089887642,0.10975609756097561,1.0,0.00010294431128695987,8.834364499989694e-05,9.516766320606393e-07,0.2482198456531786
org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(Element),14,149,9,71,175,33,18,59,3,215,0,51,0.06666666666666665,0.08305274971941638,0.2903225806451613,0.14947368421052631,0.6744186046511628,0.7619047619047619,0.04044943820224719,0.7195121951219512,0.2727272727272727,0.0002235659285524886,1e-13,3.215123756961619e-07,0.24690672664229452
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),4,249,18,65,182,39,9,34,3,75811,4127,844698,0.7333333333333334,0.13916947250280584,0.5806451612903226,0.1368421052631579,0.7015503875968992,0.9047619047619048,0.020224719101123594,0.4146341463414634,0.2727272727272727,0.07883142609066378,0.012153140763819155,0.0054316107842684175,0.23777737493884002
org.apache.pdfbox.pdmodel.fdf.FDFDictionary.FDFDictionary(Element),14,173,9,68,164,32,7,40,3,287,0,3,0.06666666666666665,0.09652076318742986,0.2903225806451613,0.1431578947368421,0.6317829457364341,0.7380952380952381,0.015730337078651686,0.4878048780487805,0.2727272727272727,0.0002984345185793685,1e-13,1.2860495027846476e-08,0.21462148691749416
org.apache.pdfbox.tools.ExtractText.startExtraction(String[]),12,568,16,127,189,29,16,39,2,943,0,13,0.19999999999999996,0.3181818181818182,0.5161290322580645,0.2673684210526316,0.7286821705426356,0.6666666666666666,0.035955056179775284,0.47560975609756095,0.18181818181818182,0.0009805705610464964,1e-13,7.716297016707886e-08,0.20892637016444532
"org.apache.pdfbox.pdmodel.graphics.image.CCITTFactory.extractFromTiff(RandomAccess, OutputStream, COSDictionary, int)",6,64,12,16,182,35,9,11,3,5,0,8,0.6,0.03535353535353535,0.3870967741935484,0.03368421052631579,0.7015503875968992,0.8095238095238095,0.020224719101123594,0.13414634146341464,0.2727272727272727,5.199207640755549e-06,1e-13,4.5011732597462664e-08,0.19381748381630265
org.apache.pdfbox.tools.PDFToImage.main(String[]),14,1195,26,211,183,31,22,23,2,125,0,16,0.06666666666666665,0.67003367003367,0.8387096774193549,0.4442105263157895,0.7054263565891473,0.7142857142857143,0.04943820224719101,0.2804878048780488,0.18181818181818182,0.00012998019101888872,1e-13,9.645371270884857e-08,0.1931565720428172
org.apache.pdfbox.text.PDFTextStripper.writePage(),5,246,14,66,165,22,13,47,2,10715,460,133,0.6666666666666667,0.13748597081930417,0.45161290322580644,0.13894736842105262,0.6356589147286822,0.5,0.029213483146067417,0.573170731707317,0.18181818181818182,0.011141901974139142,0.0013546025566650863,8.487926718378674e-07,0.19271239030711845
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(long, int, boolean)",14,187,8,42,148,23,13,46,2,204,1,78,0.06666666666666665,0.10437710437710437,0.25806451612903225,0.08842105263157894,0.5697674418604651,0.5238095238095238,0.029213483146067417,0.5609756097560976,0.18181818181818182,0.0002121276717428264,2.9447881666632313e-06,4.951290585720893e-07,0.18656307247870033
"org.apache.pdfbox.filter.ccitt.TIFFFaxDecoder.decodeT6(byte[], byte[], int, int, long, boolean)",14,45,6,23,171,23,14,16,4,431,235,67,0.06666666666666665,0.024691358024691357,0.1935483870967742,0.04842105263157895,0.6589147286821705,0.5238095238095238,0.03146067415730337,0.1951219512195122,0.36363636363636365,0.0004481716986331283,0.0006920252191658593,4.243963359189337e-07,0.17731016583425832
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(),2,86,8,34,152,33,7,16,2,6510,413,116937,0.8666666666666667,0.04769921436588103,0.25806451612903225,0.07157894736842105,0.5852713178294574,0.7619047619047619,0.015730337078651686,0.1951219512195122,0.18181818181818182,0.006769368348263725,0.0012161975128319143,0.0007519274232881277,0.17443755178895406
"org.apache.pdfbox.preflight.content.StubOperator.process(Operator, List<COSBase>)",14,19,4,8,161,40,2,9,0,1,0,2,0.06666666666666665,0.010101010101010102,0.12903225806451613,0.016842105263157894,0.6201550387596899,0.9285714285714286,0.0044943820224719105,0.10975609756097561,1e-13,1.0398415281511097e-06,1e-13,6.430247513923238e-09,0.16629770439747096
org.apache.pdfbox.tools.Encrypt.encrypt(String[]),14,304,17,63,148,24,4,31,1,2,0,12,0.06666666666666665,0.17003367003367004,0.5483870967741935,0.13263157894736843,0.5697674418604651,0.5476190476190477,0.008988764044943821,0.3780487804878049,0.09090909090909091,2.0796830563022194e-06,1e-13,7.073272265315562e-08,0.1595333947203659
org.apache.pdfbox.text.PDFTextStripper.processTextPosition(TextPosition),5,40,7,16,132,22,8,29,2,14577,1063,211905,0.6666666666666667,0.021885521885521887,0.22580645161290322,0.03368421052631579,0.5077519379844961,0.5,0.017977528089887642,0.35365853658536583,0.18181818181818182,0.015157769955858727,0.0031303098211630147,0.0013625951691903899,0.15689685519337723
org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.copyIntoGraphicsState(PDGraphicsState),14,226,15,50,91,23,22,45,1,16,3,128,0.06666666666666665,0.12626262626262627,0.4838709677419355,0.10526315789473684,0.3488372093023256,0.5238095238095238,0.04943820224719101,0.5487804878048781,0.09090909090909091,1.6637464450417755e-05,8.834364499989692e-06,8.166414342682512e-07,0.15617830804276
