class path,method name,method arguments,version1,version2,LOC1,Cyclomatic1,Time1,OwnTime1,Count1,Layer1,Callees1,CalleeInvocations1,Callers1,CallerInvocations1,LOC2,Cyclomatic2,Time2,OwnTime2,Count2,Layer2,Callees2,CalleeInvocations2,Callers2,CallerInvocations2,delta AvgTime,delta AvgOwnTime
pdfbox\src\main\java\org\apache\pdfbox\filter\RunLengthDecodeFilter.java,<init>,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,3,1,0,0,91,4,0,0,1,91,3,1,0,0,104,0,0,0,1,104,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,<init>,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,3,1,5,1,5043,1,3,10088,37,5043,3,1,7,3,5193,1,3,10388,40,5193,0.00035649508965817137,0.0003794060851374883
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,<init>,COSDictionary,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,8,0,444,1,3,1332,2,444,4,1,7,0,398,2,3,1194,2,398,-0.0004300783195255557,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,clear,,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,1,0,2265,9,1,2265,3,2265,4,1,1,0,2200,1,1,2200,3,2200,1.3044350792695164e-05,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,String,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,84,3,2,168,3,84,4,1,0,0,87,3,2,174,3,87,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,"COSName, COSName",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,2,50,9,25317,1,1,46330,6,25317,9,2,3,0,1255,1,1,1405,8,1255,0.00041548070859902773,-0.00035549235691432633
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getDictionaryObject,COSName,pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,13,3,86,25,96657,0,2,96661,98,96657,13,3,5,2,4185,0,2,4187,99,4185,0.00030499898339852516,0.000219250697780197
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"COSName, COSBase",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,11,2,51,5,23853,0,2,23853,60,23853,11,2,60,6,23425,0,2,23425,72,23425,0.00042327022489804453,4.651936726823906e-05
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"COSName, COSObjectable",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,9,2,0,0,33,1,8,41,7,33,9,2,0,0,109,1,8,144,11,109,0.0,0.0
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,setItem,"String, COSObjectable",pdfbox-1.8.4-2014.1,pdfbox-1.8.6-2014.6,4,1,0,0,11,3,2,22,4,11,4,1,0,0,34,3,2,68,4,34,0.0,0.0
