method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.pdfbox.util.PDFMergerUtility.appendDocument(PDDocument, PDDocument)",12,428,15,123,261,40,16,79,4,0,0,2,0.07692307692307687,0.30198019801980197,0.5357142857142857,0.3082706766917293,1.0,0.9285714285714286,0.04776119402985075,0.9753086419753086,0.5,1e-13,1e-13,9.931544840875299e-08,0.36895516313257093
org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),1,1252,9,392,13,3,335,3,0,7905,2314,8140652,0.9230769230769231,0.8847241867043847,0.32142857142857145,0.9824561403508771,0.03875968992248062,0.047619047619047616,1.0,0.037037037037037035,1e-13,0.10888729717072096,0.6590714896041014,0.8084924044041634,0.34481950598791294
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.toString(),12,94,11,42,234,43,33,44,0,21,1,46,0.07692307692307687,0.06577086280056577,0.39285714285714285,0.10526315789473684,0.8953488372093024,1.0,0.09850746268656717,0.5432098765432098,1e-13,0.0002892641670569437,0.0002848191398461977,4.469195178393884e-06,0.3171487197499765
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),5,101,8,40,190,40,7,35,3,21990,2126,681361,0.6153846153846154,0.07072135785007072,0.2857142857142857,0.10025062656641603,0.7248062015503876,0.9285714285714286,0.020895522388059702,0.43209876543209874,0.375,0.30290090636105677,0.6055254913130163,0.06766957392778794,0.30689832610204726
"org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.loadDescriptorDictionary(PDFontDescriptorDictionary, InputStream)",7,118,12,41,166,32,26,81,5,82,0,4,0.46153846153846156,0.08274398868458274,0.42857142857142855,0.10275689223057644,0.6317829457364341,0.7380952380952381,0.07761194029850746,1.0,0.625,0.0011295076999366374,1e-13,2.97946345226259e-07,0.30598690014637303
org.apache.pdfbox.ExtractText.startExtraction(String[]),11,519,12,116,230,37,18,45,2,364,0,12,0.15384615384615385,0.36633663366336633,0.42857142857142855,0.2907268170426065,0.8798449612403101,0.8571428571428571,0.05373134328358209,0.5555555555555556,0.25,0.005013912228987024,1e-13,1.0924699324962829e-06,0.29354333978634894
"org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean)",12,160,7,40,183,31,15,52,4,2,0,1,0.07692307692307687,0.11244695898161244,0.25,0.10025062656641603,0.6976744186046512,0.7142857142857143,0.04477611940298507,0.6419753086419753,0.5,2.7548968291137498e-05,1e-13,1e-13,0.26233956453327517
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",7,291,18,77,169,24,20,57,3,0,0,2,0.46153846153846156,0.2050919377652051,0.6428571428571429,0.19298245614035087,0.6434108527131783,0.5476190476190477,0.05970149253731343,0.7037037037037037,0.375,1e-13,1e-13,9.931544840875299e-08,0.24430439328910464
org.apache.pdfbox.util.PDFTextStripper.writePage(),4,173,15,51,185,25,20,48,4,8,0,3,0.6923076923076923,0.12164073550212164,0.5357142857142857,0.12781954887218044,0.7054263565891473,0.5714285714285714,0.05970149253731343,0.5925925925925926,0.5,0.00011019587316454999,1e-13,1.9863089681750598e-07,0.2411504227235266
org.apache.pdfbox.PDFToImage.main(String[]),12,1024,23,196,192,31,20,22,1,67,0,10,0.07692307692307687,0.7234794908062234,0.8214285714285714,0.49122807017543857,0.7325581395348837,0.7142857142857143,0.05970149253731343,0.2716049382716049,0.125,0.0009228904377531061,1e-13,8.938390356787769e-07,0.22235011936509444
