method1,method2,method_score1,method_score2
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getNormalIcon(),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceCharacteristicsDictionary.getNormalIcon(),7.733677891844761e-11,1.475837116249654e-12
org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.PDAppearanceStream(COSStream),org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.PDAppearanceStream(COSStream),4.736467230551246e-09,2.211113209336063e-08
org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(),0.0006070608590821494,0.00013626410116249102
org.apache.pdfbox.pdfparser.BaseParser.parseBoolean(),org.apache.pdfbox.pdfparser.BaseParser.parseBoolean(),2.426108001259649e-16,5.963906222622865e-12
org.apache.pdfbox.pdfparser.BaseParser.readInt(),org.apache.pdfbox.pdfparser.BaseParser.readInt(),3.249026711678724e-06,9.452705525031485e-07
org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(),org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(),1.5918395515157007e-09,3.1386871515486784e-10
org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int),8.234623431625678e-06,3.941462917283452e-06
org.apache.pdfbox.pdfparser.BaseParser.isEOL(),org.apache.pdfbox.pdfparser.BaseParser.isEOL(),2.269881490537583e-11,3.65628230556355e-17
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(boolean),org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(),0.0004665941752293281,0.00030318686307208504
"org.apache.pdfbox.pdfparser.PDFObjectStreamParser.PDFObjectStreamParser(COSStream, COSDocument)","org.apache.pdfbox.pdfparser.PDFObjectStreamParser.PDFObjectStreamParser(COSStream, COSDocument)",3.096235494251154e-10,9.749425768051267e-08
org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse(),org.apache.pdfbox.pdfparser.PDFObjectStreamParser.parse(),6.555022807921361e-06,6.445664100411397e-05
org.apache.pdfbox.pdfparser.PDFParser.getPDDocument(),org.apache.pdfbox.pdfparser.PDFParser.getPDDocument(),5.667727789017234e-08,9.299839041501528e-09
org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDStream),org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(PDStream),2.096029555387918e-10,3.967707790924902e-12
org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(COSStream),org.apache.pdfbox.pdfparser.PDFStreamParser.PDFStreamParser(COSStream),3.767772089233829e-09,2.3979206009569614e-12
"org.apache.pdfbox.pdfparser.PDFXrefStreamParser.PDFXrefStreamParser(COSStream, COSDocument, boolean, XrefTrailerResolver)","org.apache.pdfbox.pdfparser.PDFXrefStreamParser.PDFXrefStreamParser(COSStream, COSDocument, XrefTrailerResolver)",3.291458402189453e-08,1.8851807080048614e-07
org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader(),org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader(),1.494904543155581e-07,2.679023889185239e-07
org.apache.pdfbox.preflight.parser.PreflightParser.nextIsEOL(),org.apache.pdfbox.preflight.parser.PreflightParser.nextIsEOL(),1.0152247903920894e-15,1.517482045468761e-06
"org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int)","org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int)",5.6558915197807813e-11,1.2238002658510914e-09
org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),org.apache.pdfbox.preflight.parser.PreflightParser.parseXrefTable(long),1.3075535371976376e-15,1.3152453513692585e-05
org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(boolean),org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(),7.521687425624535e-16,4.587400940311663e-07
org.apache.pdfbox.preflight.parser.PreflightParser.checkStreamKeyWord(),org.apache.pdfbox.preflight.parser.PreflightParser.checkStreamKeyWord(),8.394487875775045e-16,5.042089890052598e-07
org.apache.pdfbox.preflight.parser.PreflightParser.checkEndstreamKeyWord(),org.apache.pdfbox.preflight.parser.PreflightParser.checkEndstreamKeyWord(),7.780075602869534e-16,6.028504745713416e-07
