bugID,target methods,fixed release,version1,version2,fix commit,author,date,title,files,modified methods,deleted methods,added methods
,,,,,5430d6ccd,John Hewson,8/10/2016 16:06,PDFBOX-3459: Move Glyph2D functionality into PDFont subclasses,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDCIDFontType0.java,,,getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDCIDFontType2.java,,,getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java,"hasGlyph(String);<init>(COSDictionary);<init>(PDDocument, InputStream, Encoding)",,getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType0Font.java,"<init>(COSDictionary);<init>(PDDocument, TrueTypeFont, boolean)",,getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java,,,hasGlyph(int);getPath(int);getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1Font.java,,,getPath(int);getNormalizedPath(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDVectorFont.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/Glyph2D.java,,[ALL],
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/GlyphCache.java,<init>(PDVectorFont);getPathForCharacterCode(int),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,"showFontGlyph(Matrix, PDFont, int, String,Vector)","drawGlyph2D(Glyph2D, PDFont, int, Vector, AffineTransform);createGlyph2D(PDFont)","drawGlyph(GeneralPath, PDFont, int, Vector, AffineTransform)"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/TTFGlyph2D.java,,[ALL],
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/Type1Glyph2D.java,,[ALL],
PDFBOX-3137,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,58c1b2574,Andreas LehmkÃƒÂ¼hler,11/29/2015 15:23,PDFBOX-3137: reduce the dependency on commons.io in preflight to test,preflight/src/main/java/org/apache/pdfbox/preflight/Validator_A1b.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/font/Type0FontValidator.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/FontDescriptorHelper.java,getMetaDataStreamAsBytes(PDMetadata),,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/parser/PreflightParser.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/process/StreamValidationProcess.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/utils/ByteArrayDataSource.java,<init>(InputStream),,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/Benchmark.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/TestIsartorBavaria.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/integration/AbstractInvalidFileTester.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/integration/TestInvalidFiles.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/integration/TestIsartorValidation.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/integration/TestValidFiles.java,,,
,,,,,9e3a35eb4,Andreas LehmkÃƒÂ¼hler,11/29/2015 15:21,PDFBOX-3137: remove the dependency on commons.io from xmpbox,xmpbox/src/test/java/org/apache/xmpbox/schema/BasicJobTicketSchemaTest.java,,,
PDFBOX-2387,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,7e9df4e93,John Hewson,10/9/2014 0:16,PDFBOX-2387: Move imageio utilities to pdfbox.tools,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/image/JPEGFactory.java,"getAlphaImage(BufferedImage);createJPEG(PDDocument, BufferedImage, float, int)",,"encodeImageToJPEGStream(BufferedImage, float, int,OutputStream)"
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/TestAll.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/pdmodel/graphics/image/NullOutputStream.java,,[ALL],
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/pdmodel/graphics/image/PDInlineImageTest.java,testInlineImage(),,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/pdmodel/graphics/image/ValidateXImage.java,"validate(PDImageXObject, int, int, int, String, String)",,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/util/TestPDFToImage.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/ExtractImages.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFReader.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFToImage.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/imageio/ImageIOUtil.java," setDPI(IIOMetadata, int, String)",,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/imageio/JPEGUtil.java,updateMetadata(IIOMetadata),,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/imageio/MetaUtil.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/imageio/TIFFUtil.java,,,
,,,,,,,,,tools/src/test/java/org/apache/pdfbox/tools/TestImageIOUtils.java,checkSaveResources(PDResources),,
PDFBOX-2670,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,5ff0b2af3,John Hewson,2/6/2015 1:00,PDFBOX-2670: Move orphaned COSObjectKey to cos package.,pdfbox/src/main/java/org/apache/pdfbox/cos/COSDocument.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/cos/COSObjectKey.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/BaseParser.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/PDFXrefStreamParser.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/VisualSignatureParser.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/XrefTrailerResolver.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriter.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfwriter/COSWriterXRefEntry.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/action/ActionManagerFactory.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/parser/PreflightParser.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/process/CatalogValidationProcess.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/process/StreamValidationProcess.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/process/TrailerValidationProcess.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/utils/COSUtils.java,,,
,,,,,,,,,preflight/src/test/java/org/apache/pdfbox/preflight/utils/TestCOSUtils.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/DecompressObjectstreams.java,,,
PDFBOX-2358,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,f0ffe23fa,John Hewson,9/17/2014 22:35,PDFBOX-2358: Remove ResourceLoader usage in PDFBox,pdfbox/src/main/java/org/apache/pdfbox/encoding/GlyphList.java,loadGlyphs(String),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/ExternalFonts.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1Font.java,addMetric(String),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDDeviceCMYK.java,<init>(),,getICCProfile()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/ResourceLoader.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/Version.java,,,<init>();getVersion()
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/Validator_A1b.java,usage (),,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/Version.java,getVersion(),,
,,,,,789824df9,John Hewson,9/17/2014 21:38,PDFBOX-2358: Move CMaps from PDFBox to FontBox and remove ResourceLoader,fontbox/src/main/java/org/apache/fontbox/cmap/CMapParser.java,parse(File),"parse(String, InputStream)",parsePredefined(String);parse(InputStream);getExternalCMap(String)
,,,,,,,,,fontbox/src/main/java/org/apache/fontbox/util/ResourceLoader.java,,[ALL],
,,,,,,,,,fontbox/src/test/java/org/apache/fontbox/cmap/TestCMapParser.java,testLookup(),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/CMapManager.java,getPredefinedCMap(String),"parseCMap(InputStream);parseCMap(InputStream, boolean)",parseCMap(InputStream)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/ExternalFonts.java,,,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/font/Type0FontValidator.java,processCMapAsStream(COSStream),,
PDFBOX-2680,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,cdaae6378,John Hewson,2/25/2015 21:54,PDFBOX-2680: Move multi-pdf classes from util into their own package,examples/src/main/java/org/apache/pdfbox/examples/lucene/LucenePDFDocument.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintURLs.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/pdmodel/SuperimposePage.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/util/ExtractTextByArea.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/util/PDFHighlighter.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/util/PrintTextLocations.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/DrawObject.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequence.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/BeginMarkedContentSequenceWithProperties.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/markedcontent/EndMarkedContentSequence.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/LayerUtility.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/Overlay.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/PDFCloneUtility.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/PDFMergerUtility.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/PageExtractor.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/multipdf/Splitter.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfparser/COSParser.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/text/PDFMarkedContentExtractor.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/text/PDFTextStreamEngine.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/text/PDFTextStripper.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/text/PDFTextStripperByArea.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/TestAll.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/multipdf/PDFCloneUtilityTest.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/multipdf/PDFMergerUtilityTest.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/multipdf/PageExtractorTest.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/multipdf/TestLayerUtility.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/pdmodel/font/TestFontEmbedding.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/rendering/TestPDFToImage.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/rendering/TestRendering.java,,,
,,,,,,,,,pdfbox/src/test/java/org/apache/pdfbox/text/TestTextStripper.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/ExtractText.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/OverlayPDF.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFMerger.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFSplit.java,,,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFText2HTML.java,,,
,,,,,,,,,tools/src/test/java/org/apache/pdfbox/tools/TestPDFText2HTML.java,,,
PDFBOX-602,,[unknow],,,8e9a27373,Jukka Zitting,1/14/2010 23:14,PDFBOX-602: PDFBox performance issue: PDPage tweaks,src/main/java/org/apache/pdfbox/pdmodel/PDPage.java,getParent();setParent( PDPageNode);getMediaBox();findMediaBox();setMediaBox( PDRectangle),,
PDFBOX-3224,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,ed72b1c10,Tilman Hausherr,2/3/2016 16:54,PDFBOX-3224: cache found BBox as suggested by Tom Callahan,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/FontMapperImpl.java,"isCharSetMatch(PDCIDSystemInfo, FontInfo)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDCIDFontType0.java,getBoundingBox(),,generateBoundingBox()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDCIDFontType2.java,getBoundingBox(),,generateBoundingBox()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java,getBoundingBox(),,generateBoundingBox()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType0Font.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1CFont.java,getBoundingBox(),,generateBoundingBox()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType1Font.java,getBoundingBox(),,generateBoundingBox()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType3Font.java,getBoundingBox(),,generateBoundingBox()
PDFBOX-599,,[unknow],,,6091cd5be,Jukka Zitting,1/14/2010 23:39,PDFBOX-599: PDFBox performance issue: TextPosition performance tweak,src/main/java/org/apache/pdfbox/util/TextPosition.java,getX();getY(),,
PDFBOX-2117,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,3d8f0a91c,Tilman Hausherr,7/16/2014 5:28,PDFBOX-2117: Optimization of axial shading by Shaola Ren as part of GSoC2014,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/AxialShadingContext.java,"<init>(PDShadingType2, ColorModel, AffineTransform,Matrix, int);getRaster(int, int, int, int)",,calcColorTable();convertToRGB(float[])
,,,,,e71dbdb35,Tilman Hausherr,7/11/2014 5:15,"PDFBOX-2117: optimizations by Shaola Ren, GSoC2014",pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/PDFunction.java,"clipToRange(float[]);clipToRange(float, float, float)",,
,,,,,6cd353ce2,Tilman Hausherr,7/11/2014 5:02,PDFBOX-2117: cache the exponent,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/common/function/PDFunctionType2.java,getN(),,
PDFBOX-1583,,1.8.2,,,efcbab0b2,Andreas Lehmkuhler,4/28/2013 16:49,PDFBOX-1583: stop the loop if the work is done as proposed by Adrian Nistor,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDDocument.java,"addSignature(PDSignature, SignatureInterface, SignatureOptions)",,
PDFBOX-1447,,1.8.0,,,984c3b93c,Timo Boehme,11/18/2012 14:24,PDFBOX-1447: leave loop in PDFMarkedContentExtractor.processTextPosition() as soon as suppress character condition is set to'true'; removed unnecessary null check,pdfbox/src/main/java/org/apache/pdfbox/util/PDFMarkedContentExtractor.java,processTextPosition( TextPosition),,
PDFBOX-1456,,1.8.0,,,0c1ab2d0,Andreas Lehmkuhler,12/1/2012 2:22,PDFBOX-1456: added a break to avoid unnecessary loops as proposed by Adrian Nestor,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/encryption/PublicKeySecurityHandler.java,"prepareForDecryption(PDEncryptionDictionary, COSArray, DecryptionMaterial)",,
PDFBOX-1457,,1.8.0,,,4802c5482,Guillaume Bailleul,12/16/2012 10:46,PDFBOX-1457: wasted work in TrailerValidationProcess.compareIds(),preflight/src/main/java/org/apache/pdfbox/preflight/process/TrailerValidationProcess.java,"compareIds(COSDictionary, COSDictionary, COSDocument)",,
PDFBOX-1458,,1.8.0,,,d6ad5341,Andreas Lehmkuhler,12/1/2012 2:37,PDFBOX-1458: avoid unnecessary loops based on a proposal by Adrian Nistor,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/optionalcontent/PDOptionalContentProperties.java,"setGroupEnabled(String, boolean)",,
PDFBOX-1459,,1.8.0,,,e80dec4ea,Guillaume Bailleul,12/16/2012 10:53,PDFBOX-1459: wasted work in AbstractTestAction.valid(),preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/AbstractTestAction.java,"valid(COSDictionary, boolean, String)",,
PDFBOX-1455,,1.8.0,,,ed91353d4,Guillaume Bailleul,12/16/2012 10:44,PDFBOX-1455: wasted work in CIDType0Container.getFontProgramWidth(),preflight/src/main/java/org/apache/pdfbox/preflight/font/container/CIDType0Container.java,getFontProgramWidth(int),,
PDFBOX-1644,,[missing],,,0e60b634e,Guillaume Bailleul,6/18/2013 11:00,PDFBOX-1644: Fix wasted time in merge Patch without label,xmpbox/src/main/java/org/apache/xmpbox/schema/XMPSchema.java,getUnqualifiedTextProperty(String);merge(XMPSchema),,
PDFBOX-2131,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,e01126367,Tilman Hausherr,6/12/2014 12:14,"PDFBOX-2131: Avoid constructing debug messages if debug log is off, as suggested by Petr Slaby",pdfbox/src/main/java/org/apache/pdfbox/encoding/Encoding.java,String getCharacterForName(String),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdfviewer/font/TTFGlyph2D.java,"getPathForGlyphId(int);closePath(GeneralPath);moveTo(GeneralPath, Point);lineTo(GeneralPath, Point);quadTo(GeneralPath, Point)",,
PDFBOX-2126,,2.0.0,pdfbox-1.8.11-2016.1,pdfbox-2.0.2-2016.6,cc18ae419,John Hewson,7/2/2014 19:50,"PDFBOX-2126: reset lastClip, as proposed by Petr Slaby",pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,"drawPage(Graphics, PDRectangle)",,
,,,,,af195b1f7,John Hewson,7/2/2014 0:56,Reverted: PDFBOX-2126: Store transformed clip rather than graphics state clip,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,setClip();shFill(COSName),,
,,,,,220c0b629,John Hewson,7/1/2014 17:05,PDFBOX-2126: Store transformed clip rather than graphics state clip,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,setClip();shFill(COSName),,
,,,,,64564b283,John Hewson,7/1/2014 1:10,PDFBOX-2126: Added Apache header,pdfbox/src/main/java/org/apache/pdfbox/util/PDFTextStreamEngine.java,beginText(),,processText(byte[])
,,,,,6f3849b01,John Hewson,6/30/2014 23:08,PDFBOX-2126: Apply color to Graphics2D for every text-run,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,"drawPage(Graphics, PDRectangle)",,
,,,,,ed6232eb4,John Hewson,6/30/2014 21:36,PDFBOX-2126: Refactor TextPosition out of PDFStreamEngine and optimize clipping,examples/src/main/java/org/apache/pdfbox/examples/util/PrintImageLocations.java,,,
,,,,,,,,,examples/src/main/java/org/apache/pdfbox/examples/util/PrintTextLocations.java,processTextPosition( TextPosition),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/state/PDGraphicsState.java,clone(),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,"drawPage(Graphics, PDRectangle);drawTilingPattern(Graphics2D, PDTilingPattern, PDRectangle, Matrix, PDColorSpace, PDColor);strokePath();fillPath(int);drawImage(Image, AffineTransform);shFill(COSName);TransparencyGroup(GeneralPath, PDResources, COSStream)","processTextPosition(TextPosition);drawType3String(PDType3Font, TextPosition, AffineTransform)","setClip();beginText();processGlyph(Matrix, Point2D.Float, float, float, String, int[], PDFont, float);drawType3String(PDType3Font, int[], AffineTransform)"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/text/TextPosition.java,"getDir();getXRot(float);getYLowerLeftRot(float);getWidthRot(float);getHeight();getHeightDir();getXScale();getYScale();mergeDiacritic(TextPosition, TextNormalize);insertDiacritic(int, TextPosition, TextNormalize);isDiacritic();toString()","<init>(int, float, float,  Matrix, float, float, float, float,  float, String, int[], PDFont, float, int);getCharacter();getCodePoints() ","<init>(int, float, float, Matrix,float, float, float, float,float, String, int[], PDFont,  float, int);getUnicode();getCharacterCodes()"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFMarkedContentExtractor.java,processTextPosition( TextPosition),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFStreamEngine.java,"processSubStream(PDResources, COSStream)","initStream(PDRectangle, int);processStream(PDResources, COSStream, PDRectangle, int);processEncodedText(byte[]);processTextPosition(TextPosition)","initStream(PDRectangle);processStream(PDResources, COSStream, PDRectangle);beginText();processText(byte[]);processGlyph(Matrix, Point2D.Float, float, float, String, int[], PDFont, float)"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFTextStreamEngine.java,,,"<init>();<init>(Properties); processStream(PDResources, COSStream, PDRectangle, int);processGlyph(Matrix, Point2D.Float, float, float, String, int[], PDFont, float);processTextPosition(TextPosition)"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFTextStripper.java,"writePage();writeCharacters(TextPosition);processTextPosition(TextPosition);matchListItemPattern(PositionWrapper);normalizeAdd(LinkedList<WordWithTextPositions>, StringBuilder, List<TextPosition>, LineItem)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFTextStripperByArea.java,,,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/BeginText.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/ShowText.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/ShowTextGlyph.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightContentStream.java,validPageContentStream();validXObjContentStream(PDFormXObject),,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/PDFText2HTML.java,getTitle(),,
,,,,,75dea0cb7,John Hewson,6/30/2014 18:33,PDFBOX-2126: let Java do the GC'ing for cached resources and state,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDPage.java,,clear(),clearCache()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/PDResources.java,,clear(),clearCache()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType3Font.java,clear(),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/PDXObject.java,,clear(),clearCache()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/image/PDImageXObject.java,,clear(),clearCache()
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/pattern/TilingPaint.java,"getImage(PDFRenderer, PDTilingPattern, PDColorSpace, PDColor)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/PDFRenderer.java,"renderPage(PDPage, Graphics2D, int, int, float, float)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,<init>(PDFRenderer),"drawPage(Graphics, PDPage, PDRectangle);dispose()","<init>(PDFRenderer, PDPage);drawPage(Graphics, PDRectangle)"
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/TilingPatternDrawer.java,<init>(PDFRenderer),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFStreamEngine.java,"initStream(PDRectangle, int);processSubStream(PDResources, COSStream);processEncodedText(byte[]);getGraphicsState(); transformWidth(float)","setGraphicsState(PDGraphicsState);setGraphicsStates(Map<String, PDExtendedGraphicsState>);dispose()",
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightContentStream.java,validXObjContentStream(PDFormXObject),,
,,,,,,,,,tools/src/main/java/org/apache/pdfbox/tools/ExtractImages.java,"processResources(PDResources, String, boolean, boolean)",,
,,,,,e0902c132,John Hewson,6/30/2014 3:34,PDFBOX-2126: remove PDGraphicsState which allows creation of invalid state,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/state/PDGraphicsState.java,,<init>(),
,,,,,,,,,preflight/src/main/java/org/apache/pdfbox/preflight/content/PreflightContentStream.java,alidXObjContentStream(PDFormXObject);validPatternContentStream(COSStream),resetEnginContext(),
,,,,,659d12f86,Andreas Lehmkuhler,6/29/2014 15:33,PDFBOX-2126: avoid NPE when cloning an instance which was created using the default constructor,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/state/PDGraphicsState.java,<init>(),,
,,,,,c1e43050f,John Hewson,6/28/2014 2:43,PDFBOX-2126: clean up,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,,clip(),
,,,,,526bf1810,John Hewson,6/28/2014 2:39,PDFBOX-2126: Improve handling of clipping path - thanks to Petr Slaby,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/pattern/TilingPaint.java,"getImage(PDFRenderer, PDTilingPattern, PDColorSpace, PDColor)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/state/PDGraphicsState.java,<init>(PDRectangle);clone();getCurrentClippingPath(),setCurrentClippingPath(Shape),intersectClippingPath(GeneralPath)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/state/PDTextState.java,clone(),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java,endPath(),setClippingWindingRule(int),clip(int)
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/Matrix.java,clone(),copy(),
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/PDFStreamEngine.java,saveGraphicsState(),,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/MoveText.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/SetMatrix.java,"process(PDFOperator, List<COSBase>)",,
,,,,,,,,,pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/ClipEvenOddRule.java,"process(PDFOperator, List<COSBase>)",,
