method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.pdfbox.multipdf.PDFMergerUtility.appendDocument(PDDocument, PDDocument)",11,526,22,132,274,42,20,84,5,48,0,16,0.2666666666666667,0.27315296566077,0.7333333333333333,0.25287356321839083,1.0,0.9761904761904762,0.04405286343612335,1.0,0.45454545454545453,4.3086385510048553e-05,1e-13,5.101498825456418e-08,1.076464391054201
org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),1,1813,10,479,13,3,454,3,0,121999,36901,33412378,0.9333333333333333,0.9427679500520292,0.3333333333333333,0.9176245210727969,0.04744525547445255,0.047619047619047616,1.0,0.03571428571428571,1e-13,0.10951033220500861,0.06135431405574279,0.11363546801413803,1.0079205022094504
org.apache.pdfbox.pdmodel.PDDocument.close(),2,1923,18,522,15,4,165,4,0,208,4,710,0.8666666666666667,1.0,0.6,1.0,0.05474452554744526,0.07142857142857142,0.3634361233480176,0.047619047619047616,1e-13,0.00018670767054354372,6.650693916776542e-06,2.4113084448324003e-06,0.9741123202553031
org.apache.pdfbox.tools.PDFToImage.main(String[]),14,1247,26,244,183,31,22,23,2,73,0,13,0.06666666666666665,0.6482830385015609,0.8666666666666667,0.4674329501915709,0.6678832116788321,0.7142857142857143,0.048458149779735685,0.27380952380952384,0.18181818181818182,6.552721129653218e-05,1e-13,4.081199060365134e-08,0.8895132867810138
"org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",1,1414,13,367,11,2,339,2,0,953,108,388254,0.9333333333333333,0.7351716961498439,0.43333333333333335,0.7030651340996169,0.040145985401459854,0.023809523809523808,0.7466960352422908,0.023809523809523808,1e-13,0.0008554442789807556,0.00017956873575296662,0.0013204481489866205,0.8681180878816116
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),4,250,18,65,186,40,10,34,3,67205,3780,864233,0.7333333333333334,0.1295525494276795,0.6,0.12452107279693486,0.6788321167883211,0.9285714285714286,0.022026431718061675,0.40476190476190477,0.2727272727272727,0.06032542787922527,0.006284905751353832,0.002939252355281234,0.8582355698028847
"org.apache.pdfbox.filter.Predictor.decodePredictor(int, int, int, int, InputStream, OutputStream)",1,23,5,11,160,32,8,9,11,100,28,187,0.9333333333333333,0.011446409989594173,0.16666666666666666,0.0210727969348659,0.583941605839416,0.7380952380952381,0.01762114537444934,0.10714285714285714,1.0,8.976330314593449e-05,4.655485741743579e-05,6.325858543565958e-07,0.7724899710215072
org.apache.pdfbox.tools.OverlayPDF.main(String[]),14,1247,30,244,89,16,14,26,1,18,0,5,0.06666666666666665,0.6482830385015609,1.0,0.4674329501915709,0.3248175182481752,0.35714285714285715,0.030837004405286344,0.30952380952380953,0.09090909090909091,1.6157394566268206e-05,1e-13,1.3603996867883781e-08,0.7682417198857934
org.apache.pdfbox.pdmodel.PDDocument.getDocumentCatalog(),2,1264,18,332,17,3,76,6,0,42,0,6694,0.8666666666666667,0.6571279916753382,0.6,0.6360153256704981,0.06204379562043796,0.047619047619047616,0.16740088105726872,0.07142857142857142,1e-13,3.7700587321292486e-05,1e-13,2.2762887759186537e-05,0.7596509551482109
org.apache.pdfbox.cos.COSArray.COSArray(),0,1187,16,308,3,1,144,1,0,92,36,62953,1.0,0.6170655567117586,0.5333333333333333,0.5900383141762452,0.010948905109489052,1e-13,0.31718061674008813,0.011904761904761904,1e-13,8.258223889425972e-05,5.9856245250988874e-05,0.00021409970270675494,0.7531161578062421
org.apache.pdfbox.tools.PrintPDF.main(String[]),14,1247,27,253,91,16,10,20,2,2,0,6,0.06666666666666665,0.6482830385015609,0.9,0.4846743295019157,0.33211678832116787,0.35714285714285715,0.022026431718061675,0.23809523809523808,0.18181818181818182,1.7952660629186897e-06,1e-13,1.7004996084854726e-08,0.7511459080866372
org.apache.pdfbox.tools.ExtractText.startExtraction(String[]),12,568,16,126,194,30,17,39,2,744,0,12,0.19999999999999996,0.29500520291363164,0.5333333333333333,0.2413793103448276,0.708029197080292,0.6904761904761905,0.037444933920704845,0.4642857142857143,0.18181818181818182,0.0006678389754057526,1e-13,3.74109913866804e-08,0.7338403051641648
org.apache.pdfbox.cos.COSArray.size(),0,1120,10,360,4,1,148,2,0,32658,32658,55851539,1.0,0.5822060353798127,0.3333333333333333,0.6896551724137931,0.014598540145985401,1e-13,0.32599118942731276,0.023809523809523808,1e-13,0.029314899541399285,0.05429959048352207,0.18995103700462299,0.7241784859583391
org.apache.pdfbox.cos.COSDictionary.COSDictionary(),0,1185,16,250,3,1,139,1,0,147,59,108142,1.0,0.6160249739854319,0.5333333333333333,0.4789272030651341,0.010948905109489052,1e-13,0.30616740088105726,0.011904761904761904,1e-13,0.0001319520556245237,9.809773527245399e-05,0.000367787456322455,0.7228755911750764
org.apache.pdfbox.pdmodel.PDDocument.save(String),1,1333,15,330,4,1,53,2,0,614,0,86,0.9333333333333333,0.6930280957336108,0.5,0.632183908045977,0.014598540145985401,1e-13,0.11674008810572688,0.023809523809523808,1e-13,0.0005511466813160377,1e-13,2.8908493344253034e-07,0.7206659646905175
org.apache.pdfbox.text.PDFTextStripper.writePage(),5,233,14,67,165,22,12,47,2,11241,479,149,0.6666666666666667,0.12070759625390219,0.4666666666666667,0.12835249042145594,0.6021897810218978,0.5,0.02643171806167401,0.5595238095238095,0.18181818181818182,0.010090292906634496,0.0007964205965339909,5.033478841116999e-07,0.7195910530872855
org.apache.pdfbox.cos.COSArray.add(COSBase),0,1123,16,286,4,1,104,1,0,273722,102852,55972844,1.0,0.5837669094693028,0.5333333333333333,0.5478927203065134,0.014598540145985401,1e-13,0.2290748898678414,0.011904761904761904,1e-13,0.2457019086371148,0.1710092926820752,0.19036359521463767,0.7173638791610452
org.apache.pdfbox.io.IOUtils.closeQuietly(Closeable),0,1236,13,266,13,3,44,1,0,91,27,1946,1.0,0.6425598335067638,0.43333333333333335,0.5095785440613027,0.04744525547445255,0.047619047619047616,0.09691629955947137,0.011904761904761904,1e-13,8.168460586280039e-05,4.4892183938241655e-05,6.614943477008488e-06,0.6871450006369166
org.apache.pdfbox.pdmodel.PDPage.getAnnotations(),6,1096,21,255,24,4,21,9,1,34,1,398,0.6,0.5697190426638917,0.7,0.4885057471264368,0.08759124087591241,0.07142857142857142,0.046255506607929514,0.10714285714285714,0.09090909090909091,3.051952306961773e-05,1.6626734791941355e-06,1.3501966891374654e-06,0.6702216508404544
org.apache.pdfbox.pdmodel.common.PDRectangle.getLowerLeftX(),1,1158,17,244,4,1,39,3,0,692,202,466484,0.9333333333333333,0.6019771071800208,0.5666666666666667,0.4674329501915709,0.014598540145985401,1e-13,0.08590308370044053,0.03571428571428571,1e-13,0.0006211620577698667,0.00033586004279721537,0.0015865083177302574,0.6695956962550803
org.apache.pdfbox.pdmodel.PDDocument.load(File),11,1378,26,338,4,1,76,3,0,14701,0,240,0.2666666666666667,0.7164412070759626,0.8666666666666667,0.6475095785440613,0.014598540145985401,1e-13,0.16740088105726872,0.03571428571428571,1e-13,0.01319610319548383,1e-13,8.128388128560559e-07,0.6678637711218873
org.apache.pdfbox.debugger.PDFDebugger.main(String[]),14,1247,30,244,49,8,5,12,1,92,0,3,0.06666666666666665,0.6482830385015609,1.0,0.4674329501915709,0.17883211678832117,0.16666666666666666,0.011013215859030838,0.14285714285714285,0.09090909090909091,8.258223889425972e-05,1e-13,6.8019984339418905e-09,0.6636513104560001
org.apache.pdfbox.pdmodel.common.PDRectangle.getWidth(),2,1157,18,250,4,1,38,3,0,771,103,214513,0.8666666666666667,0.6014568158168574,0.6,0.4789272030651341,0.014598540145985401,1e-13,0.08370044052863436,0.03571428571428571,1e-13,0.0006920750672551549,0.00017125536835699596,0.0007295551440308714,0.6635653246649856
"org.apache.pdfbox.tools.TextToPDF.createPDFFromText(PDDocument, Reader)",8,282,18,89,134,20,12,29,3,8,0,4,0.4666666666666667,0.1462018730489074,0.6,0.17049808429118773,0.48905109489051096,0.4523809523809524,0.02643171806167401,0.34523809523809523,0.2727272727272727,7.181064251674759e-06,1e-13,1.0202997650912836e-08,0.6630074826613915
"org.apache.pdfbox.pdmodel.PDDocument.addSignature(PDSignature, SignatureInterface, SignatureOptions)",7,541,21,121,95,10,9,46,0,16,0,20,0.5333333333333333,0.2809573361082206,0.7,0.23180076628352492,0.3467153284671533,0.21428571428571427,0.019823788546255508,0.5476190476190477,1e-13,1.4362128503349518e-05,1e-13,6.461898512244796e-08,0.6622116347149238
"org.apache.pdfbox.pdmodel.graphics.image.CCITTFactory.extractFromTiff(RandomAccess, OutputStream, COSDictionary, int)",6,64,12,16,192,37,9,11,3,13,0,18,0.6,0.032778355879292405,0.4,0.03065134099616858,0.7007299270072993,0.8571428571428571,0.019823788546255508,0.13095238095238096,0.2727272727272727,1.1669229408971482e-05,1e-13,5.781698668850607e-08,0.6621326694940783
org.apache.pdfbox.pdmodel.PDPageContentStream.close(),0,1123,15,233,4,1,41,1,0,67,0,288,1.0,0.5837669094693028,0.5,0.446360153256705,0.014598540145985401,1e-13,0.09030837004405286,0.011904761904761904,1e-13,6.014141310777611e-05,1e-13,9.760867752706614e-07,0.655894100100502
org.apache.pdfbox.pdmodel.common.PDRectangle.getHeight(),2,1153,18,231,4,1,37,3,0,758,98,214683,0.8666666666666667,0.5993756503642039,0.6,0.4425287356321839,0.014598540145985401,1e-13,0.08149779735682819,0.03571428571428571,1e-13,0.0006804058378461834,0.00016294200096102527,0.0007301333138977565,0.6535048878092236
org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(),2,86,8,34,152,33,7,16,2,8193,485,125896,0.8666666666666667,0.04422476586888657,0.26666666666666666,0.06513409961685823,0.5547445255474452,0.7619047619047619,0.015418502202643172,0.19047619047619047,0.18181818181818182,0.0073543074267464125,0.0008063966374091556,0.00042816879642055715,0.651545482094614
org.apache.pdfbox.tools.TextToPDF.main(String[]),14,1247,26,278,49,7,3,16,1,1,0,5,0.06666666666666665,0.6482830385015609,0.8666666666666667,0.5325670498084292,0.17883211678832117,0.14285714285714285,0.006607929515418502,0.19047619047619047,0.09090909090909091,8.976330314593449e-07,1e-13,1.3603996867883781e-08,0.6504823495200637
org.apache.pdfbox.cos.COSName.getPDFName(String),1,723,16,185,17,4,132,3,0,757,145,375031,0.9333333333333333,0.3756503642039542,0.5333333333333333,0.3544061302681992,0.06204379562043796,0.07142857142857142,0.2907488986784141,0.03571428571428571,1e-13,0.0006795082048147241,0.00024108765448314963,0.0012754767363406137,0.6411679005730668
org.apache.pdfbox.cos.COSArray.getObject(int),1,900,13,232,13,3,92,3,0,280,113,356160,0.9333333333333333,0.46774193548387094,0.43333333333333335,0.4444444444444444,0.04744525547445255,0.047619047619047616,0.2026431718061674,0.03571428571428571,1e-13,0.0002513372488086166,0.0001878821031489373,0.001211296480117155,0.6363976137715561
org.apache.pdfbox.tools.WriteDecodedDoc.main(String[]),14,1247,28,248,48,8,5,6,1,0,0,7,0.06666666666666665,0.6482830385015609,0.9333333333333333,0.47509578544061304,0.17518248175182483,0.16666666666666666,0.011013215859030838,0.07142857142857142,0.09090909090909091,1e-13,1e-13,2.040599530182567e-08,0.6338847113085804
org.apache.pdfbox.cos.COSDictionary.getItem(COSName),0,957,12,222,4,1,96,2,0,78,20,73941,1.0,0.49739854318418314,0.4,0.42528735632183906,0.014598540145985401,1e-13,0.21145374449339208,0.023809523809523808,1e-13,7.00153764538289e-05,3.3253469583882705e-05,0.0002514698821028317,0.6306438365663258
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject.toString(),14,89,11,42,234,43,33,44,0,32,1,41,0.06666666666666665,0.045785639958376693,0.36666666666666664,0.08045977011494253,0.8540145985401459,1.0,0.07268722466960352,0.5238095238095238,1e-13,2.8724257006699036e-05,1.6626734791941355e-06,1.360399686788378e-07,0.6299969552555378
org.apache.pdfbox.pdmodel.fdf.FDFAnnotation.FDFAnnotation(Element),14,149,9,71,175,33,18,59,3,208,0,52,0.06666666666666665,0.07700312174817898,0.3,0.1360153256704981,0.6386861313868614,0.7619047619047619,0.039647577092511016,0.7023809523809523,0.2727272727272727,0.00018670767054354372,1e-13,1.734509600655182e-07,0.6279906176198078
org.apache.pdfbox.cos.COSName.equals(Object),0,1001,10,268,4,1,62,2,0,17,16,82807,1.0,0.5202913631633714,0.3333333333333333,0.5134099616858238,0.014598540145985401,1e-13,0.13656387665198239,0.023809523809523808,1e-13,1.5259761534808864e-05,2.660277566710617e-05,0.0002816231411604961,0.6267530526671704
org.apache.pdfbox.pdmodel.PDPageContentStream.showText(String),3,710,21,131,24,5,28,12,1,234,1,632,0.8,0.3688865764828304,0.7,0.2509578544061303,0.08759124087591241,0.09523809523809523,0.06167400881057269,0.14285714285714285,0.09090909090909091,0.0002100461293614867,1.6626734791941355e-06,2.1460305059086663e-06,0.625615023460403
org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.getCOSObject(),0,981,11,161,4,1,168,1,0,0,0,102,1.0,0.5098855359001041,0.36666666666666664,0.30842911877394635,0.014598540145985401,1e-13,0.3700440528634361,0.011904761904761904,1e-13,1e-13,1e-13,3.4350092091406547e-07,0.625554801318056
