method,pattern,space
"org.apache.avro.io.EncoderFactory.jsonEncoder(Schema, OutputStream)",FreqExec,"org.apache.avro.io.EncoderFactory.jsonEncoder(Schema, OutputStream); org.apache.avro.io.TestValidatingIO.make(Schema, String, Object[], TestValidatingIO$Encoding); org.apache.avro.TestSchema.checkJson(Schema, Object, DatumWriter, DatumReader)"
"org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>, OutputStream)",HotCallee,"org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>, OutputStream); org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)"
org.apache.avro.specific.SpecificRecordBase.equals(Object),FreqExec,org.apache.avro.specific.SpecificRecordBase.equals(Object); java.util.AbstractCollection.containsAll(Collection)
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",HotExec,"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder)"
org.apache.avro.Schema.Schema(Type),FreqExec,"org.apache.avro.Schema.Schema(Type); org.apache.avro.Schema$StringSchema.<init>(); org.apache.avro.Schema$LongSchema.<init>(); org.apache.avro.Schema$NamedSchema.<init>(Schema$Type, Schema$Name, String); org.apache.avro.Schema$MapSchema.<init>(Schema); org.apache.avro.Schema$UnionSchema.<init>(Schema$LockableArrayList); org.apache.avro.Schema$DoubleSchema.<init>(); org.apache.avro.Schema$BooleanSchema.<init>(); org.apache.avro.Schema$IntSchema.<init>(); org.apache.avro.Schema$FloatSchema.<init>(); org.apache.avro.Schema$ArraySchema.<init>(Schema); org.apache.avro.Schema$NullSchema.<init>(); org.apache.avro.Schema$BytesSchema.<init>()"
org.apache.avro.io.BinaryDecoder.arrayNext(),FreqExec,"org.apache.avro.io.BinaryDecoder.arrayNext(); org.apache.avro.io.ValidatingDecoder.arrayNext(); org.apache.avro.io.TestBlockingIO$Tests.scan(); org.apache.avro.io.TestBlockingIO$Tests.skip(int); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)"
"org.apache.avro.specific.SpecificData.newInstance(Class, Schema)",FreqExec,"org.apache.avro.specific.SpecificData.newInstance(Class, Schema); org.apache.avro.specific.SpecificData.newRecord(Object, Schema); org.apache.avro.specific.SpecificData.createFixed(Object, Schema)"
org.apache.avro.util.Utf8.setByteLength(int),FreqExec,org.apache.avro.util.Utf8.setByteLength(int); org.apache.avro.util.Utf8.setLength(int); org.apache.avro.io.BinaryDecoder.readString(Utf8)
"org.apache.avro.file.DataFileWriter.create(Schema, File)",HotCallee,"org.apache.avro.file.DataFileWriter.create(Schema, File); org.apache.avro.file.DataFileWriter.create(Schema, OutputStream)"
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",FreqExec,"org.apache.avro.generic.GenericData.instanceOf(Schema, Object); org.apache.avro.generic.GenericData.resolveUnion(Schema, Object)"
