method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.avro.specific.SpecificExceptionBase.SpecificExceptionBase(),3,1,0,2,0
org.apache.avro.specific.SpecificExceptionBase.SpecificExceptionBase(Throwable),3,1,1,2,0
org.apache.avro.specific.SpecificExceptionBase.SpecificExceptionBase(Object),3,1,1,2,0
"org.apache.avro.specific.SpecificExceptionBase.SpecificExceptionBase(Object, Throwable)",3,1,2,2,0
org.apache.avro.specific.SpecificExceptionBase.getSchema(),1,1,3,1,0
org.apache.avro.specific.SpecificExceptionBase.get(int),1,1,0,1,0
"org.apache.avro.specific.SpecificExceptionBase.put(int, Object)",1,1,0,0,0
org.apache.avro.specific.SpecificExceptionBase.equals(Object),6,4,1,5,0
org.apache.avro.specific.SpecificExceptionBase.hashCode(),3,1,0,4,0
org.apache.avro.AvroRemoteException.AvroRemoteException(),1,1,1,1,0
org.apache.avro.AvroRemoteException.AvroRemoteException(Throwable),4,1,10,4,0
org.apache.avro.AvroRemoteException.AvroRemoteException(Object),4,2,5,4,0
"org.apache.avro.AvroRemoteException.AvroRemoteException(Object, Throwable)",4,2,3,4,0
org.apache.avro.AvroRemoteException.getValue(),1,1,4,1,0
org.apache.avro.Schema.Schema(Type),1,1,13,2,0
org.apache.avro.Schema.create(Type),13,9,70,10,0
org.apache.avro.Schema.getProp(String),3,1,13,2,0
"org.apache.avro.Schema.addProp(String, String)",4,1,13,2,0
org.apache.avro.Schema.getProps(),3,1,2,2,0
org.apache.avro.Schema.createRecord(List<Field>),5,1,8,3,0
"org.apache.avro.Schema.createRecord(String, String, String, boolean)",4,1,28,3,0
"org.apache.avro.Schema.createEnum(String, String, String, List<String>)",5,1,10,4,0
org.apache.avro.Schema.createArray(Schema),3,1,22,2,0
org.apache.avro.Schema.createMap(Schema),3,1,8,2,0
org.apache.avro.Schema.createUnion(List<Schema>),3,1,22,3,0
"org.apache.avro.Schema.createFixed(String, String, String, int)",4,1,8,3,0
org.apache.avro.Schema.getType(),1,1,51,1,0
org.apache.avro.Schema.getField(String),3,1,20,2,0
org.apache.avro.Schema.getFields(),3,1,34,2,0
org.apache.avro.Schema.setFields(List<Field>),3,1,21,1,0
org.apache.avro.Schema.getEnumSymbols(),3,1,8,2,0
org.apache.avro.Schema.getEnumOrdinal(String),3,1,4,2,0
org.apache.avro.Schema.hasEnumSymbol(String),3,1,0,2,0
org.apache.avro.Schema.getName(),1,1,7,1,0
org.apache.avro.Schema.getDoc(),3,1,3,1,0
org.apache.avro.Schema.getNamespace(),3,1,3,2,0
org.apache.avro.Schema.getFullName(),3,1,16,2,0
org.apache.avro.Schema.addAlias(String),3,1,1,1,0
org.apache.avro.Schema.getAliases(),3,1,0,2,0
org.apache.avro.Schema.isError(),3,1,5,2,0
org.apache.avro.Schema.getElementType(),3,1,24,2,0
org.apache.avro.Schema.getValueType(),3,1,16,2,0
org.apache.avro.Schema.getTypes(),3,1,30,2,0
org.apache.avro.Schema.getFixedSize(),3,1,15,2,0
org.apache.avro.Schema.toString(),1,1,26,2,0
org.apache.avro.Schema.toString(boolean),12,3,9,9,0
"org.apache.avro.Schema.toJson(Names, JsonGenerator)",10,2,9,7,0
"org.apache.avro.Schema.fieldsToJson(Names, JsonGenerator)",3,1,1,1,0
org.apache.avro.Schema.equals(Object),7,4,20,3,0
org.apache.avro.Schema.hashCode(),5,2,9,3,0
org.apache.avro.Schema.computeHash(),1,1,7,4,0
org.apache.avro.Schema.equalCachedHash(Schema),5,1,10,1,0
org.apache.avro.Schema.parse(File),3,1,5,2,0
org.apache.avro.Schema.parse(InputStream),3,1,2,2,0
org.apache.avro.Schema.parse(String),3,1,72,2,0
"org.apache.avro.Schema.parse(String, boolean)",3,1,4,3,0
org.apache.avro.Schema.validateName(String),15,6,5,7,1
"org.apache.avro.Schema.parse(JsonNode, Names)",117,36,9,44,6
org.apache.avro.Schema.parseAliases(JsonNode),14,5,2,8,1
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",8,2,4,3,0
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",4,2,4,3,0
org.apache.avro.Schema.parseJson(String),9,3,6,5,0
"org.apache.avro.Schema.applyAliases(Schema, Schema)",12,3,4,7,0
"org.apache.avro.Schema.applyAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map>)",53,17,20,25,2
"org.apache.avro.Schema.getAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map>)",42,16,14,9,5
"org.apache.avro.Schema.getFieldAlias(Name, String, Map<Name, Map>)",10,3,4,2,0
org.apache.avro.specific.SpecificData.SpecificData(),1,1,0,3,0
org.apache.avro.specific.SpecificData.SpecificData(ClassLoader),3,1,2,2,0
org.apache.avro.specific.SpecificData.get(),1,1,29,1,0
org.apache.avro.specific.SpecificData.isEnum(Object),3,1,1,2,0
org.apache.avro.specific.SpecificData.getEnumSchema(Object),5,2,1,4,0
org.apache.avro.specific.SpecificData.getClass(Schema),38,22,33,15,0
org.apache.avro.specific.SpecificData.getClassName(Schema),8,3,9,5,0
org.apache.avro.specific.SpecificData.getSchema(java.lang.reflect.Type),8,2,48,5,0
"org.apache.avro.specific.SpecificData.createSchema(java.lang.reflect.Type, Map<String, Schema>)",58,19,21,23,0
org.apache.avro.specific.SpecificData.getProtocol(Class),13,4,6,11,0
"org.apache.avro.specific.SpecificData.compare(Object, Object, Schema, boolean)",9,3,6,4,0
"org.apache.avro.specific.SpecificData.newInstance(Class, Schema)",16,5,9,8,0
