sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
63;org.apache.pdfbox.preflight.annotation.LineAnnotationValidator.LineAnnotationValidator(PreflightContext, COSDictionary);7;0;0;3;3
64;org.apache.pdfbox.cos.COSName.COSName(String);2;0;0;1;1
65;org.apache.pdfbox.preflight.font.container.FontContainer.getFontProgramWidth(int);39;6;10;0;0
66;org.apache.pdfbox.io.ASCII85InputStream.ASCII85InputStream(InputStream);5;3;2;0;0
67;org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType4.getBitsPerFlag();138;10;31;5;2
68;org.apache.pdfbox.pdmodel.PDJavascriptNameTreeNode.PDJavascriptNameTreeNode(COSDictionary);6;3;2;1;1
69;org.apache.pdfbox.pdmodel.graphics.shading.ShadedTriangle.overlaps(Point2D, Point2D);8;3;4;0;0
70;org.apache.pdfbox.pdmodel.PDDocumentCatalog.getViewerPreferences();115;9;36;2;2
71;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createInnerFormResource();99;8;51;0;0
72;org.apache.pdfbox.pdmodel.PDDocument.setAllSecurityToBeRemoved(boolean);297;11;60;0;0
73;org.apache.pdfbox.util.ResourceLoader.loadResource(String);56;7;13;0;0
74;org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper.validate();143;0;0;10;33
75;org.apache.pdfbox.pdmodel.common.PDNameTreeNode.setNames(Map);269;16;45;4;9
76;org.apache.pdfbox.preflight.font.CIDType2FontValidator.CIDType2FontValidator(PreflightContext, PDFont);24;6;7;4;4
77;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup.getIntent();12;0;0;4;4
78;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationText.getName();10;0;0;4;3
79;org.apache.pdfbox.pdfviewer.PageDrawer.getPageSize();196;9;47;0;0
80;org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead.setNextBead(PDThreadBead);19;5;4;4;3
81;org.apache.pdfbox.util.PositionWrapper.PositionWrapper(TextPosition);75;5;32;0;0
82;org.apache.pdfbox.io.ByteArrayPushBackInputStream.read(byte[]);2;0;0;1;1
83;org.apache.pdfbox.preflight.font.Type0FontValidator.validate();98;0;0;9;22
84;org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader();264;12;62;2;4
85;org.apache.pdfbox.util.PDFTextStripper.endArticle();76;5;33;1;1
86;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.setClassNames(Revisions);16;0;0;2;10
87;org.apache.pdfbox.preflight.action.UndefAction.innerValid();8;0;0;3;3
88;org.apache.pdfbox.pdfparser.ConformingPDFParser.readDictionaryBackwards();39;2;2;4;13
89;org.apache.pdfbox.pdmodel.PDResources.getXObjects();277;9;57;5;9
90;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDExportFormatAttributeObject.setColSpan(int);32;0;0;8;11
91;org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup.execute(ExecutionContext);2;0;0;1;1
92;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.writeNonTerminating(int);2;1;1;0;0
93;org.apache.pdfbox.pdmodel.graphics.predictor.Optimum.encode(byte[], byte[]);5;0;0;2;3
94;org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int);8;0;0;2;4
95;org.apache.pdfbox.filter.TIFFFaxDecoder.getNextChangingElement(int, boolean, int[]);12;3;7;0;0
96;org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNAttributes.setColorants(Map);8;0;0;3;4
97;org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.calculateColorValues(int);65;6;6;8;16
98;org.apache.pdfbox.pdmodel.interactive.form.PDField.importFDF(FDFField);113;5;8;7;27
99;org.apache.pdfbox.pdmodel.font.PDCIDFontType0Font.getawtFont();66;0;0;10;16
100;org.apache.pdfbox.pdmodel.graphics.shading.Patch.overlaps(Point2D, Point2D);9;4;5;0;0
101;org.apache.pdfbox.util.operator.SetTextRise.process(PDFOperator, List);5;0;0;1;4
102;org.apache.pdfbox.pdmodel.common.PDMetadata.importXMPMetadata(XMPMetadata);5;0;0;4;1
103;org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitHeightDestination.setLeft(int);9;0;0;3;3
104;org.apache.pdfbox.pdmodel.common.function.PDFunction.setDomainValues(COSArray);5;0;0;2;2
105;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject.setMetadata(PDMetadata);7;0;0;3;3
106;org.apache.pdfbox.pdfwriter.COSWriter.getStartxref();95;5;44;0;0
107;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.applyMasks(BufferedImage);169;9;27;7;14
108;org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.setOutputCondition(String);255;11;57;3;2
109;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.writeRun(int, int);6;1;1;2;3
110;org.apache.pdfbox.pdmodel.graphics.PDLineDashPattern.getCOSDashPattern();30;5;9;1;1
111;org.apache.pdfbox.pdmodel.PDPage.PDPage(COSDictionary);403;9;97;0;0
112;org.apache.pdfbox.pdmodel.font.PDType1CFont.getFontHeight(byte[], int, int);4;0;0;2;2
113;org.apache.pdfbox.pdmodel.font.PDType1CFont.PDFEncoding.PDFEncoding(CFFEncoding);55;9;13;0;0
114;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject.PDXObject(COSStream);10;4;1;2;3
115;org.apache.pdfbox.pdmodel.font.PDFontDescriptorDictionary.setXHeight(float);108;7;44;4;2
116;org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.lookupColor(int, int);49;0;0;7;16
117;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureTreeRoot.PDStructureTreeRoot(COSDictionary);12;4;3;1;1
118;org.apache.pdfbox.pdmodel.font.PDType1CFont.getawtFont();69;8;18;2;1
119;org.apache.pdfbox.util.PDFCloneUtility.PDFCloneUtility(PDDocument);282;7;83;0;0
120;org.apache.pdfbox.pdmodel.fdf.FDFDocument.load(String);141;11;42;0;0
121;org.apache.pdfbox.preflight.process.TrailerValidationProcess.checkLinearizedDictionnary(PreflightContext, COSDictionary);68;6;16;4;4
122;org.apache.pdfbox.util.QuickSort.split(List, Comparator, int, int);3;1;1;1;1
123;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDFourColours.getBeforeColour();5;0;0;3;2
124;org.apache.pdfbox.pdmodel.graphics.PDGraphicsState.setCurrentClippingPath(Shape);152;10;42;0;0
125;org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitWidthDestination.setFitBoundingBox(boolean);9;0;0;3;3
126;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDAttributeObject.setStructureElement(PDStructureElement);54;5;24;0;0
127;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.isNoRotate();29;6;7;6;2
128;org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceDictionary.getDownAppearance();11;0;0;2;8
129;org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.hideToolbar();7;0;0;5;2
130;org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setSubFilter(COSName);290;12;63;2;1
131;org.apache.pdfbox.pdmodel.interactive.action.PDPageAdditionalActions.setC(PDAction);8;0;0;4;3
132;org.apache.pdfbox.pdfparser.NonSequentialPDFParser.releasePdfSourceInputStream();163;8;55;0;0
133;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getSignatureField();99;8;51;0;0
134;org.apache.pdfbox.pdmodel.font.PDFont.isType3Font();9;0;0;4;3
135;org.apache.pdfbox.preflight.xobject.XObjPostscriptValidator.validate();43;0;0;6;15
136;org.apache.pdfbox.cos.COSDictionary.getLong(COSName, long);14;3;4;2;2
137;org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCircle.FDFAnnotationCircle(Element);59;0;0;7;23
138;org.apache.pdfbox.pdmodel.PDPage.getActions();7;0;0;2;4
139;org.apache.pdfbox.pdmodel.encryption.PublicKeyRecipient.setX509(X509Certificate);39;6;20;0;0
140;org.apache.pdfbox.pdmodel.common.PDNameTreeNode.setKids(List);269;16;45;4;13
141;org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus.getCOSObject();9;3;6;0;0
142;org.apache.pdfbox.pdmodel.interactive.form.PDChoiceField.PDChoiceField(PDAcroForm, COSDictionary);46;6;14;3;2
143;org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.getCOSObject();156;6;53;0;0
144;org.apache.pdfbox.preflight.process.reflect.ExtGStateValidationProcess.extractExtGStateDictionaries(PreflightContext, COSDictionary);57;7;7;4;10
145;org.apache.pdfbox.pdmodel.encryption.PDEncryptionDictionary.setLength(int);78;5;41;3;2
146;org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile.getCheckSum();14;0;0;6;3
147;org.apache.pdfbox.pdmodel.documentinterchange.prepress.PDBoxStyle.setGuideLineColor(PDColorState);7;0;0;3;2
148;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDExportFormatAttributeObject.setHeaders(String[]);32;0;0;8;8
149;org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(int);154;8;50;0;0
150;org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination.PDPageFitRectangleDestination(COSArray);14;3;10;1;1
151;org.apache.pdfbox.pdmodel.PDPage.getRotation();11;3;4;2;2
152;org.apache.pdfbox.util.operator.BeginMarkedContentSequenceWithProperties.process(PDFOperator, List);9;0;0;4;4
153;org.apache.pdfbox.preflight.ValidationResult.addErrors(List);3;0;0;2;1
154;org.apache.pdfbox.pdmodel.common.PDStream.getByteArray();350;9;78;7;7
155;org.apache.pdfbox.pdmodel.edit.PDPageContentStream.writeColorSpace(PDColorSpace);21;2;2;2;12
156;org.apache.pdfbox.util.TextNormalize.findICU4J();3;1;1;1;1
157;org.apache.pdfbox.util.PDFStreamEngine.getGraphicsStack();182;10;49;0;0
158;org.apache.pdfbox.preflight.font.util.Type1Parser.isBlankSperator(int);7;3;3;0;0
159;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSigProperties.getPdVisibleSignature();104;9;52;0;0
160;org.apache.pdfbox.pdmodel.graphics.shading.GouraudShadingContext.interpolate(float, long, float, float);10;4;4;0;0
161;org.apache.pdfbox.pdmodel.graphics.shading.Type5ShadingContext.getTriangleList(AffineTransform, Matrix);137;11;14;6;18
162;org.apache.pdfbox.pdmodel.text.PDTextState.setFontSize(float);190;14;44;0;0
163;org.apache.pdfbox.util.PDFTextStripper.setPageEnd(String);18;5;7;0;0
164;org.apache.pdfbox.util.PDFTextStripper.writeCharacters(TextPosition);2;0;0;1;1
165;org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification.getFile();12;2;4;3;3
166;org.apache.pdfbox.pdmodel.graphics.color.PDCalRGB.setLinearInterpretation(PDMatrix);15;5;5;2;2
167;org.apache.pdfbox.preflight.font.Type3FontValidator.checkFontMatrix();247;12;53;4;10
168;org.apache.pdfbox.pdmodel.common.PDStream.PDStream(COSStream);119;8;35;0;0
169;org.apache.pdfbox.pdfparser.XrefTrailerResolver.getFirstTrailer();58;6;18;0;0
170;org.apache.pdfbox.pdmodel.fdf.FDFField.setSetWidgetFieldFlags(int);6;0;0;3;2
171;org.apache.pdfbox.preflight.font.CIDType0FontValidator.checkCIDToGIDMap(COSBase);54;0;0;8;16
