class,path,package,methods
DataFileReader,lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader.java,org.apache.avro.file,"openReader,openReader,openReader,DataFileReader,DataFileReader,DataFileReader,seek,sync,blockFinished,previousSync,pastSync,tell"
GenericDatumReader,lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,org.apache.avro.generic,"GenericDatumReader,GenericDatumReader,GenericDatumReader,GenericDatumReader,GenericDatumReader,getData,getSchema,setSchema,getExpected,setExpected,getResolver,read,read,readWithConversion,readWithoutConversion,convert,readRecord,readField,readEnum,createEnum,readArray,peekArray,addToArray,readMap,readMapKey,addToMap,readFixed,createFixed,createFixed,newRecord,newArray,newMap,readString,readString,createString,findStringClass,getStringClass,newInstanceFromString,readBytes,readBytes,readInt,createBytes,skip"
AvroKey,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroKey.java,org.apache.avro.mapred,"AvroKey,AvroKey"
AvroValue,lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroValue.java,org.apache.avro.mapred,"AvroValue,AvroValue"
FsInput,lang\java\mapred\src\main\java\org\apache\avro\mapred\FsInput.java,org.apache.avro.mapred,"FsInput,FsInput,length,read,seek,tell,close"
SpecificDatumReader,lang\java\avro\src\main\java\org\apache\avro\specific\SpecificDatumReader.java,org.apache.avro.specific,"SpecificDatumReader,SpecificDatumReader,SpecificDatumReader,SpecificDatumReader,SpecificDatumReader,SpecificDatumReader,getSpecificData,setSchema,findStringClass,getPropAsClass,readField"
ReflectData,lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,org.apache.avro.reflect,"ReflectData,ReflectData,get,addStringable,createDatumReader,createDatumReader,createDatumWriter,setField,setField,getField,getField,getAccessorForField,isRecord,isArray,getArrayAsCollection,isBytes,getRecordSchema,validate,getClassAccessorData,getFieldAccessors,getFieldAccessor,getClassProp,isMap,isNonStringMap,getClass,createNonStringMapSchema,getNameForNonStringMapRecord,isNonStringMapSchema,createSchema,isStringable,setElement,getAnnotatedUnion,makeNullable,getCachedFields,getFields,createFieldSchema,getProtocol,getMessage,getSchema,compare,getRecordState,consumeAvroAliasAnnotation,createFixed,newRecord"
ReflectDatumReader,lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectDatumReader.java,org.apache.avro.reflect,"ReflectDatumReader,ReflectDatumReader,ReflectDatumReader,ReflectDatumReader,ReflectDatumReader,ReflectDatumReader,newArray,peekArray,addToArray,readArray,readJavaArray,readPrimitiveArray,readObjectArray,readCollection,readString,createString,readBytes,readInt,readField"
Utf8,lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,org.apache.avro.util,"Utf8,Utf8,Utf8,Utf8,getBytes,getLength,getByteLength,setLength,setByteLength,set,toString,equals,hashCode,compareTo,charAt,length,subSequence,getBytesFor"
AvroJob,lang\java\mapred\src\main\java\org\apache\avro\mapreduce\AvroJob.java,org.apache.avro.mapreduce,"AvroJob,setInputKeySchema,setInputValueSchema,setMapOutputKeySchema,setMapOutputValueSchema,setOutputKeySchema,setOutputValueSchema,setDataModelClass,getInputKeySchema,getInputValueSchema,getMapOutputKeySchema,getMapOutputValueSchema,getOutputKeySchema,getOutputValueSchema"
