method,LOC,Cyclomatic,FanIn,FanOut
org.apache.avro.mapred.SequenceFileReader.sync(long),5,2,2,3
org.apache.avro.mapred.SequenceFileReader.pastSync(long),3,1,2,3
org.apache.avro.mapred.SequenceFileReader.tell(),1,1,1,2
org.apache.avro.ValidateAll.ValidateAll(SchemaValidationStrategy),3,1,2,2
"org.apache.avro.ValidateAll.validate(Schema, Iterable<Schema>)",8,2,3,4
org.apache.avro.data.RecordBuilderBase.schema(),1,1,7,1
org.apache.avro.data.RecordBuilderBase.fields(),1,1,49,1
org.apache.avro.data.RecordBuilderBase.fieldSetFlags(),1,1,113,1
org.apache.avro.data.RecordBuilderBase.data(),1,1,12,1
"org.apache.avro.data.RecordBuilderBase.RecordBuilderBase(Schema, GenericData)",6,1,11,7
"org.apache.avro.data.RecordBuilderBase.RecordBuilderBase(RecordBuilderBase<T>, GenericData)",8,1,9,8
"org.apache.avro.data.RecordBuilderBase.validate(Field, Object)",12,3,34,3
"org.apache.avro.data.RecordBuilderBase.isValidValue(Field, Object)",18,6,19,4
org.apache.avro.data.RecordBuilderBase.defaultValue(Field),3,1,8,4
org.apache.avro.data.RecordBuilderBase.hashCode(),7,2,3,3
org.apache.avro.data.RecordBuilderBase.equals(Object),18,8,4,4
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)",4,1,9,4
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map<LitS, Symbol>)",115,42,36,23
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map<LitS, Symbol>)",15,2,4,8
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map<LitS, Symbol>)",59,11,6,18
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.getBinary(Schema, JsonNode)",7,1,4,6
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.encode(Encoder, Schema, JsonNode)",96,30,21,46
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.mkEnumAdjust(List<String>, List<String>)",10,3,4,6
org.apache.avro.io.parsing.ResolvingGrammarGenerator.hasMatchError(Symbol),12,4,4,1
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.bestBranch(Schema, Schema, Map<LitS, Symbol>)",60,19,13,8
org.apache.avro.ipc.CallFuture.CallFuture(),3,1,9,2
org.apache.avro.ipc.CallFuture.CallFuture(Callback<T>),3,1,3,2
org.apache.avro.ipc.CallFuture.handleResult(T),7,2,7,3
org.apache.avro.ipc.CallFuture.handleError(Throwable),7,2,7,3
org.apache.avro.ipc.CallFuture.getResult(),3,1,2,1
org.apache.avro.ipc.CallFuture.getError(),3,1,7,1
org.apache.avro.ipc.CallFuture.cancel(boolean),3,1,0,1
org.apache.avro.ipc.CallFuture.isCancelled(),3,1,0,1
org.apache.avro.ipc.CallFuture.get(),8,2,7,3
"org.apache.avro.ipc.CallFuture.get(long, TimeUnit)",11,3,10,4
org.apache.avro.ipc.CallFuture.await(),3,1,2,1
"org.apache.avro.ipc.CallFuture.await(long, TimeUnit)",6,2,3,2
org.apache.avro.ipc.CallFuture.isDone(),3,1,1,2
org.apache.avro.file.CodecFactory.nullCodec(),3,1,15,1
org.apache.avro.file.CodecFactory.deflateCodec(int),3,1,11,1
org.apache.avro.file.CodecFactory.xzCodec(int),3,1,6,1
org.apache.avro.file.CodecFactory.snappyCodec(),3,1,3,1
org.apache.avro.file.CodecFactory.bzip2Codec(),3,1,2,1
org.apache.avro.file.CodecFactory.createInstance(),1,1,6,1
org.apache.avro.file.CodecFactory.fromString(String),7,2,26,3
"org.apache.avro.file.CodecFactory.addCodec(String, CodecFactory)",3,1,3,2
org.apache.avro.file.CodecFactory.toString(),4,1,2,3
org.apache.avro.file.DataFileWriter.DataFileWriter(DatumWriter<D>),3,1,60,2
org.apache.avro.file.DataFileWriter.assertOpen(),3,2,5,1
org.apache.avro.file.DataFileWriter.assertNotOpen(),3,2,5,1
org.apache.avro.file.DataFileWriter.setCodec(CodecFactory),6,1,21,6
org.apache.avro.file.DataFileWriter.setSyncInterval(int),7,2,8,3
"org.apache.avro.file.DataFileWriter.create(Schema, File)",3,1,29,3
"org.apache.avro.file.DataFileWriter.create(Schema, OutputStream)",4,1,25,2
"org.apache.avro.file.DataFileWriter.create(Schema, OutputStream, byte[])",26,4,12,21
org.apache.avro.file.DataFileWriter.setFlushOnEveryBlock(boolean),3,1,3,1
org.apache.avro.file.DataFileWriter.isFlushOnEveryBlock(),3,1,1,1
org.apache.avro.file.DataFileWriter.appendTo(File),4,1,3,4
"org.apache.avro.file.DataFileWriter.appendTo(SeekableInput, OutputStream)",19,2,8,17
org.apache.avro.file.DataFileWriter.init(OutputStream),14,2,10,14
org.apache.avro.file.DataFileWriter.generateSync(),10,2,2,8
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, byte[])",5,1,5,3
"org.apache.avro.file.DataFileWriter.setMetaInternal(String, String)",7,2,5,4
"org.apache.avro.file.DataFileWriter.setMeta(String, byte[])",6,2,8,4
org.apache.avro.file.DataFileWriter.isReservedMeta(String),3,1,5,2
"org.apache.avro.file.DataFileWriter.setMeta(String, String)",7,2,12,4
"org.apache.avro.file.DataFileWriter.setMeta(String, long)",3,1,2,3
org.apache.avro.file.DataFileWriter.append(D),15,3,54,7
org.apache.avro.file.DataFileWriter.resetBufferTo(int),6,1,4,4
org.apache.avro.file.DataFileWriter.appendEncoded(ByteBuffer),6,1,3,4
org.apache.avro.file.DataFileWriter.bufferInUse(),3,1,4,3
org.apache.avro.file.DataFileWriter.writeIfBlockFull(),4,2,3,2
"org.apache.avro.file.DataFileWriter.appendAllFrom(DataFileStream<D>, boolean)",23,5,9,12
org.apache.avro.file.DataFileWriter.writeBlock(),12,2,10,8
org.apache.avro.file.DataFileWriter.sync(),5,1,11,4
org.apache.avro.file.DataFileWriter.flush(),4,1,9,2
org.apache.avro.file.DataFileWriter.fSync(),6,2,2,2
org.apache.avro.file.DataFileWriter.close(),7,2,56,3
org.apache.avro.ipc.TestNettyServerWithCompression.initializeServer(Responder),9,1,1,4
org.apache.avro.ipc.TestNettyServerWithCompression.initializeTransceiver(int),5,1,2,3
org.apache.avro.ipc.TestNettyServer.initializeConnections(),11,1,5,10
org.apache.avro.ipc.TestNettyServer.initializeServer(Responder),3,1,2,3
org.apache.avro.ipc.TestNettyServer.initializeTransceiver(int),4,1,3,3
org.apache.avro.ipc.TestNettyServer.tearDownConnections(),4,1,2,2
org.apache.avro.ipc.TestNettyServer.testRequestResponse(),5,2,1,3
org.apache.avro.ipc.TestNettyServer.verifyResponse(String),5,1,3,2
org.apache.avro.ipc.TestNettyServer.testOneway(),7,2,2,4
org.apache.avro.ipc.TestNettyServer.testMixtureOfRequests(),10,2,2,7
org.apache.avro.ipc.TestNettyServer.testConnectionsCount(),10,1,4,9
org.apache.avro.ipc.TestNettyServer.createMessage(),8,1,4,6
org.apache.avro.ipc.TestNettyServer.testBadRequest(),13,1,1,12
"org.apache.avro.ipc.NettyServer.NettyServer(Responder, InetSocketAddress)",4,1,10,3
"org.apache.avro.ipc.NettyServer.NettyServer(Responder, InetSocketAddress, ChannelFactory)",4,1,4,2
"org.apache.avro.ipc.NettyServer.NettyServer(Responder, InetSocketAddress, ChannelFactory, ChannelPipelineFactory, ExecutionHandler)",24,1,9,8
"org.apache.avro.ipc.NettyServer.NettyServer(Responder, InetSocketAddress, ChannelFactory, ExecutionHandler)",10,1,6,2
org.apache.avro.ipc.NettyServer.start(),2,1,1,0
org.apache.avro.ipc.NettyServer.close(),6,1,4,4
org.apache.avro.ipc.NettyServer.getPort(),3,1,2,3
org.apache.avro.ipc.NettyServer.join(),3,1,1,1
org.apache.avro.ipc.NettyServer.getNumActiveConnections(),3,1,2,2
org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(),7,1,0,6
org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress),3,1,2,2
"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, Long)",9,1,13,5
"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, ChannelFactory)",4,1,2,3
"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, ChannelFactory, Long)",5,1,3,3
"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, ChannelFactory, Map<String, Object>)",41,7,11,17
org.apache.avro.ipc.NettyTransceiver.createNettyClientAvroHandler(),3,1,1,1
org.apache.avro.ipc.NettyTransceiver.buildDefaultBootstrapOptions(Long),10,2,8,3
org.apache.avro.ipc.NettyTransceiver.isChannelReady(Channel),4,1,2,4
org.apache.avro.ipc.NettyTransceiver.getChannel(),37,7,12,20
org.apache.avro.ipc.NettyTransceiver.disconnect(),3,1,0,1
"org.apache.avro.ipc.NettyTransceiver.disconnect(boolean, boolean, Throwable)",62,14,17,26
org.apache.avro.ipc.NettyTransceiver.lockChannel(),2,1,0,0
org.apache.avro.ipc.NettyTransceiver.unlockChannel(),2,1,0,0
org.apache.avro.ipc.NettyTransceiver.close(),3,1,1,1
org.apache.avro.ipc.NettyTransceiver.close(boolean),8,1,3,3
org.apache.avro.ipc.NettyTransceiver.getRemoteName(),8,1,1,7
org.apache.avro.ipc.NettyTransceiver.transceive(List<ByteBuffer>),14,3,4,5
"org.apache.avro.ipc.NettyTransceiver.transceive(List<ByteBuffer>, Callback<List>)",12,1,6,7
org.apache.avro.ipc.NettyTransceiver.writeBuffers(List<ByteBuffer>),21,4,4,13
org.apache.avro.ipc.NettyTransceiver.writeDataPack(NettyDataPack),3,1,3,3
org.apache.avro.ipc.NettyTransceiver.readBuffers(),3,1,0,2
org.apache.avro.ipc.NettyTransceiver.getRemote(),8,1,2,4
org.apache.avro.ipc.NettyTransceiver.isConnected(),8,1,2,4
org.apache.avro.ipc.NettyTransceiver.setRemote(Protocol),8,1,2,4
org.apache.avro.LogicalType.LogicalType(String),3,1,12,3
org.apache.avro.LogicalType.getName(),3,1,29,1
org.apache.avro.LogicalType.addToSchema(Schema),6,1,30,4
org.apache.avro.LogicalType.validate(Schema),8,3,13,2
org.apache.avro.util.TestCaseFinder.mk(String),2,1,6,3
org.apache.avro.util.TestCaseFinder.pr(List<Object>),12,3,2,5
"org.apache.avro.util.TestCaseFinder.eq(List<Object>, List<Object>)",7,5,3,4
"org.apache.avro.util.CaseFinder.find(BufferedReader, String, List<Object>)",29,8,14,9
"org.apache.avro.util.CaseFinder.processHereDoc(BufferedReader, String)",28,7,4,15
org.apache.avro.specific.TestSpecificErrorBuilder.testSpecificErrorBuilder(),32,1,0,21
org.apache.avro.specific.TestSpecificErrorBuilder.attemptToSetNonNullableFieldToNull(),3,1,0,2
org.apache.avro.TestDataFile.TestDataFile(CodecFactory),4,1,2,3
org.apache.avro.TestDataFile.codecs(),13,1,0,7
org.apache.avro.TestDataFile.makeFile(),3,1,9,2
org.apache.avro.TestDataFile.runTestsInOrder(),10,1,0,7
org.apache.avro.TestDataFile.testGenericWrite(),39,7,8,14
org.apache.avro.TestDataFile.testGenericRead(),19,4,5,7
org.apache.avro.TestDataFile.testSplits(),26,3,3,12
org.apache.avro.TestDataFile.testSyncDiscovery(),24,4,1,14
org.apache.avro.TestDataFile.testGenericAppend(),32,5,5,14
org.apache.avro.TestDataFile.testReadWithHeader(),17,1,1,13
org.apache.avro.TestDataFile.testSyncInHeader(),8,2,0,5
org.apache.avro.TestDataFile.test12(),4,1,0,3
org.apache.avro.TestDataFile.testFlushCount(),25,3,5,11
org.apache.avro.TestDataFile.testFSync(boolean),29,4,7,13
"org.apache.avro.TestDataFile.readFile(File, DatumReader<? extends Object>)",7,2,4,2
org.apache.avro.TestDataFile.main(String[]),11,3,3,6
"org.apache.avro.mapred.MapCollector.MapCollector(OutputCollector<KO, VO>, boolean)",4,1,4,3
org.apache.avro.mapred.MapCollector.collect(OUT),11,2,6,5
org.apache.avro.tool.TestCreateRandomFileTool.run(List<String>),12,1,4,6
org.apache.avro.tool.TestCreateRandomFileTool.check(String...),17,2,6,14
org.apache.avro.tool.TestCreateRandomFileTool.testSimple(),3,1,0,1
org.apache.avro.tool.TestCreateRandomFileTool.testCodec(),3,1,0,1
org.apache.avro.tool.TestCreateRandomFileTool.testStdOut(),14,2,2,14
"org.apache.trevni.avro.RandomData.RandomData(Schema, int)",4,1,10,3
org.apache.trevni.avro.RandomData.iterator(),12,1,0,1
"org.apache.trevni.avro.RandomData.generate(Schema, Random, int)",48,21,19,29
org.apache.trevni.avro.RandomData.main(String[]),17,3,3,11
org.apache.trevni.TestUtil.getRandomSeed(),12,3,4,7
org.apache.trevni.TestUtil.resetRandomSeed(),3,1,1,1
org.apache.trevni.TestUtil.createRandom(),3,1,16,3
org.apache.trevni.TestUtil.randomBytes(Random),5,1,3,4
org.apache.trevni.TestUtil.randomString(Random),7,2,6,4
org.apache.trevni.TestUtil.randomLength(Random),12,5,5,2
org.apache.trevni.TestUtil.testRandomLength(),18,4,1,4
org.apache.avro.tool.CreateRandomFileTool.getName(),3,1,0,1
org.apache.avro.tool.CreateRandomFileTool.getShortDescription(),3,1,0,1
"org.apache.avro.tool.CreateRandomFileTool.run(InputStream, PrintStream, PrintStream, List<String>)",43,5,4,26
org.apache.avro.TestDataFileDeflate.testWriteAndRead(),21,1,1,20
org.apache.avro.ipc.DatagramTransceiver.getRemoteName(),1,1,1,2
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(SocketAddress),4,1,2,4
org.apache.avro.ipc.DatagramTransceiver.DatagramTransceiver(DatagramChannel),3,1,3,2
org.apache.avro.ipc.DatagramTransceiver.readBuffers(),17,3,4,13
org.apache.avro.ipc.DatagramTransceiver.writeBuffers(List<ByteBuffer>),12,2,5,7
"org.apache.avro.mapred.AvroAsTextRecordReader.AvroAsTextRecordReader(JobConf, FileSplit)",5,1,3,5
"org.apache.avro.mapred.AvroAsTextRecordReader.AvroAsTextRecordReader(FileReader<T>, FileSplit)",7,1,3,8
org.apache.avro.mapred.AvroAsTextRecordReader.createKey(),3,1,0,1
org.apache.avro.mapred.AvroAsTextRecordReader.createValue(),3,1,0,1
"org.apache.avro.mapred.AvroAsTextRecordReader.next(Text, Text)",21,4,4,15
org.apache.avro.mapred.AvroAsTextRecordReader.getProgress(),7,2,2,3
org.apache.avro.mapred.AvroAsTextRecordReader.getPos(),3,1,2,2
org.apache.avro.mapred.AvroAsTextRecordReader.close(),1,1,1,1
org.apache.avro.tool.DataFileGetSchemaTool.getName(),3,1,0,1
org.apache.avro.tool.DataFileGetSchemaTool.getShortDescription(),3,1,0,1
"org.apache.avro.tool.DataFileGetSchemaTool.run(InputStream, PrintStream, PrintStream, List<String>)",12,2,3,9
"org.apache.avro.tool.Util.fileOrStdin(String, InputStream)",6,2,10,4
"org.apache.avro.tool.Util.fileOrStdout(String, OutputStream)",6,2,7,4
org.apache.avro.tool.Util.openFromFS(String),5,1,4,3
org.apache.avro.tool.Util.openFromFS(Path),4,1,2,3
org.apache.avro.tool.Util.openSeekableFromFS(String),4,1,3,2
org.apache.avro.tool.Util.createFromFS(String),5,1,5,4
org.apache.avro.tool.Util.close(InputStream),9,3,8,4
org.apache.avro.tool.Util.close(OutputStream),9,3,5,4
org.apache.avro.tool.Util.parseSchemaFromFS(String),8,1,5,4
org.apache.avro.tool.Util.getFiles(String),18,5,2,11
org.apache.avro.tool.Util.getFiles(List<String>),9,2,2,5
"org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)",7,1,4,5
"org.apache.avro.tool.Util.datumFromFile(Schema, String)",10,1,4,6
org.apache.avro.tool.Util.compressionCodecOption(OptionParser),7,1,5,5
org.apache.avro.tool.Util.compressionLevelOption(OptionParser),7,1,6,5
"org.apache.avro.tool.Util.codecFactory(OptionSet, OptionSpec<String>, OptionSpec<Integer>)",3,1,6,2
"org.apache.avro.tool.Util.codecFactory(OptionSet, OptionSpec<String>, OptionSpec<Integer>, String)",12,4,9,7
org.apache.avro.hadoop.util.TestAvroCharSequenceComparator.setup(),3,1,0,1
org.apache.avro.hadoop.util.TestAvroCharSequenceComparator.testCompareString(),13,1,1,5
org.apache.avro.hadoop.util.TestAvroCharSequenceComparator.testCompareUtf8(),13,1,1,6
org.apache.avro.hadoop.util.TestAvroCharSequenceComparator.testCompareUtf8ToString(),13,1,1,6
"org.apache.avro.hadoop.util.AvroCharSequenceComparator.compare(T, T)",8,2,5,5
"org.apache.avro.hadoop.util.AvroCharSequenceComparator.compareCharSequence(CharSequence, CharSequence)",9,3,3,4
"org.apache.avro.hadoop.util.AvroCharSequenceComparator.compareCharacter(CharSequence, CharSequence, int)",9,3,4,5
org.apache.trevni.TrevniRuntimeException.TrevniRuntimeException(Throwable),1,1,4,2
org.apache.trevni.TrevniRuntimeException.TrevniRuntimeException(String),1,1,23,2
"org.apache.trevni.TrevniRuntimeException.TrevniRuntimeException(String, Throwable)",3,1,2,2
org.apache.avro.tool.TrevniToJsonTool.getName(),3,1,0,1
org.apache.avro.tool.TrevniToJsonTool.getShortDescription(),3,1,0,1
"org.apache.avro.tool.TrevniToJsonTool.run(InputStream, PrintStream, PrintStream, List<String>)",16,3,3,7
"org.apache.avro.tool.TrevniToJsonTool.toJson(Input, PrintStream, boolean)",31,6,9,23
org.apache.avro.tool.TrevniToJsonTool.valueToJson(ColumnMetaData),27,6,5,12
"org.apache.avro.tool.TrevniToJsonTool.primitiveToJson(ColumnMetaData, Object)",28,11,14,7
org.apache.avro.tool.TrevniToJsonTool.shortName(ColumnMetaData),9,3,2,8
org.apache.trevni.ColumnFileReader.ColumnFileReader(File),3,1,9,3
org.apache.trevni.ColumnFileReader.ColumnFileReader(Input),4,1,5,3
org.apache.trevni.ColumnFileReader.getRowCount(),1,1,10,1
org.apache.trevni.ColumnFileReader.getColumnCount(),1,1,9,1
org.apache.trevni.ColumnFileReader.getMetaData(),1,1,3,1
org.apache.trevni.ColumnFileReader.getColumnMetaData(),6,2,4,1
org.apache.trevni.ColumnFileReader.getRoots(),7,3,4,4
org.apache.trevni.ColumnFileReader.getColumnMetaData(int),3,1,4,1
org.apache.trevni.ColumnFileReader.getColumnMetaData(String),3,1,3,2
org.apache.trevni.ColumnFileReader.getColumn(String),6,2,4,3
org.apache.trevni.ColumnFileReader.readHeader(),11,1,3,13
org.apache.trevni.ColumnFileReader.readMagic(InputBuffer),12,3,6,3
org.apache.trevni.ColumnFileReader.readColumnMetaData(InputBuffer),10,2,6,7
org.apache.trevni.ColumnFileReader.readColumnStarts(InputBuffer),4,2,4,2
org.apache.trevni.ColumnFileReader.getValues(String),4,1,8,3
org.apache.trevni.ColumnFileReader.getValues(int),4,1,3,2
org.apache.trevni.ColumnFileReader.close(),3,1,6,1
org.apache.trevni.ColumnMetaData.ColumnMetaData(),1,1,1,1
"org.apache.trevni.ColumnMetaData.ColumnMetaData(String, ValueType)",6,1,27,5
org.apache.trevni.ColumnMetaData.getName(),1,1,9,1
org.apache.trevni.ColumnMetaData.getType(),1,1,6,1
org.apache.trevni.ColumnMetaData.getParent(),1,1,6,1
org.apache.trevni.ColumnMetaData.getChildren(),1,1,2,1
org.apache.trevni.ColumnMetaData.isArray(),1,1,7,1
org.apache.trevni.ColumnMetaData.getNumber(),1,1,2,1
org.apache.trevni.ColumnMetaData.setNumber(int),1,1,2,1
org.apache.trevni.ColumnMetaData.hasIndexValues(boolean),6,2,4,4
org.apache.trevni.ColumnMetaData.setParent(ColumnMetaData),9,3,14,7
org.apache.trevni.ColumnMetaData.isArray(boolean),6,2,15,4
org.apache.trevni.ColumnMetaData.hasIndexValues(),1,1,7,2
"org.apache.trevni.ColumnMetaData.read(InputBuffer, ColumnFileReader)",13,2,8,12
org.apache.trevni.ColumnValues.ColumnValues(ColumnDescriptor),8,1,5,11
org.apache.trevni.ColumnValues.getRow(),1,1,1,1
org.apache.trevni.ColumnValues.seek(long),9,3,7,7
org.apache.trevni.ColumnValues.seek(T),20,5,8,13
org.apache.trevni.ColumnValues.startBlock(int),13,2,12,13
org.apache.trevni.ColumnValues.iterator(),1,1,0,1
org.apache.trevni.ColumnValues.hasNext(),3,1,6,3
org.apache.trevni.ColumnValues.next(),11,3,6,8
org.apache.trevni.ColumnValues.startRow(),8,3,6,5
org.apache.trevni.ColumnValues.nextLength(),7,2,6,6
org.apache.trevni.ColumnValues.nextValue(),4,1,6,4
org.apache.trevni.ColumnValues.remove(),1,1,0,1
org.apache.avro.tool.TrevniUtil.input(String),7,2,3,5
"org.apache.avro.tool.TrevniUtil.input(String, InputStream)",11,3,2,9
"org.apache.avro.tool.TrevniUtil.output(String, OutputStream)",11,3,2,9
org.apache.trevni.ValueType.ValueType(),1,1,0,4
org.apache.trevni.ValueType.getName(),1,1,2,1
org.apache.trevni.ValueType.forName(String),3,1,2,3
org.apache.trevni.ValueType.values(),0,1,0,1
org.apache.trevni.ValueType.valueOf(),0,1,1,1
org.apache.avro.ipc.TestNettyTransceiverWhenServerStops.testNettyTransceiverWhenServerStops(),59,7,2,21
org.apache.avro.ipc.TestNettyTransceiverWhenServerStops.createMessage(),8,1,1,6
org.apache.avro.io.BinaryEncoder.writeNull(),1,1,0,0
org.apache.avro.io.BinaryEncoder.writeString(Utf8),3,1,1,3
org.apache.avro.io.BinaryEncoder.writeString(String),9,2,3,5
org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer),9,2,2,5
"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",8,2,4,3
org.apache.avro.io.BinaryEncoder.writeEnum(int),3,1,1,1
org.apache.avro.io.BinaryEncoder.writeArrayStart(),1,1,0,0
org.apache.avro.io.BinaryEncoder.setItemCount(long),5,2,2,1
org.apache.avro.io.BinaryEncoder.startItem(),1,1,1,0
org.apache.avro.io.BinaryEncoder.writeArrayEnd(),3,1,0,1
org.apache.avro.io.BinaryEncoder.writeMapStart(),1,1,1,0
org.apache.avro.io.BinaryEncoder.writeMapEnd(),3,1,1,1
org.apache.avro.io.BinaryEncoder.writeIndex(int),3,1,1,1
org.apache.avro.io.BinaryEncoder.writeZero(),1,1,5,0
org.apache.avro.io.BinaryEncoder.bytesBuffered(),1,1,2,1
org.apache.avro.file.Codec.getName(),1,1,3,1
org.apache.avro.file.Codec.compress(ByteBuffer),1,1,3,1
org.apache.avro.file.Codec.decompress(ByteBuffer),1,1,3,1
org.apache.avro.file.Codec.equals(Object),1,1,1,1
org.apache.avro.file.Codec.hashCode(),1,1,0,1
org.apache.avro.file.Codec.toString(),3,1,1,2
org.apache.avro.file.DataFileConstants.DataFileConstants(),1,1,0,1
org.apache.avro.file.SyncableFileOutputStream.SyncableFileOutputStream(String),3,1,1,2
org.apache.avro.file.SyncableFileOutputStream.SyncableFileOutputStream(File),4,1,2,2
"org.apache.avro.file.SyncableFileOutputStream.SyncableFileOutputStream(String, boolean)",4,1,2,2
"org.apache.avro.file.SyncableFileOutputStream.SyncableFileOutputStream(File, boolean)",4,1,3,2
org.apache.avro.file.SyncableFileOutputStream.SyncableFileOutputStream(FileDescriptor),3,1,1,2
org.apache.avro.file.SyncableFileOutputStream.sync(),3,1,0,2
example.MapredColorCount.run(String[]),17,2,5,14
example.MapredColorCount.main(String[]),4,1,1,2
"org.apache.avro.mapred.AvroMapper.map(IN, AvroCollector<OUT>, Reporter)",4,1,4,1
org.apache.avro.mapred.AvroMapper.close(),2,1,1,0
org.apache.avro.mapred.AvroMapper.configure(JobConf),2,1,0,0
org.apache.avro.mapred.tether.TetherData.TetherData(),1,1,3,1
org.apache.avro.mapred.tether.TetherData.TetherData(ByteBuffer),1,1,2,2
org.apache.avro.mapred.tether.TetherData.count(),1,1,3,1
org.apache.avro.mapred.tether.TetherData.count(int),1,1,2,1
org.apache.avro.mapred.tether.TetherData.buffer(),1,1,8,1
org.apache.avro.mapred.tether.TetherData.buffer(ByteBuffer),1,1,3,1
org.apache.avro.generic.TestGenericDatumWriter.testWrite(),17,1,0,15
org.apache.avro.generic.TestGenericDatumWriter.testArrayConcurrentModification(),29,2,1,16
org.apache.avro.generic.TestGenericDatumWriter.testMapConcurrentModification(),29,2,1,17
org.apache.avro.generic.TestGenericDatumWriter.writeDoesNotAllowStringForGenericEnum(),18,1,0,7
org.apache.avro.generic.TestGenericDatumWriter.writeDoesNotAllowJavaEnumForGenericEnum(),18,1,1,7
org.apache.avro.io.DecoderFactory.DecoderFactory(),3,1,0,1
org.apache.avro.io.DecoderFactory.defaultFactory(),3,1,0,2
org.apache.avro.io.DecoderFactory.get(),3,1,59,1
org.apache.avro.io.DecoderFactory.configureDecoderBufferSize(int),8,3,1,2
org.apache.avro.io.DecoderFactory.getConfiguredBufferSize(),3,1,1,1
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(InputStream, BinaryDecoder)",3,1,4,2
"org.apache.avro.io.DecoderFactory.binaryDecoder(InputStream, BinaryDecoder)",7,2,20,5
"org.apache.avro.io.DecoderFactory.directBinaryDecoder(InputStream, BinaryDecoder)",7,2,7,5
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(byte[], int, int, BinaryDecoder)",8,2,4,5
"org.apache.avro.io.DecoderFactory.binaryDecoder(byte[], int, int, BinaryDecoder)",8,2,9,5
"org.apache.avro.io.DecoderFactory.createBinaryDecoder(byte[], BinaryDecoder)",3,1,3,2
"org.apache.avro.io.DecoderFactory.binaryDecoder(byte[], BinaryDecoder)",3,1,29,2
"org.apache.avro.io.DecoderFactory.jsonDecoder(Schema, InputStream)",4,1,8,2
"org.apache.avro.io.DecoderFactory.jsonDecoder(Schema, String)",4,1,11,2
"org.apache.avro.io.DecoderFactory.validatingDecoder(Schema, Decoder)",4,1,3,2
"org.apache.avro.io.DecoderFactory.resolvingDecoder(Schema, Schema, Decoder)",4,1,7,2
org.apache.avro.io.DirectBinaryEncoder.DirectBinaryEncoder(OutputStream),3,1,2,2
org.apache.avro.io.DirectBinaryEncoder.configure(OutputStream),5,2,3,3
org.apache.avro.io.DirectBinaryEncoder.flush(),3,1,1,1
org.apache.avro.io.DirectBinaryEncoder.writeBoolean(boolean),3,2,2,1
org.apache.avro.io.DirectBinaryEncoder.writeInt(int),13,3,3,3
org.apache.avro.io.DirectBinaryEncoder.writeLong(long),14,3,3,3
org.apache.avro.io.DirectBinaryEncoder.writeFloat(float),4,1,3,2
org.apache.avro.io.DirectBinaryEncoder.writeDouble(double),5,1,2,2
"org.apache.avro.io.DirectBinaryEncoder.writeFixed(byte[], int, int)",3,1,4,1
org.apache.avro.io.DirectBinaryEncoder.writeZero(),3,1,1,1
org.apache.avro.io.DirectBinaryEncoder.bytesBuffered(),3,1,0,1
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, InputStream)",4,1,3,3
"org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, String)",4,1,3,3
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, InputStream)",3,1,5,3
"org.apache.avro.io.JsonDecoder.JsonDecoder(Schema, String)",3,1,3,3
org.apache.avro.io.JsonDecoder.getSymbol(Schema),6,2,3,3
org.apache.avro.io.JsonDecoder.configure(InputStream),9,2,5,6
org.apache.avro.io.JsonDecoder.configure(String),9,2,4,6
org.apache.avro.io.JsonDecoder.advance(Symbol),6,2,24,5
org.apache.avro.io.JsonDecoder.readNull(),8,2,3,4
org.apache.avro.io.JsonDecoder.readBoolean(),10,2,4,5
org.apache.avro.io.JsonDecoder.readInt(),10,2,2,7
org.apache.avro.io.JsonDecoder.readLong(),10,2,3,7
org.apache.avro.io.JsonDecoder.readFloat(),10,2,2,7
org.apache.avro.io.JsonDecoder.readDouble(),10,2,2,7
org.apache.avro.io.JsonDecoder.readString(Utf8),3,1,0,3
