method,LOC,Cyclomatic,FanIn,FanOut
"org.apache.avro.generic.GenericData.setField(Object, String, int, Object)",3,1,7,1
"org.apache.avro.generic.GenericData.getField(Object, String, int)",3,1,10,2
"org.apache.avro.generic.GenericData.getRecordState(Object, Schema)",1,1,3,1
"org.apache.avro.generic.GenericData.setField(Object, String, int, Object, Object)",3,1,6,1
"org.apache.avro.generic.GenericData.getField(Object, String, int, Object)",3,1,6,2
"org.apache.avro.generic.GenericData.resolveUnion(Schema, Object)",21,7,14,11
org.apache.avro.generic.GenericData.getSchemaName(Object),31,14,14,22
"org.apache.avro.generic.GenericData.instanceOf(Schema, Object)",26,18,15,20
org.apache.avro.generic.GenericData.isArray(Object),3,1,6,1
org.apache.avro.generic.GenericData.getArrayAsCollection(Object),3,1,5,1
org.apache.avro.generic.GenericData.isRecord(Object),3,1,7,1
org.apache.avro.generic.GenericData.getRecordSchema(Object),3,1,6,2
org.apache.avro.generic.GenericData.isEnum(Object),3,1,7,1
org.apache.avro.generic.GenericData.getEnumSchema(Object),3,1,4,2
org.apache.avro.generic.GenericData.isMap(Object),3,1,6,1
org.apache.avro.generic.GenericData.isFixed(Object),3,1,3,1
org.apache.avro.generic.GenericData.getFixedSchema(Object),3,1,3,2
org.apache.avro.generic.GenericData.isString(Object),3,1,6,1
org.apache.avro.generic.GenericData.isBytes(Object),3,1,7,1
org.apache.avro.generic.GenericData.isInteger(Object),3,1,5,1
org.apache.avro.generic.GenericData.isLong(Object),3,1,5,1
org.apache.avro.generic.GenericData.isFloat(Object),3,1,5,1
org.apache.avro.generic.GenericData.isDouble(Object),3,1,5,1
org.apache.avro.generic.GenericData.isBoolean(Object),3,1,5,1
"org.apache.avro.generic.GenericData.hashCode(Object, Schema)",30,12,17,17
"org.apache.avro.generic.GenericData.hashCodeAdd(int, Object, Schema)",3,1,4,2
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema)",3,1,14,2
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema, boolean)",49,22,16,22
org.apache.avro.generic.GenericData.getDefaultValue(Field),28,5,8,21
"org.apache.avro.generic.GenericData.deepCopy(Schema, T)",75,21,35,35
"org.apache.avro.generic.GenericData.createFixed(Object, Schema)",6,2,7,3
"org.apache.avro.generic.GenericData.createFixed(Object, byte[], Schema)",5,1,6,5
"org.apache.avro.generic.GenericData.createEnum(String, Schema)",3,1,6,2
"org.apache.avro.generic.GenericData.newRecord(Object, Schema)",8,3,7,2
org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(),3,1,0,3
org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(Class<T>),3,1,1,4
org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(Schema),3,1,1,3
"org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(Schema, ThriftData)",3,1,3,2
org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(ThriftData),3,1,1,2
"org.apache.avro.thrift.ThriftDatumWriter.writeBytes(Object, Encoder)",3,1,2,2
org.apache.avro.io.Encoder.writeNull(),1,1,7,0
org.apache.avro.io.Encoder.writeBoolean(boolean),1,1,11,0
org.apache.avro.io.Encoder.writeInt(int),1,1,23,0
org.apache.avro.io.Encoder.writeLong(long),1,1,17,0
org.apache.avro.io.Encoder.writeFloat(float),1,1,11,0
org.apache.avro.io.Encoder.writeDouble(double),1,1,13,0
org.apache.avro.io.Encoder.writeString(Utf8),1,1,7,0
org.apache.avro.io.Encoder.writeString(String),3,1,10,2
org.apache.avro.io.Encoder.writeString(CharSequence),6,2,4,3
org.apache.avro.io.Encoder.writeBytes(ByteBuffer),1,1,5,0
"org.apache.avro.io.Encoder.writeBytes(byte[], int, int)",1,1,5,0
org.apache.avro.io.Encoder.writeBytes(byte[]),3,1,9,1
"org.apache.avro.io.Encoder.writeFixed(byte[], int, int)",1,1,9,0
org.apache.avro.io.Encoder.writeFixed(byte[]),3,1,7,1
org.apache.avro.io.Encoder.writeFixed(ByteBuffer),11,2,4,8
org.apache.avro.io.Encoder.writeEnum(int),1,1,8,0
org.apache.avro.io.Encoder.writeArrayStart(),1,1,10,0
org.apache.avro.io.Encoder.setItemCount(long),1,1,19,0
org.apache.avro.io.Encoder.startItem(),1,1,18,0
org.apache.avro.io.Encoder.writeArrayEnd(),1,1,10,0
org.apache.avro.io.Encoder.writeMapStart(),1,1,9,0
org.apache.avro.io.Encoder.writeMapEnd(),1,1,9,0
org.apache.avro.io.Encoder.writeIndex(int),1,1,7,0
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(),1,1,31,3
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(GenericData),1,1,9,2
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema),4,1,31,3
"org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema, GenericData)",4,1,14,3
org.apache.avro.generic.GenericDatumWriter.getData(),1,1,4,1
org.apache.avro.generic.GenericDatumWriter.setSchema(Schema),1,1,5,1
"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)",3,1,37,1
"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder)",12,2,9,6
"org.apache.avro.generic.GenericDatumWriter.convert(Schema, LogicalType, Conversion<T>, Object)",22,14,18,16
"org.apache.avro.generic.GenericDatumWriter.writeWithoutConversion(Schema, Object, Encoder)",28,16,20,23
"org.apache.avro.generic.GenericDatumWriter.npe(NullPointerException, String)",5,2,4,5
"org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder)",7,2,5,3
"org.apache.avro.generic.GenericDatumWriter.writeField(Object, Field, Encoder, Object)",9,2,8,6
"org.apache.avro.generic.GenericDatumWriter.writeEnum(Schema, Object, Encoder)",6,2,7,5
"org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)",18,3,5,11
"org.apache.avro.generic.GenericDatumWriter.resolveUnion(Schema, Object)",3,1,4,2
org.apache.avro.generic.GenericDatumWriter.getArraySize(Object),3,1,2,2
org.apache.avro.generic.GenericDatumWriter.getArrayElements(Object),3,1,2,2
"org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder)",19,3,4,13
org.apache.avro.generic.GenericDatumWriter.getMapSize(Object),3,1,2,2
org.apache.avro.generic.GenericDatumWriter.getMapEntries(Object),3,1,2,2
"org.apache.avro.generic.GenericDatumWriter.writeString(Schema, Object, Encoder)",4,1,3,1
"org.apache.avro.generic.GenericDatumWriter.writeString(Object, Encoder)",3,1,5,1
"org.apache.avro.generic.GenericDatumWriter.writeBytes(Object, Encoder)",3,1,4,1
"org.apache.avro.generic.GenericDatumWriter.writeFixed(Schema, Object, Encoder)",4,1,4,3
"org.apache.avro.generic.GenericDatumWriter.error(Schema, Object)",3,1,3,2
org.apache.avro.thrift.ThriftData.ThriftData(),1,1,0,1
org.apache.avro.thrift.ThriftData.get(),1,1,9,1
org.apache.avro.thrift.ThriftData.createDatumReader(Schema),3,1,1,2
org.apache.avro.thrift.ThriftData.createDatumWriter(Schema),3,1,1,2
"org.apache.avro.thrift.ThriftData.setField(Object, String, int, Object)",3,1,4,4
"org.apache.avro.thrift.ThriftData.getField(Object, String, int)",3,1,3,5
"org.apache.avro.thrift.ThriftData.setField(Object, String, int, Object, Object)",4,2,5,1
"org.apache.avro.thrift.ThriftData.getField(Object, String, int, Object)",7,2,4,3
"org.apache.avro.thrift.ThriftData.getRecordState(Object, Schema)",12,3,5,11
org.apache.avro.thrift.ThriftData.getSchemaName(Object),7,3,2,3
org.apache.avro.thrift.ThriftData.isRecord(Object),3,1,1,1
org.apache.avro.thrift.ThriftData.isEnum(Object),3,1,1,1
org.apache.avro.thrift.ThriftData.getEnumSchema(Object),3,1,1,3
org.apache.avro.thrift.ThriftData.isBytes(Object),6,3,2,4
"org.apache.avro.thrift.ThriftData.newRecord(Object, Schema)",12,4,3,6
org.apache.avro.thrift.ThriftData.getRecordSchema(Object),3,1,1,3
org.apache.avro.thrift.ThriftData.getSchema(Class),32,8,14,19
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),52,16,28,11
org.apache.avro.thrift.ThriftData.nullable(Schema),3,1,4,3
org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema),3,1,3,4
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map<LitS, Symbol>)",60,18,35,19
org.apache.avro.io.parsing.Symbol.Symbol(Kind),3,1,5,2
"org.apache.avro.io.parsing.Symbol.Symbol(Kind, Symbol[])",4,1,6,3
org.apache.avro.io.parsing.Symbol.root(Symbol...),3,1,5,2
org.apache.avro.io.parsing.Symbol.seq(Symbol...),3,1,6,2
"org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol...)",3,1,5,2
"org.apache.avro.io.parsing.Symbol.alt(Symbol[], String[])",3,1,4,2
org.apache.avro.io.parsing.Symbol.error(String),3,1,3,2
"org.apache.avro.io.parsing.Symbol.resolve(Symbol, Symbol)",3,1,3,2
"org.apache.avro.io.parsing.Symbol.flatten(Map<Sequence, Sequence>, Map<Sequence, List>)",4,1,5,1
org.apache.avro.io.parsing.Symbol.flattenedSize(),3,1,0,1
