method,pattern,space
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)",HotCallee,"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)"
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),HotCallee,org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File)
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",HotCallee,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileRepository.get(String, File)"
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),HotExec,org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer); org.apache.ivy.core.settings.IvySettings.IvySettings()
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",FreqExec,"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations)"
org.apache.ivy.core.module.id.ModuleId.hashCode(),FreqExec,"org.apache.ivy.core.module.id.ModuleId.hashCode(); org.apache.ivy.core.module.id.ModuleRevisionId.hashCode(); java.util.WeakHashMap.get(Object); org.apache.ivy.core.resolve.IvyNodeEviction$ModuleIdConf.hashCode(); org.apache.ivy.core.module.id.ArtifactId.hashCode(); java.util.HashMap.put(Object, Object); java.util.HashMap$KeySet.contains(Object); java.util.LinkedHashMap.get(Object); java.util.HashMap.get(Object)"
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",FreqExec,"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean); org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date)",HotCallee,"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date); org.apache.ivy.plugins.resolver.IBiblioResolver.listResources(Repository, ModuleRevisionId, String, Artifact)"
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",HotCallee,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)"
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(),FreqExec,"org.apache.ivy.core.settings.IvySettings.getVersionMatcher(); org.apache.ivy.core.sort.SortEngine.getVersionMatcher(); org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String); org.apache.ivy.plugins.resolver.RepositoryResolver.findResourceUsingPattern(ModuleRevisionId, String, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResourceUsingPatterns(ModuleRevisionId, List, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.AbstractResolver.saveModuleRevisionIfNeeded(DependencyDescriptor, ResolvedModuleRevision); org.apache.ivy.plugins.resolver.BasicResolver.checkModuleDescriptorRevision(ModuleDescriptor, ModuleRevisionId); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheckIsDynamic(ModuleRevisionId); org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage); org.apache.ivy.plugins.resolver.BasicResolver.checkDescriptorConsistency(ModuleRevisionId, ModuleDescriptor, ResolvedResource); org.apache.ivy.plugins.latest.LatestRevisionStrategy$ArtifactInfoComparator.compare(Object, Object)"
