method,method,invocation counts
org.apache.tools.ant.types.PatternSet$NameEntry.evalName(Project),org.apache.tools.ant.types.PatternSet$NameEntry.valid(Project),98
org.apache.tools.ant.types.PatternSet.getExcludePatterns(Project),org.apache.tools.ant.types.PatternSet.readFiles(Project),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.append(String),219
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),73
org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),java.lang.String.endsWith(String),26
org.apache.tools.ant.DirectoryScanner.setExcludes(String[]),"java.lang.String.replace(char, char)",52
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)","org.apache.tools.ant.Project.log(String, int)",73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.AbstractFileSet.getSelectors(Project),73
org.apache.tools.ant.types.AbstractFileSet.getSelectors(Project),java.util.Vector.copyInto(Object[]),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),73
org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),"org.apache.tools.ant.types.PatternSet.makeArray(Vector, Project)",73
org.apache.tools.ant.types.PatternSet.getIncludePatterns(Project),org.apache.tools.ant.types.PatternSet.readFiles(Project),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.<init>(),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",java.lang.StringBuffer.toString(),73
"org.apache.tools.ant.types.AbstractFileSet.setupDirectoryScanner(FileScanner, Project)",org.apache.tools.ant.DirectoryScanner.setIncludes(String[]),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),java.io.File.exists(),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),java.io.File.isDirectory(),73
org.apache.tools.ant.types.AbstractFileSet.getDirectoryScanner(Project),org.apache.tools.ant.DirectoryScanner.<init>(),73
org.apache.tools.ant.DirectoryScanner.<init>(),java.util.HashSet.<init>(),73
org.apache.tools.ant.DirectoryScanner.<init>(),java.util.HashMap.<init>(),73
org.apache.ivy.ant.IvyCacheFilesetTest.testEmptyConf(),org.apache.ivy.ant.IvyTask.execute(),1
org.apache.ivy.ant.IvyTask.execute(),org.apache.ivy.ant.IvyCacheFileset.doExecute(),5
org.apache.ivy.ant.IvyCacheFileset.doExecute(),org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),7
org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),org.apache.ivy.ant.IvyPostResolveTask.ensureResolved(IvySettings),46
org.apache.ivy.ant.IvyPostResolveTask.ensureResolved(IvySettings),org.apache.ivy.ant.IvyTask.execute(),36
org.apache.ivy.ant.IvyTask.execute(),org.apache.ivy.ant.IvyResolve.doExecute(),149
org.apache.ivy.ant.IvyResolve.doExecute(),"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)",139
"org.apache.ivy.Ivy.resolve(URL, ResolveOptions)","org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)",156
"org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions)","org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",142
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)","org.apache.ivy.core.resolve.ResolveEngine.outputReport(ResolveReport, ResolutionCacheManager, ResolveOptions)",151
"org.apache.ivy.core.resolve.ResolveEngine.outputReport(ResolveReport, ResolutionCacheManager, ResolveOptions)","org.apache.ivy.core.report.ResolveReport.output(ReportOutputter[], ResolutionCacheManager, ResolveOptions)",163
"org.apache.ivy.core.report.ResolveReport.output(ReportOutputter[], ResolutionCacheManager, ResolveOptions)","org.apache.ivy.plugins.report.XmlReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",163
"org.apache.ivy.plugins.report.XmlReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)","org.apache.ivy.plugins.report.XmlReportOutputter.output(ConfigurationResolveReport, String, String[], ResolutionCacheManager)",210
"org.apache.ivy.plugins.report.XmlReportOutputter.output(ConfigurationResolveReport, String, String[], ResolutionCacheManager)",java.io.FileOutputStream.<init>(File),212
"org.apache.ivy.plugins.report.XmlReportOutputter.output(ConfigurationResolveReport, String, String[], ResolutionCacheManager)",java.lang.Class.getResourceAsStream(String),266
"org.apache.ivy.plugins.report.XmlReportOutputter.output(ConfigurationResolveReport, String, String[], ResolutionCacheManager)","org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",212
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",java.io.PrintWriter.println(String),3307
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",java.io.PrintWriter.flush(),212
"org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream)",java.text.DateFormat.format(Date),212
