class path,method name,method arguments,Time,OwnTime,count
src\java\org\apache\ivy\plugins\version\LatestVersionMatcher.java,accept,"ModuleRevisionId, ModuleDescriptor",1,0,54
src\java\org\apache\ivy\ant\IvyAntSettings.java,format,String,0,0,9
src\java\org\apache\ivy\plugins\version\PatternVersionMatcher.java,<init>,,0,0,15
test\java\org\apache\ivy\ant\IvyVarTest.java,testPrefix,,123,0,1
src\java\org\apache\ivy\Ivy.java,setVariable,"String, String",26,0,9
src\java\org\apache\ivy\core\IvyContext.java,pop,String,0,0,7
src\java\org\apache\ivy\core\settings\IvySettings.java,getResolutionCacheManager,,17,0,550
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,addDependencyArtifact,"String, DependencyArtifactDescriptor",0,0,4
src\java\org\apache\ivy\plugins\resolver\ChainResolver.java,exists,Artifact,0,0,5
src\java\org\apache\ivy\core\resolve\IvyNode.java,hasConfigurationsToLoad,,3,0,894
src\java\org\apache\ivy\util\cli\CommandLineParser.java,<init>,,0,0,18
src\java\org\apache\ivy\ant\IvyTask.java,execute,,97719,0,331
src\java\org\apache\ivy\core\settings\IvySettings.java,getResolveMode,ModuleId,26,5,4793
src\java\org\apache\ivy\ant\IvyConvertPom.java,doExecute,,220,0,4
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,getDownloadedNodes,,17,1,218
src\java\org\apache\ivy\core\search\ModuleEntry.java,toString,,0,0,8
src\java\org\apache\ivy\core\resolve\IvyNodeUsage.java,updateDataFrom,"IvyNodeUsage, String",3,0,32
src\java\org\apache\ivy\core\IvyThread.java,<init>,"ThreadGroup, Runnable",0,0,4
src\java\org\apache\ivy\Ivy.java,postConfigure,,9,2,849
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,getRevision,,0,0,35
test\java\org\apache\ivy\ant\AntCallTriggerTest.java,addBuildListeners,"Project, int",1,0,1
src\java\org\apache\ivy\core\repository\RepositoryManagementEngine.java,getModuleIdsNumber,,0,0,2
test\java\org\apache\ivy\ant\IvyReportTest.java,testWithLatest,,2593,0,1
src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,put,"Artifact, File, String, boolean",1955,0,181
src\java\org\apache\ivy\ant\AntMessageLogger.java,<init>,Task,14,3,1050
src\java\org\apache\ivy\core\settings\IvySettings.java,addRepositoryCacheManager,RepositoryCacheManager,3,0,869
src\java\org\apache\ivy\core\sort\SortEngine.java,getVersionMatcher,,7,0,410
src\java\org\apache\ivy\util\url\HttpClientHandler.java,useProxyAuthentication,,0,0,214
test\java\org\apache\ivy\ant\IvyInstallTest.java,cleanCache,,153,0,12
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriter.java,printConfigurations,"ModuleDescriptor, PrintWriter",97,1,146
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorParser.java,toIvyFile,"InputStream, Resource, File, ModuleDescriptor",3175,0,213
test\java\org\apache\ivy\ant\AntCallTriggerTest.java,createLogger,int,1,0,1
src\java\org\apache\ivy\core\resolve\IvyNode.java,getEvictedRevisions,"ModuleId, String",24,2,1285
src\java\org\apache\ivy\core\module\descriptor\License.java,<init>,"String, String",0,0,39
src\java\org\apache\ivy\core\install\InstallOptions.java,<init>,,0,0,39
src\java\org\apache\ivy\ant\IvyReport.java,getOutputPattern,"String, String",112,0,18
src\java\org\apache\ivy\Main.java,getParser,,8,0,6
src\java\org\apache\ivy\core\event\download\EndArtifactDownloadEvent.java,<init>,"DependencyResolver, Artifact, ArtifactDownloadReport, File",67,6,327
src\java\org\apache\ivy\core\resolve\IvyNode.java,getDependencies,"String, String[]",527,3,407
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,resolveTokenValues,"String[], String, Map, boolean",302,7,330
src\java\org\apache\ivy\ant\IvyResolve.java,setKeep,boolean,0,0,47
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,findArtifactRef,"Artifact, Date",818,2,704
src\java\org\apache\ivy\plugins\resolver\AbstractPatternsBasedResolver.java,addArtifactPattern,String,0,0,5
test\java\org\apache\ivy\ant\IvyResolveTest.java,<init>,,0,0,23
test\java\org\apache\ivy\util\MockMessageLogger.java,log,"String, int",0,0,2
src\java\org\apache\ivy\plugins\resolver\CacheResolver.java,<init>,,0,0,46
src\java\org\apache\ivy\Ivy.java,publish,"ModuleRevisionId, Collection, String, PublishOptions",1492,0,24
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getDependencyId,,0,0,9230
src\java\org\apache\ivy\core\event\EventManager.java,fireIvyEvent,IvyEvent,1320,3,3019
src\java\org\apache\ivy\core\event\retrieve\StartRetrieveEvent.java,<init>,"ModuleRevisionId, String[], RetrieveOptions",128,0,27
test\java\org\apache\ivy\util\StringUtilsTest.java,<init>,,0,0,2
src\java\org\apache\ivy\plugins\repository\url\URLResource.java,init,,28449,2,769
test\java\org\apache\ivy\ant\IvyCachePathTest.java,testInline2,,269,0,1
src\java\org\apache\ivy\plugins\resolver\CacheResolver.java,listRevisions,ModuleEntry,1,0,3
test\java\org\apache\ivy\ant\IvyCleanCacheTest.java,testResolutionOnly,,1,0,1
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpRepository.java,getExpectedUploadMessage,"File, String",0,0,3
src\java\org\apache\ivy\plugins\resolver\packager\BuiltFileResource.java,openStream,,0,0,2
src\java\org\apache\ivy\core\IvyPatternHelper.java,substituteParams,"String, Map",0,0,10
test\java\org\apache\ivy\ant\IvyResolveTest.java,testIVY779,,411,0,1
test\java\org\apache\ivy\ant\IvyBuildListTest.java,testWithRoot,,300,0,1
src\java\org\apache\ivy\util\MessageLoggerEngine.java,progress,,2,0,241
test\java\org\apache\ivy\plugins\version\MockVersionMatcher.java,<init>,,0,0,6
src\java\org\apache\ivy\core\event\resolve\StartResolveDependencyEvent.java,<init>,"DependencyResolver, DependencyDescriptor, ModuleRevisionId",98,0,311
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,getExcludeRules,String,1,1,1012
src\java\org\apache\ivy\plugins\matcher\AbstractPatternMatcher.java,toString,,0,0,1199
src\java\org\apache\ivy\core\module\descriptor\DefaultArtifact.java,<init>,"ModuleRevisionId, Date, String, String, String, Map",1,0,61
src\java\org\apache\ivy\core\cache\DefaultResolutionCacheManager.java,getConfigurationResolveReportInCache,"String, String",33,2,497
src\java\org\apache\ivy\util\url\AbstractURLHandler.java,getLastModified,"URL, int",13,0,13
src\java\org\apache\ivy\tools\analyser\JarJarDependencyAnalyser.java,main,String[],31,0,2
src\java\org\apache\ivy\ant\IvyTask.java,getSettings,,248,1,91
src\java\org\apache\ivy\util\url\IvyAuthenticator.java,<init>,Authenticator,0,0,9
src\java\org\apache\ivy\core\deliver\DeliverEngine.java,<init>,DeliverEngineSettings,0,0,1144
src\java\org\apache\ivy\plugins\resolver\AbstractResolver.java,listTokenValues,"String[], Map",0,0,25
src\java\org\apache\ivy\plugins\repository\TransferEvent.java,<init>,"Repository, Resource, Exception, int",534,0,8
src\java\org\apache\ivy\core\search\ModuleEntry.java,getResolver,,0,0,10
src\java\org\apache\ivy\core\module\descriptor\AbstractIncludeExcludeRule.java,initStandardAttributes,,0,0,33
src\java\org\apache\ivy\ant\IvyReport.java,genxml,String[],6,0,2
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,<init>,"ArtifactId, ModuleRevisionId, Map",1436,235,31740
src\java\org\apache\ivy\plugins\repository\ssh\AbstractSshBasedRepository.java,parseURI,String,18,0,102
src\java\org\apache\ivy\core\resolve\IvyNode.java,getDependencyDescriptor,IvyNode,15,2,2778
src\java\org\apache\ivy\plugins\repository\ssh\SshCache.java,createCacheKey,"String, String, int",1,0,32
test\java\org\apache\ivy\ant\IvyReportTest.java,setUp,,4,0,6
src\java\org\apache\ivy\plugins\repository\vsftp\VsftpRepository.java,ensureConnectionOpened,,7,0,29
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testWithAPreviousResolveAndResolveId,,499,0,1
src\java\org\apache\ivy\ant\AddPathTask.java,execute,,0,0,2
src\java\org\apache\ivy\core\module\descriptor\DefaultModuleDescriptor.java,getPublicConfigurationsNames,,6,3,491
src\java\org\apache\ivy\core\resolve\IvyNode.java,toString,,37,1,1050
src\java\org\apache\ivy\util\Configurator.java,addMacroElement,"String, boolean",0,0,4
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,updateDependency,"ModuleRevisionId, IvyNode",0,0,2
src\java\org\apache\ivy\util\url\URLHandlerDispatcher.java,getLastModified,URL,12,0,8
test\java\org\apache\ivy\ant\IvyBuildListTest.java,testWithLeafCircular,,430,0,1
src\java\org\apache\ivy\plugins\repository\ssh\SshRepository.java,list,String,2,0,4
src\java\org\apache\ivy\util\Credentials.java,<init>,"String, String, String, String",0,0,54
