method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.StandardStructureTypes.StandardStructureTypes(),3,1,0,1,0
"org.apache.pdfbox.contentstream.operator.text.ShowTextLine.process(Operator, List<COSBase>)",5,1,2,1,0
org.apache.pdfbox.contentstream.operator.text.ShowTextLine.getName(),4,1,0,1,0
org.apache.pdfbox.cos.COSBase.COSBase(),3,1,0,1,0
org.apache.pdfbox.cos.COSBase.getCOSObject(),4,1,5,1,0
org.apache.pdfbox.cos.COSBase.accept(ICOSVisitor),1,1,4,1,0
org.apache.pdfbox.cos.COSBase.isDirect(),4,1,4,1,0
org.apache.pdfbox.cos.COSBase.setDirect(boolean),4,1,23,1,0
org.apache.pdfbox.contentstream.operator.Operator.Operator(String),8,2,2,4,0
org.apache.pdfbox.contentstream.operator.Operator.getOperator(String),21,4,4,5,0
org.apache.pdfbox.contentstream.operator.Operator.getName(),4,1,24,1,0
org.apache.pdfbox.contentstream.operator.Operator.toString(),4,1,1,1,0
org.apache.pdfbox.contentstream.operator.Operator.getImageData(),4,1,8,1,0
org.apache.pdfbox.contentstream.operator.Operator.setImageData(byte[]),4,1,2,1,0
org.apache.pdfbox.contentstream.operator.Operator.getImageParameters(),4,1,7,1,0
org.apache.pdfbox.contentstream.operator.Operator.setImageParameters(COSDictionary),4,1,2,1,0
org.apache.pdfbox.contentstream.operator.OperatorProcessor.OperatorProcessor(),3,1,0,1,0
org.apache.pdfbox.contentstream.operator.OperatorProcessor.getContext(),4,1,2,1,0
org.apache.pdfbox.contentstream.operator.OperatorProcessor.setContext(PDFStreamEngine),4,1,5,1,0
"org.apache.pdfbox.contentstream.operator.OperatorProcessor.process(Operator, List<COSBase>)",1,1,1,0,0
org.apache.pdfbox.contentstream.operator.OperatorProcessor.getName(),1,1,1,1,0
"org.apache.pdfbox.contentstream.operator.OperatorProcessor.checkArrayTypesClass(List<COSBase>, Class)",11,3,7,2,1
org.apache.pdfbox.contentstream.PDFStreamEngine.PDFStreamEngine(),3,1,0,1,0
"org.apache.pdfbox.contentstream.PDFStreamEngine.registerOperatorProcessor(String, OperatorProcessor)",5,1,3,2,0
org.apache.pdfbox.contentstream.PDFStreamEngine.addOperator(OperatorProcessor),5,1,8,3,0
org.apache.pdfbox.contentstream.PDFStreamEngine.initPage(PDPage),14,2,4,11,0
org.apache.pdfbox.contentstream.PDFStreamEngine.processPage(PDPage),10,2,7,4,0
org.apache.pdfbox.contentstream.PDFStreamEngine.showTransparencyGroup(PDTransparencyGroup),4,1,4,1,0
org.apache.pdfbox.contentstream.PDFStreamEngine.showForm(PDFormXObject),9,2,6,2,0
org.apache.pdfbox.contentstream.PDFStreamEngine.processSoftMask(PDTransparencyGroup),7,1,2,5,0
org.apache.pdfbox.contentstream.PDFStreamEngine.processTransparencyGroup(PDTransparencyGroup),15,2,5,12,0
"org.apache.pdfbox.contentstream.PDFStreamEngine.processType3Stream(PDType3CharProc, Matrix)",22,2,6,14,0
"org.apache.pdfbox.contentstream.PDFStreamEngine.processAnnotation(PDAnnotation, PDAppearanceStream)",24,2,3,25,0
"org.apache.pdfbox.contentstream.PDFStreamEngine.processTilingPattern(PDTilingPattern, PDColor, PDColorSpace)",5,1,3,2,0
