method,method,invocation counts
org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(String),org.apache.pdfbox.cos.COSName.getPDFName(String),2848
"org.apache.pdfbox.cos.COSDictionary.setEmbeddedDate(String, COSName, Calendar)",org.apache.pdfbox.cos.COSDictionary.<init>(),2
"org.apache.pdfbox.cos.COSDictionary.setEmbeddedDate(String, String, Calendar)",org.apache.pdfbox.cos.COSName.getPDFName(String),10
"org.apache.pdfbox.debugger.treestatus.TreeStatus.searchNode(Object, String)",org.apache.pdfbox.cos.COSDictionary.containsKey(String),2
org.apache.pdfbox.cos.COSDictionary.containsKey(String),org.apache.pdfbox.cos.COSName.getPDFName(String),13
org.apache.pdfbox.cos.COSDictionary.containsKey(String),org.apache.pdfbox.cos.COSDictionary.containsKey(COSName),13
"org.apache.pdfbox.debugger.treestatus.TreeStatus.searchNode(Object, String)",org.apache.pdfbox.debugger.ui.MapEntry.<init>(),1
"org.apache.pdfbox.debugger.treestatus.TreeStatus.searchNode(Object, String)",org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(String),1
"org.apache.pdfbox.debugger.treestatus.TreeStatus.searchNode(Object, String)",org.apache.pdfbox.cos.COSDictionary.getItem(String),1
org.apache.pdfbox.cos.COSDictionary.getItem(String),org.apache.pdfbox.cos.COSName.getPDFName(String),11
org.apache.pdfbox.cos.COSDictionary.getItem(String),org.apache.pdfbox.cos.COSDictionary.getItem(COSName),11
"org.apache.pdfbox.debugger.treestatus.TreeStatus.searchNode(Object, String)",org.apache.pdfbox.cos.COSName.getPDFName(String),1
org.apache.pdfbox.cos.COSStream.<init>(),org.apache.pdfbox.io.ScratchFile.getMainMemoryOnlyInstance(),37
org.apache.pdfbox.io.ScratchFile.getMainMemoryOnlyInstance(),org.apache.pdfbox.io.ScratchFile.<init>(MemoryUsageSetting),135
org.apache.pdfbox.io.ScratchFile.getMainMemoryOnlyInstance(),org.apache.pdfbox.io.MemoryUsageSetting.setupMainMemoryOnly(),135
org.apache.pdfbox.io.MemoryUsageSetting.setupMainMemoryOnly(),org.apache.pdfbox.io.MemoryUsageSetting.setupMainMemoryOnly(long),337
org.apache.pdfbox.io.MemoryUsageSetting.setupMainMemoryOnly(long),"org.apache.pdfbox.io.MemoryUsageSetting.<init>(boolean, boolean, long, long)",343
org.apache.pdfbox.cos.COSStream.<init>(),org.apache.pdfbox.cos.COSStream.<init>(ScratchFile),37
org.apache.pdfbox.cos.COSStream.<init>(ScratchFile),org.apache.pdfbox.cos.COSDictionary.<init>(),125
org.apache.pdfbox.debugger.colorpane.CSDeviceN.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN.<init>(COSArray),1
org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN.<init>(COSArray),org.apache.pdfbox.pdmodel.graphics.color.PDSpecialColorSpace.<init>(),4
org.apache.pdfbox.pdmodel.graphics.color.PDSpecialColorSpace.<init>(),org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.<init>(),101
org.apache.pdfbox.debugger.stringpane.StringPane.<init>(COSString),org.apache.pdfbox.debugger.stringpane.StringPane.createTextView(COSString),1
org.apache.pdfbox.debugger.stringpane.StringPane.createTextView(COSString),org.apache.pdfbox.debugger.stringpane.StringPane.getTextString(COSString),1
org.apache.pdfbox.debugger.hexviewer.HexView.changeData(byte[]),org.apache.pdfbox.debugger.hexviewer.HexEditor.<init>(HexModel),2
org.apache.pdfbox.debugger.hexviewer.HexEditor.<init>(HexModel),org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),6
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexEditor.getScrollPane(),5
org.apache.pdfbox.debugger.hexviewer.HexEditor.getScrollPane(),org.apache.pdfbox.debugger.hexviewer.HexModel.totalLine(),5
org.apache.pdfbox.debugger.hexviewer.HexModel.totalLine(),org.apache.pdfbox.debugger.hexviewer.HexModel.size(),120
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.StatusPane.<init>(),5
org.apache.pdfbox.debugger.hexviewer.StatusPane.<init>(),org.apache.pdfbox.debugger.hexviewer.StatusPane.createView(),6
org.apache.pdfbox.debugger.hexviewer.HexEditor.createView(),org.apache.pdfbox.debugger.hexviewer.HexPane.<init>(HexModel),5
org.apache.pdfbox.debugger.hexviewer.HexPane.<init>(HexModel),org.apache.pdfbox.debugger.hexviewer.HexModel.addHexModelChangeListener(HexModelChangeListener),35
