method,pattern,space
"org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage.checkIdent(BufferedImage, BufferedImage)",HotExec,"org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage.checkIdent(BufferedImage, BufferedImage)"
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.seek(long),FreqExec,"org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.seek(long); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.read(byte[], int, int); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.rewind(int); org.apache.pdfbox.pdfparser.COSParser.validateStreamLength(long); org.apache.pdfbox.pdfparser.COSParser.parseFileObject(Long, COSObjectKey, COSObject); org.apache.pdfbox.pdfparser.COSParser.checkObjectKeys(COSObjectKey, long); org.apache.pdfbox.pdfparser.COSParser.isString(char[]); org.apache.pdfbox.pdfparser.COSParser.bfSearchForObjects()"
org.apache.pdfbox.pdmodel.font.PDFontFactory.createFont(COSDictionary),HotCallee,org.apache.pdfbox.pdmodel.font.PDFontFactory.createFont(COSDictionary); org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.PDTrueTypeFont(COSDictionary)
org.apache.pdfbox.pdmodel.common.COSArrayList.size(),FreqExec,org.apache.pdfbox.pdmodel.common.COSArrayList.size(); org.apache.pdfbox.pdmodel.font.PDFont.getWidth(int)
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor.getColorSpace(),FreqExec,"org.apache.pdfbox.contentstream.operator.color.SetStrokingColor.getColorSpace(); org.apache.pdfbox.contentstream.operator.color.SetColor.process(Operator, List<COSBase>)"
"org.apache.pdfbox.util.QuickSort.partition(List<T>, Comparator<T>, int, int, int)",HotExec,"org.apache.pdfbox.util.QuickSort.partition(List<T>, Comparator<T>, int, int, int); org.apache.pdfbox.util.QuickSort.quicksort(List<T>, Comparator<T>)"
org.apache.pdfbox.io.ScratchFileBuffer.isEOF(),FreqExec,"org.apache.pdfbox.io.ScratchFileBuffer.isEOF(); org.apache.pdfbox.io.RandomAccessInputStream.read(byte[], int, int); org.apache.pdfbox.io.RandomAccessInputStream.read(); org.apache.pdfbox.pdfparser.RandomAccessSource.isEOF(); org.apache.pdfbox.pdfparser.COSParser.parseXrefTable(long); org.apache.pdfbox.pdfparser.COSParser.bfSearchForObjects()"
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),HotCallee,org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(); org.apache.pdfbox.cos.COSStream.createInputStream()
org.apache.pdfbox.contentstream.PDFStreamEngine.getGraphicsState(),FreqExec,"org.apache.pdfbox.contentstream.PDFStreamEngine.getGraphicsState(); org.apache.pdfbox.contentstream.operator.text.SetFontAndSize.process(Operator, List<COSBase>); org.apache.pdfbox.rendering.PageDrawer.getNonStrokingPaint(); org.apache.pdfbox.rendering.PageDrawer.setClip(); org.apache.pdfbox.rendering.PageDrawer.drawGlyph2D(Glyph2D, PDFont, int, Vector, AffineTransform); org.apache.pdfbox.contentstream.PDFStreamEngine.showText(byte[]); org.apache.pdfbox.contentstream.PDFStreamEngine.transformedPoint(float, float); org.apache.pdfbox.text.PDFTextStreamEngine.showGlyph(Matrix, PDFont, int, String, Vector); org.apache.pdfbox.contentstream.PDFStreamEngine.showTextStrings(COSArray); org.apache.pdfbox.rendering.PageDrawer.fillPath(int)"
"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.applyMask(BufferedImage, BufferedImage, boolean)",HotExec,"org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.applyMask(BufferedImage, BufferedImage, boolean); org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getImage()"
org.apache.pdfbox.pdmodel.font.PDType0Font.getDisplacement(int),FreqExec,org.apache.pdfbox.pdmodel.font.PDType0Font.getDisplacement(int); org.apache.pdfbox.contentstream.PDFStreamEngine.showText(byte[])
"org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.getRaster(int, int, int, int)",FreqExec,"org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.getRaster(int, int, int, int); sun.java2d.SunGraphics2D.fill(Shape)"
org.apache.pdfbox.io.RandomAccessInputStream.restorePosition(),FreqExec,"org.apache.pdfbox.io.RandomAccessInputStream.restorePosition(); org.apache.pdfbox.io.RandomAccessInputStream.read(byte[], int, int); org.apache.pdfbox.io.RandomAccessInputStream.available(); org.apache.pdfbox.io.RandomAccessInputStream.read()"
org.apache.pdfbox.io.RandomAccessOutputStream.write(byte[]),FreqExec,"org.apache.pdfbox.io.RandomAccessOutputStream.write(byte[]); org.apache.pdfbox.filter.DCTFilter.decode(InputStream, OutputStream, COSDictionary, int); org.apache.pdfbox.filter.CCITTFaxFilter.decode(InputStream, OutputStream, COSDictionary, int); org.apache.pdfbox.cos.COSOutputStream.close(); org.apache.pdfbox.filter.Predictor.decodePredictor(int, int, int, int, InputStream, OutputStream); org.apache.pdfbox.filter.JPXFilter.decode(InputStream, OutputStream, COSDictionary, int)"
org.apache.pdfbox.pdmodel.font.PDSimpleFont.PDSimpleFont(String),HotCallee,org.apache.pdfbox.pdmodel.font.PDSimpleFont.PDSimpleFont(String); org.apache.pdfbox.pdmodel.font.PDFont.PDFont(String)
org.apache.pdfbox.rendering.PageDrawer.endTextClip(),FreqExec,org.apache.pdfbox.rendering.PageDrawer.endTextClip(); org.apache.pdfbox.rendering.PageDrawer.endText()
"org.apache.pdfbox.rendering.TTFGlyph2D.getPathForGID(int, int)",FreqExec,"org.apache.pdfbox.rendering.TTFGlyph2D.getPathForGID(int, int); org.apache.pdfbox.rendering.TTFGlyph2D.getPathForCharacterCode(int)"
org.apache.pdfbox.pdmodel.font.PDType0Font.getFontDescriptor(),FreqExec,"org.apache.pdfbox.pdmodel.font.PDType0Font.getFontDescriptor(); org.apache.pdfbox.text.PDFTextStreamEngine.showGlyph(Matrix, PDFont, int, String, Vector)"
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),HotRecur,org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(); org.apache.pdfbox.contentstream.PDFStreamEngine.processStreamOperators(PDContentStream)
"org.apache.pdfbox.cos.COSInputStream.create(List<Filter>, COSDictionary, InputStream, ScratchFile)",HotCallee,"org.apache.pdfbox.cos.COSInputStream.create(List<Filter>, COSDictionary, InputStream, ScratchFile); org.apache.pdfbox.filter.FlateFilter.decode(InputStream, OutputStream, COSDictionary, int); org.apache.pdfbox.filter.ASCII85Filter.decode(InputStream, OutputStream, COSDictionary, int); org.apache.pdfbox.filter.JPXFilter.decode(InputStream, OutputStream, COSDictionary, int); org.apache.pdfbox.filter.JBIG2Filter.decode(InputStream, OutputStream, COSDictionary, int)"
org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument),HotCallee,org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.prepareDocumentForEncryption(PDDocument); org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler.computeRecipientsField(byte[])
"org.apache.pdfbox.pdfparser.COSParser.readValidStream(OutputStream, COSNumber)",HotCallee,"org.apache.pdfbox.pdfparser.COSParser.readValidStream(OutputStream, COSNumber); org.apache.pdfbox.io.ScratchFileBuffer.read(byte[], int, int)"
org.apache.pdfbox.pdfparser.RandomAccessSource.read(byte[]),FreqExec,org.apache.pdfbox.pdfparser.RandomAccessSource.read(byte[]); org.apache.pdfbox.pdfparser.BaseParser.checkForMissingCloseParen(int)
"org.apache.pdfbox.pdfparser.COSParser.parseDictObjects(COSDictionary, COSName...)",HotExec,"org.apache.pdfbox.pdfparser.COSParser.parseDictObjects(COSDictionary, COSName...); org.apache.pdfbox.pdfparser.PDFParser.initialParse()"
"org.apache.pdfbox.pdfwriter.COSWriter.writeString(byte[], boolean, OutputStream)",HotCallee,"org.apache.pdfbox.pdfwriter.COSWriter.writeString(byte[], boolean, OutputStream); org.apache.pdfbox.util.Hex.getBytes(byte)"
org.apache.pdfbox.io.RandomAccessOutputStream.write(int),FreqExec,"org.apache.pdfbox.io.RandomAccessOutputStream.write(int); java.io.FilterOutputStream.write(byte[], int, int); java.io.FilterOutputStream.write(byte[]); java.io.FilterOutputStream.write(int); org.apache.pdfbox.io.TestRandomAccessOutputStream.testWrite()"
"org.apache.pdfbox.io.RandomAccessInputStream.read(byte[], int, int)",FreqExec,"org.apache.pdfbox.io.RandomAccessInputStream.read(byte[], int, int); java.io.InputStream.read(byte[]); java.io.FilterInputStream.read(byte[]); org.apache.pdfbox.filter.FlateFilter.decompress(InputStream, OutputStream); javax.imageio.ImageReader.read(int); com.sun.imageio.plugins.jpeg.JPEGImageReader.getImageMetadata(int); javax.imageio.stream.MemoryCacheImageInputStream.read(); java.io.PushbackInputStream.read(byte[], int, int); com.sun.imageio.plugins.jpeg.JPEGImageReader.readRaster(int, ImageReadParam); java.awt.color.ICC_Profile.getInstance(InputStream); javax.xml.parsers.DocumentBuilder.parse(InputStream); javax.imageio.stream.MemoryCacheImageInputStream.read(byte[], int, int); javax.imageio.stream.ImageInputStreamImpl.readInt(); javax.imageio.stream.FileCacheImageInputStream.read(byte[], int, int); javax.imageio.stream.ImageInputStreamImpl.readBits(int)"
"org.apache.pdfbox.contentstream.operator.graphics.MoveTo.process(Operator, List<COSBase>)",FreqExec,"org.apache.pdfbox.contentstream.operator.graphics.MoveTo.process(Operator, List<COSBase>); org.apache.pdfbox.contentstream.PDFStreamEngine.processOperator(Operator, List<COSBase>)"
org.apache.pdfbox.text.TextPosition.getXRot(float),FreqExec,"org.apache.pdfbox.text.TextPosition.getXRot(float); org.apache.pdfbox.text.TextPosition.getXDirAdj(); org.apache.pdfbox.text.TextPosition.TextPosition(int, float, float, Matrix, float, float, float, float, float, String, int[], PDFont, float, int)"
"org.apache.pdfbox.text.TextPositionComparator.compare(TextPosition, TextPosition)",HotRecur,"org.apache.pdfbox.text.TextPositionComparator.compare(TextPosition, TextPosition); org.apache.pdfbox.util.QuickSort.partition(List<T>, Comparator<T>, int, int, int)"
org.apache.pdfbox.contentstream.PDFStreamEngine.processPage(PDPage),HotCallee,org.apache.pdfbox.contentstream.PDFStreamEngine.processPage(PDPage); org.apache.pdfbox.contentstream.PDFStreamEngine.processStream(PDContentStream)
org.apache.pdfbox.pdmodel.PDResources.hasColorSpace(COSName),FreqExec,"org.apache.pdfbox.pdmodel.PDResources.hasColorSpace(COSName); org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)"
org.apache.pdfbox.cos.COSName.accept(ICOSVisitor),FreqExec,org.apache.pdfbox.cos.COSName.accept(ICOSVisitor); org.apache.pdfbox.pdfwriter.COSWriter.visitFromDictionary(COSDictionary); org.apache.pdfbox.pdfwriter.COSWriter.visitFromArray(COSArray)
org.apache.pdfbox.pdmodel.font.PDCIDFont.getWidth(int),FreqExec,org.apache.pdfbox.pdmodel.font.PDCIDFont.getWidth(int); org.apache.pdfbox.pdmodel.font.PDType0Font.getWidth(int)
"org.apache.pdfbox.examples.signature.CreateSignature.signDetached(File, File, TSAClient)",HotExec,"org.apache.pdfbox.examples.signature.CreateSignature.signDetached(File, File, TSAClient)"
"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.getFonts(COSDictionary, PreflightContext)",HotCallee,"org.apache.pdfbox.preflight.process.reflect.ResourcesValidationProcess.getFonts(COSDictionary, PreflightContext); org.apache.pdfbox.pdmodel.font.PDFontFactory.createFont(COSDictionary)"
org.apache.pdfbox.pdfwriter.COSWriter.visitFromString(COSString),FreqExec,org.apache.pdfbox.pdfwriter.COSWriter.visitFromString(COSString); org.apache.pdfbox.cos.COSString.accept(ICOSVisitor)
