method,pattern,space
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.seek(long),FreqExec,"org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.seek(long); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.read(byte[], int, int); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.rewind(int); org.apache.pdfbox.pdfparser.COSParser.validateStreamLength(long); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.read(); org.apache.pdfbox.pdfparser.COSParser.parseFileObject(Long, COSObjectKey, COSObject); org.apache.pdfbox.pdfparser.COSParser.checkObjectKeys(COSObjectKey, long); org.apache.pdfbox.pdfparser.COSParser.isString(char[]); org.apache.pdfbox.pdfparser.COSParser.checkXRefOffset(long); org.apache.pdfbox.pdfparser.COSParser.parseXref(long); org.apache.pdfbox.pdfparser.COSParser.getStartxrefOffset(); org.apache.pdfbox.pdfparser.COSParser.parseHeader(String, String); org.apache.pdfbox.io.RandomAccessBufferedFileInputStream.RandomAccessBufferedFileInputStream(File); org.apache.pdfbox.pdfparser.COSParser.getLength(COSBase, COSName); org.apache.pdfbox.pdfparser.COSParser.checkXRefStreamOffset(long, boolean); org.apache.pdfbox.pdfparser.COSParser.bfSearchForObjects(); org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(); org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(long, int, boolean)"
org.apache.pdfbox.pdmodel.font.PDFontFactory.createFont(COSDictionary),FreqExec,org.apache.pdfbox.pdmodel.font.PDFontFactory.createFont(COSDictionary); org.apache.pdfbox.pdmodel.PDResources.getFont(COSName)
org.apache.pdfbox.pdmodel.common.COSArrayList.size(),FreqExec,"org.apache.pdfbox.pdmodel.common.COSArrayList.size(); org.apache.pdfbox.pdmodel.font.PDFont.getWidth(int); org.apache.pdfbox.pdmodel.font.PDType3Font.getWidth(int); org.apache.pdfbox.pdmodel.common.PDNumberTreeNode.setKids(List<? extends PDNumberTreeNode>); org.apache.pdfbox.pdmodel.graphics.image.PDInlineImage.PDInlineImage(COSDictionary, byte[], PDResources)"
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor.getColorSpace(),FreqExec,"org.apache.pdfbox.contentstream.operator.color.SetStrokingColor.getColorSpace(); org.apache.pdfbox.contentstream.operator.color.SetColor.process(Operator, List<COSBase>); org.apache.pdfbox.contentstream.operator.color.SetStrokingColor_ESTest.test2()"
org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary),FreqExec,org.apache.pdfbox.pdmodel.font.PDFont.PDFont(COSDictionary); org.apache.pdfbox.pdmodel.font.PDSimpleFont.PDSimpleFont(COSDictionary); org.apache.pdfbox.pdmodel.font.PDType0Font.PDType0Font(COSDictionary)
"org.apache.pdfbox.util.QuickSort.partition(List<T>, Comparator<T>, int, int, int)",FreqExec,"org.apache.pdfbox.util.QuickSort.partition(List<T>, Comparator<T>, int, int, int); org.apache.pdfbox.util.QuickSort.quicksort(List<T>, Comparator<T>)"
org.apache.pdfbox.io.ScratchFileBuffer.isEOF(),FreqExec,"org.apache.pdfbox.io.ScratchFileBuffer.isEOF(); org.apache.pdfbox.io.RandomAccessInputStream.read(byte[], int, int); org.apache.pdfbox.io.RandomAccessInputStream.read(); org.apache.pdfbox.pdfparser.RandomAccessSource.isEOF(); org.apache.pdfbox.pdfparser.COSParser.parseXrefTable(long); org.apache.pdfbox.pdfparser.COSParser.bfSearchForObjects()"
org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(),HotCallee,org.apache.pdfbox.pdmodel.common.PDStream.createInputStream(); org.apache.pdfbox.cos.COSStream.createInputStream()
org.apache.pdfbox.util.DateConverter.toISO8601(Calendar),FreqExec,"org.apache.pdfbox.util.DateConverter.toISO8601(Calendar); org.apache.pdfbox.util.TestDateUtil.checkParse(int, int, int, int, int, int, int, int, String); org.apache.pdfbox.util.TestDateUtil.checkToString(int, int, int, int, int, int, TimeZone, int, int); org.apache.pdfbox.util.DateConverter_ESTest.test01()"
org.apache.pdfbox.io.ScratchFile.createBuffer(),FreqExec,"org.apache.pdfbox.io.ScratchFile.createBuffer(); org.apache.pdfbox.cos.COSStream.createRawOutputStream(); org.apache.pdfbox.cos.COSInputStream.create(List<Filter>, COSDictionary, InputStream, ScratchFile); org.apache.pdfbox.cos.COSStream.createOutputStream(COSBase)"
