method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",20,380,13,103,149,24,8,69,11,14318,2,130,0.04761904761904767,0.20620239390642003,0.35135135135135137,0.12795031055900621,0.9932432432432432,0.8846153846153846,0.027210884353741496,0.8961038961038961,1.0,0.04627875857343254,0.0005714285714285715,0.0001337795416858089,0.3815525504761669
org.apache.ivy.ant.IvyBuildList.doExecute(),20,98,8,26,129,27,13,55,9,6461,0,35,0.04761904761904767,0.05277475516866159,0.21621621621621623,0.03229813664596273,0.8581081081081081,1.0,0.04421768707482993,0.7142857142857143,0.8181818181818182,0.02088329788678221,1e-13,3.525972416525196e-05,0.34378344340483563
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",17,657,19,109,109,21,10,74,2,271551,22,599,0.19047619047619047,0.35690968443960824,0.5135135135135135,0.13540372670807455,0.722972972972973,0.7692307692307693,0.034013605442176874,0.961038961038961,0.18181818181818182,0.8777093986153219,0.006285714285714286,0.0006201563250241373,0.31100194914502427
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",20,382,15,79,150,22,10,69,2,111920,12,1213,0.04761904761904767,0.20729053318824808,0.40540540540540543,0.09813664596273292,1.0,0.8076923076923077,0.034013605442176874,0.8961038961038961,0.18181818181818182,0.3617487539836967,0.0034285714285714284,0.001256905461420158,0.3035429091261187
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",14,490,15,112,134,21,31,68,0,216503,32,2495,0.33333333333333337,0.2660500544069641,0.40540540540540543,0.1391304347826087,0.8918918918918919,0.7692307692307693,0.1054421768707483,0.8831168831168831,1e-13,0.6997827956016109,0.009142857142857144,0.002586404472592305,0.29888118557576526
"org.apache.ivy.Main.run(CommandLineParser, String[])",20,615,18,144,129,25,6,77,1,12729,0,11,0.04761904761904767,0.3340587595212187,0.4864864864864865,0.17888198757763976,0.8581081081081081,0.9230769230769231,0.02040816326530612,1.0,0.09090909090909091,0.04114277956985772,1e-13,1.0370507107427047e-05,0.291045614067111
"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",20,257,14,45,111,21,4,47,7,2051,46,617,0.04761904761904767,0.13928182807399347,0.3783783783783784,0.055900621118012424,0.7364864864864865,0.7692307692307693,0.013605442176870748,0.6103896103896104,0.6363636363636364,0.00662925924249966,0.013142857142857144,0.0006388232378175061,0.2771358805033883
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",15,302,18,58,119,19,17,65,0,203144,61,4126,0.2857142857142857,0.16376496191512513,0.4864864864864865,0.07204968944099378,0.7905405405405406,0.6923076923076923,0.05782312925170068,0.8441558441558441,1e-13,0.6566037247968557,0.01742857142857143,0.0042778341818136565,0.2669721820174788
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyConfigurations(String, String)",20,13,4,7,102,26,7,34,6,1110,144,12731,0.04761904761904767,0.006528835690968444,0.10810810810810811,0.008695652173913044,0.6756756756756757,0.9615384615384616,0.023809523809523808,0.44155844155844154,0.5454545454545454,0.003587751223390845,0.04114285714285714,0.01320165554775463,0.26521631545921087
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",4,701,18,130,104,19,10,53,6,1030,0,68,0.8095238095238095,0.3808487486398259,0.4864864864864865,0.16149068322981366,0.6891891891891891,0.6923076923076923,0.034013605442176874,0.6883116883116883,0.5454545454545454,0.0033291745586419555,1e-13,6.948239761976121e-05,0.26518800207431614
