method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",20,380,13,103,166,26,8,74,11,17843,2,162,0.04761904761904767,0.20620239390642003,0.35135135135135137,0.12795031055900621,1.0,0.7575757575757576,0.02476780185758514,0.9487179487179487,1.0,0.05221969557290066,0.0003036744609778318,9.382929595391758e-05,0.37471343766791193
org.apache.ivy.ant.IvyResolve.doExecute(),20,742,14,107,155,34,21,56,4,138555,6,343,0.04761904761904767,0.40315560391730143,0.3783783783783784,0.13291925465838508,0.9329268292682927,1.0,0.06501547987616099,0.717948717948718,0.36363636363636365,0.4054979499021045,0.0009110233829334953,0.0001993144050698125,0.3242521792506362
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",17,657,19,109,122,25,10,74,3,320197,27,698,0.19047619047619047,0.35690968443960824,0.5135135135135135,0.13540372670807455,0.7317073170731707,0.7272727272727273,0.030959752321981424,0.9487179487179487,0.2727272727272727,0.9370952117556506,0.004099605223200729,0.0004062050886949103,0.31807351164114145
org.apache.ivy.ant.IvyBuildList.doExecute(),20,98,8,26,129,27,13,55,9,11409,0,45,0.04761904761904767,0.05277475516866159,0.21621621621621623,0.03229813664596273,0.774390243902439,0.7878787878787878,0.04024767801857585,0.7051282051282052,0.8181818181818182,0.033389817115463974,1e-13,2.5642788956350144e-05,0.31306846191454424
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",14,490,15,112,136,23,39,71,0,250932,36,3045,0.33333333333333337,0.2660500544069641,0.40540540540540543,0.1391304347826087,0.8170731707317073,0.6666666666666666,0.12074303405572756,0.9102564102564102,1e-13,0.7343828195650456,0.005466140297600972,0.001774014763252951,0.2868221273605594
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",20,382,15,79,150,22,10,69,2,136362,17,1440,0.04761904761904767,0.20729053318824808,0.40540540540540543,0.09813664596273292,0.9024390243902439,0.6363636363636364,0.030959752321981424,0.8846153846153846,0.18181818181818182,0.3990798704092294,0.00258123291831157,0.0008386357570042695,0.27633945562006196
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",4,701,18,130,110,21,10,55,7,1187,0,68,0.8095238095238095,0.3808487486398259,0.4864864864864865,0.16149068322981366,0.6585365853658537,0.6060606060606061,0.030959752321981424,0.7051282051282052,0.6363636363636364,0.003473898932076057,1e-13,3.9046974092624086e-05,0.26397396282198016
"org.apache.ivy.Main.run(CommandLineParser, String[])",20,615,18,144,129,25,6,78,1,3447,0,10,0.04761904761904767,0.3340587595212187,0.4864864864864865,0.17888198757763976,0.774390243902439,0.7272727272727273,0.018575851393188854,1.0,0.09090909090909091,0.010088062020948751,1e-13,5.245115922889802e-06,0.2615551313353621
"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",20,257,14,45,111,21,4,47,7,2369,56,691,0.04761904761904767,0.13928182807399347,0.3783783783783784,0.055900621118012424,0.6646341463414634,0.6060606060606061,0.01238390092879257,0.6025641025641025,0.6363636363636364,0.006933164759973192,0.00850288490737929,0.0004021255540882182,0.25261057071366355
"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",15,820,21,198,82,16,14,44,5,250341,18,737,0.2857142857142857,0.4455930359085963,0.5675675675675675,0.24596273291925466,0.4878048780487805,0.45454545454545453,0.043343653250773995,0.5641025641025641,0.45454545454545453,0.732653186651097,0.002733070148800486,0.0004289339243607661,0.24779732501391366
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",15,302,18,58,120,19,17,65,0,235430,86,5027,0.2857142857142857,0.16376496191512513,0.4864864864864865,0.07204968944099378,0.7195121951219512,0.5454545454545454,0.05263157894736842,0.8333333333333334,1e-13,0.6890143433687161,0.013058001822046765,0.002929105847604905,0.24470367929725748
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyConfigurations(String, String)",20,13,4,7,102,26,7,34,6,1484,180,19728,0.04761904761904767,0.006528835690968444,0.10810810810810811,0.008695652173913044,0.6097560975609756,0.7575757575757576,0.021671826625386997,0.4358974358974359,0.5454545454545454,0.004343105320304018,0.027330701488004858,0.011496711312316348,0.23734306927088686
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",12,290,21,76,89,18,9,46,7,2469,2,61,0.4285714285714286,0.1572361262241567,0.5675675675675675,0.09440993788819876,0.5304878048780488,0.5151515151515151,0.02786377708978328,0.5897435897435898,0.6363636363636364,0.00722582684355163,0.0003036744609778318,3.4967439485932014e-05,0.23035431695130404
"org.apache.ivy.core.install.InstallEngine.install(ModuleRevisionId, String, String, InstallOptions)",17,645,13,104,103,13,11,61,5,15811,0,41,0.19047619047619047,0.35038084874863984,0.35135135135135137,0.12919254658385093,0.6158536585365854,0.36363636363636365,0.034055727554179564,0.782051282051282,0.45454545454545453,0.04627280203458681,1e-13,2.3311626323954676e-05,0.22698453587739584
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, RetrieveOptions)",12,251,14,47,116,23,9,51,2,2135,0,63,0.4285714285714286,0.13601741022850924,0.3783783783783784,0.058385093167701865,0.6951219512195121,0.6666666666666666,0.02786377708978328,0.6538461538461539,0.18181818181818182,0.006248335484399648,1e-13,3.613302080212975e-05,0.2227938800247415
"org.apache.ivy.core.deliver.DeliverEngine.deliver(ModuleRevisionId, String, String, DeliverOptions)",13,252,17,52,101,15,10,69,2,2904,2,86,0.38095238095238093,0.1365614798694233,0.4594594594594595,0.06459627329192547,0.6036585365853658,0.42424242424242425,0.030959752321981424,0.8846153846153846,0.18181818181818182,0.008498906907117834,0.0003036744609778318,4.953720593840369e-05,0.21291359868939286
org.apache.ivy.ant.IvyPublish.doExecute(),20,353,15,64,109,17,22,70,0,6108,0,58,0.04761904761904767,0.191512513601741,0.40540540540540543,0.07950310559006211,0.6524390243902439,0.48484848484848486,0.06811145510835913,0.8974358974358975,1e-13,0.017875800064970984,1e-13,3.321906751163542e-05,0.2108237714910617
"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",0,194,12,41,92,22,14,14,1,31854,4481,111114,1.0,0.10500544069640914,0.32432432432432434,0.05093167701863354,0.5487804878048781,0.6363636363636364,0.043343653250773995,0.1794871794871795,0.09090909090909091,0.09322458010307559,0.6803826298208321,0.0647556183933394,0.2015965784981013
"org.apache.ivy.osgi.core.BundleInfoAdapter.toModuleDescriptor(ModuleDescriptorParser, URI, BundleInfo, ExecutionEnvironmentProfileProvider)",14,404,25,84,77,13,21,48,5,11220,400,3417,0.33333333333333337,0.2192600652883569,0.6756756756756757,0.10434782608695652,0.4573170731707317,0.36363636363636365,0.06501547987616099,0.6153846153846154,0.45454545454545453,0.03283668577750072,0.06073489219556635,0.0019908128880657293,0.20089606770727755
