method,issue
"org.apache.ivy.core.sort.CollectionOfModulesToSort.CollectionOfModulesToSort(Collection, VersionMatcher, NonMatchingVersionReporter)",
org.apache.ivy.Ivy.configure(File),
"org.apache.ivy.plugins.parser.m2.PomReader.getFirstChildElement(Element, String)",
"org.apache.ivy.plugins.repository.sftp.SFTPRepository.get(String, File)",
"org.apache.ivy.util.PropertiesFile.PropertiesFile(File, String)",
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.extractPomProperties(Map),
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",
"org.apache.ivy.core.resolve.ResolveEngine.resolveConflicts(VisitNode, VisitNode, Collection, ConflictManager)",
org.apache.ivy.plugins.resolver.VfsResolver.prepareForDisplay(String),
"org.apache.ivy.util.extendable.ExtendableItemHelper.getExtraAttributes(ParserSettings, Attributes, String[])",
"org.apache.ivy.core.report.ConfigurationResolveReport.addDependency(IvyNode, DownloadReport)",
"org.apache.ivy.plugins.matcher.MapMatcher.MapMatcher(Map, PatternMatcher)",
org.apache.ivy.core.module.id.ModuleRevisionId.hashCode(),
org.apache.ivy.core.cache.ParserSettingsMonitor.hasChanged(ParserSettings),
"org.apache.ivy.plugins.repository.ResourceHelper.equals(Resource, File)",
"org.apache.ivy.core.resolve.IvyNodeEviction.getEvictionDataInRoot(String, IvyNode)",
org.apache.ivy.plugins.repository.file.FileRepository.list(String),
org.apache.ivy.plugins.resolver.FileSystemResolver.filterNames(Collection),
"org.apache.ivy.plugins.resolver.IBiblioResolver.findArtifactRef(Artifact, Date)",
org.apache.ivy.core.resolve.IvyNodeUsage.getDependencyArtifactsSet(String),
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.newCallerInstance(ModuleRevisionId[], boolean, boolean)",
org.apache.ivy.plugins.parser.m2.PomReader.getPomProperties(),
"org.apache.ivy.core.resolve.IvyNode.findPath(ModuleId, IvyNode, List)",MyIssue-6
"org.apache.ivy.plugins.repository.vfs.VfsURI.vfsURIFactory(String, String, Ivy)",
org.apache.ivy.core.module.id.ModuleRevisionId.encodeToString(),
"org.apache.ivy.core.IvyContext.pop(String, Object)",
org.apache.ivy.core.report.ConfigurationResolveReport.filterOutMergedArtifacts(ArtifactDownloadReport[]),MyIssue-4
"org.apache.ivy.util.url.BasicURLHandler.checkStatusCode(URL, HttpURLConnection)",
org.apache.ivy.plugins.repository.sftp.SFTPRepository.openStream(SFTPResource),
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.doesExclude(String[], ArtifactId)",
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.doesExclude(String[], ArtifactId)",
org.apache.ivy.plugins.resolver.packager.PackagerResolver.clearCache(),
org.apache.ivy.plugins.circular.CircularDependencyHelper.formatMessage(ModuleRevisionId[]),
"org.apache.ivy.plugins.version.VersionRangeMatcher.accept(ModuleRevisionId, ModuleRevisionId)",
org.apache.ivy.plugins.repository.vfs.VfsResource.init(),
"org.apache.ivy.util.filter.FilterHelper.filter(Collection, Filter)",MyIssue-25
org.apache.ivy.plugins.resolver.BasicResolver.listRevisions(ModuleEntry),
"org.apache.ivy.ant.IvyBuildList.processFilterNodeFromRoot(ModuleDescriptor, Set, Map)",
org.apache.ivy.util.url.URLHandlerRegistry.getHttp(),
"org.apache.ivy.ant.IvyArtifactReport.writeOriginLocationIfPresent(RepositoryCacheManager, TransformerHandler, ArtifactDownloadReport)",
"org.apache.ivy.core.resolve.IvyNode.findArtifactsMatching(IncludeRule, Map)",
org.apache.ivy.util.MemoryUtil.sizeOf(Class),
"org.apache.ivy.ant.IvyBuildList.onMissingDescriptor(File, File, List)",
org.apache.ivy.core.report.DownloadReport.getArtifactsReports(DownloadStatus),
org.apache.ivy.core.report.ConfigurationResolveReport.getEvictedNodes(),
org.apache.ivy.plugins.resolver.IvyRepResolver.listModules(OrganisationEntry),
"org.apache.ivy.ant.IvyReport.getOutputPattern(String, String)",
"org.apache.ivy.plugins.repository.url.URLRepository.get(String, File)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin)",
"org.apache.ivy.plugins.resolver.RepositoryResolver.findTokenValues(Collection, List, Map, String)",
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getPublicConfigurationsNames(),
org.apache.ivy.core.IvyContext.getCurrentStack(),
org.apache.ivy.ant.IvyReport.genxml(String[]),
org.apache.ivy.core.report.ConfigurationResolveReport.getSearchedNodes(),MyIssue-4
"org.apache.ivy.core.resolve.IvyNode.getRequiredConfigurations(IvyNode, String)",
org.apache.ivy.core.report.ConfigurationResolveReport.getDownloadedNodes(),
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getExcludeRules(String[]),
org.apache.ivy.core.report.ResolveReport.getModuleIds(),
"org.apache.ivy.util.StringUtils.join(Object[], String)",
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printExtraAttributes(Map, PrintWriter, String)",
"org.apache.ivy.core.resolve.IvyNodeEviction.getPendingConflicts(String, ModuleId)",
"org.apache.ivy.plugins.version.ChainVersionMatcher.compare(ModuleRevisionId, ModuleRevisionId, Comparator)",
"org.apache.ivy.util.url.HttpClientHandler.checkStatusCode(URL, HttpMethodBase)",
"org.apache.ivy.plugins.resolver.ChainResolver.download(ArtifactOrigin, DownloadOptions)",
org.apache.ivy.ant.IvyCacheTask.getArtifactReports(),
"org.apache.ivy.plugins.conflict.FixedConflictManager.resolveConflicts(IvyNode, Collection)",
org.apache.ivy.core.report.ConfigurationResolveReport.getUnresolvedDependencies(),
org.apache.ivy.plugins.parser.m2.PomReader.getAllChilds(Element),
"org.apache.ivy.core.resolve.IvyNodeEviction.getResolvedNodes(ModuleId, String)",
org.apache.ivy.util.StringUtils.getErrorMessage(Throwable),
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.PomModuleDescriptorBuilder(ModuleDescriptorParser, Resource, ParserSettings)",
org.apache.ivy.plugins.resolver.IvyRepResolver.listOrganisations(),
org.apache.ivy.core.resolve.IvyNode.getResolvedId(),
org.apache.ivy.plugins.matcher.MapMatcher.matches(Map),
"org.apache.ivy.core.resolve.IvyNodeEviction.getEvictedNodes(ModuleId, String)",
"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer)",MyIssue-2
org.apache.ivy.plugins.namespace.MRIDTransformationRule.transform(ModuleRevisionId),
org.apache.ivy.ant.IvyReport.genreport(String[]),
org.apache.ivy.util.FileUtil.readEntirely(BufferedReader),
org.apache.ivy.util.ContextualSAXHandler.getContext(),
org.apache.ivy.core.resolve.ResolveData.blacklist(IvyNode),
"org.apache.ivy.core.report.ResolveReport.getArtifactsReports(DownloadStatus, boolean)",
org.apache.ivy.plugins.repository.ssh.SshRepository.openStream(SshResource),
org.apache.ivy.core.resolve.IvyNodeEviction.isCompletelyEvicted(),
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.lockMetadataArtifact(ModuleRevisionId),
org.apache.ivy.plugins.resolver.BasicResolver.listModules(OrganisationEntry),
org.apache.ivy.plugins.resolver.RepositoryResolver.setSettings(ResolverSettings),
"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date)",
"org.apache.ivy.util.XMLHelper.newSAXParser(URL, InputStream)",
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printPublications(ModuleDescriptor, PrintWriter)",
"org.apache.ivy.util.XMLHelper.parse(URL, URL, DefaultHandler, LexicalHandler)",
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.getPlugins(ModuleDescriptor),
org.apache.ivy.core.report.ConfigurationResolveReport.getArtifactsNumber(),
org.apache.ivy.core.resolve.ResolveOptions.ResolveOptions(ResolveOptions),
"org.apache.ivy.core.event.IvyEventFilter.IvyEventFilter(String, String, PatternMatcher)",
"org.apache.ivy.core.resolve.IvyNodeEviction.setEvictedNodes(ModuleId, String, Collection)",
org.apache.ivy.plugins.repository.sftp.SFTPRepository.getSftpChannel(String),
org.apache.ivy.core.module.id.ModuleRules.dump(String),
org.apache.ivy.core.resolve.IvyNode.getConfigurations(String),
"org.apache.ivy.plugins.repository.vfs.VfsURI.VfsURI(String, String, String, String, String)",
org.apache.ivy.plugins.repository.vfs.VfsURI.getVfsURI(),
org.apache.ivy.plugins.version.Match.split(String),
"org.apache.ivy.plugins.repository.vfs.VfsRepository.get(String, File)",
"org.apache.ivy.util.extendable.ExtendableItemHelper.getExtraAttributes(Attributes, String)",
org.apache.ivy.plugins.resolver.AbstractResolver.initNamespaceFromSettings(),
"org.apache.ivy.util.url.HttpClientHandler.upload(File, URL, CopyProgressListener)",MyIssue-42
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getFromCache(File, ParserSettings, boolean)",
"org.apache.ivy.util.ChecksumHelper.compute(File, String)",
org.apache.ivy.core.settings.XmlSettingsParser.propertiesStarted(Map),
org.apache.ivy.plugins.parser.m2.PomReader.getRelocation(),
org.apache.ivy.util.filter.FilterHelper.getArtifactTypeFilter(String),
org.apache.ivy.plugins.repository.TransferEvent.setEventType(int),
org.apache.ivy.core.settings.IvySettings.IvySettings(),
"org.apache.ivy.core.resolve.ResolveEngine.mediate(DependencyDescriptor, ResolveOptions)",
org.apache.ivy.core.resolve.VisitNode.getRoot(VisitNode),
"org.apache.ivy.util.FileUtil.getPathFiles(File, File)",
"org.apache.ivy.core.event.resolve.EndResolveDependencyEvent.EndResolveDependencyEvent(DependencyResolver, DependencyDescriptor, ModuleRevisionId, ResolvedModuleRevision, long)",
"org.apache.ivy.Ivy14.newResolveOptions(String[], String, File, Date, boolean, boolean, boolean, boolean, boolean, boolean, Filter)",
"org.apache.ivy.util.Configurator.addChild(String, Object)",
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseOtherPom(ParserSettings, ModuleRevisionId)",
org.apache.ivy.ant.IvyConfigure.execute(),
org.apache.ivy.util.StringUtils.decrypt(String),
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyConfigurations(String[]),
org.apache.ivy.core.event.EventManager.removeIvyListener(IvyListener),MyIssue-3
"org.apache.ivy.plugins.version.ChainVersionMatcher.accept(ModuleRevisionId, ModuleDescriptor)",
org.apache.ivy.util.url.HttpClientHandler.getHttpClientHelper(),
org.apache.ivy.core.resolve.IvyNode.markEvicted(EvictionData),
"org.apache.ivy.plugins.version.ChainVersionMatcher.accept(ModuleRevisionId, ModuleRevisionId)",
"org.apache.ivy.plugins.version.ChainVersionMatcher.needModuleDescriptor(ModuleRevisionId, ModuleRevisionId)",
org.apache.ivy.util.ChecksumHelper.byteArrayToHexString(byte[]),MyIssue-24
org.apache.ivy.core.resolve.IvyNode.isCompletelyBlacklisted(),
"org.apache.ivy.core.settings.IvySettings.addAllVariables(Map, boolean)",
"org.apache.ivy.core.module.descriptor.DefaultArtifact.DefaultArtifact(ArtifactRevisionId, Date, URL, boolean)",
org.apache.ivy.core.report.ResolveReport.getUnresolvedDependencies(),
org.apache.ivy.core.report.ResolveReport.getArtifactsReports(ModuleRevisionId),
org.apache.ivy.core.report.ResolveReport.getEvictedNodes(),
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getChangingMatcher(CacheMetadataOptions),
org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.requestCredentials(String),
"org.apache.ivy.plugins.namespace.NameSpaceHelper.transform(Artifact, NamespaceTransformer)",
org.apache.ivy.core.resolve.VisitNode.getDependencies(String),
org.apache.ivy.plugins.resolver.ChainResolver.locate(Artifact),
org.apache.ivy.plugins.repository.TransferEvent.getName(int),
org.apache.ivy.plugins.resolver.AbstractResolver.initRepositoryCacheManagerFromSettings(),
org.apache.ivy.plugins.parser.ModuleDescriptorParserRegistry.getParser(Resource),
org.apache.ivy.core.IvyContext.peekIvy(),
org.apache.ivy.core.resolve.IvyNode.getRootModuleConfigurationsSet(),
org.apache.ivy.plugins.report.XmlReportParser.parse(File),
org.apache.ivy.util.MockMessageLogger.assertLogContains(String),
"org.apache.ivy.core.event.resolve.ResolveDependencyEvent.ResolveDependencyEvent(String, DependencyResolver, DependencyDescriptor, ModuleRevisionId)",
org.apache.ivy.core.sort.ModuleInSort.addToSortList(List),
org.apache.ivy.plugins.resolver.ChainResolver.dumpSettings(),
"org.apache.ivy.plugins.repository.vfs.VfsRepository.put(File, String, boolean)",
org.apache.ivy.util.MessageLoggerEngine.peekLogger(),
org.apache.ivy.core.module.descriptor.OverrideDependencyDescriptorMediator.mediate(DependencyDescriptor),
"org.apache.ivy.core.resolve.IvyNode.addArtifactsFromOwnUsage(Set, Set)",
"org.apache.ivy.util.ChecksumHelper.check(File, File, String)",
"org.apache.ivy.plugins.namespace.NameSpaceHelper.toSystem(ResolvedModuleRevision, Namespace)",
org.apache.ivy.Ivy.Ivy(),
org.apache.ivy.util.FileUtil.readEntirely(InputStream),
org.apache.ivy.plugins.version.ChainVersionMatcher.isDynamic(ModuleRevisionId),
org.apache.ivy.core.settings.IvySettings.substitute(Map),
org.apache.ivy.plugins.resolver.BasicResolver.locate(Artifact),
"org.apache.ivy.plugins.resolver.BasicResolver.resolveAndCheckPublicationDate(DependencyDescriptor, ModuleDescriptor, ModuleRevisionId, ResolveData)",
org.apache.ivy.plugins.resolver.BasicResolver.reportFailure(Artifact),
org.apache.ivy.core.IvyContext.peek(String),
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.parseDuration(String),
"org.apache.ivy.core.module.id.ModuleId.ModuleId(String, String)",
org.apache.ivy.core.module.id.ModuleId.equals(Object),
org.apache.ivy.core.module.descriptor.AbstractArtifact.equals(Object),
org.apache.ivy.plugins.report.XmlReportWriter.toString(String[]),
"org.apache.ivy.plugins.resolver.BasicResolver.checkNotConvertedExclusionRule(ModuleDescriptor, ResolvedResource, ResolveData)",
org.apache.ivy.ant.IvyTask.splitConfs(String),
org.apache.ivy.core.module.id.ModuleRevisionId.toString(),
"org.apache.ivy.core.module.descriptor.Configuration.addOther(Configuration[], Visibility, Set)",
org.apache.ivy.core.report.ResolveReport.hasChanged(),
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.update(URL, OutputStream, UpdateOptions)",
"org.apache.ivy.plugins.resolver.IBiblioResolver.findTokenValues(Collection, List, Map, String)",
org.apache.ivy.core.resolve.IvyNodeCallers.getAllCallers(),
"org.apache.ivy.core.settings.XmlSettingsParser.endElement(String, String, String)",
"org.apache.ivy.plugins.resolver.RepositoryResolver.download(Artifact[], DownloadOptions)",
"org.apache.ivy.plugins.resolver.ChainResolver.findIvyFileRef(DependencyDescriptor, ResolveData)",
org.apache.ivy.util.XMLHelper.getDocBuilder(EntityResolver),
"org.apache.ivy.util.StringUtils.repeat(String, int)",
org.apache.ivy.plugins.resolver.BasicResolver.listOrganisations(),
"org.apache.ivy.core.resolve.IvyNode.updateDataFrom(IvyNode, String, boolean)",
org.apache.ivy.core.report.ArtifactDownloadReport.toString(),
"org.apache.ivy.plugins.resolver.FileSystemResolver.getDestination(String, Artifact, ModuleRevisionId)",
org.apache.ivy.core.settings.IvySettings.getResolver(String),
org.apache.ivy.util.Credentials.getPasswdAsStars(),
org.apache.ivy.util.MockMessageLogger.assertLogDoesntContain(String),
org.apache.ivy.core.IvyContext.pop(String),
org.apache.ivy.core.settings.IvySettings.setDefaultCache(File),
"org.apache.ivy.core.RelativeUrlResolver.getURL(URL, String, String)",
org.apache.ivy.core.event.EventManager.fireIvyEvent(IvyEvent),
org.apache.ivy.core.settings.IvySettings.getDefaultCache(),
"org.apache.ivy.core.resolve.ResolveEngine.outputReport(ResolveReport, ResolutionCacheManager, ResolveOptions)",
"org.apache.ivy.Main.initMessage(CommandLine, Ivy)",
org.apache.ivy.Ivy14.splitConfs(String),
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.isNamespaceUseful(),
org.apache.ivy.util.Message.getLogger(),
"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[])",
org.apache.ivy.plugins.resolver.AbstractResolver.getCacheOptions(ResolveData),
org.apache.ivy.core.settings.IvySettings.validateAll(Collection),MyIssue-8
org.apache.ivy.core.sort.ModuleDescriptorSorter.sortModuleDescriptors(),
org.apache.ivy.util.cli.Option.getArgsSpec(),
"org.apache.ivy.util.Checks.checkNotNull(Object, String)",
"org.apache.ivy.ant.IvyTask.getPubDate(String, Date)",
org.apache.ivy.plugins.version.ChainVersionMatcher.setSettings(IvySettings),
org.apache.ivy.plugins.resolver.ChainResolver.exists(Artifact),
org.apache.ivy.core.resolve.ResolveData.getNodes(),
"org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)",
org.apache.ivy.plugins.circular.CircularDependencyHelper.formatMessageFromDescriptors(List),
org.apache.ivy.Ivy.pushContext(),
"org.apache.ivy.core.deliver.DeliverEngine.deliver(String, String, DeliverOptions)",
org.apache.ivy.util.Configurator.addText(String),
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.update(URL, File, UpdateOptions)",
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getCollectionForConfiguration(String, Map)",
org.apache.ivy.util.MessageLoggerEngine.clearProblems(),
"org.apache.ivy.core.event.publish.PublishEvent.PublishEvent(String, DependencyResolver, Artifact, File, boolean)",
org.apache.ivy.core.cache.ArtifactOrigin.equals(Object),
"org.apache.ivy.ant.IvyTask.getProperty(IvySettings, String)",
"org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.addArtifact(String, Artifact)",
org.apache.ivy.plugins.repository.AbstractRepository.fireTransferEvent(TransferEvent),
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.mergeAll(Map),
"org.apache.ivy.Ivy14.retrieve(ModuleId, String[], File, String, String, Filter, boolean, boolean, boolean)",
"org.apache.ivy.core.resolve.IvyNode.toMrids(Collection, IvyNode)",
"org.apache.ivy.core.settings.IvySettings.classForName(String, boolean)",
org.apache.ivy.core.report.ResolveReport.getConfigurationReport(String),
org.apache.ivy.plugins.resolver.AbstractResolver.locate(Artifact),
org.apache.ivy.util.MockMessageLogger.join(List),
org.apache.ivy.ant.AddPathTask.execute(),
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.putInCache(File, ParserSettingsMonitor, boolean, ModuleDescriptor)",
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addExtraInfos(Map),
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getDependencyArtifacts(String[]),
"org.apache.ivy.plugins.report.XmlReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findArtifactNames(Map, String)",
org.apache.ivy.core.settings.IvySettings.setSettingsVariables(File),
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getExcludeRules(String[]),
org.apache.ivy.util.url.BasicURLHandler.disconnect(URLConnection),IVY-1105
"org.apache.ivy.ant.IvyArtifactReport.removeLeadingPath(File, File)",
"org.apache.ivy.core.resolve.ResolveData.replaceNode(ModuleRevisionId, IvyNode, String)",
org.apache.ivy.core.settings.IvySettings.getConflictManager(ModuleId),
org.apache.ivy.core.settings.XmlSettingsParser.classpathStarted(Map),
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.findModuleInCache(DependencyDescriptor, ModuleRevisionId, CacheMetadataOptions, String)",
"org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean)",
org.apache.ivy.plugins.conflict.RegexpConflictManager.getMatch(IvyNode),
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getIncludeRules(String[]),
org.apache.ivy.core.resolve.IvyNode.canExclude(String),
org.apache.ivy.plugins.resolver.RepositoryResolver.setName(String),
org.apache.ivy.plugins.repository.vsftp.VsftpRepository.mkdirs(String),
org.apache.ivy.plugins.lock.FileBasedLockStrategy.releaseLock(File),
org.apache.ivy.core.settings.IvySettings.getClassLoader(),
org.apache.ivy.core.repository.RepositoryManagementEngine.loadModuleRevision(ModuleRevisionId),
org.apache.ivy.core.module.id.ModuleRevisionId.intern(ModuleRevisionId),
"org.apache.ivy.core.event.resolve.EndResolveEvent.EndResolveEvent(ModuleDescriptor, String[], ResolveReport)",
org.apache.ivy.core.settings.IvySettings.getDefaultIvyUserDir(),
org.apache.ivy.plugins.report.LogReportOutputter.output(ConfigurationResolveReport),
org.apache.ivy.util.EncrytedProperties.values(),
org.apache.ivy.Ivy.configure(URL),
"org.apache.ivy.core.settings.IvySettings.setVariable(String, String, boolean)",
"org.apache.ivy.Ivy14.retrieve(ModuleId, String[], File, String, String, Filter, boolean, boolean)",
org.apache.ivy.core.IvyContext.peekInContextStack(String),
"org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry.PackagerCacheEntry(ModuleRevisionId, File, File, String, boolean, boolean, boolean, boolean, boolean)",
"org.apache.ivy.Ivy14.publish(ModuleRevisionId, String, File, Collection, String, String, String, Date, Artifact[], boolean, boolean, boolean, String)",
org.apache.ivy.core.IvyContext.getDefaultIvy(),
"org.apache.ivy.plugins.namespace.NameSpaceHelper.transform(ArtifactId, NamespaceTransformer)",
"org.apache.ivy.plugins.resolver.MockResolver.buildMockResolver(ResolverSettings, String, boolean, ModuleRevisionId, Date, boolean)",
"org.apache.ivy.plugins.report.LogReportOutputter.append(StringBuffer, Object, int)",
org.apache.ivy.core.settings.XmlSettingsParser.propertyStarted(Map),
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder.addDependencyMgt(PomDependencyMgt),
"org.apache.ivy.plugins.resolver.IBiblioResolver.findSnapshotDescriptor(DependencyDescriptor, ResolveData, ModuleRevisionId)",
org.apache.ivy.util.url.HttpClientHandler.configureProxy(),
"org.apache.ivy.core.IvyContext.push(String, Object)",
"org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findIvyNames(Map, String)",
"org.apache.ivy.util.Checks.checkAbsolute(String, String)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)",
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getIvyPattern(),
org.apache.ivy.plugins.resolver.IBiblioResolver.setM2compatible(boolean),
org.apache.ivy.core.module.descriptor.AbstractArtifact.hashCode(),
org.apache.ivy.core.event.EventManager.fireTransferEvent(TransferEvent),
"org.apache.ivy.ant.AntMessageLogger.register(Task, Ivy)",
org.apache.ivy.core.resolve.ResolveOptions.useSpecialConfs(),
org.apache.ivy.core.settings.IvySettings.addVersionMatcher(VersionMatcher),
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArtifactPattern(),
org.apache.ivy.core.resolve.IvyNode.blacklist(IvyNodeBlacklist),
org.apache.ivy.core.module.id.ModuleRevisionId.parse(String),
"org.apache.ivy.core.IvyPatternHelper.substituteToken(StringBuffer, String, String)",
"org.apache.ivy.plugins.resolver.RepositoryResolver.put(Artifact, File, String, boolean)",
org.apache.ivy.core.cache.DefaultRepositoryCacheManager.isCheckmodified(),
org.apache.ivy.core.IvyPatternHelper.getFirstToken(String),
"org.apache.ivy.core.publish.PublishEngine.publish(Artifact, File, DependencyResolver, boolean)",
org.apache.ivy.util.url.URLHandlerDispatcher.setRequestMethod(int),
org.apache.ivy.plugins.resolver.FileSystemResolver.abortPublishTransaction(),
org.apache.ivy.plugins.resolver.BasicResolver.checkForcedResolvedModuleRevision(ResolvedModuleRevision),
org.apache.ivy.util.MessageLoggerEngine.setShowProgress(boolean),
"org.apache.ivy.core.resolve.IvyNodeUsage.updateMapOfSet(Map, Map)",
org.apache.ivy.plugins.resolver.IBiblioResolver.setRoot(String),
"org.apache.ivy.util.url.HttpClientHandler.download(URL, File, CopyProgressListener)",
org.apache.ivy.plugins.resolver.AbstractResolver.getDownloadListener(DownloadOptions),
org.apache.ivy.core.module.id.ModuleId.hashCode(),
org.apache.ivy.ant.IvyCacheFileset.getParents(File),
org.apache.ivy.core.resolve.IvyNodeEviction.isEvicted(String),
org.apache.ivy.core.report.ResolveReport.checkIfChanged(),
"org.apache.ivy.core.IvyPatternHelper.substituteVariable(StringBuffer, String, String)",
org.apache.ivy.util.url.HttpClientHandler.getLastModified(HttpMethodBase),
"org.apache.ivy.ant.IvyPostResolveTask.getConfsToResolve(String, String)",
org.apache.ivy.util.Message.warn(String),
"org.apache.ivy.ant.IvyTask.setResolved(ResolveReport, boolean)",
org.apache.ivy.core.IvyContext.getIvy(),
"org.apache.ivy.util.cli.Option.Option(String, String[], String, boolean, boolean, boolean)",
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.mediate(DependencyDescriptor),
org.apache.ivy.core.report.DownloadStatus.fromString(String),
"org.apache.ivy.ant.IvyArtifactReport.startModule(TransformerHandler, IvyNode)",
"org.apache.ivy.core.resolve.ResolveEngine.checkConflictSolvedSelected(VisitNode, VisitNode)",
"org.apache.ivy.core.module.id.ArtifactId.ArtifactId(ModuleId, String, String, String)",
org.apache.ivy.ant.IvyAntSettings.setId(String),
org.apache.ivy.core.module.status.StatusManager.getDefaultStatus(),
"org.apache.ivy.core.resolve.ResolveEngine.checkConflictSolvedEvicted(VisitNode, VisitNode)",
"org.apache.ivy.plugins.resolver.AbstractResolver.findModuleInCache(DependencyDescriptor, ResolveData, boolean)",
org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String),
org.apache.ivy.ant.IvyExtractFromSources.configureConcat(),
"org.apache.ivy.plugins.resolver.IBiblioResolver.findSnapshotArtifact(Artifact, Date, ModuleRevisionId)",
"org.apache.ivy.core.module.descriptor.DefaultDependencyArtifactDescriptor.DefaultDependencyArtifactDescriptor(DependencyDescriptor, String, String, String, URL, Map)",
"org.apache.ivy.core.resolve.IvyNodeUsage.updateDataFrom(Collection, String)",
"org.apache.ivy.core.resolve.VisitNode.VisitNode(ResolveData, IvyNode, VisitNode, String, String, IvyNodeUsage)",
org.apache.ivy.plugins.repository.ssh.AbstractSshBasedRepository.setKeyFile(File),
org.apache.ivy.plugins.repository.TransferEvent.setRequestType(int),
org.apache.ivy.core.resolve.IvyNode.getConfiguration(String),
org.apache.ivy.core.cache.CacheUtil.checkCachePattern(String),
org.apache.ivy.core.settings.IvySettings.defaultInit(),
"org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.DefaultDependencyDescriptor(ModuleRevisionId, boolean)",
org.apache.ivy.plugins.resolver.IvyRepResolver.setIvyroot(String),
org.apache.ivy.plugins.resolver.IvyRepResolver.setArtroot(String),
org.apache.ivy.ant.AntMessageLogger.doProgress(),
"org.apache.ivy.core.resolve.VisitNode.traverse(VisitNode, String, IvyNode, IvyNodeUsage)",
org.apache.ivy.tools.analyser.JarModuleFinder.main(String[]),
org.apache.ivy.plugins.resolver.ChainResolver.reportFailure(Artifact),
org.apache.ivy.plugins.resolver.BasicResolver.setDescriptor(String),
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvedRevision(ModuleRevisionId, String)",
"org.apache.ivy.plugins.resolver.BasicResolver.download(ArtifactOrigin, DownloadOptions)",
"org.apache.ivy.plugins.resolver.IBiblioResolver.listTokenValues(String, Map)",
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",
"org.apache.ivy.core.event.retrieve.EndRetrieveEvent.EndRetrieveEvent(ModuleRevisionId, String[], long, int, int, long, RetrieveOptions)",
"org.apache.ivy.core.settings.IvySettings.loadProperties(InputStream, boolean)",
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.getArchiveFileInCache(Artifact, ArtifactOrigin, boolean)",
