hash,author,date,title,file,methods
e58b5d45,Maarten Coene,2012-10-15 19:49:56,Fixed typo in ResolutionCacheManager#getResolvedModuleDescriptor() (thanks to Mitch Gitman),src/java/org/apache/ivy/core/cache/ResolutionCacheManager.java,[None]->getResolvedModuleDescriptor(ModuleRevisionId); getResolveModuleDescriptor(ModuleRevisionId)->[None]
e58b5d45,Maarten Coene,2012-10-15 19:49:56,Fixed typo in ResolutionCacheManager#getResolvedModuleDescriptor() (thanks to Mitch Gitman),src/java/org/apache/ivy/core/deliver/DeliverEngine.java,"deliver(ModuleRevisionId,String,String,DeliverOptions)->deliver(ModuleRevisionId,String,String,DeliverOptions)"
e58b5d45,Maarten Coene,2012-10-15 19:49:56,Fixed typo in ResolutionCacheManager#getResolvedModuleDescriptor() (thanks to Mitch Gitman),src/java/org/apache/ivy/core/publish/PublishEngine.java,"publish(ModuleRevisionId,Collection,String,PublishOptions)->publish(ModuleRevisionId,Collection,String,PublishOptions)"
e58b5d45,Maarten Coene,2012-10-15 19:49:56,Fixed typo in ResolutionCacheManager#getResolvedModuleDescriptor() (thanks to Mitch Gitman),src/java/org/apache/ivy/core/retrieve/RetrieveEngine.java,"getConfs(ModuleRevisionId,RetrieveOptions)->getConfs(ModuleRevisionId,RetrieveOptions)"
6526a5e8,Nicolas Lalevee,2012-10-15 15:26:27,fix NPE: some server seems to not return any content type,src/java/org/apache/ivy/util/url/BasicURLHandler.java,getCharSetFromContentType(String)->getCharSetFromContentType(String)
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/cache/DefaultResolutionCacheManager.java,"[None]->saveLocalParents(ModuleRevisionId,ModuleDescriptor,File,Properties); [None]->saveResolvedModuleDescriptor(ModuleDescriptor); [None]->getResolveModuleDescriptor(ModuleRevisionId); [None]->setSettings(IvySettings)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/cache/ResolutionCacheManager.java,"getResolutionCacheRoot()->getResolutionCacheRoot(); clean()->clean(); getResolvedIvyFileInCache(ModuleRevisionId)->getResolvedIvyFileInCache(ModuleRevisionId); getResolvedIvyPropertiesInCache(ModuleRevisionId)->getResolvedIvyPropertiesInCache(ModuleRevisionId); getConfigurationResolveReportInCache(String,String)->getConfigurationResolveReportInCache(String,String); [None]->saveResolvedModuleDescriptor(ModuleDescriptor); [None]->getResolveModuleDescriptor(ModuleRevisionId); getConfigurationResolveReportsInCache(String)->getConfigurationResolveReportsInCache(String)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/deliver/DeliverEngine.java,"deliver(ModuleRevisionId,String,String,DeliverOptions)->deliver(ModuleRevisionId,String,String,DeliverOptions)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/module/descriptor/DefaultExtendsDescriptor.java,"[None]->getParentMd(); getParentRevisionId()->getParentRevisionId(); [None]->DefaultExtendsDescriptor(ModuleDescriptor,String,String[],boolean); [None]->DefaultExtendsDescriptor(ModuleDescriptor,String,String[]); [None]->isLocal(); DefaultExtendsDescriptor(ModuleRevisionId,ModuleRevisionId,String,String[])->[None]; getResolvedParentRevisionId()->getResolvedParentRevisionId()"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/module/descriptor/DefaultModuleDescriptor.java,"transformInstance(ModuleDescriptor,Namespace)->transformInstance(ModuleDescriptor,Namespace)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/module/descriptor/ExtendsDescriptor.java,[None]->getParentMd(); [None]->isLocal()
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/publish/PublishEngine.java,"publish(ModuleRevisionId,Collection,String,PublishOptions)->publish(ModuleRevisionId,Collection,String,PublishOptions)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/resolve/ResolveEngine.java,"resolve(ModuleDescriptor,ResolveOptions)->resolve(ModuleDescriptor,ResolveOptions)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/retrieve/RetrieveEngine.java,"getConfs(ModuleRevisionId,RetrieveOptions)->getConfs(ModuleRevisionId,RetrieveOptions)"
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/core/settings/IvySettings.java,getResolutionCacheManager()->getResolutionCacheManager()
fd9a406e,Maarten Coene,2012-10-09 20:26:19,Re-implemented IVY-1281 because current implementation had too much issues.,src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,"extendsStarted(Attributes)->extendsStarted(Attributes); getModuleInheritanceRepositoryParentResolverName(ModuleRevisionId)->[None]; resolveParentFromModuleInheritanceRepository(DependencyResolver,ModuleRevisionId)->[None]; checkParentModuleOnFilesystem(String,ModuleRevisionId)->[None]; [None]->parseParentModuleOnFilesystem(String)"
ee6ae79b,Maarten Coene,2012-08-30 11:03:17,FIX: Resolve does not deliver all dependent artifacts (IVY-1366) (thanks to Wolfgang Frank),src/java/org/apache/ivy/core/resolve/IvyNode.java,"getDependencies(String,String[])->[None]; [None]->getDependencies(String,String[],String)"
ee6ae79b,Maarten Coene,2012-08-30 11:03:17,FIX: Resolve does not deliver all dependent artifacts (IVY-1366) (thanks to Wolfgang Frank),src/java/org/apache/ivy/core/resolve/ResolveEngine.java,"computeConflicts(VisitNode,VisitNode,String,Collection,Collection)->computeConflicts(VisitNode,VisitNode,String,Collection,Collection)"
ee6ae79b,Maarten Coene,2012-08-30 11:03:17,FIX: Resolve does not deliver all dependent artifacts (IVY-1366) (thanks to Wolfgang Frank),test/java/org/apache/ivy/core/resolve/ResolveTest.java,[None]->testIVY1366()
2499f70c,Nicolas Lalevee,2012-08-28 20:51:02,fix test on windows: fix file descriptor leak while unziping,src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,"uncompressArtifact(Artifact,ArtifactDownloadReport,CacheDownloadOptions)->uncompressArtifact(Artifact,ArtifactDownloadReport,CacheDownloadOptions)"
15f7f846,Nicolas Lalevee,2012-08-28 15:31:48,"Do not copy the configuration as is, the configurations are already ""extended""",src/java/org/apache/ivy/core/report/ResolveReport.java,toFixedModuleDescriptor(IvySettings)->toFixedModuleDescriptor(IvySettings)
50e133fb,Nicolas Lalevee,2012-08-28 15:09:12,Fix global exclude rule in root ivy files,src/java/org/apache/ivy/core/resolve/IvyNode.java,"[None]->doesExclude(ModuleDescriptor,String,String[],DependencyDescriptor,Artifact,Stack); isDependencyModuleExcluded(String,ModuleRevisionId,String)->[None]; getDependencies(String,String,String)->getDependencies(String,String,String); [None]->isDependencyModuleExcluded(DependencyDescriptor,String,ModuleRevisionId,String)"
50e133fb,Nicolas Lalevee,2012-08-28 15:09:12,Fix global exclude rule in root ivy files,src/java/org/apache/ivy/core/resolve/IvyNodeCallers.java,"doesCallersExclude(String,Artifact,Stack)->doesCallersExclude(String,Artifact,Stack); doesExclude(ModuleDescriptor,String,String[],DependencyDescriptor,Artifact,Stack)->[None]"
50e133fb,Nicolas Lalevee,2012-08-28 15:09:12,Fix global exclude rule in root ivy files,test/java/org/apache/ivy/core/resolve/ResolveTest.java,[None]->testResolveExcludesConf3()
7a6d566a,Maarten Coene,2012-08-23 22:26:26,Reverting some unwanted changes...,src/java/org/apache/ivy/osgi/core/OsgiLatestStrategy.java,"compare(ArtifactInfo,ArtifactInfo)->compare(ArtifactInfo,ArtifactInfo)"
7a6d566a,Maarten Coene,2012-08-23 22:26:26,Reverting some unwanted changes...,src/java/org/apache/ivy/plugins/latest/LatestRevisionStrategy.java,"compare(Object,Object)->compare(Object,Object)"
7a6d566a,Maarten Coene,2012-08-23 22:26:26,Reverting some unwanted changes...,src/java/org/apache/ivy/plugins/version/LatestVersionMatcher.java,"compare(ModuleRevisionId,ModuleRevisionId,Comparator)->compare(ModuleRevisionId,ModuleRevisionId,Comparator)"
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),src/java/org/apache/ivy/osgi/core/OsgiLatestStrategy.java,"compare(ArtifactInfo,ArtifactInfo)->compare(ArtifactInfo,ArtifactInfo)"
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),src/java/org/apache/ivy/plugins/latest/LatestRevisionStrategy.java,"compare(Object,Object)->compare(Object,Object)"
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorUpdater.java,"startElement(String,String,String,Attributes)->startElement(String,String,String,Attributes)"
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),src/java/org/apache/ivy/plugins/resolver/DependencyResolver.java,
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),src/java/org/apache/ivy/plugins/version/LatestVersionMatcher.java,"compare(ModuleRevisionId,ModuleRevisionId,Comparator)->compare(ModuleRevisionId,ModuleRevisionId,Comparator)"
d6c57d54,Maarten Coene,2012-08-23 22:21:00,FIX: Ivy descriptors are merged incorrectly when there is an <exclude> element (IVY-1356),test/java/org/apache/ivy/plugins/parser/xml/XmlModuleUpdaterTest.java,[None]->testMergedUpdateWithExtendsAndExcludes(); [None]->tearDown()
