method1,method2,method_score1,method_score2,space_size1,space_size2,space_score1,space_score2
"org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter)","org.apache.ivy.core.module.id.ModuleRules.getRule(ModuleId, Filter)",0.01212866914806755,0.008943425480716163,25,49,0.026232036380449564,0.03055812821786395
org.apache.ivy.core.module.id.ModuleRules.ModuleRules(Map),org.apache.ivy.core.module.id.ModuleRules.ModuleRules(Map),0.005940140445684795,0.025239193120283474,,,,
"org.apache.ivy.core.module.id.ModuleRules.getRules(Map, Filter)","org.apache.ivy.core.module.id.ModuleRules.getRules(Map, Filter)",0.052196245575638726,0.035251153252589436,,3,,0.05210692030846928
"org.apache.ivy.core.module.id.ModuleRules.defineRule(MapMatcher, Object)","org.apache.ivy.core.module.id.ModuleRules.defineRule(MapMatcher, Object)",0.008626259147324223,0.009009323071633654,24,24,0.025314093496761562,0.020862783105765937
"org.apache.ivy.core.module.id.ModuleRules.getRule(Map, Filter)","org.apache.ivy.core.module.id.ModuleRules.getRule(Map, Filter)",0.048262665588961584,0.031503564010294256,3,25,0.02380536366478564,0.04041508149232966
"org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack)","org.apache.ivy.core.IvyPatternHelper.substituteVariables(String, IvyVariableContainer, Stack)",0.11954050885102097,0.08240296947933679,6,24,0.04940623864505323,0.02755738144724774
"org.apache.ivy.core.IvyPatternHelper.substituteParams(String, IvyVariableContainer, Stack)","org.apache.ivy.core.IvyPatternHelper.substituteParams(String, IvyVariableContainer, Stack)",0.08079033965913295,0.06342143797492866,5,6,0.05120906174196651,0.03547806702518858
org.apache.ivy.core.event.EventManager.removeIvyListener(IvyListener),org.apache.ivy.core.event.EventManager.removeIvyListener(IvyListener),0.03732802911277248,0.029330491973714318,,,,
org.apache.ivy.core.report.ConfigurationResolveReport.getSearchedNodes(),org.apache.ivy.core.report.ConfigurationResolveReport.getSearchedNodes(),0.04166167279750838,0.029263312482081513,2,2,0.03540244703271789,0.02654464140313311
org.apache.ivy.core.report.ConfigurationResolveReport.filterOutMergedArtifacts(ArtifactDownloadReport[]),org.apache.ivy.core.report.ConfigurationResolveReport.filterOutMergedArtifacts(ArtifactDownloadReport[]),0.043251066662766985,0.03536583085719789,,5,,0.05596590927456374
"org.apache.ivy.core.resolve.IvyNode.findPath(ModuleId, IvyNode, List)","org.apache.ivy.core.resolve.IvyNode.findPath(ModuleId, IvyNode, List)",0.043764289269625126,0.033502451324167834,10,13,0.054231295122974824,0.05471450481638611
org.apache.ivy.core.settings.IvySettings.validateAll(Collection),org.apache.ivy.core.settings.IvySettings.validateAll(Collection),0.03245286649926472,0.024812913485454516,2,79,0.020238055406433218,0.035047617653492506
"org.apache.ivy.core.settings.XmlSettingsParser.versionMatchersStarted(String, Map)","org.apache.ivy.core.settings.XmlSettingsParser.versionMatchersStarted(String, Map)",0.014303748583319901,0.011375930027700822,,,,
org.apache.ivy.core.settings.XmlSettingsParser.includeStarted(Map),org.apache.ivy.core.settings.XmlSettingsParser.includeStarted(Map),0.07281085393939184,0.07652681549026873,15,31,0.07864089812420928,0.06754927896305943
"org.apache.ivy.core.sort.ModuleInSort.checkLoop(ModuleInSort, CircularDependencyStrategy)","org.apache.ivy.core.sort.ModuleInSort.checkLoop(ModuleInSort, CircularDependencyStrategy)",0.04673420985586149,0.03653109848145053,,,,
"org.apache.ivy.core.sort.SortEngine.sortNodes(Collection, SortOptions)","org.apache.ivy.core.sort.SortEngine.sortNodes(Collection<IvyNode>, SortOptions)",0.0848997368761171,0.06374686090631605,,,,
org.apache.ivy.plugins.report.XmlReportParser.getArtifacts(),org.apache.ivy.plugins.report.XmlReportParser.getArtifacts(),0.008169935150452758,0.006219518375649932,,,,
org.apache.ivy.plugins.report.XmlReportParser.getArtifactReports(),org.apache.ivy.plugins.report.XmlReportParser.getArtifactReports(),0.009297355452811077,0.007668301858536899,,,,
org.apache.ivy.plugins.report.XmlReportParser.getRealDependencyRevisionIds(),org.apache.ivy.plugins.report.XmlReportParser.getRealDependencyRevisionIds(),0.008170294939299435,0.006790955599753009,,,,
org.apache.ivy.plugins.report.XmlReportParser.getDependencyRevisionIds(),org.apache.ivy.plugins.report.XmlReportParser.getDependencyRevisionIds(),0.008170194839173842,0.006790969822664661,,,,
org.apache.ivy.util.ChecksumHelper.byteArrayToHexString(byte[]),org.apache.ivy.util.ChecksumHelper.byteArrayToHexString(byte[]),0.03713699287326129,0.02910141932623867,,,,
"org.apache.ivy.util.filter.FilterHelper.filter(Collection, Filter)","org.apache.ivy.util.filter.FilterHelper.filter(Collection, Filter)",0.04279651822855244,0.033790006718601204,2,2,0.045493122043650004,0.03642295897629268
"org.apache.ivy.util.url.HttpClientHandler.upload(File, URL, CopyProgressListener)","org.apache.ivy.util.url.HttpClientHandler.upload(File, URL, CopyProgressListener)",0.038464153058379004,0.022060582730649585,,,,
