method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",14,490,15,112,132,21,29,63,0,203420,36,3188,0.33333333333333337,0.2660500544069641,0.40540540540540543,0.1391304347826087,1.0,0.7692307692307693,0.10861423220973783,0.9264705882352942,1e-13,0.7924703242419875,0.010462074978204011,0.00253294537755351,0.38893058600594455
org.apache.ivy.ant.IvyBuildList.doExecute(),20,98,8,26,129,27,13,55,9,5528,0,35,0.04761904761904767,0.05277475516866159,0.21621621621621623,0.03229813664596273,0.9769230769230769,1.0,0.04868913857677903,0.8088235294117647,1.0,0.021535620648951464,1e-13,2.702232282297438e-05,0.35461794236354643
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",15,302,18,58,118,19,17,65,0,170906,75,5554,0.2857142857142857,0.16376496191512513,0.4864864864864865,0.07204968944099378,0.8923076923076924,0.6923076923076923,0.06367041198501873,0.9558823529411765,1e-13,0.6658044107506691,0.021795989537925022,0.004413381136352257,0.3545860422339589
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",17,657,19,109,92,17,10,65,1,230114,26,791,0.19047619047619047,0.35690968443960824,0.5135135135135135,0.13540372670807455,0.6923076923076923,0.6153846153846154,0.03745318352059925,0.9558823529411765,0.1111111111111111,0.8964630625927672,0.007555943039814008,0.0006278716185338164,0.3327214754090445
org.apache.ivy.ant.IvyResolve.doExecute(),20,742,14,107,123,25,16,42,1,92521,4,284,0.04761904761904767,0.40315560391730143,0.3783783783783784,0.13291925465838508,0.9307692307692308,0.9230769230769231,0.0599250936329588,0.6176470588235294,0.1111111111111111,0.36043725724704023,0.0011624527753560012,0.0002249210987912279,0.3309315153493963
"org.apache.ivy.Main.run(CommandLineParser, String[])",20,615,18,144,112,22,5,65,1,946,0,10,0.04761904761904767,0.3340587595212187,0.4864864864864865,0.17888198757763976,0.8461538461538461,0.8076923076923077,0.018726591760299626,0.9558823529411765,0.1111111111111111,0.003685364893977584,1e-13,7.1529678060814535e-06,0.328717980530769
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",20,380,13,103,128,19,6,61,9,13718,2,221,0.04761904761904767,0.20620239390642003,0.35135135135135137,0.12795031055900621,0.9692307692307692,0.6923076923076923,0.02247191011235955,0.8970588235294118,1.0,0.053441686697235195,0.0005812263876780006,0.00017485032414865775,0.3242892174187679
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",20,382,15,79,119,16,9,63,2,105111,8,1193,0.04761904761904767,0.20729053318824808,0.40540540540540543,0.09813664596273292,0.9,0.5769230769230769,0.033707865168539325,0.9264705882352942,0.2222222222222222,0.40948455536033596,0.0023249055507120024,0.0009473708472054547,0.3176816951549725
org.apache.ivy.ant.IvyPublish.doExecute(),20,353,15,64,107,17,22,68,0,2855,0,32,0.04761904761904767,0.191512513601741,0.40540540540540543,0.07950310559006211,0.8076923076923077,0.6153846153846154,0.08239700374531835,1.0,1e-13,0.011122322169456663,1e-13,2.4638000220947227e-05,0.31352052609637676
"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",20,257,14,45,111,21,4,47,7,2015,55,798,0.04761904761904767,0.13928182807399347,0.3783783783783784,0.055900621118012424,0.8384615384615385,0.7692307692307693,0.0149812734082397,0.6911764705882353,0.7777777777777778,0.007849905138863458,0.015983725661145014,0.0006334350379385465,0.28986452516540895
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)",13,251,13,46,111,21,9,43,2,1465,0,61,0.38095238095238093,0.13601741022850924,0.35135135135135137,0.05714285714285714,0.8384615384615385,0.7692307692307693,0.033707865168539325,0.6323529411764706,0.2222222222222222,0.005707251130736956,1e-13,4.768645204054302e-05,0.28444105540272013
"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",15,820,21,198,82,16,14,44,5,182463,17,818,0.2857142857142857,0.4455930359085963,0.5675675675675675,0.24596273291925466,0.6153846153846154,0.5769230769230769,0.052434456928838954,0.6470588235294118,0.5555555555555556,0.7108274150632472,0.004940424295263005,0.0006493305219520608,0.28258962981060526
"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, VisitNode, String, Collection)",15,362,15,48,110,20,7,38,2,4945,107,15906,0.2857142857142857,0.19640914036996734,0.40540540540540543,0.05962732919254658,0.8307692307692308,0.7307692307692307,0.026217228464419477,0.5588235294117647,0.2222222222222222,0.01926440740033737,0.031095611740773032,0.012640883661747279,0.27080872297759184
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",12,290,21,76,92,19,9,47,7,1259,0,43,0.4285714285714286,0.1572361262241567,0.5675675675675675,0.09440993788819876,0.6923076923076923,0.6923076923076923,0.033707865168539325,0.6911764705882353,0.7777777777777778,0.004904729811329576,1e-13,3.338051642838012e-05,0.26394420255872714
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",4,701,18,130,93,17,9,50,5,1090,0,67,0.8095238095238095,0.3808487486398259,0.4864864864864865,0.16149068322981366,0.7,0.6153846153846154,0.033707865168539325,0.7352941176470589,0.5555555555555556,0.0042463506706507045,1e-13,5.245509724459732e-05,0.2608776042922685
"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",0,194,12,41,84,19,11,10,1,16902,3441,117227,1.0,0.10500544069640914,0.32432432432432434,0.05093167701863354,0.6307692307692307,0.6923076923076923,0.04119850187265917,0.14705882352941177,0.1111111111111111,0.06584570553700753,1.0,0.0931682004484116,0.2604019308856099
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleRevisionId, Collection, String, PublishOptions)",13,285,14,45,87,15,12,57,0,1504,0,41,0.38095238095238093,0.15451577801958652,0.3783783783783784,0.055900621118012424,0.6538461538461539,0.5384615384615384,0.0449438202247191,0.8382352941176471,1e-13,0.0058591847785859266,1e-13,3.179096802702868e-05,0.2596738823725482
