method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",14,298,22,79,89,18,9,46,7,1203,1,39,0.3913043478260869,0.15476810838978636,0.5945945945945946,0.09438470728793309,0.49714285714285716,0.4857142857142857,0.02631578947368421,0.5822784810126582,0.6363636363636364,0.00521000251188816,0.00015220700152207003,1.6992795680681758e-06,0.22305753434508915
"org.apache.ivy.core.deliver.DeliverEngine.deliver(ModuleRevisionId, String, String, DeliverOptions)",15,260,17,52,97,15,10,69,2,1531,0,48,0.34782608695652173,0.13496612819176654,0.4594594594594595,0.06212664277180406,0.5428571428571428,0.4,0.029239766081871343,0.8734177215189873,0.18181818181818182,0.006630518574979862,1e-13,2.101740518400112e-06,0.20301085039563488
org.apache.ivy.ant.IvyPublish.doExecute(),22,363,15,64,105,17,22,70,0,2444,0,29,0.04347826086956519,0.18863991662324128,0.40540540540540543,0.07646356033452807,0.5885714285714285,0.45714285714285713,0.06432748538011696,0.8860759493670886,1e-13,0.01058457700669548,1e-13,1.2521007343660243e-06,0.19992669479129394
"org.apache.ivy.core.report.ResolveReport.toFixedModuleDescriptor(IvySettings, List<ModuleId>)",22,449,26,88,57,16,10,32,8,82,0,12,0.04347826086956519,0.2334549244398124,0.7027027027027027,0.10513739545997611,0.3142857142857143,0.42857142857142855,0.029239766081871343,0.4050632911392405,0.7272727272727273,0.0003551290157729253,1e-13,4.918967170723666e-07,0.19045936640447408
"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",0,201,12,43,93,22,14,14,1,25808,3927,111203,1.0,0.10422094841063054,0.32432432432432434,0.05137395459976105,0.52,0.6,0.04093567251461988,0.17721518987341772,0.09090909090909091,0.1117703614520446,0.597716894977169,0.004972718066534665,0.18696195588876824
"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, VisitNode, String, Collection)",17,372,15,51,110,20,7,38,2,7081,110,15207,0.26086956521739135,0.19332985930171964,0.40540540540540543,0.06093189964157706,0.6171428571428571,0.5428571428571428,0.02046783625730994,0.4810126582278481,0.18181818181818182,0.03066668976448883,0.0167427701674277,0.0006799801345274916,0.18617437162556016
"org.apache.ivy.core.check.CheckEngine.check(URL, String)",6,43,7,23,71,16,9,30,6,492,0,3,0.7391304347826086,0.021886399166232414,0.1891891891891892,0.027479091995221028,0.3942857142857143,0.42857142857142855,0.02631578947368421,0.379746835443038,0.5454545454545454,0.002130774094637552,1e-13,8.943576674043031e-08,0.17752423605434747
"org.apache.ivy.osgi.repo.AbstractOSGiResolver.listTokenValues(Set<String>, Map<String, String>)",22,19,4,10,99,18,11,26,4,0,0,3,0.04347826086956519,0.009379885356956748,0.10810810810810811,0.011947431302270013,0.5542857142857143,0.4857142857142857,0.03216374269005848,0.3291139240506329,0.36363636363636365,1e-13,1e-13,8.943576674043031e-08,0.17649140368206814
org.apache.ivy.core.resolve.IvyNode.getArtifacts(String),4,272,27,70,63,14,9,35,6,2334,58,4186,0.8260869565217391,0.1412193850964044,0.7297297297297297,0.08363201911589008,0.3485714285714286,0.37142857142857144,0.02631578947368421,0.4430379746835443,0.5454545454545454,0.01010818442456107,0.008828006088280061,0.0001871443419043504,0.17489967730113984
"org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean)",17,530,22,109,54,14,7,34,3,141067,71,5001,0.26086956521739135,0.2756644085461178,0.5945945945945946,0.13022700119474312,0.29714285714285715,0.37142857142857144,0.02046783625730994,0.43037974683544306,0.2727272727272727,0.6109388398541372,0.01080669710806697,0.00022358941685107577,0.17190313767448456
org.apache.ivy.ant.IvyPostResolveTask.prepareAndCheck(),10,1057,23,195,90,17,18,40,1,18617,0,114,0.5652173913043479,0.5502866076081292,0.6216216216216216,0.23297491039426524,0.5028571428571429,0.45714285714285713,0.05263157894736842,0.5063291139240507,0.09090909090909091,0.08062727910542135,1e-13,5.053120820834312e-06,0.16760588673343052
"org.apache.ivy.plugins.report.XmlReportWriter.ouputRevision(ConfigurationResolveReport, PrintWriter, List, IvyNode)",17,318,28,59,77,15,6,48,2,2530,73,1571,0.26086956521739135,0.1651902032308494,0.7567567567567568,0.07048984468339307,0.42857142857142855,0.4,0.017543859649122806,0.6075949367088608,0.18181818181818182,0.010957029389091476,0.011111111111111112,7.020707689123779e-05,0.1647089295096417
