method,pattern,space,score,target,issue
org.apache.ivy.ant.IvyBuildList.doExecute(),,org.apache.ivy.ant.IvyBuildList.doExecute(),0.38375704874075595,,
"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",HotCallee,"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",0.3597624875392621,"org.apache.ivy.plugins.parser.m2.PomModuleDescriptorParser.parseDescriptor(ParserSettings, URL, Resource, boolean)",IVY-1376
"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",,"org.apache.ivy.plugins.report.LogReportOutputter.output(ResolveReport, ResolutionCacheManager, ResolveOptions)",0.30979605165096713,,
"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",,"org.apache.ivy.core.publish.PublishEngine.publish(ModuleDescriptor, Collection, DependencyResolver, PublishOptions)",0.28898448732720095,,
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",HotCallee,"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions), org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",0.2885785257316579,,
"org.apache.ivy.Main.run(CommandLineParser, String[])",,"org.apache.ivy.Main.run(CommandLineParser, String[])",0.27411771417818936,"org.apache.ivy.Main.run(CommandLineParser, String[])",IVY-1252
"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",,"org.apache.ivy.core.retrieve.RetrieveEngine.determineArtifactsToCopy(ModuleRevisionId, String, RetrieveOptions)",0.2643234948928187,,
"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",HotCallee,"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport), org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean)",0.25269619478822664,,
org.apache.ivy.ant.IvyPublish.doExecute(),,org.apache.ivy.ant.IvyPublish.doExecute(),0.2508836779258307,,
"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)",,"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)",0.2498194497740094,"org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions), org.apache.ivy.core.retrieve.RetrieveEngine.retrieve(ModuleRevisionId, String, RetrieveOptions)","IVY-1252, IVY-1044"
"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, VisitNode, String, Collection)",,"org.apache.ivy.core.resolve.ResolveEngine.resolveConflict(VisitNode, VisitNode, String, Collection)",0.23936646471444795,,
"org.apache.ivy.core.install.InstallEngine.install(ModuleRevisionId, String, String, InstallOptions)",,"org.apache.ivy.core.install.InstallEngine.install(ModuleRevisionId, String, String, InstallOptions)",0.23727579420522626,,
"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",HotExec,"org.apache.ivy.core.IvyPatternHelper.substituteTokens(String, Map)",0.23372968578474615,,
"org.apache.ivy.core.check.CheckEngine.check(URL, String)",,"org.apache.ivy.core.check.CheckEngine.check(URL, String)",0.22589824181718368,,
