class path,method name,method arguments,Time,OwnTime,count
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testUseOrigin,,313,0,1
test\java\org\apache\ivy\ant\IvyRetrieveTest.java,testWithAPreviousResolve,,388,0,1
src\java\org\apache\ivy\core\settings\IvySettings.java,load,File,12632,1,416
src\java\org\apache\ivy\plugins\repository\TransferEvent.java,getElapsedTime,"int, int",15,7,9431
src\java\org\apache\ivy\util\CredentialsUtil.java,promptCredentials,"Credentials, File",2064,0,16
src\java\org\apache\ivy\ant\IvyBuildList.java,setSkipbuildwithoutivy,boolean,0,0,2
src\java\org\apache\ivy\ant\IvyAntSettings.java,configureURLHandler,,93,1,207
src\java\org\apache\ivy\core\resolve\IvyNode.java,getConfsToFetch,,8,0,1062
src\java\org\apache\ivy\core\deliver\DeliverEngine.java,getCache,,2,0,63
src\java\org\apache\ivy\core\module\descriptor\DefaultArtifact.java,getModuleRevisionId,,6,6,57238
src\java\org\apache\ivy\plugins\resolver\IBiblioResolver.java,shouldUseMavenMetadata,String,0,0,19
src\java\org\apache\ivy\plugins\resolver\BasicResolver.java,checkRevision,ModuleRevisionId,4,2,1399
src\java\org\apache\ivy\plugins\conflict\LatestConflictManager.java,<init>,,0,0,29
src\java\org\apache\ivy\plugins\repository\ssh\SshCache.java,getCacheEntry,"String, String, int",1,0,30
src\java\org\apache\ivy\core\module\id\ModuleRules.java,<init>,,9,2,9750
src\java\org\apache\ivy\plugins\version\LatestVersionMatcher.java,accept,"ModuleRevisionId, ModuleDescriptor",4,0,132
src\java\org\apache\ivy\ant\IvyAntSettings.java,format,String,0,0,9
src\java\org\apache\ivy\plugins\resolver\ChainResolver.java,isCheckmodified,,0,0,46
test\java\org\apache\ivy\ant\IvyVarTest.java,testPrefix,,128,0,1
test\java\org\apache\ivy\plugins\namespace\MRIDTransformationRuleTest.java,<init>,,0,0,1
src\java\org\apache\ivy\Ivy.java,setVariable,"String, String",9,0,52
src\java\org\apache\ivy\core\IvyContext.java,pop,String,0,0,1
src\java\org\apache\ivy\core\settings\IvySettings.java,getResolutionCacheManager,,27,0,825
src\java\org\apache\ivy\core\module\descriptor\DefaultDependencyDescriptor.java,addDependencyArtifact,"String, DependencyArtifactDescriptor",0,0,120
src\java\org\apache\ivy\core\resolve\IvyNode.java,getAllRealCallers,,0,0,8
src\java\org\apache\ivy\core\resolve\IvyNode.java,hasConfigurationsToLoad,,0,0,2673
src\java\org\apache\ivy\util\cli\CommandLineParser.java,<init>,,0,0,18
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testResolveExceptConfiguration,,238,0,1
src\java\org\apache\ivy\ant\IvyTask.java,execute,,90275,0,305
src\java\org\apache\ivy\core\settings\IvySettings.java,getResolveMode,ModuleId,39,11,6399
src\java\org\apache\ivy\ant\IvyConvertPom.java,doExecute,,210,0,2
src\java\org\apache\ivy\core\report\ConfigurationResolveReport.java,getDownloadedNodes,,36,4,605
src\java\org\apache\ivy\core\search\ModuleEntry.java,toString,,0,0,19
test\java\org\apache\ivy\core\resolve\ResolveTest.java,testFromCacheOnly,,255,0,1
src\java\org\apache\ivy\core\resolve\IvyNodeUsage.java,updateDataFrom,"IvyNodeUsage, String",20,0,187
src\java\org\apache\ivy\core\IvyThread.java,<init>,"ThreadGroup, Runnable",0,0,1
src\java\org\apache\ivy\Ivy.java,postConfigure,,14,4,974
src\java\org\apache\ivy\core\module\id\ArtifactRevisionId.java,getRevision,,0,0,170
test\java\org\apache\ivy\ant\AntCallTriggerTest.java,addBuildListeners,"Project, int",1,0,1
src\java\org\apache\ivy\core\repository\RepositoryManagementEngine.java,getModuleIdsNumber,,0,0,2
test\java\org\apache\ivy\ant\IvyReportTest.java,testWithLatest,,1587,0,1
src\java\org\apache\ivy\plugins\repository\AbstractRepository.java,put,"Artifact, File, String, boolean",1427,0,581
src\java\org\apache\ivy\plugins\conflict\RegexpConflictManager.java,nodeIsGreater,"IvyNode, IvyNode",0,0,2
src\java\org\apache\ivy\core\settings\IvySettings.java,addRepositoryCacheManager,RepositoryCacheManager,3,0,1055
src\java\org\apache\ivy\core\sort\SortEngine.java,getVersionMatcher,,6,0,1011
src\java\org\apache\ivy\util\url\HttpClientHandler.java,useProxyAuthentication,,0,0,243
test\java\org\apache\ivy\ant\IvyInstallTest.java,cleanCache,,143,0,9
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorWriter.java,printConfigurations,"ModuleDescriptor, PrintWriter",339,13,423
test\java\org\apache\ivy\plugins\conflict\RegexpConflictManagerTest.java,setUp,,46,0,2
src\java\org\apache\ivy\plugins\parser\xml\XmlModuleDescriptorParser.java,toIvyFile,"InputStream, Resource, File, ModuleDescriptor",10206,0,802
test\java\org\apache\ivy\ant\AntCallTriggerTest.java,createLogger,int,1,0,1
