method,Time,Count
"org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions)",216305,736
"org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean)",169993,5130
"org.apache.ivy.core.resolve.ResolveEngine.doFetchDependencies(VisitNode, String)",168610,4818
"org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport)",167730,751
"org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage)",160685,5150
"org.apache.ivy.core.resolve.VisitNode.loadData(String, boolean)",160211,5110
"org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData)",150134,2809
"org.apache.ivy.plugins.resolver.ChainResolver.getDependency(DependencyDescriptor, ResolveData)",122308,1181
java.io.File.delete(),95960,15346
org.apache.ivy.ant.IvyResolve.doExecute(),92521,284
org.apache.ivy.util.FileUtil.forceDelete(File),70123,9137
java.lang.Thread.sleep(long) Thread.java,67081,451
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.parse(),66552,2143
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions)",53298,2161
"org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes,",50659,67150
"org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData)",46594,709
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions)",46185,705
"org.apache.xerces.impl.xs.XMLSchemaValidator.handleStartElement(QName, XMLAttributes,",45969,11800
"org.apache.xerces.parsers.AbstractXMLDocumentParser.emptyElement(QName, XMLAttributes,",45529,37710
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",43742,37038
"org.apache.xerces.impl.xs.XMLSchemaValidator.startElement(QName, XMLAttributes,",42784,4976
"org.apache.xerces.impl.xs.XMLSchemaValidator.findSchemaGrammar(short, String, QName, QName,",41720,11520
java.io.BufferedInputStream.read(),41711,255385
"org.apache.xerces.impl.xs.traversers.XSDHandler.parseSchema(XMLInputSource, XSDDescription,",41681,3942
org.apache.ivy.core.settings.XmlSettingsParser.parse(URL),37767,712
org.apache.ivy.core.settings.XmlSettingsParser.doParse(URL),37620,3059
sun.net.www.URLConnection.getContentLength(),36781,2
"org.apache.commons.httpclient.HttpParser.readLine(InputStream, String)",34830,3936
org.apache.commons.httpclient.HttpParser.readRawLine(InputStream),34762,3936
"org.apache.commons.httpclient.HttpMethodBase.execute(HttpState, HttpConnection)",33536,203
"org.apache.commons.httpclient.HttpMethodBase.readResponse(HttpState, HttpConnection)",33402,203
"org.apache.commons.httpclient.HttpMethodBase.readStatusLine(HttpState, HttpConnection)",32977,203
"org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File)",31008,1804
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String)",29985,4401
"org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin)",29773,83540
org.apache.ivy.core.settings.IvySettings.load(URL),29122,479
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",28723,1186
org.apache.ivy.plugins.matcher.AbstractPatternMatcherTest.testLoadTestGetMatcher(),27989,8
org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String),27889,1200381
org.apache.ivy.core.module.status.StatusManager.getCurrent(),27833,1816
"org.apache.ivy.plugins.resolver.AbstractResolver.findModuleInCache(DependencyDescriptor, ResolveData, boolean)",27301,3530
"org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)",27249,1804
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.findModuleInCache(DependencyDescriptor, ModuleRevisionId, CacheMetadataOptions, String)",27213,3530
"org.apache.ivy.util.cli.CommandLineParser.printHelp(PrintWriter, int, String, boolean)",27092,6
"java.net.Socket.<init>(String, int)",26203,27
java.lang.StringBuffer.append(char),24858,26485623
org.apache.ivy.Ivy.configureDefault(),24642,407
