method,pattern,space
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",HotCyclic,"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileRepository.get(String, File); org.apache.ivy.plugins.repository.file.FileRepository.copy(File, File, boolean); org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean); org.apache.ivy.util.FileUtil.copy(InputStream, File, CopyProgressListener); org.apache.ivy.util.FileUtil.copy(InputStream, OutputStream, CopyProgressListener); org.apache.ivy.plugins.repository.RepositoryCopyProgressListener.end(CopyProgressEvent); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferCompleted(); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferEvent(TransferEvent); org.apache.ivy.core.event.EventManager.transferProgress(TransferEvent); org.apache.ivy.core.event.EventManager.fireIvyEvent(IvyEvent); org.apache.ivy.core.event.FilteredIvyListener.progress(IvyEvent); org.apache.ivy.ant.AntBuildTrigger.progress(IvyEvent); org.apache.tools.ant.taskdefs.Ant.execute(); org.apache.tools.ant.Project.executeTarget(String); org.apache.tools.ant.Target.performTasks(); org.apache.tools.ant.Target.execute(); org.apache.tools.ant.Task.perform(); org.apache.tools.ant.UnknownElement.execute(); org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyResolve.doExecute(); org.apache.ivy.Ivy.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport); org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean); org.apache.ivy.core.resolve.VisitNode.loadData(String, boolean); org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage); org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions); org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)"
"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)",FreqExec,"org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)"
org.apache.ivy.core.settings.IvySettings.getDefaultPropertiesURL(),HotCallee,org.apache.ivy.core.settings.IvySettings.getDefaultPropertiesURL(); org.apache.ivy.core.settings.IvySettings.getSettingsURL(String)
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),FreqExec,"org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File); org.apache.ivy.plugins.lock.ArtifactLockStrategy.lockArtifact(Artifact, File)"
org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(),FreqExec,"org.apache.ivy.core.module.id.ModuleRevisionId.getOrganisation(); org.apache.ivy.core.module.id.ArtifactRevisionId.ArtifactRevisionId(ArtifactId, ModuleRevisionId, Map); org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId, Artifact, String, ArtifactOrigin); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler.infoStarted(Attributes); org.apache.ivy.core.IvyPatternHelper.substitute(String, ModuleRevisionId); org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyPropertiesInCache(ModuleRevisionId); org.apache.ivy.core.cache.DefaultResolutionCacheManager.getResolvedIvyFileInCache(ModuleRevisionId); org.apache.ivy.plugins.report.XmlReportWriter.output(ConfigurationResolveReport, String[], OutputStream); org.apache.ivy.core.resolve.ResolveEngine.getDependenciesFetchedKey(IvyNode, String); org.apache.ivy.ant.IvyResolve.doExecute(); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printInfoTag(ModuleDescriptor, PrintWriter); org.apache.ivy.plugins.resolver.BasicResolver.checkDescriptorConsistency(ModuleRevisionId, ModuleDescriptor, ResolvedResource); org.apache.ivy.plugins.report.XmlReportWriter.outputCallers(ConfigurationResolveReport, PrintWriter, IvyNode); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.dependencyStarted(Attributes); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater$UpdaterHandler.startElementInDependency(Attributes); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.convertM2IdForResourceSearch(ModuleRevisionId); org.apache.ivy.plugins.namespace.MRIDTransformationRule$MridRuleMatcher.match(MRIDRule, ModuleRevisionId); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printDependencies(ModuleDescriptor, PrintWriter); org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.newCallerInstance(ModuleRevisionId, String[], boolean, boolean); org.apache.ivy.core.module.descriptor.OverrideDependencyDescriptorMediator.mediate(DependencyDescriptor)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",HotCyclic,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.file.FileRepository.get(String, File); org.apache.ivy.plugins.repository.file.FileRepository.copy(File, File, boolean); org.apache.ivy.util.FileUtil.copy(File, File, CopyProgressListener, boolean); org.apache.ivy.util.FileUtil.copy(InputStream, File, CopyProgressListener); org.apache.ivy.util.FileUtil.copy(InputStream, OutputStream, CopyProgressListener); org.apache.ivy.plugins.repository.RepositoryCopyProgressListener.end(CopyProgressEvent); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferCompleted(); org.apache.ivy.plugins.repository.AbstractRepository.fireTransferEvent(TransferEvent); org.apache.ivy.core.event.EventManager.transferProgress(TransferEvent); org.apache.ivy.core.event.EventManager.fireIvyEvent(IvyEvent); org.apache.ivy.core.event.FilteredIvyListener.progress(IvyEvent); org.apache.ivy.ant.AntBuildTrigger.progress(IvyEvent); org.apache.tools.ant.taskdefs.Ant.execute(); org.apache.tools.ant.Project.executeTarget(String); org.apache.tools.ant.Target.performTasks(); org.apache.tools.ant.Target.execute(); org.apache.tools.ant.Task.perform(); org.apache.tools.ant.UnknownElement.execute(); org.apache.ivy.ant.IvyTask.execute(); org.apache.ivy.ant.IvyResolve.doExecute(); org.apache.ivy.Ivy.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(URL, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions); org.apache.ivy.core.resolve.ResolveEngine.getDependencies(ModuleDescriptor, ResolveOptions, ResolveReport); org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean); org.apache.ivy.core.resolve.VisitNode.loadData(String, boolean); org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage); org.apache.ivy.plugins.resolver.BasicResolver.getDependency(DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.cacheModuleDescriptor(DependencyResolver, ResolvedResource, DependencyDescriptor, Artifact, ResourceDownloader, CacheMetadataOptions); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.download(Artifact, ArtifactResourceResolver, ResourceDownloader, CacheDownloadOptions); org.apache.ivy.plugins.resolver.BasicResolver$6.download(Artifact, Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File)"
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",FreqExec,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheck(Resource, File); org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String)"
org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact),FreqExec,org.apache.ivy.plugins.resolver.AbstractResolver.fromSystem(Artifact); org.apache.ivy.plugins.resolver.BasicResolver$5.resolve(Artifact)
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),HotExec,org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer); org.apache.ivy.core.settings.IvySettings.IvySettings()
"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[])",FreqExec,"org.apache.ivy.util.extendable.ExtendableItemHelper.fillExtraAttributes(ParserSettings, DefaultExtendableItem, Attributes, String[]); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.confStarted(Attributes)"
