Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description
CXF,CXF-95,Port Celtix performance test to CXF,Task,Closed,Major,Fixed,Willem Jiang,Willem Jiang,Willem Jiang,9/19/2006 6:16,,8/29/2007 2:06,9/28/2006 7:07,2.0-M1,2.0-M1,,,0,0,,,,,,,,,
CXF,CXF-99,CXF performance test send data more than 8K will broken,Bug,Closed,Major,Fixed,Willem Jiang,Willem Jiang,Willem Jiang,9/20/2006 7:32,,8/29/2007 2:06,9/20/2006 8:21,,2.0-M1,,,0,0,,,,,,,,,"The exception stack trace is 
java.lang.RuntimeException: java.lang.ClassCastException: java.io.BufferedOutputStream
[java] at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:139)
[java] at org.apache.cxf.jaxws.EndpointInvocationHandler.invokeSync(EndpointInvocationHandler.java:112)
[java] at org.apache.cxf.jaxws.EndpointInvocationHandler.invoke(EndpointInvocationHandler.java:103)
[java] at $Proxy31.echoString(Unknown Source)
[java] at org.objectweb.celtix.performance.basic_type.client.Client.doJob(Client.java:84)
[java] at org.objectweb.celtix.pat.internal.TestCaseBase.initialize(TestCaseBase.java:181)
[java] at org.objectweb.celtix.performance.basic_type.client.Client.main(Client.java:62)
[java] Caused by: java.lang.ClassCastException: java.io.BufferedOutputStream
[java] at org.apache.cxf.transport.AbstractCachedOutputStream.resetOut(AbstractCachedOutputStream.java:95)
[java] at org.apache.cxf.transport.http.HTTPConduit$WrappedOutputStream.doFlush(HTTPConduit.java:397)
[java] at org.apache.cxf.transport.AbstractCachedOutputStream.flush(AbstractCachedOutputStream.java:67)
[java] at sun.nio.cs.StreamEncoder$CharsetSE.implFlush(StreamEncoder.java:410)
[java] at sun.nio.cs.StreamEncoder.flush(StreamEncoder.java:152)
[java] at java.io.OutputStreamWriter.flush(OutputStreamWriter.java:213)
[java] at com.ctc.wstx.sw.BaseStreamWriter.flushStream(BaseStreamWriter.java:1350)
[java] at com.ctc.wstx.sw.BaseStreamWriter.safeFlushStream(BaseStreamWriter.java:1357)
[java] at com.ctc.wstx.sw.BaseStreamWriter.flush(BaseStreamWriter.java:306)
"
CXF,CXF-112,CXF performance testing and tuning,Test,Closed,Major,Fixed,Willem Jiang,Bozhong Lin,Bozhong Lin,9/25/2006 7:39,,7/20/2007 7:16,7/20/2007 7:16,2,2.0.1,,,0,0,,,,,,,,,"First plan is to run existing Celtix performance test and do a performance comparison with Celtix 1.0 benchmark, then we might want to do something very similar with Axis2 performance test here http://www.wso2.net/2006/05/axis2_performance_testing_round_1, and compare CXF with Axis2 performance. Part of performance test including profiling and tuning CXF."
CXF,CXF-174,Allow overriding the default stax parser/writer,Bug,Closed,Critical,Fixed,Unassigned,Dan Diephouse,Dan Diephouse,10/25/2006 4:54,,10/30/2006 7:30,10/30/2006 7:30,,2.0-M1,,,0,0,,,,,,,,,"We need to be able to set a property on the service/endpoint/operation and set the stax implementation. Very important to be able to handle fast infoset, custom xml parsers, JSON, etc."
CXF,CXF-225,SAAJ Performance Improvement,Improvement,Closed,Major,Duplicate,Unassigned,Bozhong Lin,Bozhong Lin,11/13/2006 3:39,,8/29/2007 2:05,12/5/2006 6:43,2.0-RC,2.0-RC,JAX-WS Runtime,,0,0,,,,,,,,,
CXF,CXF-249,Performance improvment by using DOMXMLWriter,Improvement,Closed,Major,Fixed,Jervis Liu,Jervis Liu,Jervis Liu,11/17/2006 2:45,,2/14/2007 3:07,2/14/2007 3:07,2.0-RC,2.0-RC,JAX-WS Runtime,,0,0,,,,,,,,,"When Soap handlers are registered in SOAPHandlerInterceptor, we can do following:

1. Replace the XMLStreamWriter with DOMXMLWriter
2. chain.remove(AttachmentOutInterceptor.class.getName());
chain.remove(SoapOutInterceptor.class.getName());
This is because attachement and headers are already handled by SAAJ, we do not need these two interceoptors any more.
3. In SOAPHandlerInterceptor, create SAAJ from DOM. a sudo code looks like below:
Document doc = DOMXMLWriter.getDocument()
SOAPMessage soapMessage = MessageFactory.createMessage() 
soapMessage.setHeaders(doc.getHeader());
soapMessage.addAttachmentPart(attachement);
soapMessage.setSoapBody(doc.getBody());
4. write SAAJ to originaloutput stream
"
CXF,CXF-328,CXF-228 Performance test with the cxf-rt-transport-http2,Sub-task,Closed,Major,Fixed,Willem Jiang,Willem Jiang,Willem Jiang,12/22/2006 7:38,,8/29/2007 18:04,1/17/2007 19:41,,2.0-RC,,,0,0,,,,,,,,,
CXF,CXF-345,performance test client applications fail with java.net.MalformedURLException.,Bug,Closed,Major,Fixed,Willem Jiang,Frank Lynch,Frank Lynch,1/2/2007 15:56,,8/29/2007 2:05,3/12/2007 7:03,2.0-M1,2.0-RC,,,0,0,,,,,,,,"CXF head, jdk 1.5.0_09, ubuntu edgy eft.","The client applications in the performance tests fail with a MalformedURL exception, as they pass the path to a wsdl file without the ""file://"" prefix. Its a trivial fix, please find the attached ""patch.txt""."
CXF,CXF-352,Update WS-A MessageID and WS-RM Acknowledgement headers in resent messages,Task,Closed,Major,Fixed,Dennis Sosnoski,Andrea Smyth,Andrea Smyth,1/4/2007 11:41,,3/22/2014 0:55,3/22/2014 0:55,,3,WS-* Components,,2,2,,,,,,,,,"Currently a message is resent as is. This implies use of the originally assigned messageID, and works because we are by default tolerant against duplicate messageIDs . To be strictly compliant, the resent message should be given a new ID. Once we are updating the headers, we may also either remove any pre-existing SequenceAcknowledgement header (it may be out-of-date, but that does not cause any harm) or, for efficiency, replace it with an up-to-date SequenceAcknowledgement.
Requires re-running the message through a selective chain of interceptors or else a manual approach to updating the headers in question. and subsequently re-marshalling the messge."
CXF,CXF-379,WS-Policy: Client side interceptor chain setup depending on binding operation's effective policy,Task,Closed,Major,Fixed,Andrea Smyth,Andrea Smyth,Andrea Smyth,1/23/2007 8:14,,8/29/2007 18:03,2/15/2007 12:15,,2.0-RC,WS-* Components,,0,0,,,,,,,,,"Given the binding operation, determine the effective policy and use the AssertionInterceptorProvider API to determine which interceptors are required to support a policy alternative.
First look at preconfigured interceptors: if with these one of the alternatives is supported, choose it (user configuration takes precedence).
Need to include transport and existing interceptors in checklist (cast to Assertor).
Choose alternative for which the minimum numner of interceptors need to be added. Or else have the interceptors provided by the AssertionInterceptorProvider implement an interface that determines the cost of an interceptor being added dybamically and or executed in the chain, and choose the alternative so as to minimise cost.
Initially however assume one alternative only.
Cache the binding operation specific interceptor chains/interceptors for efficiency (allow recombination of chain but avoid instantiating interceptors on a per-invocation basis)."
CXF,CXF-385,XMLFaultOutInterceptor does some redundant JAX_WS related fault detail processing.,Improvement,Closed,Major,Fixed,Unassigned,Ajay Paibir,Ajay Paibir,1/23/2007 11:39,,8/29/2007 2:05,1/23/2007 13:44,2.0-M1,2.0-RC,,,0,0,,,,,,,,,XMLFault already has the detail element set by WebFaultOutInterceptor provided by JAX_WS frontend. However the XMLFaultOutInterceptor ignores the detail element and instead marshal the Exception by invoking the getFaultInfo method .
CXF,CXF-487,JAXB shoudl write to the OutputStream if possible,Improvement,Closed,Major,Fixed,Unassigned,Dan Diephouse,Dan Diephouse,3/26/2007 1:51,,6/13/2007 19:08,6/13/2007 19:08,2,2,,,0,0,,,,,,,,,"JAXB should be writing to the OutputStream if its available. This is a MAJOR performance issue, as it provides a huge speedup."
CXF,CXF-580,CXF-571 servlet demos improvement,Sub-task,Closed,Major,Fixed,maomaode,maomaode,maomaode,4/23/2007 5:46,,8/29/2007 2:05,4/23/2007 9:12,2.0-RC,2.0-RC,,,0,0,,,,,,,,,"Ideally want user need to issue is the command like this
> ant client-servlet 

not this one:
> ant client-servlet -Dbase.url=http://localhost:8080

The base.url is just redundant, all the servlet demos require users to do this. 

My suggestion is that break down the base.url into two pieces host/port so, base.url=http://host:port
the default value for the host is localhost
the default value for the port in case of tomcat is 8080"
CXF,CXF-606,MTOM Broken with Axis2 and .NET clients,Bug,Closed,Major,Fixed,Dan Diephouse,Chris Moesel,Chris Moesel,4/26/2007 22:19,,8/29/2007 18:06,4/30/2007 8:36,2,2.0-RC,Core,,0,0,,,,,,,,,"A recent change to AttachmentDeserializer broke MTOM compatibility with Axis2 and C# .NET clients. The AttachmentDeserializer no longer looks in Content-Type to get the boundary delimiters-- instead it looks in the message content input stream. The problem is, it now assumes that boundary delimiters will start with ""----=_Part_"". This is not the case for Apache Axis2 or C# clients, so it can't find the boundary delimiters.

Axis2 uses boundary delimiters like: MIMEBoundaryurn_uuid_6BC4984D5D38EB283C1177616488109
.NET uses boundary delimiters like: --MIMEBoundary633131968239902899

I am attaching a patch. The patch changes AttachmentDeserializer to first look in the Content-Type for the boundary. If it's found, then it uses it. If not, only then does it look in the message content input stream. When looking in the message content, it does, however, still assume the boundary delimiter starts with ""----=_Part_"". I'm not currently familiar enough with boundary delimiter rules to write a better boundary detection scheme. 

Nonetheless, this patch should make handling attachments more efficient (since it doesn't always copy out the message content InputStream). And, of course, it fixes the Axis2 and C# errors too!

A unit test is also included so this bug will never happen again. =)
"
CXF,CXF-649,Add the performance interceptors to collect the message's response time,New Feature,Closed,Major,Fixed,Willem Jiang,Willem Jiang,Willem Jiang,5/14/2007 7:04,,8/29/2007 2:03,5/23/2007 8:48,2,2,Core,,0,0,,,,,,,,,"The response interceptors will collect the message handle times and update these information to the response time counters. The counter repository will hold these counters reference and exports these counters to JMX as the managed beans, which can be monitor by management consoler."
