method,pattern,space
"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)",HotCallee,"org.apache.ivy.core.cache.ModuleDescriptorMemoryCache.getStale(File, ParserSettings, boolean, ModuleDescriptorProvider)"
org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File),HotCallee,org.apache.ivy.plugins.lock.FileBasedLockStrategy.acquireLock(File)
"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File)",HotCallee,"org.apache.ivy.plugins.resolver.RepositoryResolver.get(Resource, File); org.apache.ivy.plugins.repository.url.URLRepository.get(String, File)"
org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer),HotExec,org.apache.ivy.core.settings.IvySettings.IvySettings(IvyVariableContainer); org.apache.ivy.core.settings.IvySettings.IvySettings()
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",HotCyclic,"org.apache.ivy.core.settings.XmlSettingsParser.doParse(URL); javax.xml.parsers.SAXParser.parse(String, DefaultHandler); org.apache.xerces.parsers.AbstractSAXParser.parse(InputSource); org.apache.xerces.parsers.XMLParser.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(XMLInputSource); org.apache.xerces.parsers.XML11Configuration.parse(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher.dispatch(boolean); org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanStartElement(); org.apache.xerces.parsers.AbstractXMLDocumentParser.emptyElement(QName, XMLAttributes, Augmentations); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations); org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes); org.apache.ivy.core.settings.XmlSettingsParser.includeStarted(Map); org.apache.ivy.core.settings.XmlSettingsParser.parse(Configurator, URL)"
"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes)",FreqExec,"org.apache.ivy.core.settings.XmlSettingsParser.startElement(String, String, String, Attributes); org.apache.xerces.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations)"
org.apache.ivy.core.module.id.ModuleId.hashCode(),FreqExec,"org.apache.ivy.core.module.id.ModuleId.hashCode(); java.util.WeakHashMap.get(Object); org.apache.ivy.core.module.id.ModuleRevisionId.hashCode(); org.apache.ivy.core.resolve.IvyNodeEviction$ModuleIdConf.hashCode(); org.apache.ivy.core.module.id.ArtifactId.hashCode(); java.util.HashMap.put(Object, Object); java.util.HashMap$KeySet.contains(Object); java.util.LinkedHashMap.get(Object)"
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",FreqExec,"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean); org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean)"
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",HotCallee,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.saveResolvers(ModuleDescriptor, String, String)"
org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher.newMatcher(String),FreqExec,org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher.newMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String)
