id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
1,"org.apache.pdfbox.filter.LZWFilter.calculateChunk(int, int)",6,2,3,0,0
2,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolygon.initVertices(Element),86,7,36,4,4
3,"org.apache.pdfbox.examples.signature.CreateSignature.signDetached(File, File, TSAClient)",282,3,3,15,63
4,"org.apache.pdfbox.printing.PDFPrintable.PDFPrintable(PDDocument, Scaling, boolean, float, boolean)",3,1,1,1,1
5,org.apache.pdfbox.debugger.ui.DocumentEntry.getPage(int),52,2,13,6,12
6,org.apache.pdfbox.debugger.ui.MapEntry.setValue(COSBase),58,8,21,0,0
7,org.apache.pdfbox.debugger.hexviewer.AddressPane.AddressPane(int),13,3,9,0,0
8,"org.apache.pdfbox.pdmodel.graphics.color.PDColor.PDColor(float[], PDColorSpace)",630,16,114,0,0
9,org.apache.pdfbox.text.PDFTextStripper.endDocument(PDDocument),324,12,75,0,0
10,org.apache.pdfbox.pdmodel.fdf.FDFDictionary.getDifferences(),3,0,0,2,1
11,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Div.execute(ExecutionContext),3,0,0,1,2
12,org.apache.pdfbox.pdmodel.common.PDPageLabels.getCOSObject(),5,0,0,2,3
13,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner.signatureFieldName(String),5,2,3,0,0
14,"org.apache.pdfbox.preflight.process.CatalogValidationProcess.validateICCProfileNEntry(COSStream, PreflightContext, ICC_Profile)",61,8,13,4,6
15,"org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject.setArrayOfName(String, String[])",31,1,2,7,7
16,org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),94,8,30,5,8
17,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setReason(String),439,15,72,3,3
18,org.apache.pdfbox.text.TextPosition.getYDirAdj(),146,7,53,2,6
19,"org.apache.pdfbox.pdmodel.PDPageContentStream.setNonStrokingColor(int, int, int, int)",8,0,0,3,4
20,org.apache.pdfbox.pdmodel.PDPageContentStream.writeOperand(float),58,6,22,1,1
21,org.apache.pdfbox.rendering.Type1Glyph2D.getPathForCharacterCode(int),6,0,0,1,5
22,org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField.PDSignatureField(PDAcroForm),186,7,41,8,10
23,org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType5.toPaint(Matrix),2,0,0,1,1
24,"org.apache.pdfbox.preflight.annotation.LineAnnotationValidator.LineAnnotationValidator(PreflightContext, COSDictionary)",9,0,0,5,3
25,org.apache.pdfbox.tools.ExportXFDF.usage(),324,16,63,0,0
26,"org.apache.pdfbox.pdmodel.PDDocument.load(File, String, InputStream, String)",300,5,13,13,63
27,"org.apache.pdfbox.debugger.ui.OSXAdapter.invoke(Object, Method, Object[])",4,0,0,1,3
28,org.apache.pdfbox.cos.COSName.COSName(String),2,0,0,1,1
29,"org.apache.pdfbox.pdmodel.graphics.shading.ShadedTriangle.overlaps(Point2D, Point2D)",8,3,4,0,0
30,org.apache.pdfbox.pdmodel.PDDocumentCatalog.getViewerPreferences(),128,9,34,2,2
31,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createInnerFormResource(),109,10,51,0,0
32,org.apache.pdfbox.pdmodel.common.PDNameTreeNode.setNames(Map),182,10,34,4,11
33,org.apache.pdfbox.pdfparser.COSParser.setLenient(boolean),28,6,11,0,0
34,org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.getGlyphList(),94,10,23,1,1
35,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getAutomaticStrokeAdjustment(),214,12,43,5,2
36,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup.getIntent(),8,0,0,3,3
37,org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead.setNextBead(PDThreadBead),19,5,4,4,3
38,org.apache.pdfbox.preflight.font.Type0FontValidator.validate(),119,0,0,10,30
39,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.setClassNames(Revisions),16,0,0,2,10
40,org.apache.pdfbox.preflight.action.UndefAction.innerValid(),10,0,0,3,4
41,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFontFile(),138,10,30,2,2
42,"org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createAppearanceDictionary(PDFormXObject, PDSignatureField)",109,10,51,0,0
43,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup.execute(ExecutionContext),2,0,0,1,1
44,org.apache.pdfbox.pdfparser.COSParser.bfSearchForXRefTables(),17,4,4,2,6
45,"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane.FlagBitsPane(COSDictionary, COSName)",28,3,4,4,12
46,org.apache.pdfbox.debugger.ui.DocumentEntry.indexOf(PageEntry),13,3,8,1,1
47,org.apache.pdfbox.text.PDFMarkedContentExtractor.PDFMarkedContentExtractor(String),5,1,1,2,2
48,"org.apache.pdfbox.pdmodel.graphics.shading.Patch.overlaps(Point2D, Point2D)",9,4,5,0,0
49,org.apache.pdfbox.filter.CCITTFaxDecoderStream.decode1D(),9,3,2,2,2
50,org.apache.pdfbox.tools.PDFText2HTML.FontState.openTag(String),5,3,2,0,0
51,org.apache.pdfbox.pdfwriter.COSWriter.getStartxref(),116,8,43,0,0
52,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolygon.getInteriorColor(),7,0,0,2,4
53,org.apache.pdfbox.pdmodel.graphics.form.PDTransparencyGroupAttributes.getColorSpace(),140,0,0,13,28
54,org.apache.pdfbox.cos.PDFDocEncoding.getBytes(String),3,2,1,0,0
55,org.apache.pdfbox.pdmodel.PDPageContentStream.fillEvenOdd(),4,2,1,1,1
56,org.apache.pdfbox.multipdf.PDFMergerUtility.setDestinationMetadata(PDMetadata),541,16,97,0,0
57,org.apache.pdfbox.preflight.font.container.CIDType0Container.hasGlyph(int),4,0,0,3,1
58,org.apache.pdfbox.printing.PDFPrintable.PDFPrintable(PDDocument),33,7,10,4,1
59,"org.apache.pdfbox.debugger.ui.ExtensionFileFilter.ExtensionFileFilter(String[], String)",314,17,61,0,0
60,org.apache.pdfbox.pdmodel.fdf.FDFDocument.load(String),328,10,25,12,57
61,"org.apache.pdfbox.multipdf.PDFCloneUtility.cloneMerge(COSObjectable, COSObjectable)",303,8,82,6,15
62,org.apache.pdfbox.debugger.ui.ErrorDialog.createContent.(Anon_2).actionPerformed(ActionEvent),4,0,0,3,1
63,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDFourColours.getBeforeColour(),5,0,0,3,2
64,org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitWidthDestination.setFitBoundingBox(boolean),9,0,0,3,3
65,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.isNoRotate(),34,6,11,6,2
66,org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceDictionary.getDownAppearance(),5,0,0,2,3
67,org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.hideToolbar(),7,0,0,5,2
68,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setSubFilter(COSName),439,15,72,2,1
69,"org.apache.pdfbox.pdmodel.ResourceCache.put(COSObject, PDXObject)",58,11,12,0,0
70,"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",138,0,0,10,29
71,org.apache.pdfbox.pdfparser.BaseParser.isCR(int),7,2,4,0,0
72,org.apache.pdfbox.pdmodel.interactive.action.PDPageAdditionalActions.setC(PDAction),8,0,0,4,3
73,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getSignatureField(),109,10,51,0,0
74,org.apache.pdfbox.rendering.PageDrawer.getPaint(PDColor),276,14,13,10,34
75,"org.apache.pdfbox.cos.COSDictionary.getLong(COSName, long)",14,3,4,2,2
76,org.apache.pdfbox.pdmodel.PDPage.getActions(),7,0,0,2,4
77,org.apache.pdfbox.pdmodel.encryption.PublicKeyRecipient.setX509(X509Certificate),302,16,62,0,0
78,org.apache.pdfbox.pdmodel.interactive.form.PDButton.getExportValues(),39,7,8,3,7
79,org.apache.pdfbox.pdmodel.interactive.action.PDActionURI.setTrackMousePosition(boolean),7,0,0,3,3
80,"org.apache.pdfbox.preflight.process.reflect.ExtGStateValidationProcess.extractExtGStateDictionaries(PreflightContext, COSDictionary)",215,13,38,4,8
81,org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile.getCheckSum(),13,0,0,6,3
82,org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(int),96,9,20,0,0
83,org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination.PDPageFitRectangleDestination(COSArray),13,3,9,1,1
84,org.apache.pdfbox.pdmodel.graphics.shading.PDShading.getBBox(),152,15,28,3,4
85,org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.extractCmapTable(),28,12,6,0,0
86,org.apache.pdfbox.cos.COSObjectKey.COSObjectKey(COSObject),356,12,80,1,3
87,org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification.getFile(),11,2,4,3,2
88,org.apache.pdfbox.preflight.font.Type3FontValidator.checkFontMatrix(),357,12,55,4,12
89,org.apache.pdfbox.pdmodel.font.PDCIDFont.codeToGID(int),2,1,1,0,0
90,org.apache.pdfbox.pdmodel.common.PDStream.PDStream(COSStream),448,15,72,0,0
91,org.apache.pdfbox.pdmodel.fdf.FDFField.setSetWidgetFieldFlags(int),6,0,0,3,2
92,org.apache.pdfbox.preflight.font.CIDType0FontValidator.checkCIDToGIDMap(COSBase),48,0,0,8,17
93,org.apache.pdfbox.pdmodel.PDPageTree.getKids(COSDictionary),16,4,3,2,3
94,org.apache.pdfbox.tools.ExportXFDF.main(String[]),326,0,0,16,63
95,org.apache.pdfbox.pdmodel.font.PDType0Font.toUnicode(int),19,3,3,5,3
96,org.apache.pdfbox.debugger.colorpane.CSDeviceN.getColorantData(),152,13,26,3,8
97,org.apache.pdfbox.pdmodel.common.PDStream.addCompression(),47,0,0,6,15
98,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Pop.execute(ExecutionContext),2,0,0,1,1
99,org.apache.pdfbox.debugger.colorpane.CSIndexed.getPanel(),181,14,33,0,0
100,org.apache.pdfbox.pdmodel.PDPageContentStream.write(String),174,15,27,0,0
101,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNProcess.PDDeviceNProcess(),2,0,0,1,1
102,org.apache.pdfbox.pdfparser.RandomAccessSource.unread(byte[]),2,0,0,1,1
103,org.apache.pdfbox.multipdf.PDFMergerUtility.addSource(InputStream),1,0,0,0,0
104,"org.apache.pdfbox.examples.signature.CMSProcessableInputStream.CMSProcessableInputStream(ASN1ObjectIdentifier, InputStream)",2,1,1,0,0
105,"org.apache.pdfbox.pdmodel.common.PDStream.PDStream(PDDocument, InputStream, COSArray)",41,0,0,7,10
106,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDDefaultAttributeObject.toString(),17,0,0,5,6
107,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolyline.setEndPointEndingStyle(String),18,5,2,2,6
108,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.setNonStrokingAlphaConstant(Float),4,0,0,2,2
109,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.getPage(),188,9,45,2,3
110,org.apache.pdfbox.pdmodel.common.PDStream.getFilters(),83,7,24,3,5
111,"org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.getRaster(int, int, int, int)",5,0,0,2,3
112,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN.PDDeviceN(COSArray),152,5,7,11,27
113,org.apache.pdfbox.pdfparser.COSParser.getDocument(),301,13,67,0,0
114,org.apache.pdfbox.tools.Decrypt.main(String[]),1204,14,175,15,63
115,org.apache.pdfbox.io.ScratchFile.ScratchFile(File),13,0,0,3,8
116,org.apache.pdfbox.preflight.font.util.GlyphDetail.throwExceptionIfNotValid(),2,1,1,0,0
117,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getImageFormStream(),129,10,54,0,0
118,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolyline.getStartPointEndingStyle(),7,0,0,3,2
119,org.apache.pdfbox.preflight.graphic.NoPatternColorSpaceHelper.processPatternColorSpace(PDColorSpace),10,0,0,3,4
120,org.apache.pdfbox.examples.rendering.CustomGraphicsStreamEngine.drawImage(PDImage),1,0,0,0,0
121,org.apache.pdfbox.preflight.annotation.AnnotationValidator.checkFlags(),126,12,24,5,8
122,"org.apache.pdfbox.preflight.process.reflect.TilingPatternValidationProcess.checkMandatoryFields(PreflightContext, PDPage, PDTilingPattern)",180,11,45,3,4
123,"org.apache.pdfbox.pdmodel.PDResources.add(PDXObject, String)",79,5,21,4,7
124,org.apache.pdfbox.io.ScratchFileBuffer.finalize(),3,0,0,2,1
125,org.apache.pdfbox.cos.COSArray.retainAll(Collection),7,4,2,0,0
126,org.apache.pdfbox.preflight.content.StubOperator.checkNoOperands(List),19,4,7,3,2
127,"org.apache.pdfbox.pdfparser.COSParser.checkObjectKeys(COSObjectKey, long)",21,4,8,1,5
128,org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus.getZ(),6,2,2,1,2
129,org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.setRegistryName(String),254,10,48,3,3
130,org.apache.pdfbox.examples.util.RemoveAllText.usage(),325,16,52,0,0
131,org.apache.pdfbox.pdmodel.interactive.action.PDActionLaunch.shouldOpenInNewWindow(),10,0,0,6,2
132,org.apache.pdfbox.pdmodel.interactive.action.PDActionMovie.PDActionMovie(COSDictionary),21,4,13,1,1
