method,method,invocation counts
org.apache.avro.thrift.TestThrift.testOptionals(),org.apache.avro.thrift.TestThrift.check(Test),1
org.apache.avro.thrift.ThriftData.getSchema(Class),org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),19
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.thrift.ThriftData.getSchema(Class),3
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.thrift.ThriftData.nullable(Schema),10
org.apache.avro.thrift.ThriftData.nullable(Schema),org.apache.avro.Schema.createUnion(List),13
org.apache.avro.Schema.getFullName(),org.apache.avro.Schema.getName(),26219
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),"org.apache.avro.generic.GenericData.setStringType(Schema, GenericData$StringType)",4
"org.apache.avro.generic.GenericData.setStringType(Schema, GenericData$StringType)","org.apache.avro.JsonProperties.addProp(String, String)",8
"org.apache.avro.JsonProperties.addProp(String, String)","org.apache.avro.Schema.addProp(String, JsonNode)",211
"org.apache.avro.Schema.addProp(String, JsonNode)","org.apache.avro.JsonProperties.addProp(String, JsonNode)",725
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.Schema.create(Schema$Type),16
org.apache.avro.thrift.ThriftData.getSchema(Class),"org.apache.avro.Schema.createRecord(String, String, String, boolean)",3
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),"org.apache.avro.JsonProperties.addProp(String, String)",5
org.apache.avro.thrift.ThriftData.getSchema(Class),"org.apache.avro.Schema.createEnum(String, String, String, List)",1
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.Schema.createMap(Schema),1
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.Schema.createArray(Schema),2
org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),org.apache.avro.thrift.ThriftData.getSchema(FieldValueMetaData),3
org.apache.avro.thrift.ThriftData.getSchema(Class),org.apache.avro.thrift.ThriftData.nullable(Schema),3
org.apache.avro.thrift.TestThrift.check(Test),"org.apache.avro.generic.GenericDatumReader.read(Object, Decoder)",2
"org.apache.avro.generic.GenericDatumReader.read(Object, Decoder)","org.apache.avro.generic.GenericDatumReader.getResolver(Schema, Schema)",130547
"org.apache.avro.generic.GenericDatumReader.getResolver(Schema, Schema)","org.apache.avro.io.DecoderFactory.resolvingDecoder(Schema, Schema, Decoder)",791
"org.apache.avro.io.ResolvingDecoder.resolve(Schema, Schema)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)",9153
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",9193
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map)",1519
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",3318
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)",2237
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",3063
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.Symbol.unionAdjustAction(int, Symbol)",2919
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",7037
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.bestBranch(Schema, Schema, Map)",2921
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",org.apache.avro.io.parsing.Symbol.seq(Symbol[]),7302
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)",org.apache.avro.io.parsing.Symbol.writerUnionAction(),2237
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)","org.apache.avro.io.parsing.Symbol.alt(Symbol[], String[])",2237
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)",org.apache.avro.io.parsing.Symbol.seq(Symbol[]),2237
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveUnion(Schema, Schema, Map)",org.apache.avro.Schema.getFullName(),2982
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map)",org.apache.avro.io.parsing.Symbol.fieldOrderAction(Schema$Field[]),1517
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map)",org.apache.avro.io.parsing.Symbol.seq(Symbol[]),1497
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.Symbol.repeat(Symbol, Symbol[])",4118
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.mkEnumAdjust(List, List)",107
