method,layer,size,upperDepth,upperWidth,lowerDepth,lowerWidth
org.apache.trevni.avro.AvroColumnReader.initialize(),5,70,3,1,8,22
"org.apache.trevni.avro.AvroColumnWriter.write(Object, Schema, int)",4,41,1,1,4,17
org.apache.trevni.avro.mapreduce.AvroTrevniKeyValueRecordWriter.initSchema(TaskAttemptContext),12,76,7,16,6,16
"org.apache.avro.io.parsing.Symbol.fieldAdjustAction(int, String)",12,30,5,12,1,1
"org.apache.avro.thrift.test.Foo.AsyncProcessor.AsyncProcessor(I, Map)",12,5,0,0,2,3
org.apache.avro.Protocol.getNamespace(),0,90,6,31,0,0
org.apache.avro.ipc.ResponderServlet.ResponderServlet(Responder),0,6,2,3,0,0
org.apache.avro.generic.GenericDatumReader.getStringClass(Schema),4,10,3,3,3,2
"org.apache.avro.thrift.test.Nested.NestedTupleScheme.read(org.apache.thrift.protocol.TProtocol, Nested)",12,2,0,0,1,1
org.apache.avro.io.ParsingDecoder.skipAction(),12,2,0,0,1,1
"org.apache.avro.ipc.specific.SpecificRequestor.readError(Schema, Schema, Decoder)",12,6,0,0,4,2
org.apache.avro.Schema.hasEnumSymbol(String),12,2,0,0,1,1
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),12,11,0,0,4,5
"org.apache.avro.mapred.AvroAsTextRecordReader.next(Text, Text)",12,22,0,0,4,13
org.apache.avro.hadoop.io.AvroKeyValue.getKey(),1,178,8,42,1,1
org.apache.avro.io.Perf.GenericNested.GenericNested(),-1,1,0,0,0,0
org.apache.avro.JsonProperties.getJsonProp(String),0,69,7,22,0,0
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map)",3,95,8,21,3,14
"org.apache.avro.ipc.NettyTransportCodec.NettyDataPack.NettyDataPack(int, List)",0,8,4,3,0,0
org.apache.avro.io.Perf.smallArraySize(Random),0,8,2,4,0,0
org.apache.avro.io.parsing.Parser.popSymbol(),0,61,7,21,0,0
"org.apache.avro.compiler.specific.SpecificCompiler.makePath(String, String)",5,87,6,28,0,0
org.apache.avro.thrift.test.Error.unsetMessage(),12,3,2,1,0,0
org.apache.avro.ipc.LocalTransceiver.transceive(List),12,340,0,0,16,81
"org.apache.avro.mapred.Pair.Pair(GenericContainer, ByteBuffer)",12,28,0,0,7,9
org.apache.avro.compiler.specific.SpecificCompiler.setStringType(StringType),0,120,8,24,0,0
org.apache.avro.ipc.stats.IntegerHistogram.IntegerHistogram(Segmenter),1,4,1,1,2,1
"org.apache.avro.SchemaBuilder.PrimitiveBuilder.PrimitiveBuilder(Completion, NameContext, Schema.Type)",3,13,1,8,3,2
"org.apache.avro.thrift.test.Error.setFieldValue(_Fields, Object)",12,3,0,0,1,2
org.apache.avro.reflect.FieldAccessUnsafe.UnsafeFloatField.UnsafeFloatField(Field),12,14,2,11,1,1
org.apache.trevni.avro.AvroColumnReader.next(),5,58,2,2,5,17
org.apache.avro.ipc.Requestor.Response.getResponse(),12,360,9,24,14,57
org.apache.avro.generic.GenericData.getConversionByClass(Class),6,76,6,30,0,0
org.apache.avro.ipc.SocketTransceiver.getRemoteName(),0,3,1,2,0,0
"org.apache.avro.Schema.RecordSchema.RecordSchema(Name, String, boolean)",4,69,10,23,3,2
"org.apache.avro.Conversions.DecimalConversion.toBytes(BigDecimal, Schema, LogicalType)",12,4,0,0,2,2
org.apache.avro.mapred.AvroJob.createDataModel(Configuration),1,35,5,13,1,2
org.apache.avro.Protocol.Message.toString(),12,6,0,0,3,3
org.apache.avro.ipc.RPCContext.setRequestPayload(List),9,150,11,36,0,0
org.apache.avro.ipc.specific.SpecificResponder.getDatumWriter(Schema),12,9,2,1,3,2
"org.apache.avro.generic.GenericData.Array.add(int, T)",-1,1,0,0,0,0
"org.apache.avro.io.DatumReader.read(D, Decoder)",0,235,10,73,0,0
org.apache.avro.thrift.ThriftData.getSchemaName(Object),12,21,0,0,3,16
org.apache.avro.Conversion.getLogicalTypeName(),0,4,2,2,0,0
"org.apache.avro.io.BinaryData.hashBytes(int, HashData, int, boolean)",12,30,3,16,3,3
org.apache.avro.hadoop.io.AvroSequenceFile.Writer.Options.withCompressionType(CompressionType),12,39,7,13,0,0
"org.apache.trevni.avro.AvroColumnReader.findDefaults(Schema, Schema)",5,67,4,6,7,22
org.apache.avro.io.Decoder.readFloat(),0,46,4,31,0,0
org.apache.avro.specific.SpecificData.isStringable(Class),0,29,4,18,0,0
"org.apache.avro.SchemaBuilder.UnionBuilder.UnionBuilder(Completion, NameContext)",12,5,1,1,2,2
"org.apache.avro.reflect.ReflectDatumReader.readObjectArray(Object[], Schema, long, ResolvingDecoder)",12,116,5,7,6,55
org.apache.avro.ipc.stats.StatsPlugin.getPayloadSize(List),1,21,5,8,0,0
org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(),12,3,0,0,1,2
org.apache.avro.generic.GenericData.Array.getSchema(),12,43,7,17,0,0
"org.apache.avro.Schema.parse(String, boolean)",4,46,6,14,1,2
org.apache.avro.mapreduce.AvroJob.getOutputKeySchema(Configuration),2,122,10,30,2,1
org.apache.avro.FooBarSpecificRecord.Builder.hasNicknames(),12,2,0,0,1,1
org.apache.avro.Schema.LockableArrayList.LockableArrayList(List),0,17,4,8,0,0
"org.apache.avro.mapred.tether.TetherJob.setExecutable(JobConf, File)",12,2,0,0,1,1
org.apache.avro.Schema.Field.addAlias(String),0,91,11,33,0,0
org.apache.avro.mapred.HadoopCombiner.getCollector(OutputCollector),12,2,0,0,1,1
org.apache.avro.SchemaBuilder.FieldAssembler.requiredFloat(String),12,59,0,0,7,15
"org.apache.avro.specific.SpecificData.createDatumReader(Schema, Schema)",12,4,0,0,3,1
org.apache.avro.hadoop.file.SortedKeyValueFile.Writer.Options.withConfiguration(Configuration),-1,1,0,0,0,0
org.apache.avro.reflect.FieldAccessUnsafe.UnsafeFloatField.get(Object),-1,1,0,0,0,0
org.apache.avro.mapred.Pair.Pair(Schema),3,14,2,8,3,1
org.apache.avro.SchemaBuilder.nullable(),12,20,0,0,6,9
org.apache.avro.RandomData.main(String[]),12,64,0,0,7,15
org.apache.avro.generic.GenericData.Fixed.toString(),-1,1,0,0,0,0
org.apache.avro.hadoop.file.SortedKeyValueFile.Reader.Options.withKeySchema(Schema),-1,1,0,0,0,0
"org.apache.avro.reflect.ArrayAccessor.readArray(long[], long, ResolvingDecoder)",12,27,4,6,4,6
org.apache.avro.file.DataFileStream.getBlockCount(),0,134,8,38,0,0
"org.apache.avro.reflect.FieldAccessUnsafe.UnsafeCustomEncodedField.set(Object, Object)",-1,1,0,0,0,0
org.apache.avro.ipc.stats.Stopwatch.Stopwatch(Ticks),1,12,5,5,0,0
"org.apache.avro.io.JsonEncoder.writeFixed(byte[], int, int)",12,9,0,0,3,4
"org.apache.avro.hadoop.io.AvroValueDeserializer.AvroValueDeserializer(Schema, Schema, ClassLoader)",12,9,0,0,5,2
org.apache.avro.generic.GenericRecordBuilder.has(Field),12,8,3,2,2,2
org.apache.avro.io.BinaryDecoder.doSkipBytes(long),0,14,5,4,1,1
org.apache.avro.generic.GenericRecordBuilder.has(String),12,8,0,0,3,3
org.apache.avro.ipc.Transceiver.getRemoteName(),8,358,13,63,0,0
org.apache.avro.io.Perf.Rec1.Rec1(Random),-1,1,0,0,0,0
"org.apache.avro.mapred.AvroJob.setOutputMeta(JobConf, String, long)",12,4,2,2,0,0
"org.apache.avro.tool.TrevniUtil.output(String, OutputStream)",-1,1,0,0,0,0
"org.apache.avro.Conversion.toFixed(T, Schema, LogicalType)",4,16,2,13,1,1
"org.apache.avro.mapred.Pair.Pair(Object, ByteBuffer)",12,53,0,0,7,17
org.apache.avro.mapred.TaggedInputSplit.toString(),-1,1,0,0,0,0
org.apache.avro.io.BinaryDecoder.ensureBounds(int),1,10,2,4,2,3
"org.apache.avro.JsonProperties.addProp(String, JsonNode)",1,6,3,2,1,1
org.apache.avro.thrift.test.Foo.add_args.setNum1(int),1,11,3,5,1,1
org.apache.avro.hadoop.file.SortedKeyValueFile.Writer.Options.getDataModel(),12,69,8,17,0,0
org.apache.avro.mapred.tether.TetherTaskRunner.TetherTaskRunner(TetherTask),12,29,3,1,7,9
avro.examples.baseball.Player.Player(),12,95,8,31,0,0
"org.apache.avro.reflect.FieldAccessUnsafe.UnsafeFloatField.set(Object, Object)",-1,1,0,0,0,0
"org.apache.avro.io.Perf.populateFloatArray(Random, int)",12,4,2,2,0,0
org.apache.avro.io.ValidatingDecoder.readDouble(),12,8,0,0,3,3
org.apache.avro.Schema.getAliases(),1,55,4,26,1,1
org.apache.avro.LogicalTypes.TimestampMicros.TimestampMicros(),12,2,0,0,1,1
org.apache.avro.SchemaBuilder.FieldBuilder.orderIgnore(),12,2,0,0,1,1
org.apache.avro.TypeEnum.values(),-1,1,0,0,0,0
org.apache.avro.file.DeflateCodec.getName(),12,2,1,1,0,0
"org.apache.avro.Schema.NamedSchema.addAlias(String, String)",12,6,1,1,4,1
"org.apache.avro.Schema.addProp(String, JsonNode)",12,3,0,0,2,1
"org.apache.avro.mapred.AvroUtf8InputFormat.isSplitable(FileSystem, Path)",-1,1,0,0,0,0
org.apache.avro.generic.GenericDatumWriter.getData(),2,97,7,36,0,0
org.apache.avro.thrift.test.Foo.ping_args.equals(Object),12,2,0,0,1,1
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(),2,272,10,72,2,2
"org.apache.avro.compiler.specific.SpecificCompiler.compileProtocol(File[], File)",12,96,1,1,7,23
org.apache.avro.ipc.Requestor.Request.Request(Request),12,360,16,80,0,0
org.apache.avro.Protocol.Message.hashCode(),12,5,1,1,3,1
"org.apache.avro.generic.GenericDatumReader.readMapKey(Object, Schema, Decoder)",4,104,7,46,5,4
org.apache.avro.FooBarSpecificRecord.Builder.hasTypeEnum(),12,2,0,0,1,1
org.apache.avro.thrift.test.Foo.Client.Client(org.apache.thrift.protocol.TProtocol),0,9,3,3,0,0
org.apache.avro.Schema.RecordSchema.getField(String),12,2,0,0,1,1
org.apache.avro.SchemaBuilder.FloatDefault.floatDefault(float),12,78,7,9,7,16
"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map)",12,30,0,0,4,13
"org.apache.avro.reflect.ArrayAccessor.readArray(int[], long, ResolvingDecoder)",12,27,4,6,4,4
org.apache.avro.mapreduce.AvroOutputFormatBase.getSyncInterval(TaskAttemptContext),3,101,9,31,0,0
org.apache.avro.mapred.SequenceFileReader.(Anon_9).convert(Writable),-1,1,0,0,0,0
org.apache.avro.ipc.Callback.handleResult(T),0,369,16,80,0,0
"org.apache.avro.thrift.ThriftData.getRecordState(Object, Schema)",12,5,0,0,2,3
org.apache.avro.SchemaBuilder.NamedBuilder.name(),0,52,5,16,0,0
"org.apache.avro.SchemaBuilder.BaseTypeBuilder.type(String, String)",12,9,1,1,4,3
org.apache.avro.mapred.AvroRecordReader.getProgress(),12,3,0,0,2,1
"org.apache.avro.mapred.AvroJob.setInputSchema(JobConf, Schema)",4,193,8,38,4,2
"org.apache.avro.ipc.NettyTransportCodec.NettyFrameDecoder.decodePackBody(ChannelHandlerContext, Channel, ChannelBuffer)",12,6,3,2,1,1
org.apache.avro.io.EncoderFactory.get(),0,461,12,84,0,0
org.apache.avro.generic.GenericRecordBuilder.build(),12,98,0,0,8,31
org.apache.avro.io.LegacyBinaryEncoder.writeArrayEnd(),12,2,0,0,1,1
org.apache.avro.util.ByteBufferOutputStream.append(List),0,354,15,80,0,0
"org.apache.avro.file.DataFileReader.openReader(SeekableInput, DatumReader, Header, boolean)",12,59,0,0,7,14
org.apache.avro.file.DataFileReader12.seek(long),2,46,5,18,2,2
"org.apache.avro.SchemaBuilder.NameContext.get(String, String)",3,12,3,3,3,2
org.apache.avro.ipc.Requestor.Response.Response(Request),12,2,0,0,1,1
"org.apache.avro.specific.ExternalizableOutput.write(byte[], int, int)",-1,1,0,0,0,0
"org.apache.avro.tool.ConcatTool.run(InputStream, PrintStream, PrintStream, List)",12,125,0,0,7,33
org.apache.avro.io.BlockingBinaryEncoder.BlockedValue.BlockedValue(),0,2,1,1,0,0
org.apache.trevni.avro.mapreduce.AvroTrevniRecordWriterBase.close(TaskAttemptContext),12,30,0,0,6,16
