method,method,invocation counts
org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),2
org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),"org.apache.avro.io.BufferedBinaryEncoder.writeFixed(byte[], int, int)",157381186
"org.apache.avro.io.BufferedBinaryEncoder.writeFixed(byte[], int, int)",org.apache.avro.io.BufferedBinaryEncoder.ensureBounds(int),157381189
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)","org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",37
"org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)","org.apache.avro.io.BufferedBinaryEncoder.configure(OutputStream, int)",79
"org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",org.apache.avro.io.BinaryEncoder.<init>(),79
org.apache.avro.io.BinaryEncoder.<init>(),org.apache.avro.io.Encoder.<init>(),114
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.expandStack(),35
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.check(),35
"org.apache.avro.io.BlockingBinaryEncoder.configure(OutputStream, int, int)","org.apache.avro.io.BufferedBinaryEncoder.configure(OutputStream, int)",16
"org.apache.avro.io.BlockingBinaryEncoder.configure(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.check(),14
org.apache.avro.io.BlockingBinaryEncoder.writeDouble(double),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),3
org.apache.avro.io.BlockingBinaryEncoder.writeFloat(float),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),2
org.apache.avro.io.BlockingBinaryEncoder.writeBoolean(boolean),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),1
org.apache.avro.io.BlockingBinaryEncoder.startItem(),org.apache.avro.io.BlockingBinaryEncoder.check(),3
org.apache.avro.io.parsing.Parser.processImplicitActions(),org.apache.avro.io.parsing.Parser.pushProduction(Symbol),45471427
org.apache.avro.io.parsing.Parser.pushProduction(Symbol),org.apache.avro.io.parsing.Parser.expandStack(),4
org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind),"org.apache.avro.io.parsing.Symbol.<init>(Symbol$Kind, Symbol[])",136
org.apache.avro.io.BinaryEncoder.writeString(String),org.apache.avro.io.BlockingBinaryEncoder.writeZero(),2
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),5
org.apache.avro.io.BinaryEncoder.writeString(String),org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),3
org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),4
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.SkipParser.skipTo(int),2
org.apache.avro.io.parsing.SkipParser.skipTo(int),org.apache.avro.io.parsing.Parser.pushProduction(Symbol),8174350
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.Parser.pushSymbol(Symbol),3
"org.apache.avro.io.parsing.SkipParser.<init>(Symbol, Parser$ActionHandler, SkipParser$SkipHandler)","org.apache.avro.io.parsing.Parser.<init>(Symbol, Parser$ActionHandler)",85
"org.apache.avro.file.DataFileWriter.appendTo(SeekableInput, OutputStream)",org.apache.avro.generic.GenericDatumReader.<init>(),1
org.apache.avro.generic.GenericData.<init>(),org.apache.avro.generic.GenericData.<init>(ClassLoader),9
org.apache.avro.Schema.<init>(Schema$Type),org.apache.avro.JsonProperties.<init>(Set),28
org.apache.avro.generic.GenericDatumReader.<init>(),"org.apache.avro.generic.GenericDatumReader.<init>(Schema, Schema, GenericData)",1
"org.apache.avro.generic.GenericDatumReader.<init>(Schema, Schema, GenericData)",org.apache.avro.generic.GenericDatumReader.<init>(GenericData),2
"org.apache.avro.file.DataFileWriter.appendTo(SeekableInput, OutputStream)","org.apache.avro.file.DataFileReader.<init>(SeekableInput, DatumReader)",1
"org.apache.avro.file.DataFileReader.<init>(SeekableInput, DatumReader)",org.apache.avro.file.DataFileStream.initialize(InputStream),4
org.apache.avro.file.DataFileStream.initialize(InputStream),"org.apache.avro.io.DecoderFactory.binaryDecoder(InputStream, BinaryDecoder)",4
"org.apache.avro.io.DecoderFactory.binaryDecoder(InputStream, BinaryDecoder)","org.apache.avro.io.BinaryDecoder.<init>(InputStream, int)",10
"org.apache.avro.io.BinaryDecoder.<init>(InputStream, int)","org.apache.avro.io.BinaryDecoder.configure(InputStream, int)",30
"org.apache.avro.io.BinaryDecoder.configure(InputStream, int)","org.apache.avro.io.BinaryDecoder.configureSource(int, BinaryDecoder$ByteSource)",52
"org.apache.avro.io.BinaryDecoder.<init>(InputStream, int)",org.apache.avro.io.Decoder.<init>(),30
"org.apache.avro.io.BinaryDecoder.<init>(InputStream, int)",org.apache.avro.util.Utf8.<init>(),30
org.apache.avro.file.DataFileStream.initialize(InputStream),org.apache.avro.io.Decoder.readFixed(byte[]),4
org.apache.avro.io.Decoder.readFixed(byte[]),"org.apache.avro.io.BinaryDecoder.readFixed(byte[], int, int)",12
"org.apache.avro.io.BinaryDecoder.readFixed(byte[], int, int)","org.apache.avro.io.BinaryDecoder.doReadBytes(byte[], int, int)",15
"org.apache.avro.file.DataFileReader.<init>(SeekableInput, DatumReader)",org.apache.avro.file.DataFileStream.<init>(DatumReader),4
"org.apache.avro.file.DataFileWriter.appendTo(SeekableInput, OutputStream)",org.apache.avro.file.DataFileWriter.assertNotOpen(),1
org.apache.avro.io.BlockingBinaryEncoder.writeArrayStart(),org.apache.avro.io.BlockingBinaryEncoder.check(),7
"org.apache.avro.io.DecoderFactory.jsonDecoder(Schema, InputStream)","org.apache.avro.io.JsonDecoder.<init>(Schema, InputStream)",1
"org.apache.avro.io.JsonDecoder.<init>(Schema, InputStream)",org.apache.avro.io.JsonDecoder.getSymbol(Schema),2
"org.apache.avro.io.JsonEncoder.<init>(Schema, OutputStream, boolean)","org.apache.avro.io.JsonEncoder.getJsonGenerator(OutputStream, boolean)",4
"org.apache.avro.io.JsonEncoder.<init>(Schema, OutputStream, boolean)","org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",2
"org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema),5
org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema),"org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map)",6
"org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",org.apache.avro.io.ParsingEncoder.<init>(),7
org.apache.avro.io.ParsingEncoder.<init>(),org.apache.avro.io.Encoder.<init>(),82
"org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",org.apache.avro.io.JsonEncoder.configure(JsonGenerator),7
"org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",org.apache.avro.io.parsing.JsonGrammarGenerator.<init>(),5
org.apache.avro.io.parsing.JsonGrammarGenerator.<init>(),org.apache.avro.io.parsing.ValidatingGrammarGenerator.<init>(),7
"org.apache.avro.reflect.ReflectDatumWriter.<init>(Schema, ReflectData)","org.apache.avro.specific.SpecificDatumWriter.<init>(Schema, SpecificData)",1
"org.apache.avro.specific.SpecificDatumWriter.<init>(Schema, SpecificData)","org.apache.avro.generic.GenericDatumWriter.<init>(Schema, GenericData)",1
"org.apache.avro.generic.GenericDatumWriter.<init>(Schema, GenericData)",org.apache.avro.generic.GenericDatumWriter.<init>(GenericData),2
org.apache.avro.file.DataFileWriter.setCodec(CodecFactory),org.apache.avro.file.DataFileWriter.assertNotOpen(),3
"org.apache.avro.util.ClassUtils.forName(ClassLoader, String)","org.apache.avro.util.ClassUtils.forName(String, ClassLoader)",3
"org.apache.avro.io.ValidatingEncoder.<init>(Symbol, Encoder)","org.apache.avro.io.parsing.Parser.<init>(Symbol, Parser$ActionHandler)",75
"org.apache.avro.io.ValidatingEncoder.<init>(Symbol, Encoder)",org.apache.avro.io.ParsingEncoder.<init>(),75
org.apache.avro.file.NullCodec.<init>(),org.apache.avro.file.Codec.<init>(),13
org.apache.avro.file.BZip2Codec.<init>(),org.apache.avro.file.Codec.<init>(),15
"org.apache.avro.ValidateCanBeRead.validate(Schema, Schema)","org.apache.avro.ValidateMutualRead.canRead(Schema, Schema)",2
"org.apache.avro.ValidateMutualRead.canRead(Schema, Schema)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)",4
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema)","org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map)",5
"org.apache.avro.ValidateMutualRead.canRead(Schema, Schema)",org.apache.avro.io.parsing.ResolvingGrammarGenerator.<init>(),4
org.apache.avro.io.parsing.ResolvingGrammarGenerator.<init>(),org.apache.avro.io.parsing.ValidatingGrammarGenerator.<init>(),6
org.apache.avro.LogicalTypes.decimal(int),"org.apache.avro.LogicalTypes.decimal(int, int)",6
org.apache.avro.SchemaParseException.<init>(Throwable),org.apache.avro.AvroRuntimeException.<init>(Throwable),2
org.apache.avro.file.XZCodec.<init>(int),org.apache.avro.file.Codec.<init>(),16
org.apache.avro.Schema.validateName(String),org.apache.avro.SchemaParseException.<init>(String),2
org.apache.avro.SchemaParseException.<init>(String),org.apache.avro.AvroRuntimeException.<init>(String),3
"org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)","org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)",4
"org.apache.avro.io.EncoderFactory.binaryEncoder(OutputStream, BinaryEncoder)","org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",5
"org.apache.avro.io.EncoderFactory.directBinaryEncoder(OutputStream, BinaryEncoder)",org.apache.avro.io.DirectBinaryEncoder.configure(OutputStream),1
org.apache.avro.io.DirectBinaryEncoder.<init>(OutputStream),org.apache.avro.io.BinaryEncoder.<init>(),35
org.apache.avro.io.DirectBinaryEncoder.<init>(OutputStream),org.apache.avro.io.DirectBinaryEncoder.configure(OutputStream),35
org.apache.avro.reflect.ReflectionUtil.resetFieldAccess(),org.apache.avro.reflect.ReflectionUtil.validate(FieldAccess),3
org.apache.avro.reflect.ReflectionUtil.resetFieldAccess(),"org.apache.avro.reflect.ReflectionUtil.load(String, Class)",2
org.apache.avro.reflect.FieldAccessUnsafe.<init>(),org.apache.avro.reflect.FieldAccess.<init>(),3
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),org.apache.avro.io.BlockingBinaryEncoder.writeArrayStart(),3
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),org.apache.avro.io.parsing.Parser.advance(Symbol),6
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),org.apache.avro.io.ParsingEncoder.push(),6
org.apache.avro.io.ValidatingEncoder.startItem(),org.apache.avro.io.BlockingBinaryEncoder.startItem(),1
org.apache.avro.io.ValidatingEncoder.writeString(CharSequence),org.apache.avro.io.parsing.Parser.advance(Symbol),3
org.apache.avro.io.parsing.Parser.advance(Symbol),org.apache.avro.io.parsing.Parser.pushProduction(Symbol),14
org.apache.avro.util.internal.JacksonUtils.toObject(JsonNode),"org.apache.avro.util.internal.JacksonUtils.toObject(JsonNode, Schema)",2
"org.apache.avro.io.BinaryDecoder.<init>(byte[], int, int)","org.apache.avro.io.BinaryDecoder.configure(byte[], int, int)",35
"org.apache.avro.io.BinaryDecoder.configure(byte[], int, int)","org.apache.avro.io.BinaryDecoder.configureSource(int, BinaryDecoder$ByteSource)",33
"org.apache.avro.io.BinaryDecoder.<init>(byte[], int, int)",org.apache.avro.io.Decoder.<init>(),35
"org.apache.avro.io.BinaryDecoder.<init>(byte[], int, int)",org.apache.avro.util.Utf8.<init>(),35
org.apache.avro.io.BinaryDecoder.readIndex(),org.apache.avro.io.BinaryDecoder.readInt(),14
org.apache.avro.io.BinaryDecoder.readInt(),org.apache.avro.io.BinaryDecoder.ensureBounds(int),39
"org.apache.avro.io.ValidatingEncoder.<init>(Schema, Encoder)",org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema),1
org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema),"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map)",2
"org.apache.avro.io.ValidatingEncoder.<init>(Schema, Encoder)",org.apache.avro.io.parsing.ValidatingGrammarGenerator.<init>(),1
org.apache.avro.SchemaBuilderException.<init>(Throwable),org.apache.avro.AvroRuntimeException.<init>(Throwable),1
org.apache.avro.util.Utf8.setLength(int),org.apache.avro.util.Utf8.setByteLength(int),11
"org.apache.avro.io.EncoderFactory.jsonEncoder(Schema, JsonGenerator)","org.apache.avro.io.JsonEncoder.<init>(Schema, JsonGenerator)",2
org.apache.avro.util.Utf8.compareTo(Utf8),"org.apache.avro.io.BinaryData.compareBytes(byte[], int, int, byte[], int, int)",3
org.apache.avro.util.Utf8.<init>(String),org.apache.avro.util.Utf8.getBytesFor(String),19
"org.apache.avro.util.internal.JacksonUtils.toObject(JsonNode, Schema)","org.apache.avro.util.internal.JacksonUtils.toObject(JsonNode, Schema)",4
"org.apache.avro.reflect.ArrayAccessor.writeArray(int[], Encoder)",org.apache.avro.io.LegacyBinaryEncoder.setItemCount(long),1
org.apache.avro.io.LegacyBinaryEncoder.setItemCount(long),org.apache.avro.io.LegacyBinaryEncoder.writeLong(long),12
org.apache.avro.io.LegacyBinaryEncoder.writeLong(long),"org.apache.avro.io.LegacyBinaryEncoder.encodeLong(long, OutputStream)",12
"org.apache.avro.reflect.ArrayAccessor.writeArray(int[], Encoder)",org.apache.avro.io.LegacyBinaryEncoder.writeInt(int),4
org.apache.avro.io.LegacyBinaryEncoder.writeInt(int),"org.apache.avro.io.LegacyBinaryEncoder.encodeLong(long, OutputStream)",6
org.apache.avro.io.LegacyBinaryEncoder.<init>(OutputStream),org.apache.avro.io.Encoder.<init>(),34
org.apache.avro.util.WeakIdentityHashMap.entrySet(),org.apache.avro.util.WeakIdentityHashMap.reap(),1
"org.apache.avro.util.WeakIdentityHashMap.put(Object, Object)",org.apache.avro.util.WeakIdentityHashMap.reap(),14
