method,pattern,space
"org.apache.avro.io.parsing.Symbol.fieldAdjustAction(int, String)",FreqExec,"org.apache.avro.io.parsing.Symbol.fieldAdjustAction(int, String); org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema, Map<LitS, Symbol>)"
org.apache.avro.generic.GenericDatumReader.getStringClass(Schema),FreqExec,"org.apache.avro.generic.GenericDatumReader.getStringClass(Schema); org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder)"
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),HotCallee,org.apache.avro.io.BlockingBinaryEncoder.writeZero(); org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int)
"org.apache.avro.reflect.ReflectData.getFieldAccessors(Class<?>, Schema)",FreqExec,"org.apache.avro.reflect.ReflectData.getFieldAccessors(Class<?>, Schema); org.apache.avro.reflect.ReflectData.getRecordState(Object, Schema)"
org.apache.avro.JsonProperties.getJsonProp(String),FreqExec,"org.apache.avro.JsonProperties.getJsonProp(String); org.apache.avro.JsonProperties.getProp(String); org.apache.avro.compiler.specific.SpecificCompiler.javaType(Schema); org.apache.avro.compiler.specific.SpecificCompiler.javaAnnotations(JsonProperties); org.apache.trevni.avro.RandomData.generate(Schema, Random, int)"
org.apache.trevni.avro.AvroColumnReader.next(),FreqExec,org.apache.trevni.avro.AvroColumnReader.next(); org.apache.trevni.avro.TestShredder.checkRead(Schema)
org.apache.avro.Schema.Schema(Type),FreqExec,"org.apache.avro.Schema.Schema(Type); org.apache.avro.Schema$StringSchema.<init>(); org.apache.avro.Schema$UnionSchema.<init>(Schema$LockableArrayList); org.apache.avro.Schema$IntSchema.<init>(); org.apache.avro.Schema$NamedSchema.<init>(Schema$Type, Schema$Name, String); org.apache.avro.Schema$MapSchema.<init>(Schema); org.apache.avro.Schema$ArraySchema.<init>(Schema); org.apache.avro.Schema$LongSchema.<init>(); org.apache.avro.Schema$BytesSchema.<init>(); org.apache.avro.Schema$BooleanSchema.<init>(); org.apache.avro.Schema$DoubleSchema.<init>(); org.apache.avro.Schema$NullSchema.<init>(); org.apache.avro.Schema$FloatSchema.<init>()"
org.apache.avro.io.BinaryDecoder.ensureBounds(int),FreqExec,org.apache.avro.io.BinaryDecoder.ensureBounds(int); org.apache.avro.io.BinaryDecoder.readInt(); org.apache.avro.io.BinaryDecoder.readDouble(); org.apache.avro.io.BinaryDecoder.readLong(); org.apache.avro.io.BinaryDecoder.readFloat()
org.apache.avro.io.DirectBinaryEncoder.writeBoolean(boolean),FreqExec,"org.apache.avro.io.DirectBinaryEncoder.writeBoolean(boolean); org.apache.avro.reflect.ArrayAccessor.writeArray(boolean[], Encoder); org.apache.avro.generic.GenericDatumWriter.writeWithoutConversion(Schema, Object, Encoder)"
"org.apache.avro.generic.GenericData.setField(Object, String, int, Object)",FreqExec,"org.apache.avro.generic.GenericData.setField(Object, String, int, Object); org.apache.avro.specific.SpecificDatumReader.readField(Object, Schema.Field, Object, ResolvingDecoder, Object); org.apache.avro.generic.GenericData.setField(Object, String, int, Object, Object); org.apache.trevni.avro.AvroColumnReader.read(Schema)"
"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int)",FreqExec,"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int); org.apache.avro.io.BinaryEncoder.writeString(String); org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int); org.apache.avro.generic.GenericDatumWriter.writeFixed(Schema, Object, Encoder)"
org.apache.avro.ipc.specific.SpecificRequestor.getDatumWriter(Schema),FreqExec,"org.apache.avro.ipc.specific.SpecificRequestor.getDatumWriter(Schema); org.apache.avro.ipc.specific.SpecificRequestor.writeRequest(Schema, Object, Encoder)"
"org.apache.avro.Schema.getRequiredText(JsonNode, String, String)",FreqExec,"org.apache.avro.Schema.getRequiredText(JsonNode, String, String); org.apache.avro.Schema.parse(JsonNode, Names)"
org.apache.avro.ipc.stats.StatsServlet.writeStats(Writer),HotCallee,org.apache.avro.ipc.stats.StatsServlet.writeStats(Writer)
org.apache.avro.file.BZip2Codec.decompress(ByteBuffer),HotCallee,org.apache.avro.file.BZip2Codec.decompress(ByteBuffer)
org.apache.avro.io.ValidatingEncoder.writeInt(int),FreqExec,"org.apache.avro.io.ValidatingEncoder.writeInt(int); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[])"
org.apache.avro.file.SeekableFileInput.tell(),FreqExec,"org.apache.avro.file.SeekableFileInput.tell(); org.apache.avro.file.DataFileReader$SeekableInputStream.tell(); org.apache.avro.file.DataFileReader.openReader(SeekableInput, DatumReader<D>, Header, boolean); org.apache.avro.TestDataFile.testReadWithHeader()"
"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int, int)",FreqExec,"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int, int); org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)"
"org.apache.avro.mojo.IDLProtocolMojo.doCompile(String, File, File)",HotCallee,"org.apache.avro.mojo.IDLProtocolMojo.doCompile(String, File, File); org.apache.avro.compiler.specific.SpecificCompiler.compileToDestination(File, File); org.apache.avro.Protocol.parse(String); org.apache.avro.Protocol.toString(boolean)"
org.apache.avro.ipc.SaslSocketTransceiver.writeBuffers(List<ByteBuffer>),HotCallee,org.apache.avro.ipc.SaslSocketTransceiver.writeBuffers(List<ByteBuffer>)
org.apache.avro.io.BinaryEncoder.writeIndex(int),FreqExec,"org.apache.avro.io.BinaryEncoder.writeIndex(int); org.apache.avro.generic.GenericDatumWriter.writeWithoutConversion(Schema, Object, Encoder); org.apache.avro.io.ValidatingEncoder.writeIndex(int)"
org.apache.avro.ipc.SocketTransceiver.readBuffers(),FreqExec,org.apache.avro.ipc.SocketTransceiver.readBuffers(); org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>); org.apache.avro.ipc.SocketServer$Connection.run()
"org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder)",FreqExec,"org.apache.avro.io.EncoderFactory.blockingBinaryEncoder(OutputStream, BinaryEncoder); org.apache.avro.io.TestValidatingIO.make(Schema, String, Object[], TestValidatingIO$Encoding); org.apache.avro.io.TestBlockingIO$Tests.<init>(int, int, String); org.apache.avro.io.TestBlockingIO2.<init>(int, int, String); org.apache.avro.TestSchema.checkBlockingBinary(Schema, Object, DatumWriter, DatumReader)"
org.apache.avro.io.BufferedBinaryEncoder.flush(),FreqExec,"org.apache.avro.io.BufferedBinaryEncoder.flush(); org.apache.avro.file.DataFileStream$DataBlock.writeBlockTo(BinaryEncoder, byte[]); org.apache.avro.file.DataFileWriter.writeBlock(); org.apache.avro.file.DataFileWriter.flush(); org.apache.avro.ipc.Requestor$Request.getBytes(); org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver); org.apache.avro.io.BlockingBinaryEncoder.flush(); org.apache.avro.io.ValidatingEncoder.flush(); org.apache.avro.TestSchema.checkBinary(Schema, Object, DatumWriter, DatumReader, Object)"
org.apache.avro.Schema.parseAliases(JsonNode),FreqExec,"org.apache.avro.Schema.parseAliases(JsonNode); org.apache.avro.Schema.parse(JsonNode, Names); org.apache.avro.Protocol.parseMessage(String, JsonNode)"
"org.apache.trevni.avro.AvroColumnReader.nextValue(Schema, int)",FreqExec,"org.apache.trevni.avro.AvroColumnReader.nextValue(Schema, int); org.apache.trevni.avro.AvroColumnReader.read(Schema)"
"org.apache.avro.Schema.getOptionalText(JsonNode, String)",FreqExec,"org.apache.avro.Schema.getOptionalText(JsonNode, String); org.apache.avro.Schema.getRequiredText(JsonNode, String, String); org.apache.avro.Schema.parse(JsonNode, Names)"
"org.apache.avro.io.BinaryData.encodeInt(int, byte[], int)",FreqExec,"org.apache.avro.io.BinaryData.encodeInt(int, byte[], int); org.apache.avro.io.BufferedBinaryEncoder.writeInt(int); org.apache.avro.io.BlockingBinaryEncoder.writeInt(int); org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int); org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(); org.apache.avro.io.DirectBinaryEncoder.writeInt(int)"
org.apache.avro.hadoop.io.AvroSerialization.createDataModel(Configuration),HotCallee,org.apache.avro.hadoop.io.AvroSerialization.createDataModel(Configuration); org.apache.avro.hadoop.io.AvroSerialization.getDataModelClass(Configuration)
"org.apache.avro.specific.SpecificData.createEnum(String, Schema)",FreqExec,"org.apache.avro.specific.SpecificData.createEnum(String, Schema); org.apache.avro.generic.GenericDatumReader.createEnum(String, Schema)"
org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>),FreqExec,org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>); org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>)
org.apache.avro.io.ValidatingEncoder.writeArrayStart(),FreqExec,"org.apache.avro.io.ValidatingEncoder.writeArrayStart(); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[]); org.apache.avro.data.Json.write(JsonNode, Encoder)"
org.apache.avro.tool.Util.openFromFS(String),HotCallee,org.apache.avro.tool.Util.openFromFS(String)
org.apache.avro.Schema.toString(),HotCallee,org.apache.avro.Schema.toString(); org.apache.avro.Schema.toString(boolean)
"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, Long)",HotCallee,"org.apache.avro.ipc.NettyTransceiver.NettyTransceiver(InetSocketAddress, Long)"
org.apache.avro.io.BinaryDecoder.readBoolean(),FreqExec,org.apache.avro.io.BinaryDecoder.readBoolean(); org.apache.avro.io.ValidatingDecoder.readBoolean(); org.apache.avro.ipc.Requestor$Response.getResponse()
org.apache.avro.io.ResolvingDecoder.drain(),FreqExec,"org.apache.avro.io.ResolvingDecoder.drain(); org.apache.avro.generic.GenericDatumReader.read(D, Decoder)"
"org.apache.avro.generic.GenericDatumWriter.writeString(Object, Encoder)",FreqExec,"org.apache.avro.generic.GenericDatumWriter.writeString(Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeString(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder); org.apache.avro.specific.SpecificDatumWriter.writeString(Schema, Object, Encoder)"
org.apache.avro.file.DataFileStream.next(D),FreqExec,org.apache.avro.file.DataFileStream.next(D); org.apache.avro.file.DataFileStream.next(); org.apache.avro.TestDataFileConcat.testConcatenateFiles(); org.apache.avro.TestDataFile.testGenericAppend(); org.apache.avro.TestDataFile.testGenericRead()
"org.apache.avro.Schema.parse(JsonNode, Names)",HotRecur,"org.apache.avro.Schema.parse(JsonNode, Names)"
"org.apache.avro.compiler.specific.SpecificCompiler.renderTemplate(String, VelocityContext)",HotCallee,"org.apache.avro.compiler.specific.SpecificCompiler.renderTemplate(String, VelocityContext)"
"org.apache.avro.generic.GenericDatumReader.readString(Object, Decoder)",FreqExec,"org.apache.avro.generic.GenericDatumReader.readString(Object, Decoder); org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder)"
"org.apache.avro.ipc.Requestor.request(Request, Callback<T>)",HotCallee,"org.apache.avro.ipc.Requestor.request(Request, Callback<T>); org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>, Callback<List>); org.apache.avro.ipc.SocketTransceiver.writeBuffers(List<ByteBuffer>)"
org.apache.avro.io.parsing.Parser.pushProduction(Symbol),FreqExec,org.apache.avro.io.parsing.Parser.pushProduction(Symbol); org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.parsing.SkipParser.skipRepeater(); org.apache.avro.io.parsing.SkipParser.skipTo(int); org.apache.avro.io.parsing.Parser.processImplicitActions()
"org.apache.avro.ipc.specific.SpecificRequestor.readResponse(Schema, Schema, Decoder)",FreqExec,"org.apache.avro.ipc.specific.SpecificRequestor.readResponse(Schema, Schema, Decoder); org.apache.avro.ipc.Requestor$Response.getResponse()"
org.apache.avro.hadoop.io.AvroSerialization.getDataModelClass(Configuration),HotCallee,org.apache.avro.hadoop.io.AvroSerialization.getDataModelClass(Configuration)
org.apache.avro.io.BinaryDecoder.readIndex(),FreqExec,"org.apache.avro.io.BinaryDecoder.readIndex(); org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol); org.apache.avro.io.ValidatingDecoder.readIndex()"
org.apache.avro.Protocol.toString(),HotCallee,org.apache.avro.Protocol.toString(); org.apache.avro.Protocol.toString(boolean)
"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Class, Object)",HotCallee,"org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Class, Object); org.apache.avro.ipc.specific.SpecificResponder.SpecificResponder(Class, Object, SpecificData)"
org.apache.avro.io.ValidatingEncoder.writeString(String),FreqExec,"org.apache.avro.io.ValidatingEncoder.writeString(String); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[]); org.apache.avro.data.Json.write(JsonNode, Encoder)"
"org.apache.avro.file.XZCodec.writeAndClose(ByteBuffer, OutputStream)",HotCallee,"org.apache.avro.file.XZCodec.writeAndClose(ByteBuffer, OutputStream)"
"org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>, Callback<List>)",HotCallee,"org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>, Callback<List>); org.apache.avro.ipc.Transceiver.transceive(List<ByteBuffer>); org.apache.avro.ipc.SaslSocketTransceiver.transceive(List<ByteBuffer>)"
org.apache.avro.file.DataFileWriter.append(D),FreqExec,org.apache.avro.file.DataFileWriter.append(D); org.apache.avro.tool.TestRecodecTool.testRecodec(); org.apache.avro.TestDataFileConcat.testConcatenateFiles(); org.apache.avro.TestDataFile.testGenericWrite(); org.apache.avro.TestDataFile.testFSync(boolean); org.apache.avro.TestDataFile.testGenericAppend(); org.apache.avro.TestDataFile.testFlushCount()
"org.apache.avro.specific.SpecificData.createFixed(Object, Schema)",FreqExec,"org.apache.avro.specific.SpecificData.createFixed(Object, Schema); org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)"
org.apache.avro.io.BinaryDecoder.readEnum(),FreqExec,org.apache.avro.io.BinaryDecoder.readEnum(); org.apache.avro.io.ResolvingDecoder.readEnum()
"org.apache.avro.tool.SpecificCompilerTool.run(InputStream, PrintStream, PrintStream, List<String>)",HotCallee,"org.apache.avro.tool.SpecificCompilerTool.run(InputStream, PrintStream, PrintStream, List<String>); org.apache.avro.compiler.specific.SpecificCompiler.compileToDestination(File, File)"
"org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder)",FreqExec,"org.apache.avro.generic.GenericDatumReader.readString(Object, Schema, Decoder); org.apache.avro.generic.GenericDatumReader.readWithoutConversion(Object, Schema, ResolvingDecoder); org.apache.avro.generic.GenericDatumReader.readMapKey(Object, Schema, Decoder)"
org.apache.avro.Protocol.toString(boolean),HotCallee,org.apache.avro.Protocol.toString(boolean); org.apache.avro.Protocol.toJson(JsonGenerator)
"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, OutputStream)",FreqExec,"org.apache.avro.io.JsonEncoder.JsonEncoder(Schema, OutputStream); org.apache.avro.io.EncoderFactory.jsonEncoder(Schema, OutputStream)"
"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)",FreqExec,"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder); org.apache.avro.file.DataFileWriter.append(D); org.apache.avro.ipc.Requestor.writeHandshake(Encoder); org.apache.avro.ipc.generic.GenericRequestor.writeRequest(Schema, Object, Encoder); org.apache.avro.ipc.Requestor$Request.getBytes(); org.apache.avro.ipc.Responder.handshake(Decoder, Encoder, Transceiver); org.apache.avro.ipc.generic.GenericResponder.writeResponse(Schema, Object, Encoder); org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver); org.apache.avro.io.TestBinaryDecoder.generateData(); org.apache.avro.reflect.TestReflect.checkBinary(ReflectData, Schema, Object, boolean, boolean); org.apache.avro.ipc.specific.SpecificRequestor.writeRequest(Schema, Object, Encoder); org.apache.avro.TestSchema.checkBinary(Schema, Object, DatumWriter, DatumReader, Object); org.apache.avro.TestSchema.checkBlockingBinary(Schema, Object, DatumWriter, DatumReader); org.apache.avro.TestSchema.checkDirectBinary(Schema, Object, DatumWriter, DatumReader); org.apache.avro.TestCompare.render(Object, Schema, DatumWriter); org.apache.avro.TestSchema.checkJson(Schema, Object, DatumWriter, DatumReader)"
"org.apache.avro.mapred.FsInput.FsInput(Path, Configuration)",HotCallee,"org.apache.avro.mapred.FsInput.FsInput(Path, Configuration)"
"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",FreqExec,"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int); org.apache.avro.io.Encoder.writeBytes(byte[]); org.apache.avro.io.BinaryEncoder.writeString(Utf8); org.apache.avro.io.ValidatingEncoder.writeBytes(byte[], int, int)"
"org.apache.avro.io.ValidatingDecoder.readFixed(byte[], int, int)",FreqExec,"org.apache.avro.io.ValidatingDecoder.readFixed(byte[], int, int); org.apache.avro.generic.GenericDatumReader.readFixed(Object, Schema, Decoder)"
org.apache.avro.io.ValidatingEncoder.writeArrayEnd(),FreqExec,"org.apache.avro.io.ValidatingEncoder.writeArrayEnd(); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[]); org.apache.avro.data.Json.write(JsonNode, Encoder)"
org.apache.avro.ipc.NettyTransceiver.getRemote(),FreqExec,"org.apache.avro.ipc.NettyTransceiver.getRemote(); org.apache.avro.ipc.Responder.handshake(Decoder, Encoder, Transceiver)"
org.apache.avro.io.Encoder.writeString(String),FreqExec,org.apache.avro.io.Encoder.writeString(String)
"org.apache.avro.ipc.specific.SpecificRequestor.invoke(Object, Method, Object[])",FreqExec,"org.apache.avro.ipc.specific.SpecificRequestor.invoke(Object, Method, Object[]); com.sun.proxy.$Proxy12.hello(String)"
"org.apache.avro.ipc.generic.GenericResponder.writeResponse(Schema, Object, Encoder)",FreqExec,"org.apache.avro.ipc.generic.GenericResponder.writeResponse(Schema, Object, Encoder); org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver)"
org.apache.avro.file.DataFileWriter.assertOpen(),FreqExec,org.apache.avro.file.DataFileWriter.assertOpen(); org.apache.avro.file.DataFileWriter.sync(); org.apache.avro.file.DataFileWriter.append(D)
org.apache.avro.file.XZCodec.decompress(ByteBuffer),HotCallee,org.apache.avro.file.XZCodec.decompress(ByteBuffer)
"org.apache.avro.reflect.ReflectData.getRecordState(Object, Schema)",FreqExec,"org.apache.avro.reflect.ReflectData.getRecordState(Object, Schema); org.apache.avro.reflect.TestReflectData.testWeakSchemaCaching(); org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)"
org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int),HotCallee,org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int); org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int)
org.apache.avro.io.BlockingBinaryEncoder.writeArrayEnd(),FreqExec,"org.apache.avro.io.BlockingBinaryEncoder.writeArrayEnd(); org.apache.avro.io.ValidatingEncoder.writeArrayEnd(); org.apache.avro.io.TestBlockingIO.serialize(Encoder, JsonParser, ByteArrayOutputStream); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[]); org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)"
org.apache.avro.file.DataFileWriter.writeIfBlockFull(),FreqExec,org.apache.avro.file.DataFileWriter.writeIfBlockFull(); org.apache.avro.file.DataFileWriter.append(D)
org.apache.avro.io.BinaryDecoder.readArrayStart(),FreqExec,"org.apache.avro.io.BinaryDecoder.readArrayStart(); org.apache.avro.io.ValidatingDecoder.readArrayStart(); org.apache.avro.io.TestBlockingIO$Tests.scan(); org.apache.avro.io.TestBlockingIO$Tests.skip(int); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)"
org.apache.avro.generic.GenericData.GenericData(ClassLoader),HotCallee,org.apache.avro.generic.GenericData.GenericData(ClassLoader)
"org.apache.avro.RandomData.randomUtf8(Random, int)",FreqExec,"org.apache.avro.RandomData.randomUtf8(Random, int); org.apache.avro.RandomData.generate(Schema, Random, int)"
org.apache.avro.io.ValidatingDecoder.readString(),FreqExec,org.apache.avro.io.ValidatingDecoder.readString(); org.apache.avro.data.Json.read(Decoder)
"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder)",HotCyclic,"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeWithoutConversion(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeRecord(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeField(Object, Field, Encoder, Object)"
"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder)",FreqExec,"org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.write(D, Encoder); org.apache.avro.generic.GenericDatumWriter.writeField(Object, Field, Encoder, Object); org.apache.avro.generic.GenericDatumWriter.writeWithoutConversion(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder); org.apache.avro.reflect.ReflectDatumWriter.write(Schema, Object, Encoder)"
"org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>, OutputStream)",HotCallee,"org.apache.avro.ipc.HttpTransceiver.writeBuffers(List<ByteBuffer>, OutputStream); org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)"
"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol)",FreqExec,"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol); org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.parsing.Parser.processImplicitActions()"
org.apache.avro.io.BlockingBinaryEncoder.startItem(),FreqExec,"org.apache.avro.io.BlockingBinaryEncoder.startItem(); org.apache.avro.io.ValidatingEncoder.startItem(); org.apache.avro.io.TestBlockingIO.serialize(Encoder, JsonParser, ByteArrayOutputStream); org.apache.avro.reflect.ArrayAccessor.writeArray(boolean[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(long[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(double[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(float[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(short[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(char[], Encoder); org.apache.avro.reflect.ArrayAccessor.writeArray(int[], Encoder); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[]); org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder); org.apache.avro.generic.GenericDatumWriter.writeMap(Schema, Object, Encoder)"
org.apache.avro.io.BinaryDecoder.arrayNext(),FreqExec,"org.apache.avro.io.BinaryDecoder.arrayNext(); org.apache.avro.io.ValidatingDecoder.arrayNext(); org.apache.avro.io.TestBlockingIO$Tests.scan(); org.apache.avro.io.TestBlockingIO$Tests.skip(int); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)"
org.apache.avro.util.Utf8.setByteLength(int),FreqExec,org.apache.avro.util.Utf8.setByteLength(int); org.apache.avro.io.BinaryDecoder.readString(Utf8); org.apache.avro.util.Utf8.setLength(int)
"org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)",HotCallee,"org.apache.avro.ipc.HttpTransceiver.writeLength(int, OutputStream)"
org.apache.avro.ipc.NettyTransceiver.isConnected(),FreqExec,"org.apache.avro.ipc.NettyTransceiver.isConnected(); org.apache.avro.ipc.Responder.handshake(Decoder, Encoder, Transceiver); org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver); org.apache.avro.ipc.Requestor.readHandshake(Decoder); org.apache.avro.ipc.Requestor$Response.getResponse(); org.apache.avro.ipc.Requestor.writeHandshake(Encoder); org.apache.avro.ipc.Requestor.request(Request, Callback<T>)"
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),HotCallee,org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol); org.apache.avro.io.parsing.SkipParser.skipTo(int)
"org.apache.avro.generic.GenericDatumReader.getResolver(Schema, Schema)",FreqExec,"org.apache.avro.generic.GenericDatumReader.getResolver(Schema, Schema); org.apache.avro.generic.GenericDatumReader.read(D, Decoder)"
org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer),FreqExec,"org.apache.avro.io.BinaryEncoder.writeBytes(ByteBuffer); org.apache.avro.generic.GenericDatumWriter.writeBytes(Object, Encoder)"
org.apache.avro.ipc.SaslSocketTransceiver.readBuffers(),HotCallee,org.apache.avro.ipc.SaslSocketTransceiver.readBuffers(); org.apache.avro.ipc.SaslSocketTransceiver.readFrameAndUnwrap()
"org.apache.avro.tool.DataFileGetMetaTool.run(InputStream, PrintStream, PrintStream, List<String>)",HotCallee,"org.apache.avro.tool.DataFileGetMetaTool.run(InputStream, PrintStream, PrintStream, List<String>); org.apache.avro.tool.Util.openSeekableFromFS(String)"
