class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readString,Utf8,482,164,234465
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,compare,"Object, Object, Schema, boolean",382,135,143878
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,check,"Decoder, String, Object[], int",275,38,9408
lang\java\avro\src\test\java\org\apache\avro\file\TestBZip2Codec.java,testBZip2CompressionAndDecompression,,250,0,1
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ValidatingGrammarGenerator.java,generate,Schema,405,9,11753
lang\java\avro\src\main\java\org\apache\avro\io\EncoderFactory.java,validatingEncoder,"Schema, Encoder",331,3,10061
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,testOnce,"Schema, String, int, TestValidatingIO$Encoding",235,1,972
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testSplits,,230,0,9
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,testInputStreamProxy,,219,0,2
lang\java\avro\src\test\java\org\apache\avro\reflect\TestByteBuffer.java,getmd5,File,209,0,1
lang\java\avro\src\test\java\org\apache\avro\TestCircularReferences.java,test,,204,0,1
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,generate,"Encoder, String, Object[]",204,32,9408
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,testDecodeFromSources,,194,1,2
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,initialize,InputStream,340,0,382
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,randomValues,String,189,49,17376
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,writeField,"Object, Schema$Field, Encoder, Object",331,24,64796
lang\java\avro\src\main\java\org\apache\avro\file\SnappyCodec.java,compress,ByteBuffer,178,0,75
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ResolvingGrammarGenerator.java,generate,"Schema, Schema, Map",495,16,22612
lang\java\avro\src\main\java\org\apache\avro\file\BZip2Codec.java,decompress,ByteBuffer,169,0,1
lang\java\avro\src\main\java\org\apache\avro\io\parsing\Parser.java,advance,Symbol,427,145,695086
lang\java\avro\src\test\java\org\apache\avro\specific\TestSpecificData.java,testExternalizeable,,332,0,2
lang\java\avro\src\main\java\org\apache\avro\io\EncoderFactory.java,jsonEncoder,"Schema, OutputStream",267,1,3844
lang\java\avro\src\main\java\org\apache\avro\io\parsing\JsonGrammarGenerator.java,generate,Schema,275,6,7721
lang\java\avro\src\test\java\org\apache\avro\io\TestResolvingIOResolving.java,testResolving,,157,0,192
lang\java\avro\src\main\java\org\apache\avro\LogicalTypes.java,fromSchemaImpl,"Schema, boolean",162,0,13175
lang\java\avro\src\main\java\org\apache\avro\LogicalTypes.java,fromSchemaIgnoreInvalid,Schema,162,0,13172
lang\java\avro\src\main\java\org\apache\avro\Schema.java,toString,boolean,1058,5,1541
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,create,"Schema, File",340,0,150
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parse,"String, boolean",220,0,385
lang\java\avro\src\main\java\org\apache\avro\reflect\ReflectData.java,createSchema,"Type, Map",262,4,408
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificData.java,getSchema,Type,455,0,384
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,getStringClass,Schema,292,62,221024
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,print,"TestValidatingIO$Encoding, int, Schema, Schema, Object[], Object[]",119,9,9324
lang\java\avro\src\main\java\org\apache\avro\generic\GenericData.java,setField,"Object, String, int, Object, Object",119,80,374469
lang\java\avro\src\main\java\org\apache\avro\Schema.java,equals,Object,115,32,69778
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readInt,,492,73,333781
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,printSchemaAndValues,"String, Schema, Object[]",103,12,18648
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,testInputStreamPartiallyUsed,,103,0,2
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ResolvingGrammarGenerator.java,resolveRecords,"Schema, Schema, Map",395,17,1538
lang\java\avro\src\test\java\org\apache\avro\io\TestBinaryDecoder.java,testInputStreamProxyDetached,,101,0,2
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,readLong,,152,34,100136
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,create,"Schema, OutputStream, byte[]",499,2,218
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,check,"Schema, byte[], String, Object[], int, TestValidatingIO$Encoding",96,2,972
lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,testFlushCount,,94,0,9
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,getResolver,"Schema, Schema",970,39,130547
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,readFieldOrder,,112,27,110827
lang\java\avro\src\test\java\org\apache\avro\io\TestValidatingIO.java,extractInt,TestValidatingIO$InputScanner,84,22,24711
lang\java\avro\src\main\java\org\apache\avro\io\parsing\ValidatingGrammarGenerator.java,generate,"Schema, Map",163,46,54002
lang\java\avro\src\main\java\org\apache\avro\file\BZip2Codec.java,compress,ByteBuffer,80,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,flush,,217,24,50685
lang\java\avro\src\main\java\org\apache\avro\JsonProperties.java,writeProps,JsonGenerator,1598,3,7895
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,writeString,"Schema, Object, Encoder",608,31,131447
lang\java\avro\src\main\java\org\apache\avro\io\JsonDecoder.java,getSymbol,Schema,137,2,3868
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,readInt,"Object, Schema, Decoder",80,18,56519
lang\java\avro\src\test\java\org\apache\avro\TestDataFileReflect.java,testNull,,74,0,1
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parseAliases,JsonNode,103,89,11628
lang\java\avro\src\main\java\org\apache\avro\Schema.java,create,Schema$Type,112,11,31739
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumWriter.java,writeString,"Object, Encoder",771,31,147611
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readLong,,275,45,142792
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,resolvingDecoder,"Schema, Schema, Decoder",640,0,801
lang\java\avro\src\test\java\org\apache\avro\data\TestTimeConversions.java,testTimestampMicrosConversion,,65,0,1
lang\java\avro\src\main\java\org\apache\avro\file\DataFileWriter.java,appendTo,File,64,0,59
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readInt,,69,24,60454
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,ensureBounds,int,640,58,482254
