class,path,package,methods
LatestCompatibleConflictManager,src\java\org\apache\ivy\plugins\conflict\LatestCompatibleConflictManager.java,org.apache.ivy.plugins.conflict,"LatestCompatibleConflictManager,LatestCompatibleConflictManager,resolveConflicts,handleIncompatibleConflict,blackListIncompatibleCallerAndRestartResolveIfPossible,blackListIncompatibleCaller,handleUnsolvableConflict,handleAllBlacklistedRevisions,toString"
IvyContext,src\java\org\apache\ivy\core\IvyContext.java,org.apache.ivy.core,"IvyContext,IvyContext,getContext,getCurrentStack,pushNewContext,pushNewCopyContext,pushContext,popContext,peekInContextStack,getIvy,peekIvy,getDefaultIvy,setIvy,getSettings,getCircularDependencyStrategy,get,set,peek,pop,pop,push,getOperatingThread,getMessageLogger,getEventManager,checkInterrupted,setResolveData,getResolveData,setDependencyDescriptor,getDependencyDescriptor"
ModuleRevisionId,src\java\org\apache\ivy\core\module\id\ModuleRevisionId.java,org.apache.ivy.core.module.id,"parse,newInstance,newInstance,newInstance,newInstance,newInstance,newInstance,intern,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,ModuleRevisionId,getModuleId,getName,getOrganisation,getRevision,equals,hashCode,toString,encodeToString,decode,getBranch"
IvyNode,src\java\org\apache\ivy\core\resolve\IvyNode.java,org.apache.ivy.core.resolve,"IvyNode,IvyNode,init,loadData,moveToRealNode,getDependencies,getDependencies,addDependencyDescriptor,getDependencyDescriptor,isDependencyModuleExcluded,hasConfigurationsToLoad,markRootModuleConfLoaded,isRootModuleConfLoaded,handleConfiguration,getDefaultConf,getMainConf,updateConfsToFetch,resolveSpecialConfigurations,getRequiredConfigurations,addAllIfNotNull,getRequiredConfigurations,getConfiguration,getConfigurations,isConfRequiredByMergedUsageOnly,discardConf,addRootModuleConfigurations,getRootModuleConfigurations,getRootModuleConfigurationsSet,getConfsToFetch,getRealConfs,findPath,findPath,updateDataFrom,getAllUsages,getAllArtifacts,getSelectedArtifacts,getArtifacts,addArtifactsFromOwnUsage,addArtifactsFromMergedUsage,findArtifactsMatching,hasProblem,getProblem,getProblemMessage,isDownloaded,isSearched,isLoaded,isFetched,findNode,isRoot,getRoot,getConflictManager,getRealNode,getId,getModuleId,getDescriptor,getData,getModuleRevision,getPublication,getLastModified,getResolvedId,clean,canExclude,getDirectCallerFor,getCallers,getAllCallersModuleIds,getAllCallers,getAllRealCallers,addCaller,doesCallersExclude,toMrids,getResolvedNodes,getResolvedRevisions,markEvicted,getAllEvictingConflictManagers,getAllEvictingNodes,getAllEvictingNodesDetails,getEvictedConfs,getEvictedData,getEvictedNodes,getEvictedRevisions,getEvictionDataInRoot,isCompletelyEvicted,isEvicted,markEvicted,setEvictedNodes,setResolvedNodes,toString,equals,compareTo,hashCode,getPendingConflicts,setPendingConflicts,blacklist,clearEvictionDataInAllCallers,isBlacklisted,isCompletelyBlacklisted,getBlacklistData,getMainUsage"
IvyNodeBlacklist,src\java\org\apache\ivy\core\resolve\IvyNodeBlacklist.java,org.apache.ivy.core.resolve,"IvyNodeBlacklist,getConflictParent,getSelectedNode,getEvictedNode,getBlacklistedNode,getRootModuleConf,toString"
ResolveData,src\java\org\apache\ivy\core\resolve\ResolveData.java,org.apache.ivy.core.resolve,"ResolveData,ResolveData,ResolveData,ResolveData,getReport,getNode,getNodes,getNodeIds,getVisitData,getCurrentVisitNode,setCurrentVisitNode,register,register,replaceNode,setReport,getDate,isValidate,isTransitive,getOptions,getSettings,getEventManager,getEngine,blacklist,isBlacklisted,mediate,setCurrentResolvedModuleRevision,getCurrentResolvedModuleRevision"
RestartResolveProcess,src\java\org\apache\ivy\core\resolve\RestartResolveProcess.java,org.apache.ivy.core.resolve,RestartResolveProcess
IvySettings,src\java\org\apache\ivy\core\settings\IvySettings.java,org.apache.ivy.core.settings,"IvySettings,IvySettings,addSystemProperties,configureRepositories,typeDefs,typeDefs,typeDefs,typeDefs,load,load,defaultInit,loadDefault,loadDefault14,loadDefaultProperties,getDefaultPropertiesURL,getDefaultSettingsURL,getDefault14SettingsURL,getDefaultSettingsDir,getSettingsURL,setSettingsVariables,setDeprecatedVariable,setSettingsVariables,dumpSettings,loadProperties,loadProperties,loadProperties,loadProperties,loadProperties,setVariable,setVariable,addAllVariables,addAllVariables,substitute,substitute,getVariables,typeDef,typeDef,classForName,getClassLoader,addClasspathURL,getTypeDefs,getTypeDef,addConfigured,addConfigured,addResolver,setDefaultCache,setDefaultResolver,checkResolverName,addModuleConfiguration,resolveFile,setBaseDir,getBaseDir,getDefaultIvyUserDir,setDefaultIvyUserDir,getDefaultCache,setDefaultRepositoryCacheBasedir,setDefaultResolutionCacheBasedir,getDefaultRepositoryCacheBasedir,getDefaultResolutionCacheBasedir,setDictatorResolver,getResolver,getResolver,getDefaultResolver,getResolverName,getDefaultBranch,getDefaultBranch,setDefaultBranch,getConflictManager,getResolveMode,getDefaultResolveMode,setDefaultResolveMode,addConfigured,getConflictManager,addConflictManager,addConfigured,getLatestStrategy,addLatestStrategy,addConfigured,getLockStrategy,addLockStrategy,addConfigured,getNamespace,getSystemNamespace,addNamespace,addConfigured,getMatcher,addMatcher,addConfigured,getRepositoryCacheManager,addRepositoryCacheManager,getRepositoryCacheManagers,addConfigured,getReportOutputter,addReportOutputter,getReportOutputters,addConfigured,getVersionMatcher,addVersionMatcher,getVersionMatchers,getVersionMatcher,configureDefaultVersionMatcher,getCircularDependencyStrategy,getCircularDependencyStrategy,setCircularDependencyStrategy,addConfigured,addCircularDependencyStrategy,configureDefaultCircularDependencyStrategies,getStatusManager,setStatusManager,getIgnorableFilenames,filterIgnore,isCheckUpToDate,setCheckUpToDate,doValidate,setValidate,getVariable,getDefaultConflictManager,setDefaultConflictManager,getDefaultLatestStrategy,setDefaultLatestStrategy,getDefaultLockStrategy,setDefaultLockStrategy,getDefaultRepositoryCacheManager,setDefaultRepositoryCacheManager,getResolutionCacheManager,setResolutionCacheManager,addTrigger,getTriggers,addConfigured,isUseRemoteConfig,setUseRemoteConfig,logModulesInUse,logModuleWhenFound,logResolvedRevision,debugConflictResolution,debugLocking,dumpMemoryUsage,logNotConvertedExclusionRule,setLogNotConvertedExclusionRule,init,getInterruptTimeout,getResolvers,getResolverNames,getMatcherNames,getVariableContainer,setVariableContainer,getRelativeUrlResolver,setDefaultCacheIvyPattern,getDefaultCacheIvyPattern,setDefaultCacheArtifactPattern,getDefaultCacheArtifactPattern,setDefaultUseOrigin,isDefaultUseOrigin,useDeprecatedUseOrigin,validate,validateAll"
Message,src\java\org\apache\ivy\util\Message.java,org.apache.ivy.util,"getDefaultLogger,setDefaultLogger,getLogger,showInfo,debug,verbose,info,rawinfo,deprecated,warn,error,getProblems,sumupProblems,progress,endProgress,endProgress,isShowProgress,setShowProgress,Message"
IvyNodeCallers,src\java\org\apache\ivy\core\resolve\IvyNodeCallers.java,org.apache.ivy.core.resolve,"IvyNodeCallers,addCaller,removeCaller,getCallers,getAllCallers,getAllRealCallers,getAllCallersModuleIds,updateFrom,getDirectCallerFor,doesCallersExclude,doesCallersExclude,doesExclude"
