method,pattern,space
"org.apache.pdfbox.pdmodel.font.PDType1Font.encode(byte[], int, int)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDType1Font.encode(byte[], int, int); org.apache.pdfbox.util.PDFStreamEngine.processEncodedText(byte[]); org.apache.pdfbox.pdmodel.font.PDFont.encodeToCID(byte[], int, int)"
"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float)",HotExec,"org.apache.pdfbox.pdmodel.edit.PDPageContentStream.setFont(PDFont, float); org.apache.pdfbox.examples.pdfa.CreatePDFA.doIt(String, String); org.apache.pdfbox.examples.pdmodel.HelloWorld.doIt(String, String)"
org.apache.pdfbox.pdfparser.NonSequentialPDFParser.setPdfSource(long),FreqExec,"org.apache.pdfbox.pdfparser.NonSequentialPDFParser.setPdfSource(long); org.apache.pdfbox.preflight.parser.PreflightParser.parseObjectDynamically(int, int, boolean); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseXref(long); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.parseObjectDynamically(int, int, boolean)"
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getAction(),HotExec,org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getAction()
"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float)",FreqExec,"org.apache.pdfbox.pdmodel.font.PDSimpleFont.drawString(String, int[], Graphics, float, AffineTransform, float, float); org.apache.pdfbox.pdfviewer.PageDrawer.processTextPosition(TextPosition)"
org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(),FreqExec,org.apache.pdfbox.pdmodel.PDPageNode.getCropBox(); org.apache.pdfbox.pdmodel.PDPage.findParentCropBox(PDPageNode)
org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties),HotCallee,org.apache.pdfbox.util.PDFStreamEngine.PDFStreamEngine(Properties)
org.apache.pdfbox.io.PushBackInputStream.read(),FreqExec,"org.apache.pdfbox.io.PushBackInputStream.read(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSHexString(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSString(); org.apache.pdfbox.pdfparser.BaseParser.skipSpaces(); org.apache.pdfbox.io.PushBackInputStream.peek(); org.apache.pdfbox.pdfparser.PDFStreamParser.readOperator(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSName(); org.apache.pdfbox.pdfparser.BaseParser.readString(); org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(); org.apache.pdfbox.pdfparser.BaseParser.parseDirObject(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSArray(); org.apache.pdfbox.preflight.parser.PreflightParser.parseCOSString(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionaryValue(); org.apache.pdfbox.pdfparser.BaseParser.parseCOSDictionary(); org.apache.pdfbox.pdfparser.BaseParser.readLine(); org.apache.pdfbox.pdfparser.BaseParser.readStringNumber(); org.apache.pdfbox.pdfparser.NonSequentialPDFParser.readPattern(char[]); org.apache.pdfbox.pdfparser.BaseParser.readString(int); org.apache.pdfbox.pdfparser.BaseParser.parseCOSStream(COSDictionary, RandomAccess)"
org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager.getInstance(),HotCallee,org.apache.pdfbox.pdmodel.encryption.SecurityHandlersManager.getInstance()
org.apache.pdfbox.util.DateConverter.toISO8601(Calendar),FreqExec,"org.apache.pdfbox.util.DateConverter.toISO8601(Calendar); org.apache.pdfbox.util.TestDateUtil.checkParse(int, int, int, int, int, int, int, int, String); org.apache.pdfbox.util.TestDateUtil.checkToString(int, int, int, int, int, int, TimeZone, int, int)"
