Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Creator,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,? Progress,? Time Spent,? Remaining Estimate,? Original Estimate,Labels,Date of First Response,Git Notification Mailing List,Github Integrations - Other,Github Integration,Last public comment date,Git Repository Name,Global Rank,Git Repository Type,Customer Request Type,Time to resolution,Blog Administrator?,Blogs - Admin for blog,Existing GitBox Approval,Blogs - Username,Protected Branch,Blogs - Email Address,GitHub Options,Docs Text,Git Repository Import Path,New-TLP-TLPName,Release Note,Hadoop Flags,Blogs - New Blog Write Access,Epic Colour,Blogs - Existing Blog Name,Tags,Attachment count,Blog - New Blog PMC,Epic Name,Blog - New Blog Administrators,Epic Status,Blog - Write access,Epic Link,Bugzilla - List of usernames,Bugzilla - PMC Name,Bugzilla - Email Notification Address,Blogs - Existing Blog Access Level,Bugzilla - Project Name,Bugzilla Id,Initial Confluence Contributors,Request participants,Waiting For Infra,Space Name,Space Description,Time to Respond,Github Integration - Triggers,INFRA - Subversion Repository Path,Space Key,Testcase included,Sprint,Rank (Obsolete),Project,Epic/Theme,Flagged,External issue ID,Machine Readable Info,External issue URL,Flags,Rank
Avro,AVRO-11,Improve SpecificDatumReader code by using field positions.,Improvement,Closed,Minor,Fixed,Doug Cutting,Hong Tang,Hong Tang,4/14/2009 4:21,,7/14/2009 22:50,4/14/2009 22:29,1.0.0,1.0.0,java,,0,0,,,,,,,AVRO-6,,"With Avro-6, it would be more efficient to reimplement SpecificDatumReader to use field positions from schema.",,,,,,,,4/14/2009 22:04,,,,"8 years, 13 weeks, 1 day ago",,94340,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79386,,,,,,,,0|i0dxof:
Avro,AVRO-12,Bug in comparison of recurisive schemas,Bug,Closed,Major,Fixed,Doug Cutting,Hong Tang,Hong Tang,4/14/2009 4:34,,7/14/2009 22:50,5/22/2009 20:45,1.0.0,1.0.0,java,,0,0,,,,,,,,,Comparison of recursive schema will lead to infinite recursion (eventually leading to java.lang.StackOverflowError.),,,,,,,,4/14/2009 5:17,,,,"8 years, 7 weeks, 5 days ago",,94341,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79387,,,,,,,,0|i0dxon:
Avro,AVRO-13,Use dictionary instead of if-else in validate,Improvement,Closed,Major,Fixed,Sharad Agarwal,Sharad Agarwal,Sharad Agarwal,4/14/2009 7:28,,7/14/2009 22:50,4/15/2009 5:19,1.0.0,1.0.0,python,,0,0,,,,,,,,,Currently validate in generic.py and reflect.py uses if-else. It would be efficient to use dictionary with keys as schema types.,,,,,,,,4/14/2009 18:06,,,,"8 years, 13 weeks, 1 day ago",,94342,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79388,,,,,,,,0|i0dxov:
Avro,AVRO-14,RPC throws EOFException if 0 size ByteBuffer is sent,Bug,Closed,Major,Fixed,Sharad Agarwal,Sharad Agarwal,Sharad Agarwal,4/14/2009 11:41,,7/14/2009 22:50,4/14/2009 22:15,,1.0.0,java,,0,0,,,,,,,,,ByteBufferInputStream#readBuffer(int length) throws EOFException if length param is 0,,,,,,,,4/14/2009 18:19,,,,"8 years, 13 weeks, 1 day ago",,94343,,,Restricted to agents,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79389,,,,,,,,0|i0dxp3:
Avro,AVRO-15,Override __eq__() and __hash__() in Schema classes,Improvement,Closed,Major,Fixed,Sharad Agarwal,Sharad Agarwal,Sharad Agarwal,4/15/2009 12:08,,7/14/2009 22:50,4/22/2009 5:36,1.0.0,1.0.0,python,,0,0,,,,,,,,,,,,,,,,,4/21/2009 18:39,,,,"8 years, 12 weeks, 1 day ago",,94344,,,Restricted to agents,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79390,,,,,,,,0|i0dxpb:
Avro,AVRO-16,minor documentation improvements,Improvement,Closed,Minor,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/21/2009 19:53,,7/14/2009 22:50,4/21/2009 19:55,,1.0.0,spec,,0,0,,,,,,,,,"The spec document could stand a few improvements: 
- two examples contain invalid JSON 
- in the resolution section, reader/writer is clearer than local/remote 
- we should clarify that forward references are not yet implemented 
- the logo does not match that on the site 
",,,,,,,,,,,,"8 years, 12 weeks, 1 day ago",,94345,,,Restricted to agents,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79391,,,,,,,,0|i0dxpj:
Avro,AVRO-17,remove single float type,Improvement,Closed,Major,Won't Fix,Doug Cutting,Doug Cutting,Doug Cutting,4/24/2009 17:43,,7/14/2009 23:04,5/12/2009 17:19,,,spec,,0,0,,,,,,,,,"Python and Thrift do not support a 32-bit single float type, nor do many applications use this type, so, for better compatibility, we can remove it from Avro.",,,,,,,,4/24/2009 20:18,,,,"8 years, 9 weeks, 1 day ago",,94346,,,Restricted to agents,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79392,,,,,,,,0|i0dxpr:
Avro,AVRO-18,add enum type,New Feature,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/24/2009 20:04,,7/14/2009 22:50,5/19/2009 23:37,,1.0.0,spec,,0,0,,,,,,,,,Avro schemas should support enum types.,,,,,,,,4/24/2009 22:19,,,,"8 years, 8 weeks, 1 day ago",,94347,,,Restricted to agents,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79393,,,,,,,,0|i0dxpz:
Avro,AVRO-19,add file include support,New Feature,Closed,Major,Fixed,Doug Cutting,Doug Cutting,Doug Cutting,4/24/2009 20:53,,7/14/2009 23:15,7/14/2009 23:07,,1.0.0,java,,0,0,,,,,,,,,Schemas and protocols stored in files should support inclusion of other schema files.,,,,,,,,,,,,"8 years, 1 day ago",,94348,,,Restricted to agents,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79394,,,,,,,,0|i0dxq7:
Avro,AVRO-20,add a library of standard schemas,New Feature,Open,Major,Unresolved,Unassigned,Doug Cutting,Doug Cutting,4/24/2009 21:04,,3/10/2010 19:15,,,,java,,0,2,,,,,,,AVRO-456,,"We might pre-define some useful records in a reserved namespace (e.g. org.apache.avro.lib), like md5, datetime, etc.",,,,,,,,,,,,"8 years, 11 weeks, 5 days ago",,94349,,,Restricted to agents,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Restricted to agents,,,Restricted to agents,,,,,,79395,,,,,,,,0|i0dxqf:
