method,pattern,space
"org.apache.ivy.osgi.obr.xml.Requirement.Requirement(String, RequirementFilter)",FreqExec,"org.apache.ivy.osgi.obr.xml.Requirement.Requirement(String, RequirementFilter); org.apache.ivy.osgi.obr.xml.OBRXMLParser$RequireHandler.handleAttributes(Attributes); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test6(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test5(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test8(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test2(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test0(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test3(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test4(); org.apache.ivy.osgi.obr.xml.RequirementAdapter_ESTest.test7(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test00(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test01(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test02(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test07(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test08(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test03(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test10(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test04(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test06(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test09(); org.apache.ivy.osgi.obr.xml.Requirement_ESTest.test05()"
"org.apache.ivy.core.module.descriptor.Configuration.Configuration(String, Visibility, String, String[], boolean, String)",FreqExec,"org.apache.ivy.core.module.descriptor.Configuration.Configuration(String, Visibility, String, String[], boolean, String); org.apache.ivy.core.module.descriptor.Configuration.Configuration(String); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser$Parser.confStarted(Attributes); org.apache.ivy.osgi.core.BundleInfoAdapter.requirementAsDependency(DefaultModuleDescriptor, BundleInfo, Set); org.apache.ivy.osgi.core.BundleInfoAdapter.toModuleDescriptor(ModuleDescriptorParser, URI, BundleInfo, ExecutionEnvironmentProfileProvider)"
"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean)",FreqExec,"org.apache.ivy.core.settings.IvySettings.typeDef(String, String, boolean); org.apache.ivy.core.settings.IvySettings.typeDefs(Properties, boolean); org.apache.ivy.core.settings.IvySettings.typeDef(String, String); org.apache.ivy.core.settings.IvySettings_ESTest.test021(); org.apache.ivy.core.settings.IvySettings_ESTest.test057(); org.apache.ivy.core.settings.IvySettings_ESTest.test022()"
"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date)",HotCallee,"org.apache.ivy.plugins.resolver.RepositoryResolver.findDynamicResourceUsingPattern(ResourceMDParser, ModuleRevisionId, String, Artifact, Date); org.apache.ivy.util.Message.debug(String)"
"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter)",FreqExec,"org.apache.ivy.core.cache.DefaultRepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter); org.apache.ivy.plugins.resolver.BasicResolver.cacheModuleDescriptor(ModuleDescriptor, ModuleRevisionId, ResolvedResource, ResolvedModuleRevision)"
org.apache.ivy.util.FileUtil.dissect(String),FreqExec,org.apache.ivy.util.FileUtil.dissect(String); org.apache.ivy.util.FileUtil.normalize(String)
org.apache.ivy.core.settings.IvySettings.getVersionMatcher(),FreqExec,"org.apache.ivy.core.settings.IvySettings.getVersionMatcher(); org.apache.ivy.core.sort.SortEngine.getVersionMatcher(); org.apache.ivy.core.resolve.ResolveEngine.fetchDependencies(VisitNode, String, boolean); org.apache.ivy.core.cache.DefaultRepositoryCacheManager.doFindModuleInCache(ModuleRevisionId, CacheMetadataOptions, String); org.apache.ivy.plugins.resolver.BasicResolver.parse(ResolvedResource, DependencyDescriptor, ResolveData); org.apache.ivy.plugins.resolver.BasicResolver.findResource(ResolvedResource[], ResourceMDParser, ModuleRevisionId, Date); org.apache.ivy.plugins.resolver.RepositoryResolver.findResourceUsingPattern(ModuleRevisionId, String, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.AbstractPatternsBasedResolver.findResourceUsingPatterns(ModuleRevisionId, List, Artifact, ResourceMDParser, Date); org.apache.ivy.plugins.resolver.AbstractResolver.saveModuleRevisionIfNeeded(DependencyDescriptor, ResolvedModuleRevision); org.apache.ivy.plugins.resolver.BasicResolver.checkModuleDescriptorRevision(ModuleDescriptor, ModuleRevisionId); org.apache.ivy.plugins.resolver.BasicResolver.getAndCheckIsDynamic(ModuleRevisionId); org.apache.ivy.core.resolve.IvyNode.loadData(String, IvyNode, String, String, boolean, IvyNodeUsage); org.apache.ivy.plugins.resolver.BasicResolver.shouldReturnResolvedModule(DependencyDescriptor, ResolvedModuleRevision); org.apache.ivy.plugins.latest.LatestRevisionStrategy$ArtifactInfoComparator.compare(Object, Object); org.apache.ivy.plugins.resolver.BasicResolver.checkDescriptorConsistency(ModuleRevisionId, ModuleDescriptor, ResolvedResource); org.apache.ivy.plugins.conflict.LatestConflictManager.resolveConflicts(IvyNode, Collection); org.apache.ivy.ant.IvyRepositoryReport.doExecute(); org.apache.ivy.ant.IvyBuildNumber.doExecute(); org.apache.ivy.osgi.core.OsgiLatestStrategy$ArtifactInfoComparator.compare(ArtifactInfo, ArtifactInfo); org.apache.ivy.plugins.conflict.LatestCompatibleConflictManager.blackListIncompatibleCallerAndRestartResolveIfPossible(IvySettings, IvyNode, IvyNode, IvyNode); org.apache.ivy.plugins.conflict.LatestCompatibleConflictManager.resolveConflicts(IvyNode, Collection); org.apache.ivy.plugins.conflict.StrictConflictManager.resolveConflicts(IvyNode, Collection); org.apache.ivy.plugins.resolver.MockResolver.shouldReturnResolvedModule(DependencyDescriptor, ResolvedModuleRevision); org.apache.ivy.core.repository.RepositoryManagementEngine.getDependency(DependencyDescriptor); org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleDescriptor, ResolveOptions); org.apache.ivy.core.settings.XmlSettingsParserTest.testVersionMatchers2(); org.apache.ivy.core.settings.XmlSettingsParserTest.testVersionMatchers1(); org.apache.ivy.Ivy_ESTest.test55(); org.apache.ivy.core.sort.ModuleDescriptorSorter_ESTest.test1(); org.apache.ivy.core.settings.IvySettings_ESTest.test094(); org.apache.ivy.core.settings.IvySettings_ESTest.test100(); org.apache.ivy.core.settings.IvySettings_ESTest.test013(); org.apache.ivy.core.settings.IvySettings_ESTest.test063(); org.apache.ivy.core.settings.IvySettings_ESTest.test058()"
org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher.newMatcher(String),FreqExec,org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher.newMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String); org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher_ESTest.test1(); org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher_ESTest.test2(); org.apache.ivy.plugins.matcher.ExactOrRegexpPatternMatcher_ESTest.test0()
org.apache.ivy.plugins.matcher.RegexpPatternMatcher.newMatcher(String),FreqExec,org.apache.ivy.plugins.matcher.RegexpPatternMatcher.newMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher_ESTest.test01(); org.apache.ivy.plugins.matcher.RegexpPatternMatcher_ESTest.test1(); org.apache.ivy.plugins.matcher.RegexpPatternMatcher_ESTest.test0(); org.apache.ivy.plugins.matcher.AbstractPatternMatcher_ESTest.test04(); org.apache.ivy.plugins.matcher.RegexpPatternMatcher_ESTest.test2()
"org.apache.ivy.util.Configurator.addChild(ObjectDescriptor, Class, String, Object)",HotCallee,"org.apache.ivy.util.Configurator.addChild(ObjectDescriptor, Class, String, Object); org.apache.ivy.util.Configurator.setCurrent(Object, String)"
org.apache.ivy.plugins.matcher.ExactPatternMatcher.newMatcher(String),FreqExec,org.apache.ivy.plugins.matcher.ExactPatternMatcher.newMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher.getMatcher(String); org.apache.ivy.plugins.matcher.AbstractPatternMatcher_ESTest.test00(); org.apache.ivy.plugins.matcher.ExactPatternMatcher_ESTest.test0()
org.apache.ivy.util.AbstractMessageLogger.warn(String),FreqExec,org.apache.ivy.util.AbstractMessageLogger.warn(String); org.apache.ivy.util.MessageLoggerEngine.warn(String); org.apache.ivy.util.Message.warn(String); org.apache.ivy.util.AbstractMessageLogger_ESTest.test03(); org.apache.ivy.util.MessageLoggerHelper_ESTest.test1(); org.apache.ivy.util.AbstractMessageLogger_ESTest.test15()
"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, File)",HotCallee,"org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, File); org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.write(ModuleDescriptor, String, File)"
