sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
1;org.apache.ivy.core.resolve.ResolvedModuleRevision.getPublicationDate();4;1;2;1;1
2;org.apache.ivy.Ivy14.retrieve(ModuleId, String[], File, String, String, Filter, boolean, boolean);277;0;0;14;48
3;org.apache.ivy.core.cache.RepositoryCacheManager.getName();32;7;6;0;0
4;org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorUpdater.UpdaterHandler.writeInheritedDependencies(ModuleDescriptor);239;16;43;3;6
5;org.apache.ivy.plugins.resolver.IvyRepResolver.updateWholeIvyPattern();9;2;3;1;2
6;org.apache.ivy.plugins.resolver.IvyRepResolver.listModules(OrganisationEntry);18;0;0;3;8
7;org.apache.ivy.core.resolve.IvyNode.getResolvedRevisions(ModuleId, String);199;7;5;16;46
8;org.apache.ivy.osgi.updatesite.xml.EclipseFeature.EclipseFeature(String, Version);21;2;16;2;1
9;org.apache.ivy.plugins.version.Match.split(String);152;12;46;0;0
10;org.apache.ivy.core.cache.RepositoryCacheManager.originalToCachedModuleDescriptor(DependencyResolver, ResolvedResource, Artifact, ResolvedModuleRevision, ModuleDescriptorWriter);178;15;46;0;0
11;org.apache.ivy.plugins.resolver.ChainResolver.commitPublishTransaction();3;0;0;1;2
12;org.apache.ivy.core.settings.IvySettings.setVariable(String, String);772;15;129;2;1
13;org.apache.ivy.plugins.repository.vsftp.VsftpRepository.readResponse(boolean, long);41;6;9;4;6
14;org.apache.ivy.ant.IvyDeliver.setDeliverpattern(String);353;16;64;0;0
15;org.apache.ivy.plugins.lock.LockStrategy.unlockArtifact(Artifact, File);88;10;15;0;0
16;org.apache.ivy.plugins.version.Match.setMatcher(String);1;0;0;0;0
17;org.apache.ivy.osgi.obr.xml.CapabilityAdapter.adapt(BundleInfo, Capability);25;2;1;4;9
18;org.apache.ivy.core.resolve.ResolveEngine.resolve(ModuleRevisionId, ResolveOptions, boolean);649;1;1;13;96
19;org.apache.ivy.osgi.core.BundleInfo.getVersion();260;17;43;0;0
20;org.apache.ivy.core.settings.IvySettings.addClasspathURL(URL);3;2;1;0;0
21;org.apache.ivy.util.DefaultMessageLogger.doProgress();1;0;0;0;0
22;org.apache.ivy.plugins.repository.Resource.clone(String);24;5;7;0;0
23;org.apache.ivy.core.module.descriptor.DefaultArtifact.cloneWithAnotherType(Artifact, String);31;2;1;5;9
24;org.apache.ivy.core.resolve.ResolveOptions.isRefresh();645;14;96;0;0
25;org.apache.ivy.core.event.publish.PublishEvent.getData();1;0;0;0;0
26;org.apache.ivy.core.module.id.ArtifactRevisionId.newInstance(ModuleRevisionId, String, String, String, Map);35;2;10;3;9
27;org.apache.ivy.core.retrieve.RetrieveOptions.setDestIvyPattern(String);692;15;191;0;0
28;org.apache.ivy.core.module.descriptor.ModuleDescriptor.getModuleRevisionId();1589;10;517;0;0
29;org.apache.ivy.util.CopyProgressListener.progress(CopyProgressEvent);6;2;4;0;0
30;org.apache.ivy.Ivy.deliver(ModuleRevisionId, String, String);243;0;0;15;55
31;org.apache.ivy.osgi.obr.xml.OBRXMLParser.RepositoryHandler.RepositoryHandler.(Anon_1).childHanlded(DelegetingHandler);257;0;0;18;43
32;org.apache.ivy.util.MessageLoggerEngine.peekLogger();32;3;15;2;1
33;org.apache.ivy.plugins.resolver.BasicResolver.findArtifactRef(Artifact, Date);23;5;12;0;0
34;org.apache.ivy.osgi.p2.PropertiesParser.PropertyHandler.handleAttributes(Attributes);1;0;0;0;0
35;org.apache.ivy.core.resolve.VisitNode.getResolvedId();461;13;91;2;4
36;org.apache.ivy.core.resolve.IvyNode.getDescriptor();777;13;153;0;0
37;org.apache.ivy.plugins.repository.vsftp.VsftpRepository.dirExists(String);46;2;1;8;14
38;org.apache.ivy.core.report.ArtifactDownloadReport.getArtifactOrigin();448;14;108;0;0
39;org.apache.ivy.plugins.conflict.LatestConflictManager.toString();1;0;0;0;0
40;org.apache.ivy.osgi.obr.xml.OBRXMLParser.ResourceHandler.ResourceHandler.(Anon_3).childHanlded(DelegetingHandler);3;0;0;1;2
41;org.apache.ivy.osgi.p2.P2MetadataParser.namespace2Type(String);19;5;6;0;0
42;org.apache.ivy.plugins.parser.m2.PomDependencyMgt.getExcludedModules();378;12;95;0;0
43;org.apache.ivy.ant.AntCallTrigger.setPrefix(String);1;0;0;0;0
44;org.apache.ivy.Ivy14.resolve(URL, String, String[], File, Date, boolean, boolean, boolean, boolean, Filter);646;0;0;15;99
45;org.apache.ivy.plugins.repository.vsftp.VsftpRepository.mkdirs(String);182;12;43;8;14
46;org.apache.ivy.osgi.p2.P2MetadataParser.RepositoryHandler.RepositoryHandler(P2Descriptor);24;1;1;5;7
47;org.apache.ivy.ant.IvyPostResolveTask.getBranch();122;9;33;0;0
48;org.apache.ivy.plugins.repository.vsftp.VsftpRepository.get.(Anon_1).run();47;0;0;8;16
49;org.apache.ivy.plugins.parser.ParserSettings.substitute(String);20;5;6;0;0
50;org.apache.ivy.plugins.resolver.AbstractResolver.getChangingMatcherName();40;7;16;0;0
51;org.apache.ivy.core.retrieve.RetrieveOptions.getMapper();72;5;30;0;0
52;org.apache.ivy.core.settings.IvySettings.setBaseDir(File);174;8;60;2;2
53;org.apache.ivy.core.report.ResolveReport.getUnresolvedDependencies();257;15;45;2;2
54;org.apache.ivy.ant.IvyArtifactReport.writeCacheLocationIfPresent(RepositoryCacheManager, TransformerHandler, ArtifactDownloadReport);227;21;46;1;1
55;org.apache.ivy.osgi.core.ExecutionEnvironmentProfileProvider.ExecutionEnvironmentProfileProvider();397;18;59;6;5
56;org.apache.ivy.plugins.latest.LatestLexicographicStrategy.LatestLexicographicStrategy();66;5;26;1;2
57;org.apache.ivy.core.settings.IvySettings.setSettingsVariables(URL);74;6;20;4;5
58;org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy.ErrorCircularDependencyStrategy();2;0;0;1;1
59;org.apache.ivy.plugins.conflict.NoConflictManager.NoConflictManager();644;13;103;1;1
60;org.apache.ivy.plugins.resolver.packager.PackagerCacheEntry.getBuiltArtifact(Artifact);277;17;43;6;9
61;org.apache.ivy.plugins.resolver.DualResolver.add(DependencyResolver);1;0;0;0;0
62;org.apache.ivy.core.event.IvyListener.progress(IvyEvent);4;2;2;0;0
63;org.apache.ivy.osgi.util.DelegetingHandler.startElement(String, String, String, Attributes);29;1;2;7;6
64;org.apache.ivy.plugins.version.Match.getArgs();152;12;46;0;0
65;org.apache.ivy.osgi.p2.P2MetadataParser.ProvidesHandler.handleAttributes(Attributes);1;0;0;0;0
66;org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.getAttribute(String);8;3;4;1;1
67;org.apache.ivy.util.url.ApacheURLLister.listAll(URL);19;1;2;5;6
68;org.apache.ivy.plugins.resolver.AbstractResolver.getTypeName();15;5;5;0;0
69;org.apache.ivy.core.settings.XmlSettingsParser.endDocument();27;0;0;4;12
70;org.apache.ivy.core.module.descriptor.DependencyDescriptor.getDependencyId();291;15;43;0;0
71;org.apache.ivy.core.resolve.ResolveData.blacklist(IvyNode);45;7;9;2;8
72;org.apache.ivy.plugins.parser.xml.UpdateOptions.setResolvedRevisions(Map);240;15;46;0;0
73;org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor.setIncludeRules(Map);23;3;19;0;0
74;org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.check();79;8;15;9;6
75;org.apache.ivy.plugins.namespace.MRIDRule.getModule();181;15;46;0;0
76;org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor.getConfigurations();208;19;46;0;0
77;org.apache.ivy.core.settings.IvySettings.getDefaultRepositoryCacheManager();34;0;0;6;8
78;org.apache.ivy.core.event.IvyEvent.addMDAttributes(ModuleDescriptor);158;13;47;3;8
79;org.apache.ivy.osgi.util.DelegetingHandler.getBufferedChars();41;7;10;0;0
80;org.apache.ivy.plugins.resolver.BasicResolver.check(Resource, File, String);28;3;2;4;8
81;org.apache.ivy.osgi.repo.FSManifestIterable.listDirs(Object);1;0;0;0;0
82;org.apache.ivy.util.Credentials.getUserName();191;15;42;0;0
83;org.apache.ivy.core.resolve.IvyNode.getAllEvictingNodes();3;0;0;2;1
84;org.apache.ivy.ant.IvyDeliver.setConf(String);353;16;64;0;0
85;org.apache.ivy.plugins.resolver.ChainResolver.getResolvers();8;3;4;0;0
86;org.apache.ivy.osgi.util.VersionRange.getEndVersion();7;3;4;0;0
87;org.apache.ivy.util.CopyProgressEvent.CopyProgressEvent();6;2;4;0;0
88;org.apache.ivy.plugins.conflict.RegexpConflictManager.matchEquals(IvyNode, IvyNode);28;4;2;6;6
89;org.apache.ivy.plugins.repository.BasicResource.toString();2;0;0;1;1
90;org.apache.ivy.util.MessageLogger.debug(String);13;4;5;0;0
91;org.apache.ivy.util.DefaultMessageLogger.doEndProgress(String);1;0;0;0;0
