id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
1,"org.apache.pdfbox.filter.LZWFilter.calculateChunk(int, int)",6,2,3,0,0
2,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolygon.initVertices(Element),86,7,36,4,4
3,"org.apache.pdfbox.examples.signature.CreateSignature.signDetached(File, File, TSAClient)",288,4,4,15,62
4,"org.apache.pdfbox.pdmodel.graphics.image.CCITTFactory.createFromImage(PDDocument, BufferedImage)",56,0,0,9,12
5,"org.apache.pdfbox.printing.PDFPrintable.PDFPrintable(PDDocument, Scaling, boolean, float, boolean)",3,1,1,1,1
6,org.apache.pdfbox.debugger.ui.DocumentEntry.getPage(int),52,2,13,6,12
7,org.apache.pdfbox.debugger.ui.MapEntry.setValue(COSBase),58,8,21,0,0
8,org.apache.pdfbox.debugger.hexviewer.AddressPane.AddressPane(int),13,3,9,0,0
9,"org.apache.pdfbox.pdmodel.graphics.color.PDColor.PDColor(float[], PDColorSpace)",690,16,132,0,0
10,org.apache.pdfbox.text.PDFTextStripper.endDocument(PDDocument),324,12,75,0,0
11,org.apache.pdfbox.pdmodel.fdf.FDFDictionary.getDifferences(),3,0,0,2,1
12,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Div.execute(ExecutionContext),3,0,0,1,2
13,org.apache.pdfbox.pdmodel.common.PDPageLabels.getCOSObject(),5,0,0,2,3
14,org.apache.pdfbox.pdmodel.graphics.state.PDGraphicsState.setNonStrokingOverprint(boolean),219,12,47,0,0
15,"org.apache.pdfbox.preflight.process.CatalogValidationProcess.validateICCProfileNEntry(COSStream, PreflightContext, ICC_Profile)",61,8,13,4,6
16,"org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject.setArrayOfName(String, String[])",31,1,2,7,7
17,org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream(),93,8,29,5,8
18,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setReason(String),540,15,117,3,3
19,org.apache.pdfbox.text.TextPosition.getYDirAdj(),120,5,49,2,6
20,"org.apache.pdfbox.pdmodel.PDPageContentStream.setNonStrokingColor(int, int, int, int)",11,0,0,4,4
21,org.apache.pdfbox.pdmodel.PDPageContentStream.writeOperand(float),66,6,24,2,2
22,org.apache.pdfbox.rendering.Type1Glyph2D.getPathForCharacterCode(int),6,0,0,1,5
23,org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField.PDSignatureField(PDAcroForm),192,7,43,8,10
24,org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType5.toPaint(Matrix),2,0,0,1,1
25,"org.apache.pdfbox.preflight.annotation.LineAnnotationValidator.LineAnnotationValidator(PreflightContext, COSDictionary)",9,0,0,5,3
26,org.apache.pdfbox.tools.ExportXFDF.usage(),328,16,62,0,0
27,"org.apache.pdfbox.pdmodel.PDDocument.load(File, String, InputStream, String)",304,5,14,13,62
28,"org.apache.pdfbox.debugger.ui.OSXAdapter.invoke(Object, Method, Object[])",4,0,0,1,3
29,org.apache.pdfbox.cos.COSName.COSName(String),2,0,0,1,1
30,"org.apache.pdfbox.pdmodel.graphics.shading.ShadedTriangle.overlaps(Point2D, Point2D)",8,3,4,0,0
31,org.apache.pdfbox.pdmodel.PDDocumentCatalog.getViewerPreferences(),137,10,32,2,2
32,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createInnerFormResource(),112,10,51,0,0
33,org.apache.pdfbox.pdmodel.common.PDNameTreeNode.setNames(Map),191,10,36,4,11
34,org.apache.pdfbox.pdfparser.COSParser.setLenient(boolean),28,6,11,0,0
35,org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.getGlyphList(),94,10,23,1,1
36,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getAutomaticStrokeAdjustment(),219,12,47,5,2
37,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup.getIntent(),8,0,0,3,3
38,org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead.setNextBead(PDThreadBead),19,5,4,4,3
39,org.apache.pdfbox.preflight.font.Type0FontValidator.validate(),119,0,0,10,30
40,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.setClassNames(Revisions),16,0,0,2,10
41,org.apache.pdfbox.preflight.action.UndefAction.innerValid(),10,0,0,3,4
42,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFontFile(),139,10,31,2,2
43,"org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createAppearanceDictionary(PDFormXObject, PDSignatureField)",112,10,51,0,0
44,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup.execute(ExecutionContext),2,0,0,1,1
45,org.apache.pdfbox.pdfparser.COSParser.bfSearchForXRefTables(),17,4,4,2,6
46,"org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane.FlagBitsPane(COSDictionary, COSName)",28,3,4,4,12
47,org.apache.pdfbox.debugger.ui.DocumentEntry.indexOf(PageEntry),13,3,8,1,1
48,org.apache.pdfbox.text.PDFMarkedContentExtractor.PDFMarkedContentExtractor(String),5,1,1,2,2
49,"org.apache.pdfbox.pdmodel.graphics.shading.Patch.overlaps(Point2D, Point2D)",9,4,5,0,0
50,org.apache.pdfbox.filter.CCITTFaxDecoderStream.decode1D(),9,3,2,2,2
51,org.apache.pdfbox.tools.PDFText2HTML.FontState.openTag(String),5,3,2,0,0
52,org.apache.pdfbox.pdfwriter.COSWriter.getStartxref(),118,8,43,0,0
53,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolygon.getInteriorColor(),7,0,0,2,4
54,org.apache.pdfbox.debugger.fontencodingpane.Type3Font.getEncodingName(PDSimpleFont),24,5,7,1,1
55,org.apache.pdfbox.pdmodel.graphics.form.PDTransparencyGroupAttributes.getColorSpace(),144,0,0,13,29
56,org.apache.pdfbox.cos.PDFDocEncoding.getBytes(String),3,2,1,0,0
57,org.apache.pdfbox.pdmodel.PDPageContentStream.fillEvenOdd(),4,2,1,1,1
58,org.apache.pdfbox.multipdf.PDFMergerUtility.setDestinationMetadata(PDMetadata),544,16,98,0,0
59,org.apache.pdfbox.preflight.font.container.CIDType0Container.hasGlyph(int),4,0,0,3,1
60,org.apache.pdfbox.printing.PDFPrintable.PDFPrintable(PDDocument),33,7,10,4,1
61,"org.apache.pdfbox.debugger.ui.ExtensionFileFilter.ExtensionFileFilter(String[], String)",318,17,60,0,0
62,org.apache.pdfbox.pdmodel.fdf.FDFDocument.load(String),332,10,26,12,56
63,org.apache.pdfbox.debugger.ui.Tree.addPopupMenuItems(TreePath),25,1,1,4,9
64,"org.apache.pdfbox.multipdf.PDFCloneUtility.cloneMerge(COSObjectable, COSObjectable)",304,8,82,6,15
65,org.apache.pdfbox.debugger.ui.ErrorDialog.createContent.(Anon_2).actionPerformed(ActionEvent),4,0,0,3,1
66,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDFourColours.getBeforeColour(),5,0,0,3,2
67,org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitWidthDestination.setFitBoundingBox(boolean),9,0,0,3,3
68,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.isNoRotate(),34,6,11,6,2
69,org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceDictionary.getDownAppearance(),5,0,0,2,3
70,org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.hideToolbar(),7,0,0,5,2
71,org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setSubFilter(COSName),540,15,118,2,1
72,"org.apache.pdfbox.pdmodel.ResourceCache.put(COSObject, PDXObject)",61,11,14,0,0
73,"org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace.create(COSBase, PDResources, boolean)",141,0,0,10,30
74,org.apache.pdfbox.pdfparser.BaseParser.isCR(int),7,2,4,0,0
75,org.apache.pdfbox.pdmodel.interactive.action.PDPageAdditionalActions.setC(PDAction),8,0,0,4,3
76,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getSignatureField(),112,10,51,0,0
77,org.apache.pdfbox.rendering.PageDrawer.getPaint(PDColor),279,13,16,10,34
78,"org.apache.pdfbox.cos.COSDictionary.getLong(COSName, long)",14,3,4,2,2
79,org.apache.pdfbox.pdmodel.PDPage.getActions(),7,0,0,2,4
80,org.apache.pdfbox.pdmodel.encryption.PublicKeyRecipient.setX509(X509Certificate),306,16,61,0,0
81,org.apache.pdfbox.pdmodel.interactive.form.PDButton.getExportValues(),57,6,15,3,7
82,org.apache.pdfbox.pdmodel.interactive.action.PDActionURI.setTrackMousePosition(boolean),7,0,0,3,3
83,"org.apache.pdfbox.preflight.process.reflect.ExtGStateValidationProcess.extractExtGStateDictionaries(PreflightContext, COSDictionary)",216,13,39,4,8
84,org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile.getCheckSum(),13,0,0,6,3
85,org.apache.pdfbox.pdfparser.BaseParser.isWhitespace(int),96,9,20,0,0
86,org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitRectangleDestination.PDPageFitRectangleDestination(COSArray),13,3,9,1,1
87,org.apache.pdfbox.pdmodel.graphics.shading.PDShading.getBBox(),155,15,29,3,4
88,org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.extractCmapTable(),28,12,6,0,0
89,org.apache.pdfbox.cos.COSObjectKey.COSObjectKey(COSObject),360,12,81,1,3
90,org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification.getFile(),11,2,4,3,2
91,org.apache.pdfbox.preflight.font.Type3FontValidator.checkFontMatrix(),358,12,55,4,12
92,org.apache.pdfbox.pdmodel.font.PDCIDFont.codeToGID(int),17,7,4,0,0
93,org.apache.pdfbox.pdmodel.common.PDStream.PDStream(COSStream),454,15,68,0,0
94,org.apache.pdfbox.pdmodel.fdf.FDFField.setSetWidgetFieldFlags(int),6,0,0,3,2
95,org.apache.pdfbox.preflight.font.CIDType0FontValidator.checkCIDToGIDMap(COSBase),48,0,0,8,17
96,org.apache.pdfbox.pdmodel.PDPageTree.getKids(COSDictionary),16,4,3,2,3
97,org.apache.pdfbox.tools.ExportXFDF.main(String[]),330,0,0,16,62
98,org.apache.pdfbox.pdmodel.font.PDType0Font.toUnicode(int),23,3,6,5,3
99,org.apache.pdfbox.debugger.colorpane.CSDeviceN.getColorantData(),155,13,27,3,8
100,org.apache.pdfbox.pdmodel.common.PDStream.addCompression(),47,0,0,6,15
101,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Pop.execute(ExecutionContext),2,0,0,1,1
102,org.apache.pdfbox.debugger.colorpane.CSIndexed.getPanel(),184,14,33,0,0
103,org.apache.pdfbox.pdmodel.PDPageContentStream.write(String),182,15,28,0,0
104,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNProcess.PDDeviceNProcess(),2,0,0,1,1
105,org.apache.pdfbox.pdfparser.RandomAccessSource.unread(byte[]),2,0,0,1,1
106,org.apache.pdfbox.multipdf.PDFMergerUtility.addSource(InputStream),1,0,0,0,0
107,"org.apache.pdfbox.pdmodel.common.PDStream.PDStream(PDDocument, InputStream, COSArray)",41,0,0,7,10
108,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDDefaultAttributeObject.toString(),17,0,0,5,6
109,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolyline.setEndPointEndingStyle(String),18,5,2,2,6
110,"org.apache.pdfbox.examples.signature.CMSProcessableInputStream.CMSProcessableInputStream(ASN1ObjectIdentifier, InputStream)",2,1,1,0,0
111,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.setNonStrokingAlphaConstant(Float),4,0,0,2,2
112,org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.getPage(),240,10,60,2,3
113,org.apache.pdfbox.pdmodel.common.PDStream.getFilters(),83,7,24,3,5
114,"org.apache.pdfbox.pdmodel.graphics.shading.AxialShadingContext.getRaster(int, int, int, int)",5,0,0,2,3
115,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN.PDDeviceN(COSArray),155,5,7,11,28
116,org.apache.pdfbox.pdfparser.COSParser.getDocument(),295,13,66,0,0
117,org.apache.pdfbox.tools.Decrypt.main(String[]),1247,13,191,15,62
118,org.apache.pdfbox.io.ScratchFile.ScratchFile(File),13,0,0,3,8
119,org.apache.pdfbox.preflight.font.util.GlyphDetail.throwExceptionIfNotValid(),2,1,1,0,0
120,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateStructure.getImageFormStream(),132,10,54,0,0
121,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolyline.getStartPointEndingStyle(),7,0,0,3,2
122,org.apache.pdfbox.preflight.graphic.NoPatternColorSpaceHelper.processPatternColorSpace(PDColorSpace),10,0,0,3,4
123,org.apache.pdfbox.examples.rendering.CustomGraphicsStreamEngine.drawImage(PDImage),1,0,0,0,0
124,org.apache.pdfbox.preflight.annotation.AnnotationValidator.checkFlags(),130,12,24,5,8
125,"org.apache.pdfbox.preflight.process.reflect.TilingPatternValidationProcess.checkMandatoryFields(PreflightContext, PDPage, PDTilingPattern)",180,11,45,3,4
126,"org.apache.pdfbox.pdmodel.PDResources.add(PDXObject, String)",85,6,21,4,7
127,org.apache.pdfbox.io.ScratchFileBuffer.finalize(),3,0,0,2,1
128,org.apache.pdfbox.cos.COSArray.retainAll(Collection),7,4,2,0,0
129,org.apache.pdfbox.preflight.content.StubOperator.checkNoOperands(List),19,4,7,3,2
130,"org.apache.pdfbox.pdfparser.COSParser.checkObjectKeys(COSObjectKey, long)",21,4,8,1,5
131,org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus.getZ(),6,2,2,1,2
132,org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.setRegistryName(String),266,10,49,3,3
