method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),1,1252,9,392,13,3,335,3,0,7905,2314,8140652,0.9230769230769231,96.38461538461539,0.32142857142857145,0.9824561403508771,0.03875968992248062,0.047619047619047616,1.0,0.037037037037037035,1e-13,0.10888729717072096,0.6590714896041014,0.8084924044041634,6.589688996473889
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.PDOutlineItem(COSDictionary),0,274,8,80,4,1,7,2,0,3116,2242,8006007,1.0,21.153846153846153,0.2857142857142857,0.20050125313283207,0.003875968992248062,1e-13,0.020895522388059702,0.024691358024691357,1e-13,0.04292129259759222,0.6385645115351751,0.7951200758531669,1.3978816273853194
org.apache.pdfbox.io.PushBackInputStream.read(),0,221,7,88,9,2,28,3,0,8377,2255,10068928,1.0,17.076923076923077,0.25,0.22055137844611528,0.023255813953488372,0.023809523809523808,0.08358208955223881,0.037037037037037035,1e-13,0.1153888536874294,0.6422671603531758,1.0,1.375105114007912
"org.apache.pdfbox.util.PDFStreamEngine.processStream(PDPage, PDResources, COSStream)",7,354,17,94,9,1,11,7,0,72142,0,41,0.46153846153846156,27.307692307692307,0.6071428571428571,0.23558897243107768,0.023255813953488372,1e-13,0.03283582089552239,0.08641975308641975,1e-13,0.9937188352296207,1e-13,3.97261793635012e-06,1.198932797615078
"org.apache.pdfbox.util.PDFStreamEngine.processSubStream(PDPage, PDResources, COSStream)",4,275,17,70,20,2,13,5,0,72135,0,71,0.6923076923076923,21.23076923076923,0.6071428571428571,0.17543859649122806,0.06589147286821706,0.023809523809523808,0.03880597014925373,0.06172839506172839,1e-13,0.9936224138406017,1e-13,6.9520813886127095e-06,0.9590655751761723
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineItem.getNextSibling(),3,126,9,34,10,2,8,3,0,14410,3511,8005996,0.7692307692307692,9.76923076923077,0.32142857142857145,0.08521303258145363,0.027131782945736434,0.023809523809523808,0.023880597014925373,0.037037037037037035,1e-13,0.19849031653764568,1.0,0.7951189833832344,0.9203633696400889
org.apache.pdfbox.io.PushBackInputStream.peek(),1,253,9,90,9,2,23,3,0,8146,1449,4311769,0.9230769230769231,19.53846153846154,0.32142857142857145,0.22556390977443608,0.023255813953488372,0.023809523809523808,0.06865671641791045,0.037037037037037035,1e-13,0.11220694784980302,0.4127029336371404,0.4282251723545121,0.8496078787567967
"org.apache.pdfbox.util.PDFStreamEngine.processOperator(PDFOperator, List<COSBase>)",1,261,13,56,25,4,11,8,0,53691,53,162293,0.9230769230769231,20.153846153846153,0.4642857142857143,0.14035087719298245,0.08527131782945736,0.07142857142857142,0.03283582089552239,0.09876543209876543,1e-13,0.7395658282597317,0.015095414411848477,0.01611810275315334,0.7251508796001592
org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDOutlineNode.appendChild(PDOutlineItem),7,301,12,86,34,5,3,11,1,15790,1379,6,0.46153846153846156,23.23076923076923,0.42857142857142855,0.21553884711779447,0.12015503875968993,0.09523809523809523,0.008955223880597015,0.13580246913580246,0.012345679012345678,0.21749910465853053,0.3927655938479066,4.96577242043765e-07,0.6560691863892193
org.apache.pdfbox.io.PushBackInputStream.unread(int),0,196,7,82,5,1,19,2,0,2897,1144,5475778,1.0,15.153846153846153,0.25,0.20551378446115287,0.007751937984496124,1e-13,0.056716417910447764,0.024691358024691357,1e-13,0.039904680569712664,0.32583309598405014,0.5438292481413363,0.6383878922743231
"org.apache.pdfbox.pdmodel.PDPage.convertToImage(int, int)",9,157,17,42,59,8,7,21,0,72598,0,53,0.3076923076923077,12.153846153846153,0.6071428571428571,0.10526315789473684,0.21705426356589147,0.16666666666666666,0.020895522388059702,0.25925925925925924,1e-13,1.0,1e-13,5.164403317255155e-06,0.6153047591938281
org.apache.pdfbox.pdfparser.PDFStreamParser.parseNextToken(),5,101,8,40,190,40,7,35,3,21990,2126,681361,0.6153846153846154,7.846153846153846,0.2857142857142857,0.10025062656641603,0.7248062015503876,0.9285714285714286,0.020895522388059702,0.43209876543209874,0.037037037037037035,0.30290090636105677,0.6055254913130163,0.06766957392778794,0.5741747455778494
