method,pattern,space,score,target,issue
org.apache.cxf.bus.spring.SpringBusFactory.SpringBusFactory(),,org.apache.cxf.bus.spring.SpringBusFactory.SpringBusFactory(),0.8852727393045439,,
org.apache.cxf.message.MessageImpl.MessageImpl(),FreqExec,"org.apache.cxf.message.MessageImpl.MessageImpl(), org.apache.cxf.transport.http.HTTPConduit.getClient()",0.7768865346120459,org.apache.cxf.transport.http.HTTPConduit.getClient(),CXF-6227
"org.apache.cxf.jaxrs.utils.JAXRSUtils.findTargetMethod(Map<ClassResourceInfo, MultivaluedMap>, Message, String, MultivaluedMap<String, String>, String, List<MediaType>, boolean)",,"org.apache.cxf.jaxrs.utils.JAXRSUtils.findTargetMethod(Map<ClassResourceInfo, MultivaluedMap>, Message, String, MultivaluedMap<String, String>, String, List<MediaType>, boolean)",0.7589339776295883,"org.apache.cxf.jaxrs.utils.JAXRSUtils.findTargetMethod(Map<ClassResourceInfo, MultivaluedMap>, Message, String, MultivaluedMap<String, String>, String, List<MediaType>, boolean)",CXF-3324
org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage),,org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage),0.7553466241292102,"org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage), org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage), org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage), org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(SoapMessage)","CXF-6867, CXF-5891, CXF-4557, CXF-3366"
org.apache.cxf.message.ExchangeImpl.ExchangeImpl(),,org.apache.cxf.message.ExchangeImpl.ExchangeImpl(),0.7533135641164471,,
org.apache.cxf.frontend.ClientProxy.getClient(Object),,org.apache.cxf.frontend.ClientProxy.getClient(Object),0.731134912202338,,
org.apache.cxf.BusFactory.setThreadDefaultBus(Bus),,org.apache.cxf.BusFactory.setThreadDefaultBus(Bus),0.7238209527264797,,
org.apache.cxf.common.i18n.Message.toString(),HotCallee,org.apache.cxf.common.i18n.Message.toString(),0.701346023794266,,
org.apache.cxf.interceptor.LoggingInInterceptor.LoggingInInterceptor(),,org.apache.cxf.interceptor.LoggingInInterceptor.LoggingInInterceptor(),0.6833708466542894,,
org.apache.cxf.interceptor.LoggingOutInterceptor.LoggingOutInterceptor(),,org.apache.cxf.interceptor.LoggingOutInterceptor.LoggingOutInterceptor(),0.6794737716417624,,
org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.processWsdl(),,org.apache.cxf.tools.wsdlto.WSDLToJavaContainer.processWsdl(),0.6684850809829976,,
"org.apache.cxf.common.i18n.Message.Message(String, Logger, Object...)",,"org.apache.cxf.common.i18n.Message.Message(String, Logger, Object...)",0.6600495875752498,,
org.apache.cxf.jaxrs.JAXRSServerFactoryBean.create(),,org.apache.cxf.jaxrs.JAXRSServerFactoryBean.create(),0.6557111737940239,,
org.apache.cxf.tools.common.ClassUtils.compile(ToolContext),HotCallee,org.apache.cxf.tools.common.ClassUtils.compile(ToolContext),0.6545840587273088,,
"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.getSchemaCollection(ResourceTypes, JAXBContext)",,"org.apache.cxf.jaxrs.model.wadl.WadlGenerator.getSchemaCollection(ResourceTypes, JAXBContext)",0.653318753412046,,
"org.apache.cxf.jaxrs.utils.InjectionUtils.handleBean(Class<?>, Annotation[], MultivaluedMap<String, String>, ParameterType, Message, boolean)",,"org.apache.cxf.jaxrs.utils.InjectionUtils.handleBean(Class<?>, Annotation[], MultivaluedMap<String, String>, ParameterType, Message, boolean)",0.6514724383274118,,
"org.apache.cxf.aegis.type.basic.ArrayType.writeObject(Object, MessageWriter, Context, QName)",,"org.apache.cxf.aegis.type.basic.ArrayType.writeObject(Object, MessageWriter, Context, QName)",0.6398258447214753,"org.apache.cxf.aegis.type.basic.ArrayType.writeObject(Object, MessageWriter, Context, QName)",MyIssue-120
"org.apache.cxf.jaxrs.provider.json.JSONProvider.readFrom(Class<T>, Type, Annotation[], MediaType, MultivaluedMap<String, String>, InputStream)",,"org.apache.cxf.jaxrs.provider.json.JSONProvider.readFrom(Class<T>, Type, Annotation[], MediaType, MultivaluedMap<String, String>, InputStream)",0.6255816648007042,"org.apache.cxf.jaxrs.provider.json.JSONProvider.readFrom(Class<T>, Type, Annotation[], MediaType, MultivaluedMap<String, String>, InputStream)",CXF-4557
org.apache.cxf.BusFactory.getDefaultBus(),HotCallee,"org.apache.cxf.BusFactory.getDefaultBus(), org.apache.cxf.BusFactory.getDefaultBus(boolean)",0.6205124244774796,,
org.apache.cxf.service.model.EndpointInfo.setAddress(String),,org.apache.cxf.service.model.EndpointInfo.setAddress(String),0.616351322119544,,
org.apache.cxf.BusFactory.setDefaultBus(Bus),FreqExec,"org.apache.cxf.BusFactory.setDefaultBus(Bus), org.apache.cxf.bus.extension.ExtensionManagerBus.shutdown(boolean)",0.6141331715813247,,
"org.apache.cxf.tools.corba.processors.idl.PortTypeVisitor.visitInterfaceInheritanceSpec(AST, Binding, Scope)",,"org.apache.cxf.tools.corba.processors.idl.PortTypeVisitor.visitInterfaceInheritanceSpec(AST, Binding, Scope)",0.6106884453736732,,
org.apache.cxf.bus.spring.SpringBusFactory.createBus(String),HotCallee,"org.apache.cxf.bus.spring.SpringBusFactory.createBus(String), org.apache.cxf.bus.spring.SpringBusFactory.createBus(String, boolean)",0.6105349993329668,,
"org.apache.cxf.service.model.AbstractPropertiesHolder.setProperty(String, Object)",,"org.apache.cxf.service.model.AbstractPropertiesHolder.setProperty(String, Object)",0.6103607130558869,,
"org.apache.cxf.aegis.util.jdom.StaxBuilder.buildTree(JDOMFactory, XMLStreamReader, Document)",,"org.apache.cxf.aegis.util.jdom.StaxBuilder.buildTree(JDOMFactory, XMLStreamReader, Document)",0.6076002194648654,,
org.apache.cxf.io.CachedOutputStream.getInputStream(),,org.apache.cxf.io.CachedOutputStream.getInputStream(),0.6058881098452208,,
org.apache.cxf.ws.rm.RMManager.getReliableEndpoint(Message),,org.apache.cxf.ws.rm.RMManager.getReliableEndpoint(Message),0.604528459605119,,
"org.apache.cxf.staxutils.StaxUtils.writeNode(Node, XMLStreamWriter, boolean)",FreqExec,"org.apache.cxf.staxutils.StaxUtils.writeNode(Node, XMLStreamWriter, boolean), org.apache.cxf.staxutils.StaxUtils.writeElement(Element, XMLStreamWriter, boolean, boolean)",0.5992244735003487,,
org.apache.cxf.bus.spring.SpringBusFactory.createBus(),HotCallee,"org.apache.cxf.bus.spring.SpringBusFactory.createBus(), org.apache.cxf.bus.spring.SpringBusFactory.createBus(String)",0.5965458055383231,,
org.apache.cxf.management.jmx.export.runtime.ModelMBeanAssembler.getModelMbeanInfo(Class<?>),HotCallee,org.apache.cxf.management.jmx.export.runtime.ModelMBeanAssembler.getModelMbeanInfo(Class<?>),0.5937946592697342,,
org.apache.cxf.service.model.AbstractPropertiesHolder.getProperty(String),,org.apache.cxf.service.model.AbstractPropertiesHolder.getProperty(String),0.5930230691063837,,
"org.apache.cxf.tools.common.ToolContext.put(String, Object)",,"org.apache.cxf.tools.common.ToolContext.put(String, Object)",0.5919607081090759,,
org.apache.cxf.frontend.ClientProxyFactoryBean.setAddress(String),,org.apache.cxf.frontend.ClientProxyFactoryBean.setAddress(String),0.5900152105020938,,
org.apache.cxf.wsdl.interceptors.DocLiteralInInterceptor.handleMessage(Message),HotExec,"org.apache.cxf.wsdl.interceptors.DocLiteralInInterceptor.handleMessage(Message), org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(Message)",0.5866324559428654,org.apache.cxf.wsdl.interceptors.DocLiteralInInterceptor.handleMessage(Message),CXF-6227
org.apache.cxf.helpers.IOUtils.readStringFromStream(InputStream),,org.apache.cxf.helpers.IOUtils.readStringFromStream(InputStream),0.5849083299171386,,
"org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl.mediate(Message, boolean)",,"org.apache.cxf.ws.addressing.impl.MAPAggregatorImpl.mediate(Message, boolean)",0.5835189513325458,,
org.apache.cxf.service.model.EndpointInfo.EndpointInfo(),,org.apache.cxf.service.model.EndpointInfo.EndpointInfo(),0.5830356358008896,,
