org.apache.avro.Protocol.parse(File),['org.apache.avro.Protocol.parse(File)'],org.apache.avro.Protocol.parse(File)
"org.apache.avro.ipc.generic.GenericRequestor.request(String, Object)","['org.apache.avro.ipc.generic.GenericRequestor.request(String, Object)']","org.apache.avro.ipc.generic.GenericRequestor.request(String, Object)"
"org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)","['org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)']","org.apache.avro.tool.Util.jsonToGenericDatum(Schema, String)"
"org.apache.avro.ipc.generic.GenericRequestor.GenericRequestor(Protocol, Transceiver)","['org.apache.avro.ipc.generic.GenericRequestor.GenericRequestor(Protocol, Transceiver)']","org.apache.avro.ipc.generic.GenericRequestor.GenericRequestor(Protocol, Transceiver)"
"org.apache.avro.tool.RpcSendTool.run(InputStream, PrintStream, PrintStream, List<String>)","['org.apache.avro.tool.RpcSendTool.run(InputStream, PrintStream, PrintStream, List<String>)']","org.apache.avro.tool.RpcSendTool.run(InputStream, PrintStream, PrintStream, List<String>)"
"org.apache.avro.tool.RpcSendTool.dumpJson(PrintStream, Schema, Object)","['org.apache.avro.tool.RpcSendTool.dumpJson(PrintStream, Schema, Object)']","org.apache.avro.tool.RpcSendTool.dumpJson(PrintStream, Schema, Object)"
org.apache.avro.ipc.Ipc.createTransceiver(URI),['org.apache.avro.ipc.Ipc.createTransceiver(URI)'],org.apache.avro.ipc.Ipc.createTransceiver(URI)
org.apache.avro.AvroRuntimeException.AvroRuntimeException(String),['org.apache.avro.AvroRuntimeException.AvroRuntimeException(String)'],org.apache.avro.AvroRuntimeException.AvroRuntimeException(String)
org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema),['org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema)'],org.apache.avro.generic.GenericDatumReader.GenericDatumReader(Schema)
org.apache.avro.util.Utf8.toString(),['org.apache.avro.util.Utf8.toString()'],org.apache.avro.util.Utf8.toString()
org.apache.avro.ipc.Transceiver.close(),['org.apache.avro.ipc.Transceiver.close()'],org.apache.avro.ipc.Transceiver.close()
org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema),['org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema)'],org.apache.avro.generic.GenericDatumWriter.GenericDatumWriter(Schema)
"org.apache.avro.generic.GenericDatumReader.read(D, Decoder)","['org.apache.avro.generic.GenericDatumReader.read(D, Decoder)', 'org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)', 'org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)', 'org.apache.avro.protobuf.ProtobufData.newRecord(Object, Schema)', 'org.apache.avro.data.RecordBuilderBase.getDefaultValue(Field)', 'org.apache.avro.file.DataFileStream.next(D)']","org.apache.avro.generic.GenericDatumReader.read(D, Decoder)"
"org.apache.avro.io.EncoderFactory.binaryEncoder(OutputStream, BinaryEncoder)","['org.apache.avro.io.EncoderFactory.binaryEncoder(OutputStream, BinaryEncoder)']","org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)"
"org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)","['org.apache.avro.generic.GenericDatumWriter.write(D, Encoder)', 'org.apache.avro.file.DataFileWriter.append(D)']","org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)"
