method,pattern,space
org.apache.avro.io.BinaryDecoder.doReadItemCount(),FreqExec,org.apache.avro.io.BinaryDecoder.doReadItemCount(); org.apache.avro.io.BinaryDecoder.readArrayStart(); org.apache.avro.io.BinaryDecoder.arrayNext(); org.apache.avro.io.BinaryDecoder.readMapStart(); org.apache.avro.io.BinaryDecoder.mapNext()
org.apache.avro.Schema.Schema(Type),FreqExec,"org.apache.avro.Schema.Schema(Type); org.apache.avro.Schema$NamedSchema.<init>(Schema$Type, Schema$Name, String); org.apache.avro.Schema$StringSchema.<init>(); org.apache.avro.Schema$UnionSchema.<init>(Schema$LockableArrayList); org.apache.avro.Schema$LongSchema.<init>(); org.apache.avro.Schema$BooleanSchema.<init>(); org.apache.avro.Schema$NullSchema.<init>(); org.apache.avro.Schema$ArraySchema.<init>(Schema); org.apache.avro.Schema$IntSchema.<init>(); org.apache.avro.Schema$FloatSchema.<init>(); org.apache.avro.Schema$DoubleSchema.<init>(); org.apache.avro.Schema$MapSchema.<init>(Schema)"
"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol)",FreqExec,"org.apache.avro.io.JsonEncoder.doAction(Symbol, Symbol); org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.parsing.Parser.processImplicitActions()"
org.apache.avro.io.BinaryDecoder.arrayNext(),FreqExec,"org.apache.avro.io.BinaryDecoder.arrayNext(); org.apache.avro.io.ValidatingDecoder.arrayNext(); org.apache.avro.io.TestBlockingIO$Tests.scan(); org.apache.avro.io.TestBlockingIO$Tests.skip(int); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)"
"org.apache.avro.RandomData.generate(Schema, Random, int)",HotRecur,"org.apache.avro.RandomData.generate(Schema, Random, int)"
"org.apache.avro.generic.GenericDatumReader.setField(Object, String, int, Object)",FreqExec,"org.apache.avro.generic.GenericDatumReader.setField(Object, String, int, Object); org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)"
"org.apache.avro.file.DataFileWriter.create(Schema, File)",HotCallee,"org.apache.avro.file.DataFileWriter.create(Schema, File); org.apache.avro.file.DataFileWriter.create(Schema, OutputStream)"
"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)",HotExec,"org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder); org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)"
"org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Symbol, Encoder)",FreqExec,"org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Symbol, Encoder); org.apache.avro.io.ValidatingEncoder.ValidatingEncoder(Schema, Encoder)"
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),HotCallee,org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol); org.apache.avro.io.parsing.SkipParser.skipTo(int)
org.apache.avro.io.BinaryDecoder.readInt(),FreqExec,org.apache.avro.io.BinaryDecoder.readInt(); org.apache.avro.io.BinaryDecoder.readIndex(); org.apache.avro.io.BinaryDecoder.readEnum(); org.apache.avro.io.BinaryDecoder.readString(Utf8); org.apache.avro.io.BinaryDecoder.readBytes(ByteBuffer); org.apache.avro.io.ValidatingDecoder.readInt(); org.apache.avro.io.BinaryDecoder.doSkipItems()
org.apache.avro.io.BinaryDecoder.ensureBounds(int),FreqExec,org.apache.avro.io.BinaryDecoder.ensureBounds(int); org.apache.avro.io.BinaryDecoder.readInt(); org.apache.avro.io.BinaryDecoder.readLong(); org.apache.avro.io.BinaryDecoder.readFloat(); org.apache.avro.io.BinaryDecoder.readDouble()
org.apache.avro.io.ValidatingDecoder.readString(Utf8),FreqExec,"org.apache.avro.io.ValidatingDecoder.readString(Utf8); org.apache.avro.generic.GenericDatumReader.readString(Object, Decoder); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int)"
org.apache.avro.io.BinaryEncoder.writeLong(long),FreqExec,"org.apache.avro.io.BinaryEncoder.writeLong(long); org.apache.avro.io.ValidatingEncoder.writeLong(long); org.apache.avro.io.BinaryEncoder.setItemCount(long); org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder); org.apache.avro.file.DataFileWriter.writeBlock(); org.apache.avro.file.DataFileWriter.writeRawBlock(DataBlock)"
org.apache.avro.file.DataFileReader.sync(long),HotCallee,org.apache.avro.file.DataFileReader.sync(long)
org.apache.avro.io.ResolvingDecoder.readLong(),HotCallee,org.apache.avro.io.ResolvingDecoder.readLong(); org.apache.avro.io.BinaryDecoder.readLong(); org.apache.avro.io.parsing.Parser.advance(Symbol)
org.apache.avro.file.DataFileStream.hasNext(),FreqExec,"org.apache.avro.file.DataFileStream.hasNext(); org.apache.avro.file.DataFileStream.next(D); org.apache.avro.TestDataFile.readFile(File, DatumReader)"
org.apache.avro.util.Utf8.setLength(int),FreqExec,"org.apache.avro.util.Utf8.setLength(int); org.apache.avro.io.BinaryDecoder.readString(Utf8); org.apache.avro.RandomData.randomUtf8(Random, int)"
org.apache.avro.io.ResolvingDecoder.readDouble(),HotCallee,org.apache.avro.io.ResolvingDecoder.readDouble(); org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.BinaryDecoder.readLong()
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",HotCyclic,"org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol); org.apache.avro.io.JsonDecoder.readIndex(); org.apache.avro.io.JsonDecoder.advance(Symbol)"
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",FreqExec,"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol); org.apache.avro.io.parsing.Parser.advance(Symbol)"
org.apache.avro.io.DirectBinaryDecoder.doSkipBytes(long),FreqExec,org.apache.avro.io.DirectBinaryDecoder.doSkipBytes(long); org.apache.avro.io.BinaryDecoder.skipBytes(); org.apache.avro.io.BinaryDecoder.skipString(); org.apache.avro.io.BinaryDecoder.skipFixed(int)
"org.apache.avro.ipc.Requestor.request(String, Object)",HotCallee,"org.apache.avro.ipc.Requestor.request(String, Object); org.apache.avro.ipc.HttpTransceiver.transceive(List<ByteBuffer>); org.apache.avro.generic.GenericDatumReader.read(D, Decoder)"
org.apache.avro.io.BinaryDecoder.skipFixed(int),FreqExec,org.apache.avro.io.BinaryDecoder.skipFixed(int); org.apache.avro.io.TestBinaryDecoder.skipGenerated(Decoder)
org.apache.avro.ipc.HttpServer.close(),HotCallee,org.apache.avro.ipc.HttpServer.close()
org.apache.avro.io.ValidatingEncoder.writeInt(int),FreqExec,"org.apache.avro.io.ValidatingEncoder.writeInt(int); org.apache.avro.io.TestValidatingIO.generate(Encoder, String, Object[])"
org.apache.avro.file.SeekableFileInput.tell(),FreqExec,org.apache.avro.file.SeekableFileInput.tell(); org.apache.avro.file.DataFileReader$SeekableInputStream.tell()
org.apache.avro.io.Decoder.readFixed(byte[]),FreqExec,org.apache.avro.io.Decoder.readFixed(byte[]); org.apache.avro.file.DataFileStream.skipSync(); org.apache.avro.file.DataFileStream.initialize(InputStream)
org.apache.avro.io.parsing.SkipParser.skipRepeater(),HotCallee,org.apache.avro.io.parsing.SkipParser.skipRepeater(); org.apache.avro.io.parsing.SkipParser.skipTo(int)
org.apache.avro.file.DataFileStream.skipSync(),FreqExec,org.apache.avro.file.DataFileStream.skipSync(); org.apache.avro.file.DataFileStream.nextBlock(DataBlock)
org.apache.avro.ipc.HttpTransceiver.transceive(List<ByteBuffer>),HotCallee,org.apache.avro.ipc.HttpTransceiver.transceive(List<ByteBuffer>)
org.apache.avro.io.ParsingEncoder.setItemCount(long),FreqExec,"org.apache.avro.io.ParsingEncoder.setItemCount(long); org.apache.avro.io.ValidatingEncoder.setItemCount(long); org.apache.avro.generic.GenericDatumWriter.writeArray(Schema, Object, Encoder)"
org.apache.avro.io.ValidatingDecoder.readInt(),FreqExec,"org.apache.avro.io.ValidatingDecoder.readInt(); org.apache.avro.io.ParsingDecoder.skipTopSymbol(); org.apache.avro.io.TestValidatingIO.check(Decoder, String, Object[], int); org.apache.avro.generic.GenericDatumReader.readInt(Object, Schema, Decoder)"
org.apache.avro.ipc.SocketTransceiver.readBuffers(),HotExec,org.apache.avro.ipc.SocketTransceiver.readBuffers()
"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)",HotCyclic,"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder); org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)"
"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)",HotRecur,"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder); org.apache.avro.generic.GenericDatumReader.read(D, Decoder); org.apache.avro.generic.GenericDatumReader.readRecord(Object, Schema, ResolvingDecoder)"
org.apache.avro.io.ParsingDecoder.skipTopSymbol(),HotCyclic,"org.apache.avro.io.parsing.Parser.advance(Symbol); org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol); org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol); org.apache.avro.io.parsing.SkipParser.skipTo(int); org.apache.avro.io.ParsingDecoder.skipTopSymbol(); org.apache.avro.io.ValidatingDecoder.skipString()"
org.apache.avro.io.ParsingDecoder.skipTopSymbol(),FreqExec,org.apache.avro.io.ParsingDecoder.skipTopSymbol(); org.apache.avro.io.parsing.SkipParser.skipTo(int)
"org.apache.avro.io.ResolvingDecoder.ResolvingDecoder(Schema, Schema, Decoder)",FreqExec,"org.apache.avro.io.ResolvingDecoder.ResolvingDecoder(Schema, Schema, Decoder); org.apache.avro.io.TestResolvingIO.check(Schema, Schema, byte[], String, Object[], TestValidatingIO$Encoding, int)"
org.apache.avro.io.BinaryEncoder.writeBoolean(boolean),FreqExec,"org.apache.avro.io.BinaryEncoder.writeBoolean(boolean); org.apache.avro.io.ValidatingEncoder.writeBoolean(boolean); org.apache.avro.generic.GenericDatumWriter.write(Schema, Object, Encoder); org.apache.avro.ipc.Responder.respond(List<ByteBuffer>)"
org.apache.avro.file.SeekableFileInput.length(),FreqExec,org.apache.avro.file.SeekableFileInput.length(); org.apache.avro.file.DataFileReader$SeekableInputStream.length()
org.apache.avro.ipc.ByteBufferOutputStream.write(int),FreqExec,"org.apache.avro.ipc.ByteBufferOutputStream.write(int); org.apache.avro.io.BinaryEncoder.encodeLong(long, OutputStream); org.apache.avro.io.BinaryEncoder.writeBoolean(boolean); java.io.DataOutputStream.write(int)"
org.apache.avro.io.JsonDecoder.init(InputStream),FreqExec,"org.apache.avro.io.JsonDecoder.init(InputStream); org.apache.avro.io.JsonDecoder.JsonDecoder(Symbol, InputStream)"
"org.apache.avro.io.BinaryDecoder.doReadBytes(byte[], int, int)",FreqExec,"org.apache.avro.io.BinaryDecoder.doReadBytes(byte[], int, int); org.apache.avro.io.BinaryDecoder.readFixed(byte[], int, int); org.apache.avro.io.BinaryDecoder.readString(Utf8); org.apache.avro.io.BinaryDecoder.readBytes(ByteBuffer)"
