class,path,package,methods
BinaryEncoder,lang\java\src\java\org\apache\avro\io\BinaryEncoder.java,org.apache.avro.io,"BinaryEncoder,init,flush,writeNull,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeBytes,writeBytes,writeFixed,writeEnum,writeArrayStart,setItemCount,startItem,writeArrayEnd,writeMapStart,writeMapEnd,writeIndex,encodeLong,encodeLong,encodeFloat,encodeFloat,encodeDouble,encodeDouble"
ByteBufferOutputStream,lang\java\src\java\org\apache\avro\ipc\ByteBufferOutputStream.java,org.apache.avro.ipc,"ByteBufferOutputStream,getBufferList,reset,write,write,write,writeBuffer"
Utf8,lang\java\src\java\org\apache\avro\util\Utf8.java,org.apache.avro.util,"Utf8,Utf8,Utf8,getBytes,getLength,setLength,toString,equals,hashCode,compareTo"
Encoder,lang\java\src\java\org\apache\avro\io\Encoder.java,org.apache.avro.io,"init,writeNull,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeString,writeBytes,writeBytes,writeBytes,writeFixed,writeFixed,writeEnum,writeArrayStart,setItemCount,startItem,writeArrayEnd,writeMapStart,writeMapEnd,writeIndex"
TestGenericDatumWriter,lang\java\src\test\java\org\apache\avro\generic\TestGenericDatumWriter.java,org.apache.avro.generic,testWrite
Schema,lang\java\src\java\org\apache\avro\Schema.java,org.apache.avro,"Schema,create,getProp,addProp,createRecord,createRecord,createEnum,createArray,createMap,createUnion,createFixed,getType,getField,getFields,setFields,getEnumSymbols,getEnumOrdinal,hasEnumSymbol,getName,getDoc,getNamespace,getFullName,isError,getElementType,getValueType,getTypes,getFixedSize,toString,toString,toJson,writeProps,fieldsToJson,equals,hashCode,parse,parse,parse,parse,getRequiredText,getOptionalText,parseJson"
JsonDecoder,lang\java\src\java\org\apache\avro\io\JsonDecoder.java,org.apache.avro.io,"JsonDecoder,JsonDecoder,JsonDecoder,JsonDecoder,advance,init,init,readNull,readBoolean,readInt,readLong,readFloat,readDouble,readString,skipString,readBytes,readByteArray,skipBytes,checkFixed,readFixed,skipFixed,doSkipFixed,skipFixed,readEnum,readArrayStart,arrayNext,doArrayNext,skipArray,readMapStart,mapNext,doMapNext,skipMap,readIndex,doAction,error,setItemCount"
JsonEncoder,lang\java\src\java\org\apache\avro\io\JsonEncoder.java,org.apache.avro.io,"JsonEncoder,JsonEncoder,flush,init,getJsonGenerator,writeNull,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeBytes,writeBytes,writeByteArray,writeFixed,writeEnum,writeArrayStart,writeArrayEnd,writeMapStart,writeMapEnd,startItem,writeIndex,doAction"
GenericDatumWriter,lang\java\src\java\org\apache\avro\generic\GenericDatumWriter.java,org.apache.avro.generic,"GenericDatumWriter,GenericDatumWriter,GenericDatumWriter,GenericDatumWriter,setSchema,write,write,writeRecord,getField,writeEnum,writeArray,getArraySize,getArrayElements,writeMap,getMapSize,getMapEntries,writeString,writeString,writeBytes,writeFixed,error"
GenericData,lang\java\src\java\org\apache\avro\generic\GenericData.java,org.apache.avro.generic,"get,GenericData,validate,toString,toString,induce,resolveUnion,instanceOf,isArray,isRecord,getRecordSchema,isEnum,isMap,isFixed,isString,isBytes,hashCode,hashCodeAdd,compare"
GenericDatumReader,lang\java\src\java\org\apache\avro\generic\GenericDatumReader.java,org.apache.avro.generic,"GenericDatumReader,GenericDatumReader,GenericDatumReader,setSchema,setExpected,read,read,readRecord,setField,getField,removeField,readEnum,createEnum,readArray,peekArray,addToArray,readMap,addToMap,readFixed,createFixed,createFixed,newRecord,newArray,newMap,readString,readString,createString,readBytes,readInt,createBytes,skip"
FloatHistogram,lang\java\src\java\org\apache\avro\ipc\stats\FloatHistogram.java,org.apache.avro.ipc.stats,"FloatHistogram,add,getMean,getUnbiasedStdDev"
Histogram,lang\java\src\java\org\apache\avro\ipc\stats\Histogram.java,org.apache.avro.ipc.stats,"Histogram,add,getHistogram,getCount,toString,entries"
TestMain,lang\java\src\test\java\org\apache\avro\tool\TestMain.java,org.apache.avro.tool,testToolDescriptionLength
Main,lang\java\src\java\org\apache\avro\tool\Main.java,org.apache.avro.tool,"Main,main,run,printStream"
DataFileReadTool,lang\java\src\java\org\apache\avro\tool\DataFileReadTool.java,org.apache.avro.tool,"getName,getShortDescription,run"
DataFileReader,lang\java\src\java\org\apache\avro\file\DataFileReader.java,org.apache.avro.file,"DataFileReader,DataFileReader,seek,sync,blockFinished,pastSync"
DataFileStream,lang\java\src\java\org\apache\avro\file\DataFileStream.java,org.apache.avro.file,"DataFileStream,DataFileStream,initialize,resolveCodec,getSchema,getMeta,getMetaString,getMetaLong,iterator,hasNext,next,next,blockFinished,hasNextBlock,nextBlock,skipSync,remove,close"
AvroRemoteException,lang\java\src\java\org\apache\avro\ipc\AvroRemoteException.java,org.apache.avro.ipc,"AvroRemoteException,AvroRemoteException,AvroRemoteException,getValue"
TestBlockingIO2,lang\java\src\test\java\org\apache\avro\io\TestBlockingIO2.java,org.apache.avro.io,"TestBlockingIO2,testScan,data"
Decoder,lang\java\src\java\org\apache\avro\io\Decoder.java,org.apache.avro.io,"init,readNull,readBoolean,readInt,readLong,readFloat,readDouble,readString,skipString,readBytes,skipBytes,readFixed,readFixed,skipFixed,readEnum,readArrayStart,arrayNext,skipArray,readMapStart,mapNext,skipMap,readIndex"
BlockingBinaryEncoder,lang\java\src\java\org\apache\avro\io\BlockingBinaryEncoder.java,org.apache.avro.io,"check,BlockingBinaryEncoder,BlockingBinaryEncoder,expandStack,init,flush,writeBoolean,writeInt,writeLong,writeFloat,writeDouble,writeString,writeBytes,writeFixed,writeEnum,writeBytes,writeArrayStart,setItemCount,startItem,writeArrayEnd,writeMapStart,writeMapEnd,writeIndex,endBlockedValue,finishOverflow,ensure,doWriteBytes,write,compact"
TestValidatingIO,lang\java\src\test\java\org\apache\avro\io\TestValidatingIO.java,org.apache.avro.io,"TestValidatingIO,testMain,testOnce,make,generate,randomValues,extractInt,nextBytes,nextString,check,check,floatValue,doubleValue,longValue,skip,data,convertTo2dArray,cartesian,concat,paste,testSchemas,dump"
DecoderFactory,lang\java\src\java\org\apache\avro\io\DecoderFactory.java,org.apache.avro.io,"DecoderFactory,defaultFactory,configureDecoderBufferSize,getConfiguredBufferSize,configureDirectDecoder,createBinaryDecoder,createBinaryDecoder,createBinaryDecoder"
SpecificFixed,lang\java\src\java\org\apache\avro\specific\SpecificFixed.java,org.apache.avro.specific,SpecificFixed
TestProtocolGeneric,lang\java\src\test\java\org\apache\avro\TestProtocolGeneric.java,org.apache.avro,"testStartServer,testHello,testEcho,testEchoBytes,testError,testHandshake,testStopServer"
