method,Time,Count
org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),382674,56
"org.apache.avro.io.BufferedBinaryEncoder.writeFixed(byte[], int, int)",347107,315480725
java.lang.Thread.sleep(long) Thread.java,208276,150
java.lang.Thread.run(),116192,32
org.apache.avro.io.BufferedBinaryEncoder.ensureBounds(int),110082,315480731
org.apache.avro.specific.SpecificRecordBase.equals(Object),56229,12502606
org.apache.avro.specific.SpecificRecordBase.compareTo(SpecificRecord),54121,12502601
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema)",50573,12502601
"org.apache.avro.specific.SpecificData.compare(Object, Object, Schema, boolean)",47949,25050412
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema, boolean)",46577,25729582
java.lang.ClassLoader.loadClass(String),35456,33959
"org.apache.avro.TestSchema.check(String, boolean)",27612,24
org.apache.avro.ipc.Transceiver.transceive(List),15103,4084
org.apache.avro.io.parsing.SkipParser.skipTo(int),12289,11
"sun.security.ssl.AppInputStream.read(byte[], int, int)",9788,4049
org.apache.velocity.runtime.parser.Parser.Reference(),9784,90539
org.apache.avro.RandomData$1.next(),9180,365000
"org.apache.avro.RandomData.generate(Schema, Random, int)",8999,1096793
"org.apache.avro.generic.GenericData.getField(Object, String, int)",8670,25651360
org.apache.velocity.runtime.parser.ParserTokenManager.getNextToken(),8027,651088
org.apache.avro.ipc.HttpTransceiver.readBuffers(),7898,2021
org.mortbay.jetty.HttpParser.parseNext(),7689,3157
org.codehaus.jackson.map.ObjectMapper.<init>(JsonFactory),7668,24
java.util.ArrayList.iterator(),7558,13570364
org.apache.avro.generic.GenericData$Fixed.compareTo(Object),6889,12507630
org.apache.avro.Schema.<clinit>(),6863,28
org.apache.avro.io.parsing.Parser.pushProduction(Symbol),5779,11235279
org.mortbay.jetty.bio.SocketConnector$Connection.fill(Buffer),5641,2025
org.mortbay.io.bio.StreamEndPoint.fill(Buffer),5640,2025
"org.mortbay.io.ByteArrayBuffer.readFrom(InputStream, int)",5638,2025
"org.apache.avro.RandomData.randomUtf8(Random, int)",5629,365000
org.apache.velocity.runtime.parser.Parser.jj_ntk(),5019,449068
sun.net.www.protocol.https.HttpsURLConnectionImpl.getInputStream(),5004,1012
