method,method,invocation counts
org.apache.avro.mojo.SchemaMojo.<init>(),org.apache.avro.mojo.AbstractAvroMojo.<init>(),4
org.apache.avro.io.BinaryEncoder.writeEnum(int),org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),2
org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),16
org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),"org.apache.avro.io.BufferedBinaryEncoder.writeFixed(byte[], int, int)",315480698
"org.apache.avro.io.BufferedBinaryEncoder.writeFixed(byte[], int, int)",org.apache.avro.io.BufferedBinaryEncoder.ensureBounds(int),315480716
org.apache.avro.io.BinaryEncoder.writeString(String),"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int)",6
"org.apache.avro.io.BlockingBinaryEncoder.writeFixed(byte[], int, int)","org.apache.avro.io.BlockingBinaryEncoder.doWriteBytes(byte[], int, int)",10
"org.apache.avro.io.BlockingBinaryEncoder.doWriteBytes(byte[], int, int)",org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),10
org.apache.avro.io.BinaryEncoder.writeString(String),org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),8
org.apache.avro.io.BlockingBinaryEncoder.writeInt(int),"org.apache.avro.io.BinaryData.encodeInt(int, byte[], int)",12
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.expandStack(),42
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)","org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",45
"org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)","org.apache.avro.io.BufferedBinaryEncoder.configure(OutputStream, int)",72
"org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",org.apache.avro.io.BinaryEncoder.<init>(),72
org.apache.avro.io.BinaryEncoder.<init>(),org.apache.avro.io.Encoder.<init>(),116
"org.apache.avro.io.BlockingBinaryEncoder.<init>(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.check(),42
"org.apache.avro.io.BlockingBinaryEncoder.configure(OutputStream, int, int)",org.apache.avro.io.BlockingBinaryEncoder.check(),19
"org.apache.avro.io.BlockingBinaryEncoder.configure(OutputStream, int, int)","org.apache.avro.io.BufferedBinaryEncoder.configure(OutputStream, int)",21
"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",org.apache.avro.io.BlockingBinaryEncoder.writeZero(),2
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),8
org.apache.avro.io.BlockingBinaryEncoder.writeIndex(int),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),4
org.apache.avro.io.BinaryEncoder.writeString(String),org.apache.avro.io.BlockingBinaryEncoder.writeZero(),1
org.apache.avro.io.Encoder.writeBytes(byte[]),"org.apache.avro.io.BinaryEncoder.writeBytes(byte[], int, int)",5
org.apache.avro.io.Encoder.writeString(CharSequence),org.apache.avro.io.BinaryEncoder.writeString(String),3
org.apache.avro.io.BlockingBinaryEncoder.startItem(),org.apache.avro.io.BlockingBinaryEncoder.check(),9
org.apache.avro.io.BlockingBinaryEncoder.writeLong(long),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),3
org.apache.avro.io.BlockingBinaryEncoder.writeMapEnd(),org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),4
org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),org.apache.avro.io.BlockingBinaryEncoder.ensureBounds(int),7
org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),org.apache.avro.io.BlockingBinaryEncoder.check(),14
org.apache.avro.io.BlockingBinaryEncoder.writeMapStart(),org.apache.avro.io.BlockingBinaryEncoder.check(),13
org.apache.avro.io.BlockingBinaryEncoder.setItemCount(long),org.apache.avro.io.BlockingBinaryEncoder.check(),9
org.apache.avro.io.BlockingBinaryEncoder.writeArrayEnd(),org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),5
org.apache.avro.io.BlockingBinaryEncoder.writeArrayStart(),org.apache.avro.io.BlockingBinaryEncoder.check(),12
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.SkipParser.skipTo(int),3
org.apache.avro.io.parsing.SkipParser.skipTo(int),org.apache.avro.io.parsing.Parser.pushProduction(Symbol),11235263
org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),org.apache.avro.io.parsing.Parser.pushSymbol(Symbol),4
"org.apache.avro.io.parsing.SkipParser.<init>(Symbol, Parser$ActionHandler, SkipParser$SkipHandler)","org.apache.avro.io.parsing.Parser.<init>(Symbol, Parser$ActionHandler)",88
