method,Time,OwnTime,count
org.apache.avro.ipc.DatagramTransceiver_ESTest.<init>(),0,0,5
java.nio.channels.DatagramChannel.open(ProtocolFamily),13,13,1
org.apache.avro.ipc.ResponderServlet_ESTest.<init>(),0,0,1
java.lang.String.indexOf(int),9,9,22487
org.apache.avro.io.BlockingBinaryEncoder_ESTest.test25(),2,0,1
java.text.BreakIterator.setText(String),0,0,4
"org.apache.avro.mapred.tether.TetheredProcess.<init>(JobConf, OutputCollector, Reporter)",195,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test13(),0,0,1
java.util.TreeSet.addAll(Collection),0,0,1
org.apache.avro.io.BinaryEncoder_ESTest.test23(),0,0,1
org.apache.avro.mapred.AvroKey_ESTest.test1(),0,0,1
org.evosuite.runtime.mock.java.io.MockPrintStream.<init>(OutputStream),1,0,40
org.apache.velocity.runtime.log.LogDisplayWrapper.getLogChute(),0,0,10
joptsimple.internal.AbbreviationMap.addToMappings(Map),1,0,154
org.apache.avro.file.DataFileReader_ESTest.test00(),0,0,1
org.apache.avro.io.BinaryDecoder_ESTest.test080(),0,0,1
org.apache.avro.io.parsing.SkipParser_ESTest.test02(),1,0,1
joptsimple.internal.ConstructorInvokingValueConverter.<init>(Constructor),0,0,18
java.util.IdentityHashMap.<init>(),0,0,18
org.apache.avro.io.Decoder_ESTest.test20(),0,0,1
org.apache.avro.ipc.LocalTransceiver.transceive(List),1,0,1
org.apache.avro.ipc.RPCContext_ESTest.test16(),2,0,1
java.net.HttpURLConnection.<clinit>(),0,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test24(),0,0,1
org.apache.avro.mapred.AvroCollector_ESTest.<init>(),0,0,1
java.io.InputStream.read(byte[]),0,0,2
org.apache.avro.io.BinaryEncoder.<init>(),0,0,116
org.apache.velocity.runtime.parser.Parser$LookaheadSuccess.<init>(Parser$1),0,0,20
"org.apache.avro.ipc.NettyTransceiver.disconnect(boolean, boolean)",0,0,2
"org.apache.avro.io.BinaryDecoder$BufferAccessor.<init>(BinaryDecoder, BinaryDecoder$1)",0,0,126
joptsimple.ParserRules.ensureLegalOptions(Collection),0,0,18
org.apache.avro.ipc.SocketTransceiver.getRemoteName(),0,0,1
org.apache.velocity.runtime.parser.Parser.jj_3_7(),0,0,81
org.apache.avro.io.DirectBinaryDecoder_ESTest.test36(),0,0,1
org.apache.avro.ipc.NettyTransceiver_ESTest.test01(),13,0,1
java.lang.ref.ReferenceQueue.poll(),0,0,1423
"org.apache.avro.io.BufferedBinaryEncoder.<init>(OutputStream, int)",524,0,72
org.apache.velocity.runtime.parser.ParserTokenManager.jjMoveStringLiteralDfa0_4(),0,0,2
org.apache.avro.file.DataFileReader_ESTest.test04(),0,0,1
java.util.LinkedHashMap.<init>(),0,0,214
org.apache.avro.io.BlockingBinaryEncoder_ESTest.test31(),26270,0,1
java.io.FileInputStream.<init>(String),0,0,4
"org.apache.avro.mapred.FsInput.<init>(Path, Configuration)",0,0,1
"org.apache.velocity.runtime.RuntimeInstance.addVelocimacro(String, Node, String[], String)",4,0,2
org.apache.avro.io.Encoder_ESTest.test30(),43046,0,1
org.apache.avro.ipc.stats.StatsPlugin.getPayloadSize(List),0,0,9
org.apache.avro.file.SeekableFileInput_ESTest.test00(),1,0,1
org.jboss.netty.channel.StaticChannelPipeline.<clinit>(),0,0,1
"org.apache.avro.file.DataFileStream.<init>(InputStream, DatumReader)",11,0,3
org.evosuite.runtime.mock.java.io.MockFileOutputStream.write(int),0,0,14
org.jboss.netty.channel.Channels.pipeline(),4,4,11
org.apache.avro.io.DecoderFactory_ESTest.test17(),0,0,1
"org.apache.velocity.app.VelocityEngine.setProperty(String, Object)",0,0,12
org.apache.velocity.runtime.log.Log.isDebugEnabled(),0,0,6
org.apache.avro.SchemaParseException.<init>(String),0,0,1
org.apache.avro.ipc.HttpTransceiver_ESTest.test05(),387,0,1
org.apache.avro.io.BlockingBinaryEncoder.writeZero(),91722,0,8
"joptsimple.internal.Column.<init>(String, int)",0,0,2
org.apache.avro.io.BlockingBinaryEncoder.finishOverflow(),0,0,2
org.apache.avro.util.Utf8_ESTest.test08(),0,0,1
org.apache.velocity.runtime.parser.Parser.jj_3R_50(),0,0,8
org.apache.avro.file.SnappyCodec.equals(Object),0,0,4
org.apache.avro.io.BinaryDecoder.doSkipBytes(long),0,0,23
org.apache.hadoop.mapred.JobClient.<init>(JobConf),288,284,1
java.util.Collections$UnmodifiableCollection$1.hasNext(),0,0,89
org.jboss.netty.bootstrap.ServerBootstrap.<init>(ChannelFactory),0,0,3
java.lang.Iterable.spliterator(),3,3,1
org.apache.avro.io.BlockingBinaryEncoder_ESTest.test01(),0,0,1
org.apache.avro.io.BinaryDecoder.ensureBounds(int),0,0,161
java.io.BufferedOutputStream.<init>(OutputStream),0,0,2
org.apache.avro.io.Encoder_ESTest.test20(),1,0,1
org.apache.avro.io.parsing.Parser_ESTest.test18(),0,0,1
org.apache.avro.mapred.HadoopReducer.getReducer(JobConf),2,0,6
"java.io.PrintWriter.<init>(Writer, boolean)",0,0,16
org.apache.avro.io.ValidatingDecoder.readDouble(),0,0,3
org.apache.avro.io.Decoder_ESTest.test22(),0,0,1
org.apache.avro.ipc.NettyTransportCodec$NettyFrameDecoder.<init>(),0,0,7
"sun.nio.ch.DatagramChannelImpl.send(ByteBuffer, SocketAddress)",0,0,1
org.apache.avro.io.DirectBinaryDecoder_ESTest.test22(),0,0,1
org.apache.velocity.runtime.resource.ResourceManagerImpl.<init>(),0,0,1
org.apache.velocity.runtime.RuntimeInstance.requireInitialization(),117,0,23
org.apache.avro.file.DataFileReader_ESTest.test24(),0,0,1
org.apache.avro.io.BufferedBinaryEncoder_ESTest.test12(),0,0,1
org.apache.avro.io.DirectBinaryEncoder.writeBoolean(boolean),0,0,2
org.apache.avro.ipc.RPCContext_ESTest.test02(),0,0,1
java.lang.StringBuilder.append(String),266,266,124570
"java.util.Arrays.equals(byte[], byte[])",0,0,3
org.apache.avro.io.DirectBinaryDecoder_ESTest.test38(),0,0,1
org.apache.avro.io.BlockingBinaryEncoder_ESTest.test15(),2,0,1
org.apache.avro.io.BinaryDecoder.<init>(),0,0,131
org.apache.velocity.runtime.log.HoldingLogChute.<init>(),0,0,6
org.apache.avro.file.DataFileStream$Header.<init>(DataFileStream$1),0,0,5
org.apache.avro.ipc.RPCPlugin.<init>(),0,0,26
org.apache.velocity.runtime.parser.Parser.jj_3_1(),1,0,80
org.apache.avro.mapred.AvroValue.<init>(),0,0,1
org.apache.avro.ipc.HttpTransceiver_ESTest.test11(),0,0,1
org.apache.hadoop.mapred.JobConf.setMapOutputKeyClass(Class),0,0,1
java.io.ByteArrayInputStream.skip(long),0,0,20
org.apache.avro.ipc.RPCContext_ESTest.test14(),0,0,1
