class path,method name,method arguments,Time,OwnTime,count
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,skipString,,0,0,4
lang\java\tools\src\main\java\org\apache\avro\tool\IdlTool.java,<init>,,0,0,10
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,arrayNext,,0,0,5
lang\java\tools\src\main\java\org\apache\avro\tool\Main.java,main,String[],2,0,2
lang\java\avro\src\main\java\org\apache\avro\io\BinaryDecoder.java,readArrayStart,,0,0,5
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,remove,Object,0,0,2
lang\java\avro\src\main\java\org\apache\avro\Schema.java,createMap,Schema,0,0,1
lang\java\avro\src\main\java\org\apache\avro\AvroTypeException.java,<init>,"String, Throwable",0,0,1
lang\java\avro\src\main\java\org\apache\avro\file\SnappyCodec.java,<init>,SnappyCodec$1,0,0,11
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,binaryDecoder,"InputStream, BinaryDecoder",6,0,9
lang\java\avro\src\main\java\org\apache\avro\io\BinaryEncoder.java,writeString,String,122677,0,13
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryEncoder.java,writeBoolean,boolean,0,0,2
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificData.java,<init>,,0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BinaryData.java,encodeLong,"long, byte[], int",0,0,4
lang\java\avro\src\main\java\org\apache\avro\io\BinaryData.java,encodeFloat,"float, byte[], int",0,0,6
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryEncoder.java,flush,,0,0,4
lang\java\avro\src\main\java\org\apache\avro\io\ValidatingDecoder.java,readEnum,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\util\ByteBufferOutputStream.java,write,"byte[], int, int",0,0,8
lang\java\mapred\src\main\java\org\apache\avro\mapred\tether\TetherData.java,<init>,ByteBuffer,0,0,3
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,initialize,InputStream,14,0,5
lang\java\avro\src\main\java\org\apache\avro\Schema.java,createRecord,"String, String, String, boolean",1,0,7
lang\java\avro\src\main\java\org\apache\avro\io\ResolvingDecoder.java,<init>,"Schema, Schema, Decoder",0,0,1
lang\java\mapred\src\main\java\org\apache\avro\mapred\tether\TetherData.java,<init>,,0,0,2
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,get,Object,0,0,2
lang\java\avro\src\main\java\org\apache\avro\io\BinaryEncoder.java,setItemCount,long,0,0,4
lang\java\avro\src\main\java\org\apache\avro\specific\SpecificFixed.java,<init>,,0,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\stats\StatsServlet.java,escapeStringArray,List,0,0,1
lang\java\tools\src\main\java\org\apache\avro\tool\RpcReceiveTool.java,<init>,,0,0,3
lang\java\mapred\src\main\java\org\apache\avro\mapred\HadoopReducer.java,<init>,,0,0,9
lang\java\tools\src\main\java\org\apache\avro\tool\RecodecTool.java,<init>,,0,0,13
lang\java\avro\src\main\java\org\apache\avro\io\BlockingBinaryEncoder.java,endBlockedValue,,28822,0,9
lang\java\avro\src\test\java\org\apache\avro\io\LegacyBinaryEncoder.java,writeArrayEnd,,0,0,1
lang\java\avro\src\test\java\org\apache\avro\io\LegacyBinaryEncoder.java,writeInt,int,0,0,1
lang\java\avro\src\main\java\org\apache\avro\util\Utf8.java,toString,,0,0,14
lang\java\ipc\src\main\java\org\apache\avro\ipc\NettyTransceiver.java,writeBuffers,List,0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BinaryEncoder.java,writeString,Utf8,0,0,2
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,<init>,,0,0,32
lang\java\ipc\src\main\java\org\apache\avro\ipc\trace\Trace.java,printBrief,,0,0,1
lang\java\avro\src\main\java\org\apache\avro\generic\GenericDatumReader.java,<init>,,458,0,4
lang\java\ipc\src\main\java\org\apache\avro\ipc\LocalTransceiver.java,transceive,List,1,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\HttpTransceiver.java,writeBuffers,"List, OutputStream",0,0,2
lang\java\avro\src\main\java\org\apache\avro\file\DataFileReader.java,openReader,"SeekableInput, DatumReader, DataFileStream$Header, boolean",0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,<init>,"OutputStream, int",524,0,72
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,createBinaryDecoder,"byte[], BinaryDecoder",0,0,3
lang\java\avro\src\main\java\org\apache\avro\util\ByteBufferOutputStream.java,write,ByteBuffer,0,0,3
lang\java\avro\src\main\java\org\apache\avro\io\BufferedBinaryEncoder.java,writeFloat,float,0,0,2
lang\java\tools\src\main\java\org\apache\avro\tool\DataFileGetSchemaTool.java,run,"InputStream, PrintStream, PrintStream, List",0,0,1
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryDecoder.java,configure,InputStream,0,0,72
lang\java\avro\src\main\java\org\apache\avro\file\DataFileStream.java,resolveCodec,,1,0,2
lang\java\avro\src\main\java\org\apache\avro\io\Encoder.java,writeFixed,byte[],0,0,4
lang\java\ipc\src\main\java\org\apache\avro\ipc\trace\TraceCollection.java,<init>,Trace,2,0,1
lang\java\avro\src\main\java\org\apache\avro\file\CodecFactory.java,<init>,,0,0,18
lang\java\ipc\src\main\java\org\apache\avro\ipc\stats\StatsPlugin.java,getPayloadSize,List,0,0,9
lang\java\avro\src\main\java\org\apache\avro\file\Codec.java,<init>,,0,0,27
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryDecoder.java,readInt,,0,0,12
lang\java\ipc\src\main\java\org\apache\avro\ipc\CallFuture.java,get,,0,0,3
lang\java\avro\src\main\java\org\apache\avro\Schema.java,getName,,0,0,9
lang\java\avro\src\main\java\org\apache\avro\io\DecoderFactory.java,resolvingDecoder,"Schema, Schema, Decoder",3,0,1
lang\java\avro\src\main\java\org\apache\avro\io\DirectBinaryDecoder.java,isEnd,,0,0,1
lang\java\ipc\src\main\java\org\apache\avro\ipc\RPCContext.java,responseCallMeta,,0,0,1
lang\java\avro\src\main\java\org\apache\avro\util\WeakIdentityHashMap.java,isEmpty,,0,0,2
lang\java\mapred\src\main\java\org\apache\avro\mapred\AvroMapper.java,map,"Object, AvroCollector, Reporter",0,0,1
lang\java\avro\src\main\java\org\apache\avro\Schema.java,parse,String,12,0,3
lang\java\avro\src\main\java\org\apache\avro\Protocol.java,toString,,3,0,2
lang\java\avro\src\main\java\org\apache\avro\Protocol.java,getMD5,,34,0,2
lang\java\avro\src\main\java\org\apache\avro\file\NullCodec.java,<init>,,0,0,14
lang\java\avro\src\main\java\org\apache\avro\file\SeekableByteArrayInput.java,<init>,byte[],0,0,22
