class path,method name,method arguments,Time,OwnTime,count
xmpbox\src\main\java\org\apache\xmpbox\schema\XMPBasicSchema.java,getThumbnailsProperty,,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\encryption\PDEncryption.java,getUserKey,,0,0,7
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\PDNumberTreeNode.java,convertCOSToPD,COSBase,1,0,8
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\font\PDType1Font.java,hasGlyph,String,93,0,18
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDDeviceN.java,getAlternateColorSpace,,0,0,3
pdfbox\src\main\java\org\apache\pdfbox\cos\COSDictionary.java,getObjectFromPath,String,0,0,12
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDAnnotationLine.java,<init>,,5,0,54
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDAnnotation.java,isNoZoom,,0,0,2
xmpbox\src\main\java\org\apache\xmpbox\schema\PhotoshopSchema.java,getSourceProperty,,0,0,6
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDPageContentStream.java,beginMarkedContent,COSName,0,0,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\fdf\FDFPage.java,getPageInfo,,0,0,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\font\PDType0Font.java,<init>,"PDDocument, TrueTypeFont, boolean",4128,0,17
fontbox\src\main\java\org\apache\fontbox\afm\FontMetrics.java,getComposites,,0,0,29
pdfbox\src\main\java\org\apache\pdfbox\io\MemoryUsageSetting.java,getPartitionedCopy,int,0,0,10
fontbox\src\main\java\org\apache\fontbox\cff\CFFCharset.java,getSIDForGID,int,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDAnnotation.java,setBorder,COSArray,0,0,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDLab.java,setComponentRangeArray,"PDRange, int",1,0,9
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\annotation\PDBorderStyleDictionary.java,<init>,,0,0,18
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDResources.java,getShadingNames,,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDPage.java,setThreadBeads,List,0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\PDShadingType2.java,setExtend,COSArray,0,0,4
xmpbox\src\main\java\org\apache\xmpbox\schema\PhotoshopSchema.java,getDocumentAncestors,,0,0,4
pdfbox\src\main\java\org\apache\pdfbox\contentstream\operator\state\SetRenderingIntent.java,process,"Operator, List",0,0,4
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\encryption\PDEncryption.java,setOwnerEncryptionKey,byte[],0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\documentnavigation\outline\PDOutlineItem.java,isItalic,,0,0,3
preflight\src\main\java\org\apache\pdfbox\preflight\process\reflect\FontValidationProcess.java,validate,PreflightContext,15,0,3
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\common\filespecification\PDComplexFileSpecification.java,setEmbeddedFileMac,PDEmbeddedFile,0,0,5
xmpbox\src\main\java\org\apache\xmpbox\XMPMetadata.java,createAndAddXMPRightsManagementSchema,,1,0,63
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\shading\PDShadingType4.java,getBitsPerFlag,,0,0,6
debugger\src\main\java\org\apache\pdfbox\debugger\flagbitspane\FieldFlag.java,<init>,COSDictionary,0,0,8
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\documentinterchange\logicalstructure\PDMarkedContentReference.java,<init>,COSDictionary,0,0,14
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDResources.java,put,"COSName, PDXObject",0,0,2
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDIndexed.java,getName,,0,0,1
pdfbox\src\main\java\org\apache\pdfbox\pdmodel\graphics\color\PDDeviceN.java,setTintTransform,PDFunction,0,0,2
