method,method,invocation counts
org.apache.pdfbox.pdmodel.font.PDType1Font.<init>(String),org.apache.pdfbox.pdmodel.font.PDSimpleFont.<init>(String),75
org.apache.pdfbox.pdmodel.font.PDSimpleFont.<init>(String),org.apache.pdfbox.pdmodel.font.PDFont.<init>(String),75
"org.apache.pdfbox.pdmodel.font.Standard14Fonts.addAFM(String, String)",org.apache.fontbox.afm.AFMParser.parse(boolean),170
org.apache.fontbox.afm.AFMParser.parse(boolean),org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),174
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.parseCharMetric(),50485
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.afm.AFMParser.readLine(),50485
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.afm.AFMParser.verifySemicolon(StringTokenizer),202230
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.afm.CharMetric.<init>(),50485
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.util.BoundingBox.<init>(),50485
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.afm.CharMetric.addLigature(Ligature),290
org.apache.fontbox.afm.AFMParser.parseCharMetric(),org.apache.fontbox.afm.Ligature.<init>(),290
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.FontMetrics.setCharMetrics(List),170
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.readString(),4497
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.readLine(),2040
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.readBoolean(),170
org.apache.fontbox.afm.AFMParser.readBoolean(),org.apache.fontbox.afm.AFMParser.readString(),170
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.readFloat(),2280
org.apache.fontbox.afm.AFMParser.readFloat(),org.apache.fontbox.afm.AFMParser.readString(),2280
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.AFMParser.readInt(),170
org.apache.fontbox.afm.AFMParser.readInt(),org.apache.fontbox.afm.AFMParser.readString(),170
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.FontMetrics.<init>(),177
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.afm.FontMetrics.addComment(String),680
org.apache.fontbox.afm.AFMParser.parseFontMetric(boolean),org.apache.fontbox.util.BoundingBox.<init>(),170
"org.apache.pdfbox.pdmodel.font.Standard14Fonts.addAFM(String, String)",org.apache.fontbox.afm.AFMParser.<init>(InputStream),170
org.apache.pdfbox.pdmodel.font.Standard14Fonts.addAFM(String),"org.apache.pdfbox.pdmodel.font.Standard14Fonts.addAFM(String, String)",75
org.apache.pdfbox.pdmodel.font.PDFont.<init>(String),org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),74
"org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(float, float)","org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(float, float, float, float)",62
"org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(float, float, float, float)",org.apache.pdfbox.cos.COSFloat.<init>(float),884
org.apache.pdfbox.cos.COSFloat.<init>(float),org.apache.pdfbox.cos.COSFloat.removeNullDigits(String),16226
org.apache.pdfbox.cos.COSFloat.<init>(float),org.apache.pdfbox.cos.COSNumber.<init>(),16281
org.apache.pdfbox.cos.COSNumber.<init>(),org.apache.pdfbox.cos.COSBase.<init>(),70330
"org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(float, float, float, float)",org.apache.pdfbox.cos.COSArray.<init>(),221
org.apache.pdfbox.cos.COSArray.<init>(),org.apache.pdfbox.cos.COSBase.<init>(),7177
"org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(float, float, float, float)",org.apache.pdfbox.cos.COSArray.add(COSBase),883
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFontFamily(String),88
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFontFamily(String),org.apache.pdfbox.cos.COSString.<init>(String),97
org.apache.pdfbox.cos.COSString.<init>(String),org.apache.pdfbox.cos.PDFDocEncoding.getBytes(String),866
org.apache.pdfbox.cos.COSString.<init>(String),org.apache.pdfbox.cos.PDFDocEncoding.containsChar(char),8364
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFontFamily(String),"org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",99
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.fontbox.afm.FontMetrics.getAverageCharacterWidth(),85
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setDescent(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setDescent(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",109
"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",org.apache.pdfbox.cos.COSFloat.<init>(float),1111
"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)","org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",1089
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(BoundingBox),87
org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(BoundingBox),org.apache.pdfbox.cos.COSFloat.<init>(float),399
org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(BoundingBox),org.apache.pdfbox.cos.COSArray.<init>(),103
org.apache.pdfbox.pdmodel.common.PDRectangle.<init>(BoundingBox),org.apache.pdfbox.cos.COSArray.add(COSBase),398
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setCharacterSet(String),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setCharacterSet(String),org.apache.pdfbox.cos.COSString.<init>(String),91
org.apache.pdfbox.cos.COSString.<init>(String),org.apache.pdfbox.cos.COSBase.<init>(),878
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setCharacterSet(String),"org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",91
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setAverageWidth(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setAverageWidth(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",89
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setAscent(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setAscent(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",106
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setXHeight(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setXHeight(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",107
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setCapHeight(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setCapHeight(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",114
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setStemV(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setStemV(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",104
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setItalicAngle(float),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setItalicAngle(float),"org.apache.pdfbox.cos.COSDictionary.setFloat(COSName, float)",108
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setNonSymbolic(boolean),87
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setNonSymbolic(boolean),"org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFlagBit(int, boolean)",105
"org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFlagBit(int, boolean)",org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFlags(int),314
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFlags(int),"org.apache.pdfbox.cos.COSDictionary.setInt(COSName, int)",323
"org.apache.pdfbox.cos.COSDictionary.setInt(COSName, int)",org.apache.pdfbox.cos.COSInteger.get(long),1815
org.apache.pdfbox.cos.COSInteger.get(long),org.apache.pdfbox.cos.COSInteger.<init>(long),53590
org.apache.pdfbox.cos.COSInteger.<init>(long),org.apache.pdfbox.cos.COSNumber.<init>(),53590
"org.apache.pdfbox.cos.COSDictionary.setInt(COSName, int)","org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",1815
"org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFlagBit(int, boolean)",org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFlags(),321
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFlags(),"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, int)",144
"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, int)","org.apache.pdfbox.cos.COSDictionary.getInt(COSName, COSName, int)",12219
"org.apache.pdfbox.cos.COSDictionary.getInt(COSName, COSName, int)","org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName, COSName)",12262
"org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName, COSName)",org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(COSName),13333
org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder.buildFontDescriptor(FontMetrics),org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFontBoundingBox(PDRectangle),85
org.apache.pdfbox.pdmodel.font.PDFontDescriptor.setFontBoundingBox(PDRectangle),"org.apache.pdfbox.cos.COSDictionary.setItem(COSName, COSBase)",103
