method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.tool.RpcReceiveTool.run1(InputStream, PrintStream, PrintStream, List<String>)",9,265,13,59,44,5,7,31,0,0,0,1,0.09999999999999998,0.7292817679558011,0.6842105263157895,0.59,0.4387755102040816,0.10526315789473684,0.1,0.7380952380952381,1e-13,1e-13,1e-13,1e-13,0.17276673827428338
"org.apache.avro.generic.GenericDatumReader.read(Object, Schema, ResolvingDecoder)",5,133,12,57,20,15,21,19,0,15464,2326,7032160,0.5,0.36464088397790057,0.631578947368421,0.57,0.19387755102040816,0.3684210526315789,0.3,0.4523809523809524,1e-13,0.05586624470744642,0.014878306201426423,0.009545354018683033,0.17124730257987686
"org.apache.avro.generic.GenericData.toString(Object, StringBuilder)",2,9,3,7,51,13,3,18,4,6,1,590,0.8,0.022099447513812154,0.15789473684210525,0.07,0.5102040816326531,0.3157894736842105,0.04285714285714286,0.42857142857142855,1.0,2.1675987341223392e-05,6.396520292960629e-06,7.995003407921105e-07,0.16217902898653205
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map<LitS, Symbol>)",4,60,4,23,58,11,5,15,4,283,18,1483,0.6,0.16298342541436464,0.21052631578947367,0.23,0.5816326530612245,0.2631578947368421,0.07142857142857142,0.35714285714285715,1.0,0.00102238406959437,0.00011513736527329133,2.0116460187672456e-06,0.15922739034465652
org.apache.avro.specific.SpecificCompiler.type(Schema),2,26,5,21,26,17,18,12,0,0,0,145,0.8,0.06906077348066299,0.2631578947368421,0.21,0.25510204081632654,0.42105263157894735,0.2571428571428571,0.2857142857142857,1e-13,1e-13,1e-13,1.9546358077090646e-07,0.15237648783801608
org.apache.avro.specific.SpecificCompiler.enqueue(Schema),3,11,4,8,30,18,18,9,2,11,0,645,0.7,0.027624309392265192,0.21052631578947367,0.08,0.29591836734693877,0.4473684210526316,0.2571428571428571,0.21428571428571427,0.5,3.973931012557622e-05,1e-13,8.741565695587761e-07,0.15184114292129305
"org.apache.avro.tool.DataFileWriteTool.run(InputStream, PrintStream, PrintStream, List<String>)",9,28,4,11,41,5,4,27,1,44,0,5,0.09999999999999998,0.07458563535911603,0.21052631578947367,0.11,0.40816326530612246,0.10526315789473684,0.05714285714285714,0.6428571428571429,0.25,0.00015895724050230488,1e-13,5.429543910302957e-09,0.1516815822466814
org.apache.avro.io.parsing.SkipParser.skipTo(int),2,8,4,5,17,4,10,4,2,276804,156335,245,0.8,0.019337016574585635,0.21052631578947367,0.05,0.16326530612244897,0.07894736842105263,0.14285714285714285,0.09523809523809523,0.5,1.0,1.0,3.312021785284804e-07,0.15002711501239274
"org.apache.avro.io.ResolvingDecoder.doAction(Symbol, Symbol)",9,25,6,8,31,10,12,12,0,223922,700,2017588,0.09999999999999998,0.06629834254143646,0.3157894736842105,0.08,0.30612244897959184,0.23684210526315788,0.17142857142857143,0.2857142857142857,1e-13,0.8089550729035707,0.004477564205072441,0.002738644302339103,0.1441284236413003
org.apache.avro.io.BlockingBinaryEncoder.endBlockedValue(),2,14,5,10,43,8,15,13,1,12,3,2414,0.8,0.03591160220994475,0.2631578947368421,0.1,0.42857142857142855,0.18421052631578946,0.21428571428571427,0.30952380952380953,0.25,4.3351974682446785e-05,1.9189560878881888e-05,3.275372363890259e-06,0.14207722313070426
