method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver)",8,349,18,87,81,14,13,43,2,3012,0,6253,0.3846153846153846,0.6432532347504621,0.6206896551724138,0.38666666666666666,0.5228758169934641,0.3170731707317073,0.07647058823529412,0.7288135593220338,0.3333333333333333,0.02721014689143043,1e-13,3.961836864979478e-05,0.2013413912379349
"org.apache.avro.reflect.ReflectData.createSchema(Type, Map<String, Schema>)",6,78,7,31,154,41,20,59,3,262,4,408,0.5384615384615384,0.1423290203327172,0.2413793103448276,0.13777777777777778,1.0,0.975609756097561,0.11764705882352941,1.0,0.5,0.0023668852873687824,6.130268199233716e-05,2.579122847163544e-06,0.19043320528717925
org.apache.avro.Schema.create(Type),2,350,12,146,13,9,170,10,0,116,11,31763,0.8461538461538461,0.6451016635859519,0.41379310344827586,0.6488888888888888,0.0784313725490196,0.1951219512195122,1.0,0.1694915254237288,1e-13,0.0010479339440258731,0.0001685823754789272,0.00020127297265751468,0.1842723178765682
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.encode(Encoder, Schema, JsonNode)",3,51,9,33,96,30,21,46,3,4,0,285,0.7692307692307692,0.09242144177449169,0.3103448275862069,0.14666666666666667,0.6209150326797386,0.7073170731707317,0.12352941176470589,0.7796610169491526,0.5,3.6135653242271486e-05,1e-13,1.7996827729593278e-06,0.1800913880027081
"org.apache.avro.generic.GenericData.deepCopy(Schema, T)",4,147,11,50,75,21,35,35,3,16,0,363,0.6923076923076923,0.2698706099815157,0.3793103448275862,0.2222222222222222,0.48366013071895425,0.4878048780487805,0.20588235294117646,0.5932203389830508,0.5,0.00014454261296908594,1e-13,2.2939618444059037e-06,0.17752556965710595
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map<LitS, Symbol>)",4,90,13,24,115,42,36,23,0,495,16,22618,0.6923076923076923,0.1645101663585952,0.4482758620689655,0.10666666666666667,0.7450980392156863,1.0,0.21176470588235294,0.3898305084745763,1e-13,0.004471787088731097,0.00024521072796934864,0.00014332191998598986,0.1656484288388644
"org.apache.avro.io.BinaryData.compare(Decoders, Schema)",3,33,6,20,99,40,21,21,3,4,0,152,0.7692307692307692,0.059149722735674676,0.20689655172413793,0.08888888888888889,0.6405228758169934,0.9512195121951219,0.12352941176470589,0.3559322033898305,0.5,3.6135653242271486e-05,1e-13,9.568735870311919e-07,0.14452299730359536
"org.apache.avro.compiler.specific.SpecificCompiler.addStringType(Schema, Map<Schema, Schema>)",5,75,8,41,48,13,10,37,6,1,0,10,0.6153846153846154,0.1367837338262477,0.27586206896551724,0.18222222222222223,0.30718954248366015,0.2926829268292683,0.058823529411764705,0.6271186440677966,1.0,9.033913310567871e-06,1e-13,5.7032200551527995e-08,0.13832066034506998
"org.apache.avro.Schema.parse(JsonNode, Names)",12,79,12,31,121,36,12,48,6,1534,14,52087,0.07692307692307687,0.14417744916820702,0.41379310344827586,0.13777777777777778,0.7843137254901961,0.8536585365853658,0.07058823529411765,0.8135593220338984,1.0,0.013858023018411115,0.00021455938697318008,0.00033006435532520966,0.13607206387994247
org.apache.avro.data.Json.read(Decoder),1,124,14,35,29,13,12,18,4,106,9,5850,0.9230769230769231,0.22735674676524953,0.4827586206896552,0.15555555555555556,0.1830065359477124,0.2926829268292683,0.07058823529411765,0.3050847457627119,0.6666666666666666,0.0009575948109201944,0.00013793103448275863,3.70645934473208e-05,0.13576856508528373
"org.apache.avro.generic.GenericDatumReader.skip(Schema, Decoder)",2,32,6,26,47,20,18,20,5,2,0,48,0.8461538461538461,0.05730129390018484,0.20689655172413793,0.11555555555555555,0.3006535947712418,0.4634146341463415,0.10588235294117647,0.3389830508474576,0.8333333333333334,1.8067826621135743e-05,1e-13,2.9783482510242396e-07,0.12518149373290713
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map<LitS, Symbol>)",3,95,11,35,60,18,35,19,2,165,46,54005,0.7692307692307692,0.17375231053604437,0.3793103448275862,0.15555555555555556,0.38562091503267976,0.4146341463414634,0.20588235294117646,0.3220338983050847,0.3333333333333333,0.001490595696243699,0.0007049808429118774,0.00034221855095385755,0.12277264732685719
org.apache.avro.ipc.HttpTransceiver.readBuffers(InputStream),0,345,17,81,20,5,3,13,2,832,28,4103,1.0,0.6358595194085028,0.5862068965517241,0.36,0.12418300653594772,0.0975609756097561,0.01764705882352941,0.22033898305084745,0.3333333333333333,0.00751621587439247,0.00042911877394636016,2.599400962915198e-05,0.10238711303754572
"org.apache.trevni.avro.AvroColumnWriter.write(Object, Schema, int)",4,41,5,18,58,15,12,21,5,70,11,9818,0.6923076923076923,0.07393715341959335,0.1724137931034483,0.08,0.37254901960784315,0.34146341463414637,0.07058823529411765,0.3559322033898305,0.8333333333333334,0.000632373931739751,0.0001685823754789272,6.220945697937226e-05,0.10053479314510269
"org.apache.avro.util.internal.JacksonUtils.toObject(JsonNode, Schema)",2,11,3,8,60,24,17,33,2,56,14,11795,0.8461538461538461,0.018484288354898338,0.10344827586206896,0.035555555555555556,0.38562091503267976,0.5609756097560976,0.1,0.559322033898305,0.3333333333333333,0.0005058991453918008,0.00021455938697318008,7.473753036719125e-05,0.09731572906669002
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.resolveRecords(Schema, Schema, Map<LitS, Symbol>)",4,84,6,29,59,11,6,18,4,395,17,1538,0.6923076923076923,0.1534195933456562,0.20689655172413793,0.1288888888888889,0.3790849673202614,0.24390243902439024,0.03529411764705882,0.3050847457627119,0.6666666666666666,0.0035683957576743094,0.00026053639846743295,9.739832471966503e-06,0.0962952329307433
"org.apache.avro.ipc.Responder.handshake(Decoder, Encoder, Transceiver)",8,338,17,102,33,9,15,15,1,910,0,6253,0.3846153846153846,0.6229205175600739,0.5862068965517241,0.4533333333333333,0.20915032679738563,0.1951219512195122,0.08823529411764706,0.2542372881355932,0.16666666666666666,0.008220861112616763,1e-13,3.961836864979478e-05,0.0934911467770642
"org.apache.avro.reflect.ReflectData.getMessage(Method, Protocol, Map<String, Schema>)",6,92,12,40,41,12,7,20,3,173,0,54,0.5384615384615384,0.16820702402957485,0.41379310344827586,0.17777777777777778,0.26143790849673204,0.2682926829268293,0.041176470588235294,0.3389830508474576,0.5,0.0015628670027282418,1e-13,3.3585629213677596e-07,0.0915187477910366
org.apache.avro.hadoop.io.AvroDatumConverterFactory.create(Class<IN>),5,99,14,30,65,18,17,21,0,14,0,17,0.6153846153846154,0.18114602587800369,0.4827586206896552,0.13333333333333333,0.41830065359477125,0.4146341463414634,0.1,0.3559322033898305,1e-13,0.0001264747863479502,1e-13,1.01390578758272e-07,0.09103413256082955
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema, boolean)",4,45,7,20,49,22,16,22,2,382,135,143878,0.6923076923076923,0.08133086876155268,0.2413793103448276,0.08888888888888889,0.3137254901960784,0.5121951219512195,0.09411764705882353,0.3728813559322034,0.3333333333333333,0.003450954884636927,0.0020689655172413794,0.0009117357687502437,0.08976158118902434
org.apache.trevni.avro.AvroColumnReader.read(Schema),5,54,5,18,56,15,12,24,4,73,13,9838,0.6153846153846154,0.09796672828096119,0.1724137931034483,0.08,0.35947712418300654,0.34146341463414637,0.07058823529411765,0.4067796610169492,0.6666666666666666,0.0006594756716714546,0.00019923371647509577,6.23361952028201e-05,0.0890906315760192
"org.apache.avro.Schema.isValidDefault(Schema, JsonNode)",3,12,4,9,48,26,17,18,3,0,0,28,0.7692307692307692,0.02033271719038817,0.13793103448275862,0.04,0.30718954248366015,0.6097560975609756,0.1,0.3050847457627119,0.5,1e-13,1e-13,1.7109660165458399e-07,0.08814022075945287
"org.apache.avro.generic.GenericData.toString(Object, StringBuilder)",2,18,3,14,57,13,4,29,3,39,6,2558,0.8461538461538461,0.031423290203327174,0.10344827586206896,0.06222222222222222,0.3660130718954248,0.2926829268292683,0.023529411764705882,0.4915254237288136,0.5,0.000352322619112147,9.195402298850575e-05,1.6203481867806342e-05,0.0873068299221289
"org.apache.avro.tool.DataFileRepairTool.innerRecover(DataFileReader<Object>, DataFileWriter<Object>, PrintStream, PrintStream, boolean, boolean, Schema, File)",12,149,11,46,120,18,15,14,2,36,0,8,0.07692307692307687,0.2735674676524954,0.3793103448275862,0.20444444444444446,0.7777777777777778,0.4146341463414634,0.08823529411764706,0.23728813559322035,0.3333333333333333,0.0003252208791804434,1e-13,4.4358378206743994e-08,0.08647695663403115
org.apache.avro.io.parsing.Parser.advance(Symbol),2,137,7,73,24,7,79,6,1,428,145,695213,0.8461538461538461,0.2513863216266174,0.2413793103448276,0.3244444444444444,0.1503267973856209,0.14634146341463414,0.4647058823529412,0.1016949152542373,0.16666666666666666,0.003866514896923049,0.0022222222222222222,0.0044054966899809865,0.08564126274347231
org.apache.avro.AvroRuntimeException.AvroRuntimeException(String),0,539,12,225,1,1,79,2,0,0,0,224,1.0,0.9944547134935305,0.41379310344827586,1.0,1e-13,1e-13,0.4647058823529412,0.03389830508474576,1e-13,1e-13,1e-13,1.4131311914434159e-06,0.08496833166767812
"org.apache.avro.specific.SpecificData.createSchema(java.lang.reflect.Type, Map<String, Schema>)",4,77,8,36,58,19,20,24,0,381,0,239,0.6923076923076923,0.14048059149722736,0.27586206896551724,0.16,0.37254901960784315,0.43902439024390244,0.11764705882352941,0.4067796610169492,1e-13,0.003441920971326359,1e-13,1.508184859029296e-06,0.08474585179177581
"org.apache.avro.Protocol.parseMessage(String, JsonNode)",12,79,11,25,78,23,8,27,5,47,1,249,0.07692307692307687,0.14417744916820702,0.3793103448275862,0.1111111111111111,0.5032679738562091,0.5365853658536586,0.047058823529411764,0.4576271186440678,0.8333333333333334,0.00042459392559668997,1.532567049808429e-05,1.5715539707532158e-06,0.08459543180968937
"org.apache.trevni.avro.AvroColumnReader.findDefaults(Schema, Schema)",5,67,11,28,37,20,17,13,2,4,0,120,0.6153846153846154,0.12199630314232902,0.3793103448275862,0.12444444444444444,0.23529411764705882,0.4634146341463415,0.1,0.22033898305084745,0.3333333333333333,3.6135653242271486e-05,1e-13,7.54092429514648e-07,0.08392442171332579
org.apache.avro.ipc.Requestor.readHandshake(Decoder),9,364,23,92,32,7,11,11,1,371,0,6210,0.3076923076923077,0.6709796672828097,0.7931034482758621,0.4088888888888889,0.20261437908496732,0.14634146341463414,0.06470588235294118,0.1864406779661017,0.16666666666666666,0.0033515818382206805,1e-13,3.9345881469381926e-05,0.08360329727396563
org.apache.avro.specific.SpecificData.getClass(Schema),3,71,9,30,38,22,34,17,0,130,20,28367,0.7692307692307692,0.12939001848428835,0.3103448275862069,0.13333333333333333,0.24183006535947713,0.5121951219512195,0.2,0.288135593220339,1e-13,0.0011744087303738233,0.0003065134099616858,0.00017975282231607145,0.08336755548710373
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.bestBranch(Schema, Schema, Map<LitS, Symbol>)",4,84,7,28,60,19,13,8,2,8,3,2921,0.6923076923076923,0.1534195933456562,0.2413793103448276,0.12444444444444444,0.38562091503267976,0.43902439024390244,0.07647058823529412,0.13559322033898305,0.3333333333333333,7.227130648454297e-05,4.597701149425287e-05,1.8503780623384637e-05,0.08299381761682813
"org.apache.avro.tool.RpcReceiveTool.run1(InputStream, PrintStream, PrintStream, List<String>)",12,347,18,84,45,5,8,31,0,483,0,3,0.07692307692307687,0.6395563770794824,0.6206896551724138,0.37333333333333335,0.2875816993464052,0.0975609756097561,0.047058823529411764,0.5254237288135594,1e-13,0.004363380129004282,1e-13,1.2673822344784e-08,0.08190101451514545
"org.apache.avro.tool.RpcSendTool.run(InputStream, PrintStream, PrintStream, List<String>)",12,470,15,99,42,5,4,27,0,38,0,1,0.07692307692307687,0.866913123844732,0.5172413793103449,0.44,0.2679738562091503,0.0975609756097561,0.023529411764705882,0.4576271186440678,1e-13,0.00034328870580157915,1e-13,1e-13,0.0804812982988532
"org.apache.avro.data.Json.write(JsonNode, Encoder)",3,22,7,15,53,11,19,24,2,95,12,5850,0.7692307692307692,0.038817005545286505,0.2413793103448276,0.06666666666666667,0.33986928104575165,0.24390243902439024,0.11176470588235295,0.4067796610169492,0.3333333333333333,0.0008582217645039478,0.0001839080459770115,3.70645934473208e-05,0.08011596738786742
"org.apache.avro.SchemaNormalization.build(Map<String, String>, Schema, Appendable)",2,15,3,12,48,17,10,17,3,77,11,3698,0.8461538461538461,0.025878003696857672,0.10344827586206896,0.05333333333333334,0.30718954248366015,0.3902439024390244,0.058823529411764705,0.288135593220339,0.5,0.0006956113249137261,0.0001685823754789272,2.342756060433322e-05,0.07944459297755693
"org.apache.avro.tool.JsonToBinaryFragmentTool.run(InputStream, PrintStream, PrintStream, List<String>)",12,307,14,78,50,6,5,25,1,285,0,3,0.07692307692307687,0.5656192236598891,0.4827586206896552,0.3466666666666667,0.3202614379084967,0.12195121951219512,0.029411764705882353,0.423728813559322,0.16666666666666666,0.0025746652935118436,1e-13,1.2673822344784e-08,0.07816294370047101
"org.apache.avro.Schema.getAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map>)",7,44,8,18,42,16,14,9,5,0,0,472,0.46153846153846156,0.07948243992606285,0.27586206896551724,0.08,0.2679738562091503,0.36585365853658536,0.08235294117647059,0.15254237288135594,0.8333333333333334,1e-13,1e-13,2.9846851621966317e-06,0.07632725932680477
org.apache.avro.ipc.Requestor.writeHandshake(Encoder),8,343,22,85,25,5,14,12,1,278,14,6262,0.3846153846153846,0.6321626617375231,0.7586206896551724,0.37777777777777777,0.1568627450980392,0.0975609756097561,0.08235294117647059,0.2033898305084746,0.16666666666666666,0.002511427900337868,0.00021455938697318008,3.9675400850346306e-05,0.07609682786258894
org.apache.avro.compiler.specific.SpecificCompiler.addStringType(Protocol),5,81,9,32,22,6,4,27,3,0,0,6,0.6153846153846154,0.1478743068391867,0.3103448275862069,0.14222222222222222,0.13725490196078433,0.12195121951219512,0.023529411764705882,0.4576271186440678,0.5,1e-13,1e-13,3.168455586196e-08,0.07540325634483043
"org.apache.avro.file.DataFileReader12.DataFileReader12(SeekableInput, DatumReader<D>)",6,68,13,24,34,6,14,27,2,6,0,9,0.5384615384615384,0.12384473197781885,0.4482758620689655,0.10666666666666667,0.21568627450980393,0.12195121951219512,0.08235294117647059,0.4576271186440678,0.3333333333333333,5.420347986340723e-05,1e-13,5.0695289379136e-08,0.07370142566373585
"org.apache.avro.ipc.NettyTransceiver.disconnect(boolean, boolean, Throwable)",1,6,2,5,62,14,17,26,1,26,1,35,0.9230769230769231,0.009242144177449169,0.06896551724137931,0.022222222222222223,0.39869281045751637,0.3170731707317073,0.1,0.4406779661016949,0.16666666666666666,0.00023488174607476467,1.532567049808429e-05,2.1545497986132797e-07,0.07282817000490915
org.apache.avro.file.DataFileStream.initialize(InputStream),4,59,9,23,30,6,15,26,2,356,0,386,0.6923076923076923,0.10720887245841035,0.3103448275862069,0.10222222222222223,0.1895424836601307,0.12195121951219512,0.08823529411764706,0.4406779661016949,0.3333333333333333,0.0032160731385621625,1e-13,2.4397108013709198e-06,0.07113356907131113
org.apache.avro.file.DataFileStream.hasNext(),4,224,13,54,25,7,34,17,0,2668,9,148052,0.6923076923076923,0.4121996303142329,0.4482758620689655,0.24,0.1568627450980392,0.14634146341463414,0.2,0.288135593220339,1e-13,0.024102480712595083,0.00013793103448275863,0.0009381860359838079,0.07093503449618735
org.apache.avro.protobuf.ProtobufData.getDefault(FieldDescriptor),5,48,10,25,35,23,24,19,0,35,0,40,0.6153846153846154,0.08687615526802218,0.3448275862068966,0.1111111111111111,0.2222222222222222,0.5365853658536586,0.1411764705882353,0.3220338983050847,1e-13,0.0003161869658698755,1e-13,2.47139535723288e-07,0.07076702738062096
org.apache.avro.Schema.parse(String),1,233,11,63,3,1,107,2,0,791,0,576,0.9230769230769231,0.4288354898336414,0.3793103448275862,0.28,0.013071895424836602,1e-13,0.6294117647058823,0.03389830508474576,1e-13,0.007145825428659187,1e-13,3.6437239241253997e-06,0.06801774006826995
"org.apache.trevni.avro.AvroColumnator.columnize(String, Schema, ColumnMetaData, boolean)",2,18,3,15,37,13,16,20,2,16,2,363,0.8461538461538461,0.031423290203327174,0.10344827586206896,0.06666666666666667,0.23529411764705882,0.2926829268292683,0.09411764705882353,0.3389830508474576,0.3333333333333333,0.00014454261296908594,3.065134099616858e-05,2.2939618444059037e-06,0.06780721154248903
org.apache.avro.ipc.SaslSocketTransceiver.open(boolean),2,19,5,12,48,14,13,21,1,353,0,12,0.8461538461538461,0.033271719038817,0.1724137931034483,0.05333333333333334,0.30718954248366015,0.3170731707317073,0.07647058823529412,0.3559322033898305,0.16666666666666666,0.0031889713986304586,1e-13,6.970602289631199e-08,0.067599665437073
"org.apache.avro.generic.GenericDatumReader.readArray(Object, Schema, ResolvingDecoder)",4,104,6,50,28,6,4,12,3,110,9,3885,0.6923076923076923,0.19038817005545286,0.20689655172413793,0.2222222222222222,0.17647058823529413,0.12195121951219512,0.023529411764705882,0.2033898305084746,0.5,0.0009937304641624658,0.00013793103448275863,2.4612562993570526e-05,0.06725286983130356
