hash,author,date,title,file,methods
37ce7f72,Zoltan Farkas,2017-02-07 13:52:08,AVRO-1997 [java] get/set defaults for fixed.,lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,toJsonNode(Object)->toJsonNode(Object)
37ce7f72,Zoltan Farkas,2017-02-07 13:52:08,AVRO-1997 [java] get/set defaults for fixed.,lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java,"toObject(JsonNode,Schema)->toObject(JsonNode,Schema)"
37ce7f72,Zoltan Farkas,2017-02-07 13:52:08,AVRO-1997 [java] get/set defaults for fixed.,lang/java/avro/src/test/java/org/apache/avro/TestFixed.java,
e06b4016,Sean Busbey,2017-02-28 08:42:51,"Revert ""[fix] get/set defaults for fixed.""",lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,toJsonNode(Object)->toJsonNode(Object)
e06b4016,Sean Busbey,2017-02-28 08:42:51,"Revert ""[fix] get/set defaults for fixed.""",lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java,"toObject(JsonNode,Schema)->toObject(JsonNode,Schema)"
e06b4016,Sean Busbey,2017-02-28 08:42:51,"Revert ""[fix] get/set defaults for fixed.""",lang/java/avro/src/test/java/org/apache/avro/TestFixed.java,
db6bb9d7,Zoltan Farkas,2017-02-07 13:52:08,[fix] get/set defaults for fixed.,lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,toJsonNode(Object)->toJsonNode(Object)
db6bb9d7,Zoltan Farkas,2017-02-07 13:52:08,[fix] get/set defaults for fixed.,lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java,"toObject(JsonNode,Schema)->toObject(JsonNode,Schema)"
db6bb9d7,Zoltan Farkas,2017-02-07 13:52:08,[fix] get/set defaults for fixed.,lang/java/avro/src/test/java/org/apache/avro/TestFixed.java,
52d12bbc,Gabor Szadovszky,2017-02-20 09:01:25,AVRO-1973: Upgrade netty to the latest 3.x release,lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCallbacks.java,cancelPendingRequestsAfterChannelCloseByServerShutdown()->cancelPendingRequestsAfterChannelCloseByServerShutdown()
94d15f4b,Francesco Versaci,2016-12-22 11:58:14,AVRO-1972 Corrected typo in method name (getConversion),lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,getConverion(String)->[None]; [None]->getConversion(String)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/Schema.java,defaultValueEquals(JsonNode)->defaultValueEquals(JsonNode); equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/file/BZip2Codec.java,equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/file/NullCodec.java,equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/file/XZCodec.java,equals(Object)->equals(Object)
6bdc8f43,Zoltan Ivanfi,2016-12-19 18:27:45,AVRO-1982: Fix static code analyzer findings. Contributed by Zoltan Ivanfi.,lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,equals(Object)->equals(Object); equals(Object)->equals(Object)
f8c70a3a,Clément MATHIEU,2017-01-24 11:09:03,AVRO-1787 Add support of directories & globs to concat and cat. Contributed by Clément MATHIEU.,lang/java/tools/src/main/java/org/apache/avro/tool/ConcatTool.java,"run(InputStream,PrintStream,PrintStream,List<String>)->run(InputStream,PrintStream,PrintStream,List<String>); printHelp(PrintStream)->printHelp(PrintStream); [None]->expandsInputFiles(List<String>)"
f8c70a3a,Clément MATHIEU,2017-01-24 11:09:03,AVRO-1787 Add support of directories & globs to concat and cat. Contributed by Clément MATHIEU.,lang/java/tools/src/main/java/org/apache/avro/tool/Util.java,getFiles(String)->getFiles(String); getFiles(List<String>)->getFiles(List<String>)
f8c70a3a,Clément MATHIEU,2017-01-24 11:09:03,AVRO-1787 Add support of directories & globs to concat and cat. Contributed by Clément MATHIEU.,lang/java/tools/src/test/java/org/apache/avro/tool/TestCatTool.java,testCat()->testCat()
f8c70a3a,Clément MATHIEU,2017-01-24 11:09:03,AVRO-1787 Add support of directories & globs to concat and cat. Contributed by Clément MATHIEU.,lang/java/tools/src/test/java/org/apache/avro/tool/TestConcatTool.java,[None]->testDirConcat(); [None]->testFileDoesNotExist(); [None]->testGlobPatternConcat()
d9338a4c,Nandor Kollar,2017-01-02 12:00:34,AVRO-1954 - Schema.Field.defaultVal() generates: Unknown datum type org.apache.avro.JsonProperties$Null. Contributed by Nandor Kollar,lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,getSchemaName(Object)->getSchemaName(Object)
d9338a4c,Nandor Kollar,2017-01-02 12:00:34,AVRO-1954 - Schema.Field.defaultVal() generates: Unknown datum type org.apache.avro.JsonProperties$Null. Contributed by Nandor Kollar,lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericDatumWriter.java,"[None]->createRecordWithDefaultField(Schema); [None]->schemaWithExplicitNullDefault(); [None]->writeFieldWithDefaultWithoutExplicitNullDefaultInSchema(); [None]->schemaWithoutExplicitNullDefault(); [None]->writeFieldWithDefaultWithExplicitNullDefaultInSchema(); [None]->writeObject(Schema,GenericRecord)"
4f53fa93,Nandor Kollar,2017-01-04 13:36:00,AVRO-1881 - Avro (Java) Memory Leak when reusing JsonDecoder instance. Contributed by Nandor Kollar.,lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,configure(String)->configure(String); configure(InputStream)->configure(InputStream)
d559a7e8,Gabor Szadovszky,2016-12-19 09:43:33,AVRO-1970: Flaky test: TestInputBytes. Contributed by Gabor Szadovszky.,lang/java/trevni/core/src/test/java/org/apache/trevni/TestInputBytes.java,testRandomReads()->testRandomReads()
