file,method,issue,hash,date,title
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,"NettyTransceiver(InetSocketAddress,ChannelFactory,Map<String, Object>)",AVRO-1407,fbaf3c39,2014-11-26 19:30:18,AVRO-1407: Java: Fix infinite loop on slow connect in NettyTransceiver.  Contributed by Gareth Davis.
lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,"deepCopy(Schema,T)",AVRO-1455,e0966a1e,2014-03-03 15:25:57,AVRO-1455. Deep copy does not need to create new instances for primitives.
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,toString(),AVRO-1348,7699e3d2,2013-12-19 20:33:05,AVRO-1348. Java: Improve UTF-8 to String conversion performance in Java 6.
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,getBytesFor(String),AVRO-1348,7699e3d2,2013-12-19 20:33:05,AVRO-1348. Java: Improve UTF-8 to String conversion performance in Java 6.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,"disconnect(boolean,boolean,Throwable)",AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,writeBuffers(List<ByteBuffer>),AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,buildDefaultBootstrapOptions(Long),AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,NettyClientAvroHandler(),AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,writeDataPack(NettyDataPack),AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,getChannel(),AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,"NettyTransceiver(InetSocketAddress,ChannelFactory,Map<String, Object>)",AVRO-1292,c979ba85,2013-07-02 18:00:11,AVRO-1292. Java: Fix potential client blocking in NettyTransceiver.  Contributed by James Baldassari.
