method,Layer,Size,Depth,Width,LOC,Cyclomatic,FanIn,FanOut,Loop,Time,OwnTime,Count,N_Layer,N_Size,N_Depth,N_Width,N_LOC,N_Cyclomatic,N_FanIn,N_FanOut,N_Loop,N_Time,N_OwnTime,N_Count,score
"org.apache.avro.Schema.parse(JsonNode, Names)",11,57,6,31,117,36,9,44,6,1283,157,54102,0.08333333333333337,0.12444444444444444,0.2222222222222222,0.2198581560283688,1.0,0.8974358974358975,0.10588235294117647,0.9565217391304348,1.0,0.0033527232056528534,0.0006619556784834891,0.00017066904036730225,0.39609732738760733
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.encode(Encoder, Schema, JsonNode)",4,195,15,63,96,30,21,46,3,0,0,191,0.6666666666666667,0.4311111111111111,0.5555555555555556,0.44680851063829785,0.8189655172413793,0.7435897435897436,0.24705882352941178,1.0,0.5,1e-13,1e-13,5.99381114393217e-07,0.3309614608854609
"org.apache.avro.io.BinaryData.compare(Decoders, Schema)",3,38,9,21,99,40,23,21,3,3,1,150,0.75,0.08222222222222222,0.3333333333333333,0.14893617021276595,0.8448275862068966,1.0,0.27058823529411763,0.45652173913043476,0.5,7.839571018673859e-06,4.216278206901204e-06,4.700409791820491e-07,0.30719444211227126
"org.apache.avro.reflect.ReflectData.createSchema(Type, Map<String, Schema>)",5,55,8,24,98,28,17,44,2,87,1,184,0.5833333333333333,0.12,0.2962962962962963,0.1702127659574468,0.8362068965517241,0.6923076923076923,0.2,0.9565217391304348,0.3333333333333333,0.00022734755954154187,4.216278206901204e-06,5.772986522839931e-07,0.30184828148828186
"org.apache.avro.generic.GenericData.deepCopy(Schema, Object)",3,209,14,54,76,23,22,31,4,12,0,94,0.75,0.4622222222222222,0.5185185185185185,0.3829787234042553,0.646551724137931,0.5641025641025641,0.25882352941176473,0.6739130434782609,0.6666666666666666,3.1358284074695435e-05,1e-13,2.9338128230825884e-07,0.28100854039394163
"org.apache.avro.io.parsing.ResolvingGrammarGenerator.generate(Schema, Schema, Map<LitS, Symbol>)",4,77,12,21,104,39,35,22,0,546,15,23696,0.6666666666666667,0.1688888888888889,0.4444444444444444,0.14893617021276595,0.8879310344827587,0.9743589743589743,0.4117647058823529,0.4782608695652174,1e-13,0.0014268019253986422,6.324417310351806e-05,7.47491342397225e-05,0.27532472478340037
"org.apache.avro.ipc.Responder.respond(List<ByteBuffer>, Transceiver)",7,274,17,75,79,13,13,42,2,3207,0,5321,0.41666666666666663,0.6066666666666667,0.6296296296296297,0.5319148936170213,0.6724137931034483,0.3076923076923077,0.15294117647058825,0.9130434782608695,0.3333333333333333,0.008380501418962355,1e-13,1.6782671203010076e-05,0.23870686888873108
"org.apache.avro.generic.GenericData.validate(Schema, Object)",2,27,5,20,44,26,20,21,4,7,3,3030,0.8333333333333334,0.057777777777777775,0.18518518518518517,0.14184397163120568,0.3706896551724138,0.6410256410256411,0.23529411764705882,0.45652173913043476,0.6666666666666666,1.829233237690567e-05,1.2648834620703612e-05,9.555396818405548e-06,0.23702183740151722
"org.apache.avro.generic.GenericDatumReader.skip(Schema, Decoder)",2,32,6,26,47,20,18,20,5,0,0,48,0.8333333333333334,0.06888888888888889,0.2222222222222222,0.18439716312056736,0.39655172413793105,0.48717948717948717,0.21176470588235294,0.43478260869565216,0.8333333333333334,1e-13,1e-13,1.4826795987621683e-07,0.23636119400868968
"org.apache.avro.RandomData.generate(Schema, Random, int)",11,20,4,13,44,20,18,26,3,9022,935,1099270,0.08333333333333337,0.042222222222222223,0.14814814814814814,0.09219858156028368,0.3706896551724138,0.48717948717948717,0.21176470588235294,0.5652173913043478,0.5,0.02357620324349185,0.0039422201234526255,0.0034677951486206168,0.21395753762746575
"org.apache.avro.io.BinaryData.hashCode(HashData, Schema)",11,40,10,20,53,20,19,21,3,1,0,152,0.08333333333333337,0.08666666666666667,0.37037037037037035,0.14184397163120568,0.4482758620689655,0.48717948717948717,0.2235294117647059,0.45652173913043476,0.5,2.613190339557953e-06,1e-13,4.7635025407039873e-07,0.21155073783639983
"org.apache.avro.generic.GenericData.compare(Object, Object, Schema, boolean)",3,35,6,16,49,22,16,22,2,46607,15442,25738405,0.75,0.07555555555555556,0.2222222222222222,0.11347517730496454,0.41379310344827586,0.5384615384615384,0.18823529411764706,0.4782608695652174,0.3333333333333333,0.1217929621557775,0.0651077680709684,0.08119533301169912,0.20818038662933844
"org.apache.avro.io.parsing.ValidatingGrammarGenerator.generate(Schema, Map<LitS, Symbol>)",3,78,10,33,60,18,35,18,2,156,48,52992,0.75,0.1711111111111111,0.37037037037037035,0.23404255319148937,0.5086206896551724,0.4358974358974359,0.4117647058823529,0.391304347826087,0.3333333333333333,0.00040765769297104065,0.0002023813539312578,0.0001671673928042682,0.20814145322209127
"org.apache.avro.tool.FromTextTool.run(InputStream, PrintStream, PrintStream, List<String>)",11,36,5,13,67,11,8,33,2,2351,0,3,0.08333333333333337,0.07777777777777778,0.18518518518518517,0.09219858156028368,0.5689655172413793,0.2564102564102564,0.09411764705882353,0.717391304347826,0.3333333333333333,0.006143610488300747,1e-13,6.309274888349652e-09,0.1971340535265491
"org.apache.avro.Schema.applyAliases(Schema, Map<Schema, Schema>, Map<Name, Name>, Map<Name, Map>)",6,38,6,19,53,17,20,25,2,0,0,5,0.5,0.08222222222222222,0.2222222222222222,0.1347517730496454,0.4482758620689655,0.41025641025641024,0.23529411764705882,0.5434782608695652,0.3333333333333333,1e-13,1e-13,1.2618549776699304e-08,0.19706379891134504
