sep=;
id; seed; size; upperDepth; upperWidth; lowerDepth; lowerWidth
1;org.apache.pdfbox.cos.COSInteger.equals(Object);17;4;7;1;1
2;org.apache.pdfbox.pdmodel.common.PDRectangle.PDRectangle(BoundingBox);165;7;52;3;3
3;org.apache.pdfbox.pdmodel.PDDocument.getSignatureDictionary();21;0;0;7;6
4;org.apache.pdfbox.cos.COSDictionary.containsKey(COSName);67;6;19;0;0
5;org.apache.pdfbox.pdfparser.NonSequentialPDFParser.createTmpFile(InputStream);15;4;7;1;2
6;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotation.setToggleNoView(boolean);14;0;0;6;4
7;org.apache.pdfbox.Decrypt.usage();159;10;32;0;0
8;org.apache.pdfbox.pdmodel.edit.PDPageContentStream.appendRawCommands(float);165;15;46;0;0
9;org.apache.pdfbox.pdmodel.fdf.FDFTemplate.getTemplateReference();7;0;0;3;2
10;org.apache.pdfbox.pdmodel.interactive.action.type.PDAction.getNext();29;0;0;6;11
11;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationLine.setCaptionVerticalOffset(float);18;0;0;3;7
12;org.apache.pdfbox.pdmodel.PDResources.getFonts();274;8;39;12;46
13;org.apache.pdfbox.examples.signature.CMSProcessableInputStream.CMSProcessableInputStream(InputStream);3;1;2;0;0
14;org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.setCanAssembleDocument(boolean);14;0;0;5;4
15;org.apache.pdfbox.pdmodel.graphics.color.ColorSpaceLab.ColorSpaceLab();2;1;1;0;0
16;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.incrementRevisionNumber();15;0;0;6;4
17;org.apache.pdfbox.pdmodel.PDPage.findCropBox();401;7;126;4;8
18;org.apache.pdfbox.cos.COSDictionary.getDictionaryObject(String, String);42;6;14;2;2
19;org.apache.pdfbox.pdmodel.encryption.PDStandardEncryption.setCanFillInForm(boolean);14;0;0;5;4
20;org.apache.pdfbox.pdmodel.fdf.FDFDictionary.getDifferences();3;0;0;2;1
21;org.apache.pdfbox.pdmodel.interactive.form.PDField.getValue();69;6;25;0;0
22;org.apache.pdfbox.preflight.process.XRefValidationProcess.validate(PreflightContext);12;0;0;4;5
23;org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Div.execute(ExecutionContext);3;0;0;1;2
24;org.apache.pdfbox.pdmodel.fdf.FDFAnnotationSquare.FDFAnnotationSquare();9;0;0;3;4
25;org.apache.pdfbox.pdmodel.graphics.shading.PDShadingResources.getColorSpace();112;13;18;6;11
26;org.apache.pdfbox.util.TextPosition.toString();2;0;0;1;1
27;org.apache.pdfbox.pdmodel.font.FontManager.loadFonts();5;0;0;1;4
28;org.apache.pdfbox.preflight.font.util.PeekInputStream.peek(int);1;0;0;0;0
29;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.write2OutputStream(OutputStream);3;1;2;0;0
30;org.apache.pdfbox.filter.LZWFilter.encode(InputStream, OutputStream, COSDictionary, int);16;0;0;2;10
31;org.apache.pdfbox.OverlayPDF.createContentStream(COSBase);67;5;10;6;9
32;org.apache.pdfbox.pdmodel.common.PDPageLabels.getCOSObject();5;0;0;2;3
33;org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField.generatePartialName();70;6;5;6;17
34;org.apache.pdfbox.pdmodel.PDDocument.load(URL);1;0;0;0;0
35;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner.signatureFieldName(String);370;13;115;0;0
36;org.apache.pdfbox.pdmodel.encryption.PDEncryptionDictionary.setPermissions(int);58;5;30;3;2
37;org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.PDTrueTypeFont();100;8;34;3;2
38;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject.setArrayOfName(String, String[]);32;1;2;7;8
39;org.apache.pdfbox.preflight.font.util.Type1Parser.isLenIVKeyWord(byte[]);26;4;12;0;0
40;org.apache.pdfbox.filter.LZWDictionary.visit(byte);23;3;13;1;4
41;org.apache.pdfbox.pdfwriter.COSStandardOutputStream.mark();3;0;0;1;2
42;org.apache.pdfbox.pdmodel.common.PDNameTreeNode.convertCOSToPD(COSBase);13;4;4;0;0
43;org.apache.pdfbox.pdmodel.font.PDFont.getEncoding();38;7;11;2;1
44;org.apache.pdfbox.pdfparser.PDFXRefStream.PDFXRefStream();74;5;31;3;3
45;org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature.setReason(String);289;12;61;3;2
46;org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.getPrintScaling();1;0;0;0;0
47;org.apache.pdfbox.util.operator.SetNonStrokingICCBasedColor.process(PDFOperator, List);13;0;0;5;6
48;org.apache.pdfbox.pdmodel.PDResources.getColorSpaces();109;11;18;6;10
49;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDFourColours.getStartColour();5;0;0;3;2
50;org.apache.pdfbox.pdmodel.interactive.form.PDSignatureField.PDSignatureField(PDAcroForm);161;6;47;6;19
51;org.apache.pdfbox.pdmodel.interactive.annotation.PDAppearanceStream.getMatrix();126;10;31;2;5
52;org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSeedValueMDP.PDSeedValueMDP(COSDictionary);5;3;1;1;1
53;org.apache.pdfbox.pdmodel.PDPage.equals(Object);2;0;0;1;1
54;org.apache.pdfbox.util.BitFlagHelper.setFlag(COSDictionary, COSName, int, boolean);56;3;39;5;4
55;org.apache.pdfbox.pdmodel.font.FontManager.getStandardFont();67;8;13;2;1
56;org.apache.pdfbox.pdmodel.interactive.measurement.PDNumberFormatDictionary.setUnits(String);9;0;0;4;3
57;org.apache.pdfbox.pdmodel.interactive.form.PDAppearance.getDefaultAppearance();341;10;89;2;6
58;org.apache.pdfbox.preflight.PreflightDocument.validate();292;15;54;5;6
59;org.apache.pdfbox.pdmodel.fdf.FDFJavaScript.setNamedJavaScripts(List);13;0;0;3;8
60;org.apache.pdfbox.preflight.annotation.LineAnnotationValidator.LineAnnotationValidator(PreflightContext, COSDictionary);7;0;0;3;3
61;org.apache.pdfbox.cos.COSName.COSName(String);2;0;0;1;1
62;org.apache.pdfbox.preflight.font.container.FontContainer.getFontProgramWidth(int);43;7;10;0;0
63;org.apache.pdfbox.io.ASCII85InputStream.ASCII85InputStream(InputStream);5;3;2;0;0
64;org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType4.getBitsPerFlag();8;0;0;5;2
65;org.apache.pdfbox.pdmodel.PDJavascriptNameTreeNode.PDJavascriptNameTreeNode(COSDictionary);6;3;2;1;1
66;org.apache.pdfbox.pdmodel.PDDocumentCatalog.getViewerPreferences();115;9;36;2;2
67;org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDFTemplateBuilder.createInnerFormResource();98;8;51;0;0
68;org.apache.pdfbox.pdmodel.PDDocument.setAllSecurityToBeRemoved(boolean);281;11;63;0;0
69;org.apache.pdfbox.util.ResourceLoader.loadResource(String);59;7;13;0;0
70;org.apache.pdfbox.preflight.graphic.StandardColorSpaceHelper.validate();143;0;0;10;33
71;org.apache.pdfbox.pdmodel.common.PDNameTreeNode.setNames(Map);269;16;43;5;9
72;org.apache.pdfbox.preflight.font.CIDType2FontValidator.CIDType2FontValidator(PreflightContext, PDFont);24;6;7;4;4
73;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationMarkup.getIntent();16;0;0;5;4
74;org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationText.getName();14;0;0;5;4
75;org.apache.pdfbox.pdfviewer.PageDrawer.getPageSize();187;9;38;0;0
76;org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDThreadBead.setNextBead(PDThreadBead);19;5;4;4;3
77;org.apache.pdfbox.util.PositionWrapper.PositionWrapper(TextPosition);71;5;31;0;0
78;org.apache.pdfbox.io.ByteArrayPushBackInputStream.read(byte[]);2;0;0;1;1
79;org.apache.pdfbox.preflight.font.Type0FontValidator.validate();102;0;0;9;22
80;org.apache.pdfbox.preflight.parser.PreflightParser.checkPdfHeader();252;12;54;2;4
81;org.apache.pdfbox.util.PDFTextStripper.endArticle();72;5;32;1;1
82;org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement.setClassNames(Revisions);16;0;0;2;10
83;org.apache.pdfbox.preflight.action.UndefAction.innerValid();8;0;0;3;3
84;org.apache.pdfbox.pdfparser.ConformingPDFParser.readDictionaryBackwards();39;2;2;4;13
85;org.apache.pdfbox.pdmodel.PDResources.getXObjects();269;9;52;6;9
86;org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDExportFormatAttributeObject.setColSpan(int);32;0;0;8;11
87;org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup.execute(ExecutionContext);2;0;0;1;1
88;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.writeNonTerminating(int);2;1;1;0;0
89;org.apache.pdfbox.pdmodel.graphics.predictor.Optimum.encode(byte[], byte[]);5;0;0;2;3
90;org.apache.pdfbox.preflight.parser.PreflightParser.lastIndexOf(char[], byte[], int);8;0;0;2;4
91;org.apache.pdfbox.filter.TIFFFaxDecoder.getNextChangingElement(int, boolean, int[]);12;3;7;0;0
92;org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNAttributes.setColorants(Map);8;0;0;3;4
93;org.apache.pdfbox.pdmodel.graphics.color.PDIndexed.calculateColorValues(int);65;6;6;8;16
94;org.apache.pdfbox.pdmodel.interactive.form.PDField.importFDF(FDFField);117;5;8;7;28
95;org.apache.pdfbox.pdmodel.font.PDCIDFontType0Font.getawtFont();65;0;0;10;12
96;org.apache.pdfbox.util.operator.SetTextRise.process(PDFOperator, List);5;0;0;1;4
97;org.apache.pdfbox.pdmodel.common.PDMetadata.importXMPMetadata(XMPMetadata);285;11;58;4;1
98;org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination.PDPageFitHeightDestination.setLeft(int);9;0;0;3;3
99;org.apache.pdfbox.pdmodel.common.function.PDFunction.setDomainValues(COSArray);5;0;0;2;2
100;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject.setMetadata(PDMetadata);7;0;0;3;3
101;org.apache.pdfbox.pdfwriter.COSWriter.getStartxref();95;5;44;0;0
102;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObjectImage.applyMasks(BufferedImage);174;9;27;7;14
103;org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent.setOutputCondition(String);256;11;57;3;2
104;org.apache.pdfbox.io.ccitt.CCITTFaxG31DDecodeInputStream.writeRun(int, int);6;1;1;2;3
105;org.apache.pdfbox.pdmodel.graphics.PDLineDashPattern.getCOSDashPattern();31;5;9;1;1
106;org.apache.pdfbox.pdmodel.PDPage.PDPage(COSDictionary);395;9;91;0;0
107;org.apache.pdfbox.pdmodel.graphics.PDExtendedGraphicsState.getNonStrokingAlpaConstant();185;14;46;3;2
108;org.apache.pdfbox.pdmodel.font.PDType1CFont.getFontHeight(byte[], int, int);4;0;0;2;2
109;org.apache.pdfbox.pdmodel.font.PDType1CFont.PDFEncoding.PDFEncoding(CFFEncoding);54;9;13;0;0
110;org.apache.pdfbox.pdmodel.graphics.xobject.PDXObject.PDXObject(COSStream);10;4;1;2;3
111;org.apache.pdfbox.pdmodel.font.PDFontDescriptorDictionary.setXHeight(float);108;7;44;4;2
