class,path,package,methods
PDDestination,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\documentnavigation\destination\PDDestination.java,org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination,create
ValidationException,preflight\src\main\java\org\apache\pdfbox\preflight\exception\ValidationException.java,org.apache.pdfbox.preflight.exception,"ValidationException,ValidationException,ValidationException,ValidationException,getPageNumber"
GoToAction,preflight\src\main\java\org\apache\pdfbox\preflight\action\GoToAction.java,org.apache.pdfbox.preflight.action,"GoToAction,innerValid"
ActionManagerFactory,preflight\src\main\java\org\apache\pdfbox\preflight\action\ActionManagerFactory.java,org.apache.pdfbox.preflight.action,"getActionManagers,callCreateAction,callCreateAction,getNextActions,createActionManager"
HelloWorldType1,examples\src\main\java\org\apache\pdfbox\examples\pdmodel\HelloWorldType1.java,org.apache.pdfbox.examples.pdmodel,"HelloWorldType1,main"
PDPageContentStream,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\PDPageContentStream.java,org.apache.pdfbox.pdmodel,"PDPageContentStream,PDPageContentStream,PDPageContentStream,PDPageContentStream,PDPageContentStream,PDPageContentStream,PDPageContentStream,beginText,endText,setFont,drawString,showText,setLeading,newLine,moveTextPositionByAmount,newLineAtOffset,setTextMatrix,setTextMatrix,setTextMatrix,setTextScaling,setTextTranslation,setTextRotation,drawImage,drawImage,drawImage,drawInlineImage,drawImage,drawInlineImage,drawImage,drawXObject,drawXObject,drawForm,concatenate2CTM,concatenate2CTM,transform,saveGraphicsState,restoreGraphicsState,setStrokingColorSpace,setNonStrokingColorSpace,getName,setStrokingColor,setStrokingColor,setStrokingColor,setStrokingColor,setStrokingColor,setStrokingColor,setStrokingColor,setStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,setNonStrokingColor,addRect,fillRect,addBezier312,curveTo,addBezier32,curveTo2,addBezier31,curveTo1,moveTo,lineTo,addLine,drawLine,addPolygon,drawPolygon,fillPolygon,stroke,closeAndStroke,fill,fill,fillEvenOdd,fillAndStroke,fillAndStrokeEvenOdd,closeAndFillAndStroke,closeAndFillAndStrokeEvenOdd,shadingFill,closeSubPath,closePath,clipPath,clip,clipEvenOdd,setLineWidth,setLineJoinStyle,setLineCapStyle,setLineDashPattern,beginMarkedContentSequence,beginMarkedContent,beginMarkedContentSequence,beginMarkedContent,endMarkedContentSequence,endMarkedContent,appendRawCommands,appendRawCommands,appendRawCommands,appendRawCommands,appendRawCommands,appendCOSName,setGraphicsStateParameters,addComment,writeOperand,writeOperand,writeOperand,writeOperator,write,writeLine,writeBytes,writeAffineTransform,close,isOutside255Interval,isOutsideOneInterval,setStrokingColorSpaceStack,setNonStrokingColorSpaceStack,setRenderingMode,setCharacterSpacing,setWordSpacing"
PDType1Font,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\font\PDType1Font.java,org.apache.pdfbox.pdmodel.font,"PDType1Font,PDType1Font,PDType1Font,PDType1Font,repairLength1,repairLength2,getBaseFont,getHeight,encode,getWidthFromFont,isEmbedded,getAverageFontWidth,readCode,readEncodingFromFont,getType1Font,getFontBoxFont,getName,getBoundingBox,generateBoundingBox,codeToName,getNameInFont,getPath,hasGlyph,getFontMatrix,isDamaged"
FontValidator,preflight\src\main\java\org\apache\pdfbox\preflight\font\FontValidator.java,org.apache.pdfbox.preflight.font,"FontValidator,validate,checkEncoding,checkToUnicode,getFontContainer"
PDFieldFactory,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDFieldFactory.java,org.apache.pdfbox.pdmodel.interactive.form,"PDFieldFactory,createField,createChoiceSubType,createButtonSubType,findFieldType"
PDField,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDField.java,org.apache.pdfbox.pdmodel.interactive.form,"PDField,PDField,fromDictionary,getInheritableAttribute,getFieldType,getValueAsString,setValue,getWidgets,setReadOnly,isReadOnly,setRequired,isRequired,setNoExport,isNoExport,getFieldFlags,setFieldFlags,getActions,importFDF,exportFDF,getParent,findKid,getAcroForm,getCOSObject,getPartialName,setPartialName,getFullyQualifiedName,getAlternateFieldName,setAlternateFieldName,getMappingName,setMappingName,toString"
PDTextField,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDTextField.java,org.apache.pdfbox.pdmodel.interactive.form,"PDTextField,PDTextField,isMultiline,setMultiline,isPassword,setPassword,isFileSelect,setFileSelect,doNotSpellCheck,setDoNotSpellCheck,doNotScroll,setDoNotScroll,isComb,setComb,isRichText,setRichText,getMaxLen,setMaxLen,setValue,setDefaultValue,getValue,getDefaultValue,getValueAsString,constructAppearances"
PDSignatureField,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDSignatureField.java,org.apache.pdfbox.pdmodel.interactive.form,"PDSignatureField,PDSignatureField,generatePartialName,setSignature,getSignature,setValue,setValue,setDefaultValue,getValue,getDefaultValue,getValueAsString,getSeedValue,setSeedValue,constructAppearances"
PDChoice,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDChoice.java,org.apache.pdfbox.pdmodel.interactive.form,"PDChoice,PDChoice,getOptions,setOptions,setOptions,getOptionsDisplayValues,getOptionsExportValues,getSelectedOptionsIndex,setSelectedOptionsIndex,isSort,setSort,isMultiSelect,setMultiSelect,isDoNotSpellCheck,setDoNotSpellCheck,isCommitOnSelChange,setCommitOnSelChange,isCombo,setCombo,setValue,setDefaultValue,setValue,getValue,getDefaultValue,getValueFor,getValueAsString,updateSelectedOptionsIndex,constructAppearances"
PDComboBox,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDComboBox.java,org.apache.pdfbox.pdmodel.interactive.form,"PDComboBox,PDComboBox,isEdit,setEdit,constructAppearances"
PDListBox,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDListBox.java,org.apache.pdfbox.pdmodel.interactive.form,"PDListBox,PDListBox,getTopIndex,setTopIndex,constructAppearances"
PDButton,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDButton.java,org.apache.pdfbox.pdmodel.interactive.form,"PDButton,PDButton,isPushButton,setPushButton,isRadioButton,setRadioButton,getValue,setValue,getDefaultValue,setDefaultValue,getValueAsString,getExportValues,setExportValues,constructAppearances,getOnValues,checkValue,updateByValue,updateByOption"
PDRadioButton,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDRadioButton.java,org.apache.pdfbox.pdmodel.interactive.form,"PDRadioButton,PDRadioButton,setRadiosInUnison,isRadiosInUnison,getSelectedExportValues"
PDPushButton,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDPushButton.java,org.apache.pdfbox.pdmodel.interactive.form,"PDPushButton,PDPushButton,getExportValues,setExportValues,getValue,getDefaultValue,getValueAsString"
PDCheckBox,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDCheckBox.java,org.apache.pdfbox.pdmodel.interactive.form,"PDCheckBox,PDCheckBox,isChecked,check,unCheck,getOnValue"
GlyphDetail,preflight\src\main\java\org\apache\pdfbox\preflight\font\util\GlyphDetail.java,org.apache.pdfbox.preflight.font.util,"GlyphDetail,GlyphDetail,throwExceptionIfNotValid,getCode"
GlyphException,preflight\src\main\java\org\apache\pdfbox\preflight\font\util\GlyphException.java,org.apache.pdfbox.preflight.font.util,"GlyphException,GlyphException,GlyphException,getErrorCode,getInvalidCid"
PDFieldTree,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\interactive\form\PDFieldTree.java,org.apache.pdfbox.pdmodel.interactive.form,"PDFieldTree,iterator"
PageExtractorTest,pdfbox\src\test\java\org\apache\pdfbox\multipdf\PageExtractorTest.java,org.apache.pdfbox.multipdf,"PageExtractorTest,setUp,tearDown,closeDoc,testExtract"
PageExtractor,pdfbox\src\main\java\org\apache\pdfbox\multipdf\PageExtractor.java,org.apache.pdfbox.multipdf,"PageExtractor,PageExtractor,extract,getStartPage,setStartPage,getEndPage,setEndPage"
StandardProtectionPolicy,pdfbox\src\main\java\org\apache\pdfbox\pdmodel\encryption\StandardProtectionPolicy.java,org.apache.pdfbox.pdmodel.encryption,"StandardProtectionPolicy,getPermissions,setPermissions,getOwnerPassword,setOwnerPassword,getUserPassword,setUserPassword,isPreferAES,setPreferAES"
