id, seed, size, upperDepth, upperWidth, lowerDepth, lowerWidth
1,org.apache.avro.thrift.test.Foo.ping_result.writeObject(java.io.ObjectOutputStream),2,0,0,1,1
2,org.apache.avro.mapred.SequenceFileReader.(Anon_4).convert(Writable),1,0,0,0,0
3,org.apache.avro.ipc.SaslSocketTransceiver.AnonymousClient.evaluateChallenge(byte[]),1,0,0,0,0
4,"org.apache.avro.util.WeakIdentityHashMap.put(K, V)",3,0,0,1,2
5,org.apache.avro.ipc.trace.SpanAggregator.getFullSpans(List),22,5,5,1,4
6,org.apache.avro.thrift.ThriftDatumWriter.ThriftDatumWriter(Schema),5,0,0,2,2
7,org.apache.avro.thrift.test.Error.read(org.apache.thrift.protocol.TProtocol),3,1,1,1,1
8,org.apache.avro.io.parsing.SkipParser.skipSymbol(Symbol),25,7,6,2,4
9,"org.apache.avro.Schema.addProp(String, String)",85,6,50,2,1
10,org.apache.avro.io.parsing.Symbol.EnumLabelsAction.findLabel(String),13,5,4,0,0
11,org.apache.avro.data.RecordBuilderBase.hashCode(),36,7,11,3,1
12,org.apache.avro.ipc.SaslSocketTransceiver.readStatus(),20,4,9,1,2
13,"org.apache.avro.mapred.Pair.Pair(Float, GenericContainer)",17,0,0,7,4
14,org.apache.avro.mapred.Pair.compareTo(Pair),37,3,1,6,13
15,"org.apache.avro.mapred.Pair.Pair(Float, Void)",16,0,0,7,4
16,"org.apache.avro.ipc.NettyTransportCodec.NettyFrameDecoder.decodePackBody(ChannelHandlerContext, Channel, ChannelBuffer)",5,3,1,1,1
17,org.apache.avro.mapred.tether.TetherRecordReader.getPos(),2,0,0,1,1
18,org.apache.avro.util.WeakIdentityHashMap.reap(),13,2,11,0,0
19,"org.apache.avro.ipc.trace.Util.addEvent(Span, SpanEvent)",11,2,6,0,0
20,org.apache.avro.Protocol.toString(boolean),123,7,27,6,10
21,org.apache.avro.Schema.FloatSchema.FloatSchema(),11,2,8,1,1
22,"org.apache.avro.ipc.Transceiver.transceive(List, Callback)",291,15,68,2,4
23,org.apache.avro.reflect.ReflectDatumWriter.ReflectDatumWriter(ReflectData),5,2,1,2,1
24,"org.apache.avro.io.BlockingBinaryEncoder.BlockingBinaryEncoder(OutputStream, int, int)",14,2,1,4,3
25,org.apache.avro.ipc.Requestor.getLocal(),4,2,2,0,0
26,org.apache.avro.io.parsing.JsonGrammarGenerator.generate(Schema),16,6,2,5,2
27,"org.apache.avro.file.DataFileStream.DataBlock.DataBlock(ByteBuffer, long)",10,3,5,0,0
28,org.apache.avro.Schema.RecordSchema.getField(String),2,0,0,1,1
29,"org.apache.avro.mapred.AvroOutputFormat.getRecordWriter.(Anon_1).write(AvroWrapper, NullWritable)",21,0,0,5,6
30,org.apache.avro.thrift.test.Foo.add_result.setSuccess(int),4,2,1,1,1
31,org.apache.avro.mapred.FsInput.close(),1,0,0,0,0
32,org.apache.avro.Protocol.parse(JsonNode),62,0,0,5,30
33,org.apache.avro.mapred.AvroWrapper.AvroWrapper(),2,0,0,1,1
34,org.apache.avro.ipc.trace.InMemorySpanStorage.addSpan(Span),1,0,0,0,0
35,org.apache.avro.thrift.test.Foo.Processor.getProcessMap(Map),6,1,2,1,3
36,org.apache.avro.io.DirectBinaryEncoder.writeZero(),1,0,0,0,0
37,org.apache.avro.compiler.specific.SpecificCompiler.SpecificCompiler(),13,4,6,1,1
38,org.apache.avro.thrift.test.Error.Error(String),2,0,0,1,1
39,"org.apache.avro.mapred.Pair.Pair(Long, Integer)",16,0,0,7,4
40,org.apache.avro.mapred.tether.TetherTaskRunner.close(),9,3,2,2,2
41,org.apache.avro.file.DataFileWriter.DataFileWriter(DatumWriter),164,8,48,0,0
42,org.apache.avro.io.BlockingBinaryEncoder.writeBoolean(boolean),12,0,0,4,5
43,"org.apache.avro.ipc.trace.TraceClientServlet.collectRangedSpans(List, long, long)",2,0,0,1,1
44,"org.apache.avro.mapred.Pair.Pair(GenericContainer, CharSequence)",17,0,0,7,4
45,"org.apache.avro.ipc.SaslSocketTransceiver.write(Status, ByteBuffer)",3,0,0,1,2
46,org.apache.avro.Schema.MapSchema.MapSchema(Schema),47,4,23,1,1
47,org.apache.avro.io.BufferedBinaryEncoder.ByteSink.innerFlush(),4,3,1,0,0
48,"org.apache.avro.Protocol.TwoWayMessage.TwoWayMessage(String, String, Schema, Schema, Schema)",57,5,25,1,1
49,org.apache.avro.thrift.test.Error.getFieldValue(_Fields),2,0,0,1,1
50,"org.apache.avro.io.BinaryDecoder.ByteSource.compactAndFill(byte[], int, int, int)",5,1,1,1,3
51,org.apache.avro.io.BinaryDecoder.ensureBounds(int),10,2,4,2,3
52,org.apache.avro.thrift.test.Foo.add_args.readObject(java.io.ObjectInputStream),5,0,0,2,3
53,org.apache.avro.Schema.RecordSchema.setFields(List),8,0,0,2,6
54,"org.apache.avro.mapred.tether.TetheredProcess.TetheredProcess(JobConf, OutputCollector, Reporter)",46,5,9,6,9
55,"org.apache.avro.mapred.AvroOutputFormat.setSyncInterval(JobConf, int)",1,0,0,0,0
56,"org.apache.avro.ipc.SaslSocketTransceiver.SaslParticipant.wrap(byte[], int, int)",4,2,2,0,0
57,org.apache.avro.io.Encoder.writeEnum(int),42,4,28,0,0
58,"org.apache.avro.protobuf.ProtobufData.getField(Object, String, int, Object)",35,0,0,5,15
59,org.apache.avro.ipc.SaslSocketTransceiver.write(ByteBuffer),5,2,2,1,1
60,org.apache.avro.file.DataFileStream.getMeta(String),127,8,34,0,0
61,"org.apache.avro.io.Perf.printResult(long, Test, String)",4,2,2,0,0
62,org.apache.avro.specific.SpecificRecordBase.hashCode(),33,0,0,5,12
63,"org.apache.avro.io.BinaryDecoder.ByteSource.tryReadRaw(byte[], int, int)",11,2,6,0,0
64,org.apache.avro.io.JsonEncoder.writeString(String),10,2,1,3,3
65,"org.apache.avro.tool.TetherTool.run(InputStream, PrintStream, PrintStream, List)",6,0,0,3,2
