method,LOC,Cyclomatic,FanIn,FanOut,Loop
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.ExecutionContext(Operators),4,1,3,2,0
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.getStack(),4,1,44,1,0
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.getOperators(),4,1,2,1,0
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.popNumber(),4,1,17,2,0
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.popInt(),4,1,4,3,0
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext.popReal(),4,1,6,3,0
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingPaint.RadialShadingPaint(PDShadingType3, Matrix, int)",6,1,5,4,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingPaint.getTransparency(),4,1,0,1,0
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingPaint.createContext(ColorModel, Rectangle, Rectangle2D, AffineTransform, RenderingHints)",13,2,8,3,0
org.apache.pdfbox.util.Matrix.Matrix(),5,1,24,3,0
org.apache.pdfbox.util.Matrix.reset(),4,1,6,1,0
org.apache.pdfbox.util.Matrix.createAffineTransform(),8,1,13,2,0
org.apache.pdfbox.util.Matrix.setFromAffineTransform(AffineTransform),9,1,2,7,0
"org.apache.pdfbox.util.Matrix.getValue(int, int)",4,1,12,1,0
"org.apache.pdfbox.util.Matrix.setValue(int, int, float)",4,1,18,1,0
org.apache.pdfbox.util.Matrix.getValues(),14,1,1,1,0
org.apache.pdfbox.util.Matrix.getValuesAsDouble(),14,1,1,1,0
org.apache.pdfbox.util.Matrix.multiply(Matrix),4,1,10,3,0
"org.apache.pdfbox.util.Matrix.multiply(Matrix, Matrix)",52,5,8,4,0
org.apache.pdfbox.util.Matrix.extractScaling(),7,1,1,3,0
"org.apache.pdfbox.util.Matrix.getScaleInstance(float, float)",7,1,2,3,0
org.apache.pdfbox.util.Matrix.extractTranslating(),7,1,1,3,0
"org.apache.pdfbox.util.Matrix.getTranslatingInstance(float, float)",7,1,4,3,0
org.apache.pdfbox.util.Matrix.clone(),6,1,2,3,0
org.apache.pdfbox.util.Matrix.copy(),4,1,6,2,0
org.apache.pdfbox.util.Matrix.toString(),15,1,1,4,0
org.apache.pdfbox.util.Matrix.getXScale(),10,2,7,3,0
org.apache.pdfbox.util.Matrix.getYScale(),10,2,6,3,0
org.apache.pdfbox.util.Matrix.getXPosition(),4,1,8,1,0
org.apache.pdfbox.util.Matrix.getYPosition(),4,1,9,1,0
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType3.PDShadingType3(COSDictionary),4,1,2,2,0
org.apache.pdfbox.pdmodel.graphics.shading.PDShadingType3.getShadingType(),4,1,1,1,0
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.RadialShadingContext(PDShadingType3, ColorModel, AffineTransform, Matrix, int, Rectangle)",69,5,16,35,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getLongestDis(),23,3,4,2,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.calcColorTable(),33,5,8,4,1
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.dispose(),7,1,0,4,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getColorModel(),4,1,2,1,0
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getRaster(int, int, int, int)",141,23,15,7,2
"org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.calculateInputValues(int, int)",22,2,9,3,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getCoords(),4,1,1,1,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getDomain(),4,1,1,1,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getExtend(),4,1,1,1,0
org.apache.pdfbox.pdmodel.graphics.shading.RadialShadingContext.getFunction(),4,1,1,2,0
org.apache.xmpbox.DoubleSameTypeSchemaTest.testInit(),4,1,0,2,0
org.apache.xmpbox.DoubleSameTypeSchemaTest.testDoubleDublinCore(),30,2,1,20,1
org.apache.xmpbox.schema.DublinCoreSchema.DublinCoreSchema(XMPMetadata),4,1,3,2,0
"org.apache.xmpbox.schema.DublinCoreSchema.DublinCoreSchema(XMPMetadata, String)",4,1,5,2,0
org.apache.xmpbox.schema.DublinCoreSchema.addContributor(String),4,1,4,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeContributor(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setCoverage(String),4,1,6,2,0
org.apache.xmpbox.schema.DublinCoreSchema.setCoverageProperty(TextType),4,1,1,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addCreator(String),4,1,10,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeCreator(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addDate(Calendar),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeDate(Calendar),4,1,2,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.addDescription(String, String)",4,1,10,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setDescription(String),4,1,2,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.setDescription(String, String)",4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setFormat(String),4,1,3,2,0
org.apache.xmpbox.schema.DublinCoreSchema.setIdentifier(String),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.setIdentifierProperty(TextType),4,1,1,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addLanguage(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeLanguage(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addPublisher(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removePublisher(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addRelation(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeRelation(String),4,1,2,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.addRights(String, String)",4,1,5,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.setRights(String, String)",4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setRights(String),4,1,1,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setSource(String),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.setSourceProperty(TextType),4,1,1,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setFormatProperty(MIMEType),4,1,1,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addSubject(String),4,1,5,1,0
org.apache.xmpbox.schema.DublinCoreSchema.removeSubject(String),4,1,2,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.setTitle(String, String)",4,1,10,1,0
org.apache.xmpbox.schema.DublinCoreSchema.setTitle(String),4,1,2,1,0
"org.apache.xmpbox.schema.DublinCoreSchema.addTitle(String, String)",4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.addType(String),4,1,2,1,0
org.apache.xmpbox.schema.DublinCoreSchema.getContributorsProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getContributors(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getCoverageProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getCoverage(),5,2,2,3,0
org.apache.xmpbox.schema.DublinCoreSchema.getCreatorsProperty(),4,1,3,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getCreators(),4,1,4,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDatesProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDates(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDescriptionProperty(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDescriptionLanguages(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDescription(String),4,1,4,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getDescription(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getFormatProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getFormat(),5,2,3,3,0
org.apache.xmpbox.schema.DublinCoreSchema.getIdentifierProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getIdentifier(),5,2,1,3,0
org.apache.xmpbox.schema.DublinCoreSchema.getLanguagesProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getLanguages(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getPublishersProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getPublishers(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRelationsProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRelations(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRelationships(),4,1,0,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRightsProperty(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRightsLanguages(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRights(String),4,1,3,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getRights(),4,1,0,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getSourceProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getSource(),5,2,1,3,0
org.apache.xmpbox.schema.DublinCoreSchema.getSubjectsProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getSubjects(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTitleProperty(),4,1,3,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTitleLanguages(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTitle(String),4,1,6,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTitle(),4,1,2,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTypesProperty(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.getTypes(),4,1,1,2,0
org.apache.xmpbox.schema.DublinCoreSchema.removeType(String),4,1,2,1,0
"org.apache.xmpbox.schema.XMPSchema.XMPSchema(XMPMetadata, String, String, String)",5,1,8,5,0
org.apache.xmpbox.schema.XMPSchema.XMPSchema(XMPMetadata),4,1,9,2,0
"org.apache.xmpbox.schema.XMPSchema.XMPSchema(XMPMetadata, String)",4,1,11,2,0
"org.apache.xmpbox.schema.XMPSchema.XMPSchema(XMPMetadata, String, String)",4,1,7,2,0
org.apache.xmpbox.schema.XMPSchema.getAbstractProperty(String),14,3,21,8,1
org.apache.xmpbox.schema.XMPSchema.getAboutAttribute(),4,1,3,2,0
org.apache.xmpbox.schema.XMPSchema.getAboutValue(),9,2,5,3,0
org.apache.xmpbox.schema.XMPSchema.setAbout(Attribute),12,3,5,5,0
org.apache.xmpbox.schema.XMPSchema.setAboutAsSimple(String),11,2,18,3,0
"org.apache.xmpbox.schema.XMPSchema.setSpecifiedSimpleTypeProperty(Types, String, Object)",45,7,8,16,2
org.apache.xmpbox.schema.XMPSchema.setSpecifiedSimpleTypeProperty(AbstractSimpleProperty),16,3,5,8,1
org.apache.xmpbox.schema.XMPSchema.setTextProperty(TextType),4,1,3,1,0
"org.apache.xmpbox.schema.XMPSchema.setTextPropertyValue(String, String)",4,1,5,1,0
"org.apache.xmpbox.schema.XMPSchema.setTextPropertyValueAsSimple(String, String)",4,1,4,1,0
org.apache.xmpbox.schema.XMPSchema.getUnqualifiedTextProperty(String),17,3,5,3,0
org.apache.xmpbox.schema.XMPSchema.getUnqualifiedTextPropertyValue(String),5,2,4,3,0
org.apache.xmpbox.schema.XMPSchema.getDateProperty(String),16,3,3,3,0
org.apache.xmpbox.schema.XMPSchema.getDatePropertyValueAsSimple(String),4,1,2,2,0
org.apache.xmpbox.schema.XMPSchema.getDatePropertyValue(String),16,3,3,4,0
org.apache.xmpbox.schema.XMPSchema.setDateProperty(DateType),4,1,2,1,0
"org.apache.xmpbox.schema.XMPSchema.setDatePropertyValueAsSimple(String, Calendar)",4,1,3,1,0
"org.apache.xmpbox.schema.XMPSchema.setDatePropertyValue(String, Calendar)",4,1,5,1,0
org.apache.xmpbox.schema.XMPSchema.getBooleanProperty(String),16,3,3,3,0
org.apache.xmpbox.schema.XMPSchema.getBooleanPropertyValueAsSimple(String),4,1,2,2,0
org.apache.xmpbox.schema.XMPSchema.getBooleanPropertyValue(String),16,3,3,4,0
org.apache.xmpbox.schema.XMPSchema.setBooleanProperty(BooleanType),4,1,3,1,0
"org.apache.xmpbox.schema.XMPSchema.setBooleanPropertyValueAsSimple(String, Boolean)",4,1,3,1,0
"org.apache.xmpbox.schema.XMPSchema.setBooleanPropertyValue(String, Boolean)",4,1,5,1,0
org.apache.xmpbox.schema.XMPSchema.getIntegerProperty(String),16,3,3,3,0
org.apache.xmpbox.schema.XMPSchema.getIntegerPropertyValueAsSimple(String),4,1,2,2,0
org.apache.xmpbox.schema.XMPSchema.getIntegerPropertyValue(String),16,3,3,4,0
org.apache.xmpbox.schema.XMPSchema.setIntegerProperty(IntegerType),4,1,2,1,0
"org.apache.xmpbox.schema.XMPSchema.setIntegerPropertyValueAsSimple(String, Integer)",4,1,3,1,0
"org.apache.xmpbox.schema.XMPSchema.setIntegerPropertyValue(String, Integer)",4,1,5,1,0
"org.apache.xmpbox.schema.XMPSchema.removeUnqualifiedArrayValue(String, String)",23,5,4,12,2
